date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1983-04-06,42.38,42.87,42.12,42.87,209175,0.591509626056114,0.598348694408344,0.587880732644727,0.598348694408344,3577169,0.0,1.0
1983-04-07,42.75,42.75,42.12,42.38,300281,0.596673820526165,0.596673820526165,0.587880732644727,0.591509626056114,5135203,0.0,1.0
1983-04-08,42.5,43.13,42.25,42.75,394513,0.593184499938293,0.601977587819731,0.589695179350421,0.596673820526165,6746695,0.0,1.0
1983-04-11,42.62,42.75,42.25,42.5,196475,0.594957214369756,0.596771959509785,0.589792170509671,0.593282065009728,3359982,0.00701,1.0
1983-04-12,43.0,43.25,42.62,42.87,540875,0.600261854009843,0.6037517485099,0.594957214369756,0.598447108869813,9249679,0.0,1.0
1983-04-13,43.63,43.63,43.13,43.13,296706,0.609056388149987,0.609056388149987,0.602076599149872,0.602076599149872,5074065,0.0,1.0
1983-04-14,44.5,44.88,44.5,44.5,758519,0.621201221010186,0.626505860650273,0.621201221010186,0.621201221010186,12971680,0.0,1.0
1983-04-15,44.88,44.88,44.25,44.75,270438,0.626505860650273,0.626505860650273,0.617711326510129,0.624691115510243,4624848,0.0,1.0
1983-04-18,44.62,44.88,44.38,44.88,188450,0.622876370370213,0.626505860650273,0.619526071650158,0.626505860650273,3222744,0.0,1.0
1983-04-19,44.5,45.0,44.25,44.62,596338,0.621201221010186,0.6281810100103,0.617711326510129,0.622876370370213,10198170,0.0,1.0
1983-04-20,45.75,45.75,44.62,44.62,333025,0.638650693510472,0.638650693510472,0.622876370370213,0.622876370370213,5695168,0.0,1.0
1983-04-21,45.75,46.5,45.5,45.75,365994,0.638650693510472,0.649120377010644,0.635160799010415,0.638650693510472,6258982,0.0,1.0
1983-04-22,46.37,46.63,45.87,45.87,282013,0.647305631870614,0.650935122150674,0.6403258428705,0.6403258428705,4822796,0.0,1.0
1983-04-25,46.5,46.75,46.13,46.5,294481,0.649120377010644,0.652610271510701,0.643955333150559,0.649120377010644,5036015,0.0,1.0
1983-04-26,47.25,47.38,45.87,46.63,217625,0.659590060510815,0.661404805650845,0.6403258428705,0.650935122150674,3721675,0.0,1.0
1983-04-27,46.63,47.5,46.5,47.0,497875,0.650935122150674,0.663079955010873,0.649120377010644,0.656100166010758,8514322,0.0,1.0
1983-04-28,46.88,47.0,46.5,46.75,224544,0.654425016650731,0.656100166010758,0.649120377010644,0.652610271510701,3840000,0.0,1.0
1983-04-29,46.5,47.12,46.25,46.75,272206,0.649120377010644,0.657775315370786,0.645630482510587,0.652610271510701,4655083,0.0,1.0
1983-05-02,45.25,46.25,45.12,45.63,287138,0.631670904510358,0.645630482510587,0.629856159370328,0.636975544150445,4910440,0.0,1.0
1983-05-03,45.25,45.63,44.62,45.0,298275,0.631670904510358,0.636975544150445,0.622876370370213,0.6281810100103,5100897,0.0,1.0
1983-05-04,44.75,45.5,44.62,45.12,181988,0.624691115510243,0.635160799010415,0.622876370370213,0.629856159370328,3112235,0.0,1.0
1983-05-05,44.88,45.37,44.62,45.0,1029400,0.626505860650273,0.633346053870385,0.622876370370213,0.6281810100103,17604104,0.0,1.0
1983-05-06,45.63,46.0,44.88,45.0,939400,0.636975544150445,0.642140588010529,0.626505860650273,0.6281810100103,16064985,0.0,1.0
1983-05-09,45.5,45.87,45.37,45.87,326344,0.635160799010415,0.6403258428705,0.633346053870385,0.6403258428705,5580914,0.0,1.0
1983-05-10,45.5,46.0,45.37,45.5,275113,0.635160799010415,0.642140588010529,0.633346053870385,0.635160799010415,4704796,0.0,1.0
1983-05-11,45.5,45.63,45.12,45.12,168619,0.635160799010415,0.636975544150445,0.629856159370328,0.629856159370328,2883608,0.0,1.0
1983-05-12,45.37,45.75,45.25,45.37,195350,0.633346053870385,0.638650693510472,0.631670904510358,0.633346053870385,3340743,0.0,1.0
1983-05-13,45.37,45.63,45.25,45.5,187781,0.633346053870385,0.636975544150445,0.631670904510358,0.635160799010415,3211303,0.0,1.0
1983-05-16,44.88,45.0,44.5,45.0,163500,0.626505860650273,0.6281810100103,0.621201221010186,0.6281810100103,2796066,0.0,1.0
1983-05-17,45.25,45.25,44.62,45.0,235463,0.631670904510358,0.631670904510358,0.622876370370213,0.6281810100103,4026729,0.0,1.0
1983-05-18,45.5,45.87,45.37,45.5,453100,0.635160799010415,0.6403258428705,0.633346053870385,0.635160799010415,7748610,0.0,1.0
1983-05-19,44.62,45.5,44.5,45.5,255288,0.622876370370213,0.635160799010415,0.621201221010186,0.635160799010415,4365763,0.0,1.0
1983-05-20,44.5,44.62,44.0,44.5,253500,0.621201221010186,0.622876370370213,0.614221432010072,0.621201221010186,4335185,0.0,1.0
1983-05-23,44.0,44.25,43.0,43.0,312981,0.614221432010072,0.617711326510129,0.600261854009843,0.600261854009843,5352389,0.0,1.0
1983-05-24,43.87,44.0,43.63,44.0,338600,0.612406686870042,0.614221432010072,0.609056388149987,0.614221432010072,5790508,0.0,1.0
1983-05-25,43.87,44.0,43.63,43.87,442850,0.612406686870042,0.614221432010072,0.609056388149987,0.612406686870042,7573321,0.0,1.0
1983-05-26,44.0,44.25,43.25,43.87,325900,0.614221432010072,0.617711326510129,0.6037517485099,0.612406686870042,5573321,0.0,1.0
1983-05-27,43.75,44.38,43.63,43.75,219869,0.610731537510014,0.619526071650158,0.609056388149987,0.610731537510014,3760051,0.0,1.0
1983-05-31,43.37,43.63,43.13,43.37,504775,0.605426897869927,0.609056388149987,0.602076599149872,0.605426897869927,8632321,0.0,1.0
1983-06-01,42.75,43.63,42.75,43.25,345725,0.596771959509785,0.609056388149987,0.596771959509785,0.6037517485099,5912355,0.0,1.0
1983-06-02,42.38,43.25,42.12,43.0,563594,0.591606915649701,0.6037517485099,0.587977425369641,0.600261854009843,9638204,0.0,1.0
1983-06-03,42.87,43.0,42.25,42.38,189125,0.598447108869813,0.600261854009843,0.589792170509671,0.591606915649701,3234288,0.0,1.0
1983-06-06,43.25,43.5,42.87,43.0,266644,0.6037517485099,0.607241643009957,0.598447108869813,0.600261854009843,4559965,0.0,1.0
1983-06-07,44.12,44.88,43.5,43.5,441963,0.615896581370099,0.626505860650273,0.607241643009957,0.607241643009957,7558153,0.0,1.0
1983-06-08,43.75,44.25,43.75,43.87,323675,0.610731537510014,0.617711326510129,0.610731537510014,0.612406686870042,5535271,0.0,1.0
1983-06-09,44.12,44.12,43.0,43.75,511019,0.615896581370099,0.615896581370099,0.600261854009843,0.610731537510014,8739102,0.0,1.0
1983-06-10,42.75,44.0,42.75,44.0,306075,0.596771959509785,0.614221432010072,0.596771959509785,0.614221432010072,5234288,0.0,1.0
1983-06-13,42.25,42.87,42.25,42.75,550225,0.589792170509671,0.598447108869813,0.589792170509671,0.596771959509785,9409576,0.0,1.0
1983-06-14,43.25,43.37,42.25,42.87,442188,0.6037517485099,0.605426897869927,0.589792170509671,0.598447108869813,7562000,0.0,1.0
1983-06-15,45.0,45.0,43.13,43.25,708613,0.6281810100103,0.6281810100103,0.602076599149872,0.6037517485099,12118221,0.0,1.0
1983-06-16,46.75,46.75,46.25,46.75,797713,0.652610271510701,0.652610271510701,0.645630482510587,0.652610271510701,13641949,0.0,1.0
1983-06-17,47.5,47.5,46.63,46.75,273325,0.663079955010873,0.663079955010873,0.650935122150674,0.652610271510701,4674219,0.0,1.0
1983-06-20,47.25,47.88,47.12,47.75,207613,0.659590060510815,0.66838459465096,0.657775315370786,0.66656984951093,3550457,0.0,1.0
1983-06-21,46.25,46.63,45.63,46.5,695025,0.645630482510587,0.650935122150674,0.636975544150445,0.649120377010644,11885848,0.0,1.0
1983-06-22,46.25,46.5,46.13,46.37,554006,0.645630482510587,0.649120377010644,0.643955333150559,0.647305631870614,9474236,0.0,1.0
1983-06-23,45.5,46.25,45.25,46.25,303169,0.635160799010415,0.645630482510587,0.631670904510358,0.645630482510587,5184591,0.0,1.0
1983-06-24,48.37,48.75,45.75,45.75,820444,0.675224787871072,0.680529427511159,0.638650693510472,0.638650693510472,14030679,0.0,1.0
1983-06-27,47.5,48.37,47.38,48.37,345950,0.663079955010873,0.675224787871072,0.661404805650845,0.675224787871072,5916203,0.0,1.0
1983-06-28,47.62,47.75,47.12,47.62,276881,0.6647551043709,0.66656984951093,0.657775315370786,0.6647551043709,4735032,0.0,1.0
1983-06-29,47.38,47.62,47.0,47.62,318100,0.661404805650845,0.6647551043709,0.656100166010758,0.6647551043709,5439931,0.0,1.0
1983-06-30,48.13,49.13,47.5,47.62,178431,0.671874489151017,0.685834067151246,0.663079955010873,0.6647551043709,3051406,0.0,1.0
1983-07-01,48.63,48.63,47.88,48.0,134325,0.678854278151131,0.678854278151131,0.66838459465096,0.670059744010987,2297135,0.0,1.0
1983-07-05,47.75,48.63,47.25,48.5,248150,0.66656984951093,0.678854278151131,0.659590060510815,0.677039533011102,4243693,0.0,1.0
1983-07-06,48.25,48.25,47.62,47.88,108256,0.673549638511044,0.673549638511044,0.6647551043709,0.66838459465096,1851321,0.0,1.0
1983-07-07,47.75,48.37,47.75,48.0,184894,0.66656984951093,0.675224787871072,0.66656984951093,0.670059744010987,3161932,0.0,1.0
1983-07-08,47.38,48.13,47.25,48.0,138556,0.661404805650845,0.671874489151017,0.659590060510815,0.670059744010987,2369491,0.0,1.0
1983-07-11,46.25,47.75,46.13,47.5,232775,0.645728339152368,0.666670879881634,0.644052935894027,0.663180456426756,3980761,0.00701,1.0
1983-07-12,45.37,46.25,45.37,46.25,240138,0.633442048591199,0.645728339152368,0.633442048591199,0.645728339152368,4106678,0.0,1.0
1983-07-13,44.88,45.0,44.5,45.0,674981,0.626600818619639,0.62827622187798,0.621295374968225,0.62827622187798,11543069,0.0,1.0
1983-07-14,46.5,46.63,45.5,46.0,376913,0.649218762607246,0.651033782803782,0.635257068787735,0.642237915697491,6445711,0.0,1.0
1983-07-15,47.25,47.75,46.25,47.5,291813,0.659690032971879,0.666670879881634,0.645728339152368,0.663180456426756,4990389,0.0,1.0
1983-07-18,47.12,47.25,46.63,47.12,182663,0.657875012775342,0.659690032971879,0.651033782803782,0.657875012775342,3123779,0.0,1.0
1983-07-19,48.37,48.63,47.38,47.38,291144,0.675327130049731,0.678957170442804,0.661505053168415,0.661505053168415,4978948,0.0,1.0
1983-07-20,49.0,49.13,48.75,48.75,332363,0.684122997156023,0.685938017352559,0.680632573701145,0.680632573701145,5683847,0.0,1.0
1983-07-21,49.62,49.62,49.0,49.25,268650,0.692779247324119,0.692779247324119,0.684122997156023,0.6876134206109,4594271,0.0,1.0
1983-07-22,49.5,49.62,49.25,49.44,185556,0.691103844065778,0.692779247324119,0.6876134206109,0.690266142436607,3173253,0.0,1.0
1983-07-25,49.75,49.88,49.25,49.5,139663,0.694594267520655,0.696409287717192,0.6876134206109,0.691103844065778,2388422,0.0,1.0
1983-07-26,50.62,50.75,49.88,50.0,369331,0.70674094114363,0.708555961340166,0.696409287717192,0.698084690975533,6316049,0.0,1.0
1983-07-27,49.5,50.75,49.37,50.38,451094,0.691103844065778,0.708555961340166,0.689288823869241,0.703390134626947,7714305,0.0,1.0
1983-07-28,48.25,49.5,48.25,49.5,277119,0.67365172679139,0.691103844065778,0.67365172679139,0.691103844065778,4739102,0.0,1.0
1983-07-29,48.63,48.75,47.62,48.13,337700,0.678957170442804,0.680632573701145,0.664855859685098,0.671976323533048,5775117,0.0,1.0
1983-08-01,47.88,48.37,47.38,48.37,375794,0.668485900078171,0.675327130049731,0.661505053168415,0.675327130049731,6426575,0.0,1.0
1983-08-02,47.38,48.0,47.38,48.0,194906,0.661505053168415,0.670161303336512,0.661505053168415,0.670161303336512,3333150,0.0,1.0
1983-08-03,47.5,47.88,47.25,47.75,397181,0.663180456426756,0.668485900078171,0.659690032971879,0.666670879881634,6792321,0.0,1.0
1983-08-04,47.38,47.5,46.88,47.5,366881,0.661505053168415,0.663180456426756,0.65452420625866,0.663180456426756,6274151,0.0,1.0
1983-08-05,47.75,47.88,47.25,47.38,291588,0.666670879881634,0.668485900078171,0.659690032971879,0.661505053168415,4986541,0.0,1.0
1983-08-08,47.0,47.62,47.0,47.5,312538,0.656199609517001,0.664855859685098,0.656199609517001,0.663180456426756,5344814,0.0,1.0
1983-08-09,46.37,47.0,45.75,46.75,657825,0.647403742410709,0.656199609517001,0.638747492242613,0.652709186062123,11249679,0.0,1.0
1983-08-10,47.5,47.5,46.37,46.5,312538,0.663180456426756,0.663180456426756,0.647403742410709,0.649218762607246,5344814,0.0,1.0
1983-08-11,47.62,48.0,47.38,48.0,211181,0.664855859685098,0.670161303336512,0.661505053168415,0.670161303336512,3611474,0.0,1.0
