date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2008-03-28,50.1,50.1,50.0999,50.0999,200,35.4689328053323,35.4689328053323,35.4688620090592,35.4688620090592,200,0.0,1.0
2008-03-31,49.32,50.0,49.32,50.0,400,34.9167218754289,35.3981365322677,34.9167218754289,35.3981365322677,400,0.0,1.0
2008-04-01,50.65,50.65,50.16,50.25,600,35.8583123071872,35.8583123071872,35.511410569171,35.5751272149291,600,0.0,1.0
2008-04-02,51.206,51.4,51.05,51.12,10700,36.251939585426,36.3892843551712,36.1414973994453,36.1910547905905,10700,0.0,1.0
2008-04-03,51.5,59.7,50.95,59.7,29100,36.4600806282358,42.2653750195277,36.0707011263808,42.2653750195277,29100,0.0,1.0
2008-04-04,51.468,54.95,51.468,54.95,9900,36.4374258208551,38.9025520489622,36.4374258208551,38.9025520489622,9900,0.0,1.0
2008-04-07,51.77,52.99,51.25,52.99,11300,36.65123056551,37.5149450968973,36.2830899455744,37.5149450968973,11300,0.0,1.0
2008-04-08,52.09,52.09,51.33,51.33,800,36.8777786393165,36.8777786393165,36.339726964026,36.339726964026,800,0.0,1.0
2008-04-09,51.12,51.32,51.03,51.32,4300,36.1910547905905,36.3326473367196,36.1273381448324,36.3326473367196,4300,0.0,1.0
2008-04-10,51.12,51.5,50.84,51.5,6900,36.1910547905905,36.4600806282358,35.9928252260098,36.4600806282358,6900,0.0,1.0
2008-04-11,50.31,50.82,50.31,50.82,600,35.6176049787678,35.9786659713969,35.6176049787678,35.9786659713969,600,0.0,1.0
2008-04-14,50.51,51.19,50.4,51.19,3900,35.7591975248969,36.2406121817357,35.6813216245259,36.2406121817357,3900,0.0,1.0
2008-04-15,50.65,50.65,50.41,50.6,3100,35.8583123071872,35.8583123071872,35.6884012518323,35.8229141706549,3100,0.0,1.0
2008-04-16,51.34,51.8,51.19,51.19,2900,36.3468065913325,36.6724694474294,36.2406121817357,36.2406121817357,2900,0.0,1.0
2008-04-17,52.03,52.9,51.65,51.68,16400,36.8353008754778,37.4512284511393,36.5662750378326,36.5875139197519,16400,0.0,1.0
2008-04-18,52.6,53.28,52.2,53.28,9700,37.2388396319457,37.7202542887845,36.9556545396875,37.7202542887845,9700,0.0,1.0
2008-04-21,52.84,60.45,52.472,56.26,59100,37.4087506873005,42.7963470675117,37.148220402423,39.8299832261076,59100,0.0,1.0
2008-04-22,52.36,52.7,52.13,52.36,3600,37.0689285765908,37.3096359050102,36.9060971485423,37.0689285765908,3600,0.0,1.0
2008-04-23,52.49,52.84,52.18,52.84,21500,37.1609637315747,37.4087506873005,36.9414952850746,37.4087506873005,21500,0.0,1.0
2008-04-24,52.511,52.64,52.0,52.0,7100,37.1758309489182,37.2671581411715,36.8140619935584,36.8140619935584,7100,0.0,1.0
2008-04-25,52.72,52.88,52.569,52.88,1700,37.3237951596231,37.4370691965264,37.2168927872956,37.4370691965264,1700,0.0,1.0
2008-04-28,53.152,53.5,52.96,53.5,16100,37.6296350592619,37.8760060895265,37.493706214978,37.8760060895265,16100,0.0,1.0
2008-04-29,52.54,53.01,52.3,53.01,13600,37.1963618681069,37.5291043515102,37.026450812752,37.5291043515102,13600,0.0,1.0
2008-04-30,53.25,53.83,52.72,52.73,9700,37.6990154068651,38.1096337906394,37.3237951596231,37.3308747869295,9700,0.0,1.0
2008-05-01,53.09,53.19,52.57,52.65,6300,37.5857413699619,37.6565376430264,37.2176007500263,37.2742377684779,6300,0.0,1.0
2008-05-02,53.42,53.73,53.32,53.5,15400,37.8193690710748,38.0388375175749,37.7485727980103,37.8760060895265,15400,0.0,1.0
2008-05-05,53.57,53.57,53.4,53.51,4500,37.9255634806716,37.9255634806716,37.8052098164619,37.8830857168329,4500,0.0,1.0
2008-05-06,53.932,53.932,53.39,53.48,2200,38.1818459891653,38.1818459891653,37.7981301891555,37.8618468349136,2200,0.0,1.0
2008-05-07,53.03,53.87,52.998,53.87,5300,37.5432636061231,38.1379522998652,37.5206087987425,38.1379522998652,5300,0.0,1.0
2008-05-08,53.21,54.1,53.18,53.21,189500,37.6706968976393,38.3007837279137,37.64945801572,37.6706968976393,189500,0.0,1.0
2008-05-09,52.98,52.98,52.65,52.65,1000,37.5078654695909,37.5078654695909,37.2742377684779,37.2742377684779,1000,0.0,1.0
2008-05-12,53.52,53.52,53.12,53.12,2700,37.8901653441394,37.8901653441394,37.6069802518812,37.6069802518812,2700,0.0,1.0
2008-05-13,53.58,54.1,53.23,53.44,281400,37.9326431079781,38.3007837279137,37.6848561522522,37.8335283256877,281400,0.0,1.0
2008-05-14,53.7,54.11,53.7,54.09,19400,38.0175986356555,38.3078633552201,38.0175986356555,38.2937041006072,19400,0.0,1.0
2008-05-15,54.27,54.27,53.99,54.06,8400,38.4211373921234,38.4211373921234,38.2229078275427,38.2724652186879,8400,0.0,1.0
2008-05-16,54.73,54.73,54.37,54.54,4400,38.7468002482203,38.7468002482203,38.4919336651879,38.6122873293976,4400,0.0,1.0
2008-05-19,54.71,55.24,54.6,54.6,12300,38.7326409936073,39.1078612408494,38.6547650932364,38.6547650932364,12300,0.0,1.0
2008-05-20,54.17,54.63,54.17,54.63,296200,38.3503411190589,38.6760039751557,38.3503411190589,38.6760039751557,296200,0.0,1.0
2008-05-21,53.796,54.52,53.77,54.45,12200,38.0855630577975,38.5981280747847,38.0671560268007,38.5485706836396,12200,0.0,1.0
2008-05-22,53.88,54.1399,53.65,53.67,11400,38.1450319271717,38.3290314408664,37.9822004991233,37.9963597537362,11400,0.0,1.0
2008-05-23,53.04,53.9,52.1,53.88,13800,37.5503432334296,38.1591911817846,36.884858266623,38.1450319271717,13800,0.0,1.0
2008-05-27,53.45,54.6,52.73,54.6,4000,37.8406079529942,38.6547650932364,37.3308747869295,38.6547650932364,4000,0.0,1.0
2008-05-28,53.44,53.45,53.11,53.27,4800,37.8335283256877,37.8406079529942,37.5999006245748,37.713174661478,4800,0.0,1.0
2008-05-29,53.77,54.91,53.28,53.44,246700,38.0671560268007,38.8742335397364,37.7202542887845,37.8335283256877,246700,0.0,1.0
2008-05-30,53.71,54.35,53.7,54.35,43300,38.024678262962,38.477774410575,38.0175986356555,38.477774410575,43300,0.0,1.0
2008-06-02,53.3,53.77,53.13,53.69,45500,37.7344135433974,38.0671560268007,37.6140598791877,38.0105190083491,45500,0.0,1.0
2008-06-03,53.17,53.77,52.67,53.3,18700,37.6423783884135,38.0671560268007,37.2883970230908,37.7344135433974,18700,0.0,1.0
2008-06-04,52.63,53.05,52.62,52.78,2900,37.260078513865,37.5574228607361,37.2529988865586,37.3662729234618,2900,0.0,1.0
2008-06-05,53.76,53.76,52.85,52.85,15500,38.0600763994943,38.0600763994943,37.415830314607,37.415830314607,15500,0.0,1.0
2008-06-06,52.34,53.34,52.34,53.34,9500,37.0547693219779,37.7627320526232,37.0547693219779,37.7627320526232,9500,0.0,1.0
2008-06-09,52.02,52.4901,51.9999,52.33,4300,36.8282212481713,37.1610345278477,36.8139911972854,37.0476896946714,4300,0.0,1.0
2008-06-10,51.512,51.81,51.4101,51.81,7200,36.4685761810035,36.6795490747358,36.3964347787507,36.6795490747358,7200,0.0,1.0
2008-06-11,50.89,51.56,50.89,51.56,1900,36.0282233625421,36.5025583920745,36.0282233625421,36.5025583920745,1900,0.0,1.0
2008-06-12,50.92,51.26,50.76,50.78,13800,36.0494622444615,36.2901695728809,35.9361882075582,35.9503474621711,13800,0.0,1.0
2008-06-13,51.27,51.29,50.92,50.92,3900,36.2972492001873,36.3114084548002,36.0494622444615,36.0494622444615,3900,0.0,1.0
2008-06-16,51.61,51.68,51.32,51.32,3300,36.5379565286067,36.5875139197519,36.3326473367196,36.3326473367196,3300,0.0,1.0
2008-06-17,51.602,51.78,51.5,51.5,9400,36.5322928267616,36.6583101928165,36.4600806282358,36.4600806282358,9400,0.0,1.0
2008-06-18,51.23,51.5,51.13,51.5,9800,36.2689306909615,36.4600806282358,36.198134417897,36.4600806282358,9800,0.0,1.0
2008-06-19,50.55,51.13,50.55,51.13,76300,35.7875160341227,36.198134417897,35.7875160341227,36.198134417897,76300,0.0,1.0
2008-06-20,50.189,51.49,50.12,50.13,35700,35.5319414883597,36.4530010009293,35.4830920599452,35.4901716872516,35700,0.0,1.0
2008-06-23,50.36,50.36,50.0,50.09,11300,35.6530031153001,35.6530031153001,35.3981365322677,35.4618531780258,11300,0.0,1.0
2008-06-24,49.86,50.47,49.74,50.0,49500,35.2990217499774,35.730879015671,35.2140662222999,35.3981365322677,49500,0.0,1.0
2008-06-25,50.4,50.49,50.16,50.16,1800,35.6813216245259,35.7450382702839,35.511410569171,35.511410569171,1800,0.0,1.0
2008-06-26,49.14,50.23,49.14,50.23,22000,34.7892885839127,35.5609679603162,34.7892885839127,35.5609679603162,22000,0.0,1.0
2008-06-27,49.23,49.35,48.9,49.21,5500,34.8530052296708,34.9379607573483,34.6193775285578,34.8388459750579,5500,0.0,1.0
2008-06-30,49.42,49.86,49.41,49.41,61200,34.9875181484934,35.2990217499774,34.980438521187,34.980438521187,61200,0.0,1.0
2008-07-01,49.04,49.28,48.4,48.81,40100,34.7184923108482,34.8884033662031,34.2653961632352,34.5556608827998,40100,0.0,1.0
2008-07-02,48.27,49.29,48.18,49.29,8100,34.1733610082513,34.8954829935095,34.1096443624932,34.8954829935095,8100,0.0,1.0
2008-07-03,48.07,48.4,47.95,48.4,5600,34.0317684621222,34.2653961632352,33.9468129344448,34.2653961632352,5600,0.0,1.0
2008-07-07,48.26,50.7,47.0,47.01,14900,34.1662813809448,35.8937104437195,33.2742483403317,33.2813279676381,14900,0.0,1.0
2008-07-08,48.12,48.12,47.25,47.75,3100,34.0671665986545,34.0671665986545,33.451239022993,33.8052203883157,3100,0.0,1.0
2008-07-09,48.01,48.91,47.7,48.44,113700,33.9892906982835,34.6264571558643,33.7698222517834,34.293714672461,113700,0.0,1.0
2008-07-10,47.848,48.165,47.56,47.85,31000,33.8746007359189,34.0990249215335,33.6707074694931,33.8760166613802,31000,0.0,1.0
2008-07-11,47.5,47.85,47.06,47.59,539500,33.6282297056543,33.8760166613802,33.3167261041704,33.6919463514124,539500,0.0,1.0
2008-07-14,47.31,47.93,47.15,47.59,1231200,33.4937167868317,33.9326536798318,33.3804427499285,33.6919463514124,1231200,0.0,1.0
2008-07-15,46.82,47.02,46.148,47.0,22700,33.1468150488155,33.2884075949446,32.6710640938218,33.2742483403317,22700,0.0,1.0
2008-07-16,47.27,47.3499,46.43,46.56,640000,33.4653982776059,33.5219644997845,32.8707095838638,32.9627447388477,640000,0.0,1.0
2008-07-17,47.9,48.13,47.68,48.03,123400,33.9114147979125,34.0742462259609,33.7556629971705,34.0034499528964,123400,0.0,1.0
2008-07-18,47.94,50.61,47.53,50.61,6000,33.9397333071383,35.8299937979614,33.6494685875737,35.8299937979614,6000,0.0,1.0
2008-07-21,48.1499,49.15,48.14,49.15,306900,34.0883346843008,34.7963682112192,34.0813258532674,34.7963682112192,306900,0.0,1.0
2008-07-22,48.13,48.2,47.81,48.0,17800,34.0742462259609,34.1238036171061,33.8476981521544,33.982211070977,17800,0.0,1.0
2008-07-23,48.78,48.98,48.61,48.61,4100,34.5344220008804,34.6760145470095,34.4140683366707,34.4140683366707,4100,0.0,1.0
2008-07-24,47.75,48.81,47.75,48.81,13200,33.8052203883157,34.5556608827998,33.8052203883157,34.5556608827998,13200,0.0,1.0
2008-07-25,47.7418,48.01,47.704,47.75,25500,33.7994150939244,33.9892906982835,33.772654102706,33.8052203883157,25500,0.0,1.0
2008-07-28,47.17,47.892,47.17,47.69,43900,33.3946020045414,33.9057510960673,33.3946020045414,33.762742624477,43900,0.0,1.0
2008-07-29,47.7,47.77,47.13,47.13,15700,33.7698222517834,33.8193796429286,33.3662834953156,33.3662834953156,15700,0.0,1.0
2008-07-30,47.98,48.24,47.68,47.95,39500,33.9680518163641,34.1521221263319,33.7556629971705,33.9468129344448,39500,0.0,1.0
2008-07-31,47.86,48.32,47.86,48.03,9300,33.8830962886867,34.2087591447835,33.8830962886867,34.0034499528964,9300,0.0,1.0
2008-08-01,47.3,47.8,47.27,47.8,13900,33.4866371595253,33.8406185248479,33.4653982776059,33.8406185248479,13900,0.0,1.0
2008-08-04,46.82,47.13,46.7,47.06,15600,33.1468150488155,33.3662834953156,33.0618595211381,33.3167261041704,15600,0.0,1.0
2008-08-05,47.584,47.62,47.09,47.32,30300,33.6876985750285,33.7131852333318,33.3379649860897,33.5007964141382,30300,0.0,1.0
2008-08-06,48.12,48.12,47.654,47.79,8200,34.0671665986545,34.0671665986545,33.7372559661737,33.8335388975415,8200,0.0,1.0
2008-08-07,47.2,47.92,47.13,47.92,41900,33.4158408864607,33.9255740525254,33.3662834953156,33.9255740525254,41900,0.0,1.0
2008-08-08,47.73,47.79,46.92,46.92,43800,33.7910611337028,33.8335388975415,33.21761132188,33.21761132188,43800,0.0,1.0
2008-08-11,47.8,47.86,47.79,47.79,5300,33.8406185248479,33.8830962886867,33.8335388975415,33.8335388975415,5300,0.0,1.0
2008-08-12,47.4299,47.84,47.37,47.79,76400,33.5786015182361,33.8689370340738,33.5361945506704,33.8335388975415,76400,0.0,1.0
2008-08-13,47.2,47.34,46.78,47.15,8200,33.4158408864607,33.5149556687511,33.1184965395897,33.3804427499285,8200,0.0,1.0
2008-08-14,47.24,47.3,47.0,47.0,2600,33.4441593956865,33.4866371595253,33.2742483403317,33.2742483403317,2600,0.0,1.0
2008-08-15,47.05,47.19,46.91,47.13,21500,33.3096464768639,33.4087612591543,33.2105316945736,33.3662834953156,21500,0.0,1.0
2008-08-18,46.62,47.15,46.47,47.15,4500,33.0052225026864,33.3804427499285,32.8990280930896,33.3804427499285,4500,0.0,1.0
2008-08-19,46.04,46.19,45.91,46.13,28500,32.5946041189121,32.7007985285089,32.5025689639282,32.6583207646702,28500,0.0,1.0
2008-08-20,46.31,46.53,46.05,46.18,7900,32.7857540561864,32.9415058569283,32.6016837462186,32.6937189012025,7900,0.0,1.0
2008-08-21,46.78,46.87,46.37,46.44,76600,33.1184965395897,33.1822131853478,32.8282318200251,32.8777892111703,76600,0.0,1.0
2008-08-22,46.94,47.062,46.78,46.78,7900,33.2317705764929,33.3181420296317,33.1184965395897,33.1184965395897,7900,0.0,1.0
2008-08-25,46.15,46.787,46.03,46.787,40700,32.6724800192831,33.1234522787042,32.5875244916057,33.1234522787042,40700,0.0,1.0
2008-08-26,46.37,46.37,46.07,46.07,5800,32.8282318200251,32.8282318200251,32.6158430008315,32.6158430008315,5800,0.0,1.0
2008-08-27,46.7,47.76,46.37,46.53,21700,33.0618595211381,33.8123000156221,32.8282318200251,32.9415058569283,21700,0.0,1.0
2008-08-28,47.2799,47.28,46.93,46.93,13600,33.4724071086393,33.4724779049124,33.2246909491865,33.2246909491865,13600,0.0,1.0
2008-08-29,47.06,47.45,47.03,47.43,25100,33.3167261041704,33.5928315691221,33.295487222251,33.5786723145092,25100,0.0,1.0
2008-09-02,46.42,47.11,46.268,46.96,17600,32.8636299565574,33.3521242407027,32.7560196214993,33.2459298311058,17600,0.0,1.0
2008-09-03,45.781,46.37,45.73,46.33,26700,32.411241771675,32.8282318200251,32.3751356724121,32.7999133107993,26700,0.0,1.0
2008-09-04,44.57,46.18,44.57,46.18,370800,31.5538989048635,32.6937189012025,31.5538989048635,32.6937189012025,370800,0.0,1.0
2008-09-05,44.4001,44.52,43.62,44.45,51600,31.4336160369268,31.5185007683312,30.8813343107504,31.468943377186,51600,0.0,1.0
2008-09-08,44.88,46.03,44.69,45.8,28200,31.7733673513635,32.5875244916057,31.6388544325409,32.4246930635572,28200,0.0,1.0
2008-09-09,43.59,45.048,43.59,44.9,9900,30.860095428831,31.8923050901119,30.860095428831,31.7875266059764,9900,0.0,1.0
2008-09-10,44.24,44.4,43.84,44.17,855900,31.3202712037505,31.4335452406537,31.0370861114923,31.2707138126053,855900,0.0,1.0
2008-09-11,44.21,44.21,43.0,43.67,22100,31.2990323218311,31.2990323218311,30.4423974177502,30.9167324472826,22100,0.0,1.0
2008-09-12,44.73,44.85,44.07,44.25,17600,31.6671729417667,31.7521284694442,31.1999175395408,31.3273508310569,17600,0.0,1.0
2008-09-15,42.62,43.72,42.47,43.51,1915000,30.173371580105,30.9521305838149,30.0671771705082,30.8034584103794,1915000,0.0,1.0
2008-09-16,42.93,42.93,41.69,41.81,37100,30.3928400266051,30.3928400266051,29.5149662406048,29.5999217682823,37100,0.0,1.0
2008-09-17,41.08,42.6,41.05,42.6,62400,29.0831089749112,30.1592123254921,29.0618700929918,30.1592123254921,62400,0.0,1.0
2008-09-18,42.7,42.96,40.64,42.64,25900,30.2300085985566,30.4140789085244,28.7716053734272,30.1875308347179,25900,0.0,1.0
2008-09-19,45.08,49.548,43.4,47.93,103600,31.9149598974926,35.078137378016,30.7255825100084,33.9326536798318,103600,0.0,1.0
2008-09-22,44.12,45.52,44.12,45.52,49500,31.235315676073,32.2264634989765,31.235315676073,32.2264634989765,49500,0.0,1.0
2008-09-23,43.17,44.09,43.0399,43.9,53800,30.56275108196,31.2140767941537,30.470645130703,31.0795638753311,53800,0.0,1.0
2008-09-24,43.15,43.56,42.98,43.35,71700,30.548591827347,30.8388565469116,30.4282381631373,30.6901843734761,71700,0.0,1.0
2008-09-25,44.166,44.26,43.51,43.51,27700,31.2678819616827,31.3344304583634,30.8034584103794,30.8034584103794,27700,0.0,1.0
2008-09-26,43.94,43.94,43.18,43.6,103900,31.1078823845569,31.1078823845569,30.5698307092664,30.8671750561375,103900,0.0,1.0
2008-09-29,39.83,43.53,39.45,42.85,71800,28.1981555616045,30.8176176649923,27.9291297239592,30.3362030081534,71800,0.0,1.0
2008-09-30,41.29,41.55,40.19,40.19,114600,29.2317811483467,29.4158514583145,28.4530221446368,28.4530221446368,114600,0.0,1.0
2008-10-01,41.46,41.65,40.71,41.21,82400,29.3521348125564,29.486647731379,28.8211627645724,29.1751441298951,82400,0.0,1.0
2008-10-02,39.72,41.2,39.666,41.2,25300,28.1202796612335,29.1680645025886,28.0820496737786,29.1680645025886,25300,0.0,1.0
2008-10-03,39.0,41.24,38.81,39.7,124600,27.6105464951688,29.1963830118144,27.4760335763462,28.1061204066206,124600,0.0,1.0
2008-10-06,37.0,38.05,35.45,38.05,126800,26.1946210338781,26.9379819010557,25.0972788013778,26.9379819010557,126800,0.0,1.0
2008-10-07,35.35,37.9,35.31,37.9,166000,25.0264825283133,26.8317874914589,24.9981640190875,26.8317874914589,166000,0.0,1.0
2008-10-08,34.59,35.6274,33.36,34.57,24900,24.4884308530228,25.2228713897943,23.617636694329,24.4742715984099,24900,0.0,1.0
2008-10-09,32.44,35.45,32.247,35.08,30200,22.9663109821353,25.0972788013778,22.8296741751207,24.835332591039,30200,0.0,1.0
2008-10-10,31.7414,32.796,29.83,31.3,135000,22.4717282185065,23.218345714245,21.1185282551509,22.1592334691996,135000,0.0,1.0
2008-10-13,35.68,35.68,32.74,32.74,64000,25.2601102294262,25.2601102294262,23.1786998013289,23.1786998013289,64000,0.0,1.0
2008-10-14,35.45,37.61,35.0,36.46,124600,25.0972788013778,26.6264782995718,24.7786955725874,25.8123211593296,124600,0.0,1.0
2008-10-15,32.07,35.2,32.0,35.03,72100,22.7043647717965,24.9202881187165,22.6548073806513,24.7999344545068,72100,0.0,1.0
2008-10-16,33.31,33.41,30.77,32.15,29700,23.5822385577968,23.6530348308613,21.7840132219576,22.7610017902481,29700,0.0,1.0
2008-10-17,32.78,34.23,32.1,32.65,64200,23.2070183105547,24.2335642699905,22.7256036537159,23.1149831555708,64200,0.0,1.0
2008-10-20,34.67,34.67,33.19,33.19,65600,24.5450678714744,24.5450678714744,23.4972830301193,23.4972830301193,65600,0.0,1.0
2008-10-21,33.19,34.19,33.1,34.15,53900,23.4972830301193,24.2052457607647,23.4335663843612,24.1769272515389,53900,0.0,1.0
2008-10-22,30.77,32.28,30.0,32.28,75100,21.7840132219576,22.853036945232,21.2388819193606,22.853036945232,75100,0.0,1.0
2008-10-23,30.956,31.54,29.8,30.78,126700,21.9156942898576,22.3291445245545,21.0972893732316,21.791092849264,126700,0.0,1.0
2008-10-24,29.61,30.11,26.64,29.64,72500,20.9627764544089,21.3167578197316,18.8601271443922,20.9840153363283,72500,0.0,1.0
2008-10-27,28.19,29.67,28.18,28.8,253000,19.9574693768925,21.0052542182477,19.9503897495861,20.3893266425862,253000,0.0,1.0
2008-10-28,31.2,31.2,28.63,29.44,244600,22.0884371961351,22.0884371961351,20.2689729783765,20.8424227901992,244600,0.0,1.0
2008-10-29,31.71,32.88,31.24,31.55,342900,22.4494981887642,23.2778145836193,22.1167557053609,22.3362241518609,342900,0.0,1.0
2008-10-30,33.21,33.3,32.29,32.45,62600,23.5114422847322,23.5751589304903,22.8601165725385,22.9733906094418,62600,0.0,1.0
2008-10-31,33.69,33.83,32.36,32.79,134100,23.851264395442,23.9503791777323,22.9096739636837,23.2140979378612,134100,0.0,1.0
2008-11-03,33.5,33.8,33.1,33.36,143100,23.7167514766194,23.929140295813,23.4335663843612,23.617636694329,143100,0.0,1.0
2008-11-04,35.31,35.4,34.21,34.21,84600,24.9981640190875,25.0618806648455,24.2194050153776,24.2194050153776,84600,0.0,1.0
2008-11-05,33.45,35.17,33.44,35.17,299600,23.6813533400871,24.8990492367971,23.6742737127807,24.8990492367971,299600,0.0,1.0
2008-11-06,31.26,33.13,31.16,32.82,65000,22.1309149599738,23.4548052662806,22.0601186869092,23.2353368197805,65000,0.0,1.0
2008-11-07,32.81,32.81,31.76,31.76,36800,23.2282571924741,23.2282571924741,22.4848963252965,22.4848963252965,36800,0.0,1.0
2008-11-10,32.47,33.306,31.89,33.15,64900,22.9875498640547,23.5794067068742,22.5769314802804,23.4689645208935,64900,0.0,1.0
2008-11-11,31.63,32.11,30.988,31.2501,37200,22.3928611703126,22.7326832810223,21.9383490972382,22.1239061289404,37200,0.0,1.0
2008-11-12,29.9,31.0,29.69,30.61,79000,21.1680856462961,21.946844650006,21.0194134728606,21.6707391850543,79000,0.0,1.0
2008-11-13,32.0,32.0,28.58,30.05,388900,22.6548073806513,22.6548073806513,20.2335748418442,21.2742800558929,388900,0.0,1.0
2008-11-14,30.34,31.61,30.22,30.761,103400,21.4795892477801,22.3787019156997,21.3946337201026,21.7776415573817,103400,0.0,1.0
2008-11-17,30.0,30.64,29.5,30.47,138800,21.2388819193606,21.6919780669737,20.884900554038,21.571624402764,138800,0.0,1.0
2008-11-18,29.72,30.2,29.02,29.52,160600,21.0406523547799,21.3804744654897,20.5450784433282,20.8990598086509,160600,0.0,1.0
2008-11-19,28.13,30.0,27.85,29.79,2424800,19.9149916130538,21.2388819193606,19.7167620484731,21.0902097459251,2424800,0.0,1.0
2008-11-20,26.27,28.175,26.199,27.28,115600,18.5981809340535,19.9468499359329,18.5479155801776,19.3132232920053,115600,0.0,1.0
2008-11-21,27.83,28.06,26.21,26.21,124500,19.7026027938602,19.8654342219086,18.5557031702147,18.5557031702147,124500,0.0,1.0
2008-11-24,29.86,30.42,28.22,28.22,106300,21.1397671370703,21.5362262662317,19.9787082588119,19.9787082588119,106300,0.0,1.0
2008-11-25,29.9,31.37,29.0,30.28,623600,21.1680856462961,22.2087908603448,20.5309191887153,21.4371114839413,623600,0.0,1.0
2008-11-26,30.64,31.06,29.03,29.15,601400,21.6919780669737,21.9893224138447,20.5521580706346,20.6371135983121,601400,0.0,1.0
2008-11-28,30.74,30.75,30.01,30.37,188100,21.7627743400382,21.7698539673447,21.2459615466671,21.5008281296994,188100,0.0,1.0
2008-12-01,28.14,30.33,28.0,30.33,822900,19.9220712403603,21.4725096204736,19.8229564580699,21.4725096204736,822900,0.0,1.0
2008-12-02,29.5,29.51,28.516,28.97,318200,20.884900554038,20.8919801813444,20.1882652270829,20.5096803067959,318200,0.0,1.0
2008-12-03,29.83,29.88,28.5,28.93,215700,21.1185282551509,21.1539263916832,20.1769378233926,20.4813617975701,215700,0.0,1.0
2008-12-04,29.29,29.8,28.62,29.28,265800,20.7362283806024,21.0972893732316,20.26189335107,20.729148753296,265800,0.0,1.0
2008-12-05,29.78,29.868,28.03,28.82,158600,21.0831301186187,21.1454308389154,19.8441953399893,20.4034858971991,158600,0.0,1.0
2008-12-08,30.98,32.75,30.24,30.24,812500,21.9326853953931,23.1857794286354,21.4087929747155,21.4087929747155,812500,0.0,1.0
2008-12-09,30.61,31.34,30.54,31.0,230600,21.6707391850543,22.1875519784254,21.6211817939091,21.946844650006,230600,0.0,1.0
2008-12-10,31.45,31.71,30.5,30.5,286800,22.2654278787964,22.4494981887642,21.5928632846833,21.5928632846833,286800,0.0,1.0
2008-12-11,31.13,32.0,30.84,31.7,469900,22.0388798049899,22.6548073806513,21.8335706131027,22.4424185614577,469900,0.0,1.0
2008-12-12,31.32,31.51,30.13,30.6,607800,22.1733927238125,22.3079056426351,21.3309170743445,21.6636595577478,607800,0.0,1.0
2008-12-15,31.15,31.46,30.71,31.43,162400,22.0530390596028,22.2725075061029,21.7415354581188,22.2512686241835,162400,0.0,1.0
2008-12-16,32.92,33.1,31.11,31.11,799800,23.3061330928451,23.4335663843612,22.024720550377,22.024720550377,799800,0.0,1.0
2008-12-17,32.75,33.09,32.37,32.62,388800,23.1857794286354,23.4264867570548,22.9167535909901,23.0937442736515,388800,0.0,1.0
2008-12-18,31.58,32.66,31.52,32.28,502600,22.3574630337803,23.1220627828773,22.3149852699416,22.853036945232,502600,0.0,1.0
2008-12-19,31.62,32.15,31.35,32.06,300100,22.3857815430061,22.7610017902481,22.1946316057319,22.6972851444901,300100,0.0,1.0
2008-12-22,31.141,31.65,30.61,31.65,466300,22.046667395027,22.4070204249255,21.6707391850543,22.4070204249255,466300,0.0,1.0
2008-12-23,30.72,31.32,30.53,31.05,739200,21.8884504680569,22.3159592662611,21.7530726819589,22.1235803070692,739200,0.197518,1.0
2008-12-24,30.95,32.46,30.71,30.76,246100,22.0523288407019,23.1282259828492,21.8813253214202,21.9169510546038,246100,0.0,1.0
2008-12-26,31.18,31.22,30.92,31.18,181400,22.2162072133468,22.2447077998938,22.0309534007916,22.2162072133468,181400,0.0,1.0
2008-12-29,30.99,31.47,30.67,31.41,697100,22.0808294272488,22.4228364658122,21.8528247348732,22.3800855859918,697100,0.0,1.0
2008-12-30,31.92,31.92,31.02,31.02,202500,22.7434680644654,22.7434680644654,22.102204867159,22.102204867159,202500,0.0,1.0
2008-12-31,32.42,32.65,31.79,31.8,221700,23.0997253963022,23.2636037689472,22.6508411581878,22.6579663048245,221700,0.0,1.0
2009-01-02,33.13,33.21,32.29,32.45,96000,23.6056108075106,23.6626119806045,23.0070984900247,23.1211008362124,96000,0.0,1.0
