date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2000-01-03,52.0,53.94,51.94,53.5,2698900,23.779848185669,24.6670194449035,23.7524098993009,24.465805344871,2698900,0.0,1.0
2000-01-04,52.0,53.0,51.5,51.63,3141100,23.779848185669,24.2371529584703,23.5511957992683,23.6106454197325,3141100,0.0,1.0
2000-01-05,51.56,51.94,50.69,51.94,3008800,23.5786340856364,23.7524098993009,23.1807789332992,23.7524098993009,3008800,0.0,1.0
2000-01-06,52.19,52.94,51.31,51.88,2121700,23.8667360925012,24.2097146721022,23.4643078924361,23.7249716129328,2121700,0.0,1.0
2000-01-07,53.38,53.81,52.5,53.38,1892300,24.4109287721348,24.6075698244394,24.0085005720696,24.4109287721348,1892300,0.0,1.0
2000-01-10,54.69,54.75,52.88,53.0,1722200,25.0099980245045,25.0374363108726,24.1822763857341,24.2371529584703,1722200,0.0,1.0
2000-01-11,53.63,54.38,53.31,54.13,1087900,24.5252549653351,24.8682335449361,24.3789174380387,24.7539073517358,1087900,0.0,1.0
2000-01-12,53.13,53.88,52.75,53.63,1108900,24.2966025789345,24.6395811585355,24.12282676527,24.5252549653351,1108900,0.0,1.0
2000-01-13,52.81,53.13,52.44,53.13,1314600,24.150265051638,24.2966025789345,23.9810622857015,24.2966025789345,1314600,0.0,1.0
2000-01-14,52.25,52.88,51.0,51.88,2138500,23.8941743788693,24.1822763857341,23.3225434128676,23.7249716129328,2138500,0.0,1.0
2000-01-18,49.25,52.06,49.06,51.75,2826300,22.5222600604653,23.807286472037,22.4353721536331,23.6655219924686,2826300,0.0,1.0
2000-01-19,54.06,54.5,49.31,49.38,4264400,24.7218960176397,24.9231101176723,22.5496983468334,22.5817096809295,4264400,0.0,1.0
2000-01-20,50.81,54.0,50.38,53.38,3220200,23.2356555060354,24.6944577312716,23.0390144537308,24.4109287721348,3220200,0.0,1.0
2000-01-21,50.56,51.56,50.0,51.56,2826200,23.1213293128351,23.5786340856364,22.8652386400663,23.5786340856364,2826200,0.0,1.0
2000-01-24,50.0,51.0,49.75,51.0,2919500,22.8652386400663,23.3225434128676,22.750912446866,23.3225434128676,2919500,0.0,1.0
2000-01-25,51.06,51.31,50.19,50.5,2439700,23.3499816992357,23.4643078924361,22.9521265468986,23.093891026467,2439700,0.0,1.0
2000-01-26,51.0,51.88,50.06,51.88,1759300,23.3225434128676,23.7249716129328,22.8926769264344,23.7249716129328,1759300,0.0,1.0
2000-01-27,50.19,51.69,47.56,51.25,2568300,22.9521265468986,23.6380837061006,21.7494149944311,23.436869606068,2568300,0.0,1.0
2000-01-28,48.94,50.0,48.25,49.94,1732100,22.3804955808969,22.8652386400663,22.064955287664,22.8378003536982,1732100,0.0,1.0
2000-01-31,47.44,48.94,46.81,48.94,2152300,21.6945384216949,22.3804955808969,21.4064364148301,22.3804955808969,2152300,0.0,1.0
2000-02-01,48.19,48.63,46.69,47.5,1747500,22.0375170012959,22.2387311013285,21.3515598420939,21.721976708063,1747500,0.0,1.0
2000-02-02,45.56,48.25,44.25,48.25,2998300,20.8348054488284,22.064955287664,20.2357361964587,22.064955287664,2998300,0.0,1.0
2000-02-03,48.63,49.0,45.81,46.0,3202300,22.2387311013285,22.407933867265,20.9491316420288,21.036019548861,3202300,0.0,1.0
2000-02-04,48.0,49.25,47.88,48.56,1296600,21.9506290944637,22.5222600604653,21.8957525217275,22.2067197672324,1296600,0.0,1.0
2000-02-07,46.5,48.25,46.5,48.0,1554500,21.2646719352617,22.064955287664,21.2646719352617,21.9506290944637,1554500,0.0,1.0
2000-02-08,46.56,47.0,46.0,47.0,2684900,21.2921102216297,21.4933243216623,21.036019548861,21.4933243216623,2684900,0.0,1.0
2000-02-09,45.0,46.94,44.81,46.56,2266800,20.5787147760597,21.4658860352943,20.4918268692274,21.2921102216297,2266800,0.0,1.0
2000-02-10,47.38,47.88,45.06,45.19,2229900,21.6671001353268,21.8957525217275,20.6061530624278,20.6656026828919,2229900,0.0,1.0
2000-02-11,45.81,47.0,45.5,47.0,1208300,20.9491316420288,21.4933243216623,20.8073671624603,21.4933243216623,1208300,0.0,1.0
2000-02-14,46.31,47.75,45.63,45.94,1729900,21.1777840284294,21.8363029012633,20.8668167829245,21.0085812624929,1729900,0.0,1.0
2000-02-15,46.06,47.0,45.44,46.56,2317100,21.0634578352291,21.4933243216623,20.7799288760923,21.2921102216297,2317100,0.0,1.0
2000-02-16,45.88,46.31,45.5,46.25,2399200,20.9811429761248,21.1777840284294,20.8073671624603,21.1503457420613,2399200,0.0,1.0
2000-02-17,45.44,46.06,45.06,45.94,1387600,20.7799288760923,21.0634578352291,20.6061530624278,21.0085812624929,1387600,0.0,1.0
2000-02-18,44.5,45.56,43.63,45.44,1585800,20.350062389659,20.8348054488284,19.9522072373219,20.7799288760923,1585800,0.0,1.0
2000-02-22,41.88,44.56,40.0,44.5,4049700,19.1519238849195,20.3775006760271,18.292190912053,20.350062389659,4049700,0.0,1.0
2000-02-23,43.44,44.44,41.81,41.94,2999700,19.8653193304896,20.3226241032909,19.1199125508235,19.1793621712876,2999700,0.0,1.0
2000-02-24,44.63,45.06,44.06,44.38,2610800,20.4095120101232,20.6061530624278,20.1488482896264,20.2951858169229,2610800,0.0,1.0
2000-02-25,42.94,45.06,42.94,44.63,2241700,19.6366669440889,20.6061530624278,19.6366669440889,20.4095120101232,2241700,0.0,1.0
2000-02-28,44.5,45.0,42.75,42.88,2535600,20.350062389659,20.5787147760597,19.5497790372567,19.6092286577209,2535600,0.0,1.0
2000-02-29,43.56,45.31,43.19,44.88,2114100,19.9201959032258,20.7204792556281,19.7509931372893,20.5238382033235,2114100,0.0,1.0
