date,1d_open,1d_high,1d_low,1d_close,1d_volume,Close,High,Low,Open,Volume
2006-01-31 00:00:00+00:00,40.87,42.01,40.49,41.8,15409500,41.8,42.01,40.49,40.87,15409500
2006-02-01 00:00:00+00:00,41.3,42.18,40.52,42.1,15270400,42.1,42.18,40.52,41.3,15270400
2006-02-02 00:00:00+00:00,41.98,42.42,40.62,41.02,15358100,41.02,42.42,40.62,41.98,15358100
2006-02-03 00:00:00+00:00,41.06,41.0995,39.44,39.54,16524700,39.54,41.0995,39.44,41.06,16524700
2006-02-06 00:00:00+00:00,40.0,41.23,39.84,41.22,11608200,41.22,41.23,39.84,40.0,11608200
2006-02-07 00:00:00+00:00,40.65,41.27,40.05,41.01,11217900,41.01,41.27,40.05,40.65,11217900
2006-02-08 00:00:00+00:00,41.35,41.65,40.17,40.86,10414300,40.86,41.65,40.17,41.35,10414300
2006-02-09 00:00:00+00:00,41.1,42.09,39.91,40.06,12414200,40.06,42.09,39.91,41.1,12414200
2006-02-10 00:00:00+00:00,40.1,40.55,39.17,40.1,10458200,40.1,40.55,39.17,40.1,10458200
2006-02-13 00:00:00+00:00,39.88,39.9,38.65,38.96,10930500,38.96,39.9,38.65,39.88,10930500
2006-02-14 00:00:00+00:00,39.3,40.31,38.32,40.22,14074500,40.22,40.31,38.32,39.3,14074500
2006-02-15 00:00:00+00:00,40.0,40.47,39.5,40.24,9085700,40.24,40.47,39.5,40.0,9085700
2006-02-16 00:00:00+00:00,40.59,41.82,40.25,41.74,11640600,41.74,41.82,40.25,40.59,11640600
2006-02-17 00:00:00+00:00,40.52,41.06,39.73,40.33,21324900,40.33,41.06,39.73,40.52,21324900
2006-02-21 00:00:00+00:00,40.58,41.1,39.92,40.05,13909400,40.05,41.1,39.92,40.58,13909400
2006-02-22 00:00:00+00:00,39.95,40.99,39.37,40.8,13356900,40.8,40.99,39.37,39.95,13356900
2006-02-23 00:00:00+00:00,40.51,41.2,40.3,40.39,11892400,40.39,41.2,40.3,40.51,11892400
2006-02-24 00:00:00+00:00,40.65,40.99,40.09,40.54,8326100,40.54,40.99,40.09,40.65,8326100
2006-02-27 00:00:00+00:00,40.7,41.15,40.57,40.62,6902800,40.62,41.15,40.57,40.7,6902800
2006-02-28 00:00:00+00:00,40.55,40.9,38.62,38.67,18217200,38.67,40.9,38.62,40.55,18217200
2006-03-01 00:00:00+00:00,39.0,40.37,39.0,40.07,14504500,40.07,40.37,39.0,39.0,14504500
2006-03-02 00:00:00+00:00,40.7,41.34,40.35,41.33,14376100,41.33,41.34,40.35,40.7,14376100
2006-03-03 00:00:00+00:00,41.76,42.7,39.04,39.51,38662300,39.51,42.7,39.04,41.76,38662300
2006-03-06 00:00:00+00:00,39.9,40.25,38.43,39.39,18725500,39.39,40.25,38.43,39.9,18725500
2006-03-07 00:00:00+00:00,39.29,39.58,38.16,38.27,15667400,38.27,39.58,38.16,39.29,15667400
2006-03-08 00:00:00+00:00,37.6,37.89,36.11,37.09,23826400,37.09,37.89,36.11,37.6,23826400
2006-03-09 00:00:00+00:00,37.28,37.8268,36.19,36.21,14344100,36.21,37.8268,36.19,37.28,14344100
2006-03-10 00:00:00+00:00,36.34,37.42,35.6,36.63,17870000,36.63,37.42,35.6,36.34,17870000
2006-03-13 00:00:00+00:00,35.4,36.0,33.76,34.0,33835100,34.0,36.0,33.76,35.4,33835100
2006-03-14 00:00:00+00:00,33.0,35.09,32.59,34.99,42289500,34.99,35.09,32.59,33.0,42289500
2006-03-15 00:00:00+00:00,35.17,35.59,34.22,35.12,22680900,35.12,35.59,34.22,35.17,22680900
2006-03-16 00:00:00+00:00,35.6,35.63,33.99,34.08,13236700,34.08,35.63,33.99,35.6,13236700
2006-03-17 00:00:00+00:00,34.01,34.54,33.0,33.95,17731600,33.95,34.54,33.0,34.01,17731600
2006-03-20 00:00:00+00:00,33.86,34.57,33.72,34.15,10169900,34.15,34.57,33.72,33.86,10169900
2006-03-21 00:00:00+00:00,34.29,38.0,33.84,34.44,14901500,34.44,38.0,33.84,34.29,14901500
2006-03-22 00:00:00+00:00,33.89,34.71,33.52,34.37,21170100,34.37,34.71,33.52,33.89,21170100
2006-03-23 00:00:00+00:00,34.92,36.13,34.74,34.75,22806300,34.75,36.13,34.74,34.92,22806300
2006-03-24 00:00:00+00:00,34.9,36.16,34.75,36.13,11716700,36.13,36.16,34.75,34.9,11716700
2006-03-27 00:00:00+00:00,35.96,36.08,35.18,35.33,12060400,35.33,36.08,35.18,35.96,12060400
2006-03-28 00:00:00+00:00,35.0,35.25,33.6,34.09,15608900,34.09,35.25,33.6,35.0,15608900
2006-03-29 00:00:00+00:00,34.25,34.65,33.5,34.29,21578900,34.29,34.65,33.5,34.25,21578900
2006-03-30 00:00:00+00:00,34.2,34.35,33.55,33.59,13789400,33.59,34.35,33.55,34.2,13789400
2006-03-31 00:00:00+00:00,33.75,33.95,32.95,33.16,13498700,33.16,33.95,32.95,33.75,13498700
2006-04-03 00:00:00+00:00,32.32,33.6,32.17,33.18,21449200,33.18,33.6,32.17,32.32,21449200
2006-04-04 00:00:00+00:00,33.35,34.05,33.08,33.43,14139900,33.43,34.05,33.08,33.35,14139900
2006-04-05 00:00:00+00:00,33.75,34.85,33.6101,34.78,12991800,34.78,34.85,33.6101,33.75,12991800
2006-04-06 00:00:00+00:00,34.86,35.4,34.1,34.7,13343900,34.7,35.4,34.1,34.86,13343900
2006-04-07 00:00:00+00:00,34.97,35.09,33.66,33.69,11274100,33.69,35.09,33.66,34.97,11274100
2006-04-10 00:00:00+00:00,33.62,34.605,33.5,34.57,12375100,34.57,34.605,33.5,33.62,12375100
2006-04-11 00:00:00+00:00,34.92,35.02,34.12,34.35,9594300,34.35,35.02,34.12,34.92,9594300
2006-04-12 00:00:00+00:00,34.7,35.75,34.44,35.42,24189500,35.42,35.75,34.44,34.7,24189500
2006-04-13 00:00:00+00:00,33.31,33.82,31.61,31.8,60853700,31.8,33.82,31.61,33.31,60853700
2006-04-17 00:00:00+00:00,31.95,32.0,29.97,30.6,31513300,30.6,32.0,29.97,31.95,31513300
2006-04-18 00:00:00+00:00,30.67,31.5,30.42,31.23,22094800,31.23,31.5,30.42,30.67,22094800
2006-04-19 00:00:00+00:00,31.59,32.24,31.14,31.54,20969900,31.54,32.24,31.14,31.59,20969900
2006-04-20 00:00:00+00:00,31.54,31.95,31.05,31.38,16658000,31.38,31.95,31.05,31.54,16658000
2006-04-21 00:00:00+00:00,31.87,31.98,31.41,31.73,12798800,31.73,31.98,31.41,31.87,12798800
2006-04-24 00:00:00+00:00,31.785,32.9,31.41,32.81,13872400,32.81,32.9,31.41,31.785,13872400
2006-04-25 00:00:00+00:00,32.81,33.65,32.63,33.41,14069900,33.41,33.65,32.63,32.81,14069900
2006-04-26 00:00:00+00:00,33.48,33.76,32.57,32.8,10756300,32.8,33.76,32.57,33.48,10756300
2006-04-27 00:00:00+00:00,32.6,33.21,32.15,32.8,11647000,32.8,33.21,32.15,32.6,11647000
2006-04-28 00:00:00+00:00,32.3,32.67,32.0,32.35,10383000,32.35,32.67,32.0,32.3,10383000
2006-05-01 00:00:00+00:00,32.59,32.69,31.79,31.79,7424400,31.79,32.69,31.79,32.59,7424400
2006-05-02 00:00:00+00:00,31.83,32.74,31.83,32.62,8128000,32.62,32.74,31.83,31.83,8128000
2006-05-03 00:00:00+00:00,32.6,33.36,32.52,33.27,8894400,33.27,33.36,32.52,32.6,8894400
2006-05-04 00:00:00+00:00,33.46,33.97,33.22,33.95,7741300,33.95,33.97,33.22,33.46,7741300
2006-05-05 00:00:00+00:00,34.3,34.5,33.62,34.43,8403600,34.43,34.5,33.62,34.3,8403600
2006-05-08 00:00:00+00:00,34.05,34.42,33.9,33.95,5856400,33.95,34.42,33.9,34.05,5856400
2006-05-09 00:00:00+00:00,33.54,34.28,33.3,34.16,9071500,34.16,34.28,33.3,33.54,9071500
2006-05-10 00:00:00+00:00,33.95,33.98,32.83,32.83,12274900,32.83,33.98,32.83,33.95,12274900
2006-05-11 00:00:00+00:00,32.8,33.1,31.25,31.49,17159500,31.49,33.1,31.25,32.8,17159500
2006-05-12 00:00:00+00:00,31.7,32.32,31.25,31.66,14358200,31.66,32.32,31.25,31.7,14358200
2006-05-15 00:00:00+00:00,31.6,32.39,30.67,31.12,11943300,31.12,32.39,30.67,31.6,11943300
