date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1983-03-21,36.0,36.13,35.25,35.88,127700,8.9975349219392,9.03002602026842,8.81008627773213,8.96754313886607,510800,0.0,1.0
1983-03-22,34.0,35.88,34.0,34.88,82000,8.49767187072035,8.96754313886607,8.49767187072035,8.71761161325664,328000,0.0,1.0
1983-03-23,34.88,35.25,33.88,34.0,106800,8.71761161325664,8.81008627773213,8.46768008764722,8.49767187072035,427200,0.0,1.0
1983-03-24,35.13,35.13,34.63,34.88,98300,8.780094494659,8.780094494659,8.65512873185429,8.71761161325664,393200,0.0,1.0
1983-03-25,35.5,36.25,35.0,35.63,52600,8.87256915913448,9.06001780334155,8.74760339632977,8.90506025746371,210400,0.0,1.0
1983-03-28,34.75,36.13,34.63,35.38,123700,8.68512051492742,9.03002602026842,8.65512873185429,8.84257737606135,494800,0.0,1.0
1983-03-29,33.75,35.38,33.38,34.38,194500,8.435188989318,8.84257737606135,8.34271432484251,8.59264585045193,778000,0.0,1.0
1983-03-30,35.0,35.25,33.88,34.63,104300,8.74760339632977,8.81008627773213,8.46768008764722,8.65512873185429,417200,0.0,1.0
1983-03-31,33.5,38.25,33.25,36.0,160600,8.37270610791564,9.5598808545604,8.31022322651329,8.9975349219392,642400,0.0,1.0
1983-04-04,33.13,33.38,32.0,33.0,193000,8.28023144344015,8.34271432484251,7.99780881950151,8.24774034511093,772000,0.0,1.0
1983-04-05,32.63,33.88,32.63,33.0,150900,8.15526568063544,8.46768008764722,8.15526568063544,8.24774034511093,603600,0.0,1.0
1983-04-06,31.5,32.25,31.25,31.87,255300,7.8728430566968,8.06029170090386,7.81036017529444,7.96531772117228,1021200,0.0,1.0
1983-04-07,31.75,31.75,31.0,31.37,221400,7.93532593809915,7.93532593809915,7.74787729389208,7.84035195836757,885600,0.0,1.0
1983-04-08,32.63,32.63,31.5,32.13,124800,8.15526568063544,8.15526568063544,7.8728430566968,8.03029991783073,499200,0.0,1.0
1983-04-11,33.63,33.88,32.88,33.13,178400,8.40519720624487,8.46768008764722,8.2177485620378,8.28023144344015,713600,0.0,1.0
1983-04-12,33.75,34.13,33.5,33.63,179000,8.435188989318,8.53016296904958,8.37270610791564,8.40519720624487,716000,0.0,1.0
1983-04-13,35.88,36.75,34.25,35.38,471500,8.96754313886607,9.18498356614626,8.56015475212271,8.84257737606135,1886000,0.0,1.0
1983-04-14,37.75,37.75,36.13,36.13,279200,9.43491509175568,9.43491509175568,9.03002602026842,9.03002602026842,1116800,0.0,1.0
1983-04-15,37.63,38.13,37.38,37.75,195900,9.40492330868255,9.52988907148726,9.3424404272802,9.43491509175568,783600,0.0,1.0
1983-04-18,37.0,37.88,36.75,37.47,190700,9.24746644754862,9.46740619008491,9.18498356614626,9.36493426458505,762800,0.0,1.0
1983-04-19,36.38,37.0,36.0,36.75,87600,9.09250890167078,9.24746644754862,8.9975349219392,9.18498356614626,350400,0.0,1.0
1983-04-20,38.5,38.5,36.5,37.5,248000,9.62236373596275,9.62236373596275,9.12250068474391,9.37243221035333,992000,0.0,1.0
1983-04-21,37.88,38.88,37.88,38.0,128000,9.46740619008491,9.71733771569433,9.46740619008491,9.49739797315804,512000,0.0,1.0
1983-04-22,37.0,37.63,36.88,37.63,91900,9.24746644754862,9.40492330868255,9.21747466447549,9.40492330868255,367600,0.0,1.0
1983-04-25,35.5,37.25,35.25,36.25,166100,8.87256915913448,9.30994932895097,8.81008627773213,9.06001780334155,664400,0.0,1.0
1983-04-26,37.75,37.75,35.5,36.63,800,9.43491509175568,9.43491509175568,8.87256915913448,9.15499178307313,3200,0.0,1.0
1983-04-27,37.5,38.13,37.0,37.63,91000,9.37243221035333,9.52988907148726,9.24746644754862,9.40492330868255,364000,0.0,1.0
1983-04-28,37.25,37.75,37.0,37.38,66700,9.30994932895097,9.43491509175568,9.24746644754862,9.3424404272802,266800,0.0,1.0
1983-04-29,38.0,38.0,37.25,37.63,54300,9.49739797315804,9.49739797315804,9.30994932895097,9.40492330868255,217200,0.0,1.0
1983-05-02,37.5,38.0,37.13,37.63,135300,9.37243221035333,9.49739797315804,9.27995754587784,9.40492330868255,541200,0.0,1.0
1983-05-03,39.38,39.63,37.5,37.5,124000,9.84230347849904,9.9047863599014,9.37243221035333,9.37243221035333,496000,0.0,1.0
1983-05-04,41.88,42.0,39.75,40.88,245100,10.4671322925226,10.4971240755957,9.93477814297453,10.2172007669132,980400,0.0,1.0
1983-05-05,43.88,44.25,42.5,43.38,341600,10.9669953437414,11.0594700082169,10.6220898384004,10.8420295809367,1366400,0.0,1.0
1983-05-06,45.88,46.38,43.75,44.0,193900,11.4668583949603,11.591824157765,10.9345042454122,10.9969871268146,775600,0.0,1.0
1983-05-09,45.25,45.5,44.63,45.0,201200,11.3094015338263,11.3718844152287,11.1544439879485,11.246918652424,804800,0.0,1.0
1983-05-10,45.75,45.75,45.25,45.25,217700,11.4343672966311,11.4343672966311,11.3094015338263,11.3094015338263,870800,0.0,1.0
1983-05-11,45.13,45.75,45.0,45.5,92700,11.2794097507532,11.4343672966311,11.246918652424,11.3718844152287,370800,0.0,1.0
1983-05-12,43.88,45.13,43.5,45.0,96300,10.9669953437414,11.2794097507532,10.8720213640099,11.246918652424,385200,0.0,1.0
1983-05-13,46.13,46.38,43.88,43.88,97600,11.5293412763626,11.591824157765,10.9669953437414,10.9669953437414,390400,0.0,1.0
1983-05-16,45.25,45.88,45.0,45.63,147000,11.3094015338263,11.4668583949603,11.246918652424,11.4043755135579,588000,0.0,1.0
1983-05-17,45.25,45.88,45.0,45.5,81100,11.3094015338263,11.4668583949603,11.246918652424,11.3718844152287,324400,0.0,1.0
1983-05-18,45.38,45.88,45.0,45.0,108300,11.3418926321556,11.4668583949603,11.246918652424,11.246918652424,433200,0.0,1.0
1983-05-19,44.75,45.5,44.5,45.13,98200,11.1844357710216,11.3718844152287,11.1219528896193,11.2794097507532,392800,0.0,1.0
1983-05-20,47.0,47.0,45.5,45.5,154300,11.7467817036428,11.7467817036428,11.3718844152287,11.3718844152287,617200,0.0,1.0
1983-05-23,47.88,48.0,46.88,47.88,113000,11.9667214461791,11.9967132292523,11.7167899205697,11.9667214461791,452000,0.0,1.0
1983-05-24,50.38,50.63,48.25,48.5,241800,12.5915502602027,12.654033141605,12.0591961106546,12.121678992057,967200,0.0,1.0
1983-05-25,52.38,53.0,51.5,51.88,250300,13.0914133114215,13.2463708572994,12.8714735688852,12.9664475486168,1001200,0.0,1.0
1983-05-26,50.0,52.38,49.75,52.38,236100,12.4965762804711,13.0914133114215,12.4340933990687,13.0914133114215,944400,0.0,1.0
1983-05-27,49.63,50.38,49.25,50.13,79300,12.4041016159956,12.5915502602027,12.309127636264,12.5290673788003,317200,0.0,1.0
1983-05-31,48.5,48.88,48.38,48.5,130900,12.121678992057,12.2166529717886,12.0916872089838,12.121678992057,523600,0.0,1.0
1983-06-01,50.5,50.5,48.63,48.63,207700,12.6215420432758,12.6215420432758,12.1541700903862,12.1541700903862,830800,0.0,1.0
1983-06-02,52.38,52.5,50.13,50.88,152000,13.0914133114215,13.1214050944947,12.5290673788003,12.7165160230074,608000,0.0,1.0
1983-06-03,53.63,54.0,52.38,52.5,134300,13.4038277184333,13.4963023829088,13.0914133114215,13.1214050944947,537200,0.0,1.0
1983-06-06,54.5,54.63,53.13,53.5,138000,13.6212681457135,13.6537592440427,13.2788619556286,13.3713366201041,552000,0.0,1.0
1983-06-07,52.88,54.5,52.88,54.25,109700,13.2163790742262,13.6212681457135,13.2163790742262,13.5587852643111,438800,0.0,1.0
1983-06-08,52.75,53.13,52.13,52.25,113200,13.183887975897,13.2788619556286,13.0289304300192,13.0589222130923,452800,0.0,1.0
1983-06-09,52.38,53.0,51.88,52.75,63200,13.0914133114215,13.2463708572994,12.9664475486168,13.183887975897,252800,0.0,1.0
1983-06-10,52.25,53.0,52.25,52.5,19200,13.0589222130923,13.2463708572994,13.0589222130923,13.1214050944947,76800,0.0,1.0
1983-06-13,51.63,52.63,51.0,52.5,52300,12.9039646672145,13.1538961928239,12.7465078060805,13.1214050944947,209200,0.0,1.0
1983-06-14,50.63,51.75,50.63,51.38,51000,12.654033141605,12.9339564502876,12.654033141605,12.8414817858121,204000,0.0,1.0
1983-06-15,52.25,52.25,50.38,50.63,76200,13.0589222130923,13.0589222130923,12.5915502602027,12.654033141605,304800,0.0,1.0
1983-06-16,54.63,55.25,53.0,53.0,73100,13.6537592440427,13.8087167899206,13.2463708572994,13.2463708572994,292400,0.0,1.0
1983-06-17,54.63,55.13,54.13,54.75,27300,13.6537592440427,13.7787250068474,13.528793481238,13.6837510271159,109200,0.0,1.0
1983-06-20,53.88,54.63,53.63,54.5,44700,13.4663105998357,13.6537592440427,13.4038277184333,13.6212681457135,178800,0.0,1.0
1983-06-21,54.0,54.25,52.38,54.0,83400,13.4963023829088,13.5587852643111,13.0914133114215,13.4963023829088,333600,0.0,1.0
1983-06-22,58.63,59.25,58.38,58.88,258400,14.6534853464804,14.8084428923583,14.5910024650781,14.7159682278828,1033600,0.0,1.0
1983-06-23,63.25,66.62,58.75,59.0,277100,15.8081689947959,16.6504382360997,14.6834771295535,14.7459600109559,1108400,0.0,1.0
1983-06-24,64.25,64.25,62.0,63.5,170800,16.0581005204054,16.0581005204054,15.4957545877842,15.8706518761983,683200,0.0,1.0
1983-06-27,64.5,64.87,61.5,64.25,146200,16.1205834018077,16.2130580662832,15.3707888249795,16.0581005204054,584800,0.0,1.0
1983-06-28,61.0,66.5,61.0,64.5,257100,15.2458230621747,16.6204464530266,15.2458230621747,16.1205834018077,1028400,0.0,1.0
1983-06-29,63.38,63.5,61.0,62.25,254200,15.8406600931252,15.8706518761983,15.2458230621747,15.5582374691865,1016800,0.0,1.0
1983-06-30,64.5,64.87,63.63,63.75,154600,16.1205834018077,16.2130580662832,15.9031429745275,15.9331347576007,618400,0.0,1.0
1983-07-01,64.62,64.75,63.63,64.75,44400,16.1505751848809,16.1830662832101,15.9031429745275,16.1830662832101,177600,0.0,1.0
1983-07-05,63.13,63.75,61.88,63.75,121500,15.7781772117228,15.9331347576007,15.465762804711,15.9331347576007,486000,0.0,1.0
1983-07-06,63.63,63.75,62.63,62.88,84500,15.9031429745275,15.9331347576007,15.6532114489181,15.7156943303205,338000,0.0,1.0
1983-07-07,64.25,64.75,63.13,63.63,71200,16.0581005204054,16.1830662832101,15.7781772117228,15.9031429745275,284800,0.0,1.0
1983-07-08,63.5,64.5,63.5,64.25,126000,15.8706518761983,16.1205834018077,15.8706518761983,16.0581005204054,504000,0.0,1.0
1983-07-11,64.87,64.87,63.25,63.25,114900,16.2130580662832,16.2130580662832,15.8081689947959,15.8081689947959,459600,0.0,1.0
1983-07-12,63.63,65.62,63.25,65.12,86800,15.9031429745275,16.4005067104903,15.8081689947959,16.2755409476856,347200,0.0,1.0
1983-07-13,61.75,63.0,59.13,62.75,134100,15.4332717063818,15.7456861133936,14.7784511092851,15.6832032319912,536400,0.0,1.0
1983-07-14,59.0,61.94,58.88,61.75,190200,14.7459600109559,15.4807586962476,14.7159682278828,15.4332717063818,760800,0.0,1.0
1983-07-15,57.75,59.25,57.0,59.0,104300,14.4335456039441,14.8084428923583,14.2460969597371,14.7459600109559,417200,0.0,1.0
1983-07-18,56.13,57.25,55.75,57.25,140700,14.0286565324569,14.3085798411394,13.9336825527253,14.3085798411394,562800,0.0,1.0
1983-07-19,58.88,59.25,56.75,56.75,107600,14.7159682278828,14.8084428923583,14.1836140783347,14.1836140783347,430400,0.0,1.0
1983-07-20,63.0,63.0,60.0,60.25,98100,15.7456861133936,15.7456861133936,14.9958915365653,15.0583744179677,392400,0.0,1.0
