date,open,high,low,close,volume,Close,High,Low,Open,Volume
2006-01-31 00:00:00+00:00,45.0,45.21,44.25,44.82,4056000,2.241,2.2605,2.2125,2.25,81120000
2006-02-01 00:00:00+00:00,43.91,44.69,43.5,43.98,7501400,2.199,2.2345,2.175,2.1955,150028000
2006-02-02 00:00:00+00:00,43.92,44.04,39.8,42.74,23709300,2.137,2.202,1.99,2.196,474186000
2006-02-03 00:00:00+00:00,37.75,38.5,37.37,38.33,33531300,1.9165,1.925,1.8685,1.8875,670626000
2006-02-06 00:00:00+00:00,38.25,38.34,37.77,37.95,8503200,1.8975,1.917,1.8885,1.9125,170064000
2006-02-07 00:00:00+00:00,38.14,38.2,37.2,37.52,7403600,1.876,1.91,1.86,1.907,148072000
2006-02-08 00:00:00+00:00,37.77,38.39,37.11,38.17,7543700,1.9085,1.9195,1.8555,1.8885,150874000
2006-02-09 00:00:00+00:00,38.69,39.0,37.93,37.99,6932800,1.8995,1.95,1.8965,1.9345,138656000
2006-02-10 00:00:00+00:00,37.93,38.52,37.37,38.52,5011800,1.926,1.926,1.8685,1.8965,100236000
2006-02-13 00:00:00+00:00,38.29,38.42,37.53,37.86,4750400,1.893,1.921,1.8765,1.9145,95008000
2006-02-14 00:00:00+00:00,37.9,38.49,37.38,38.25,4514200,1.9125,1.9245,1.869,1.895,90284000
2006-02-15 00:00:00+00:00,38.34,39.28,38.1,39.26,6902700,1.963,1.964,1.905,1.917,138054000
2006-02-16 00:00:00+00:00,39.4,40.0,38.83,39.15,5638000,1.9575,2.0,1.9415,1.97,112760000
2006-02-17 00:00:00+00:00,38.97,39.38,38.91,39.19,4581800,1.9595,1.969,1.9455,1.9485,91636000
2006-02-21 00:00:00+00:00,39.02,39.11,38.26,38.29,5056100,1.9145,1.9555,1.913,1.951,101122000
2006-02-22 00:00:00+00:00,38.31,39.1,37.71,38.72,7356900,1.936,1.955,1.8855,1.9155,147138000
2006-02-23 00:00:00+00:00,38.6,38.75,37.87,37.9,9287500,1.895,1.9375,1.8935,1.93,185750000
2006-02-24 00:00:00+00:00,38.25,38.41,37.86,38.35,3720000,1.9175,1.9205,1.893,1.9125,74400000
2006-02-27 00:00:00+00:00,38.49,38.78,37.93,38.01,4449100,1.9005,1.939,1.8965,1.9245,88982000
2006-02-28 00:00:00+00:00,37.78,38.09,37.05,37.44,9150900,1.872,1.9045,1.8525,1.889,183018000
2006-03-01 00:00:00+00:00,37.43,37.69,36.85,37.12,6981500,1.856,1.8845,1.8425,1.8715,139630000
2006-03-02 00:00:00+00:00,35.65,37.0,35.37,36.88,11583700,1.844,1.85,1.7685,1.7825,231674000
2006-03-03 00:00:00+00:00,36.89,37.83,36.67,37.21,6044900,1.8605,1.8915,1.8335,1.8445,120898000
2006-03-06 00:00:00+00:00,37.23,37.58,36.77,36.86,4258300,1.843,1.879,1.8385,1.8615,85166000
2006-03-07 00:00:00+00:00,36.84,37.42,36.7,36.93,4722300,1.8465,1.871,1.835,1.842,94446000
2006-03-08 00:00:00+00:00,36.87,37.47,36.61,36.81,6236600,1.8405,1.8735,1.8305,1.8435,124732000
2006-03-09 00:00:00+00:00,36.87,36.96,35.9,36.12,7200100,1.806,1.848,1.795,1.8435,144002000
2006-03-10 00:00:00+00:00,36.245,36.5,35.74,36.22,4972700,1.811,1.825,1.787,1.81225,99454000
2006-03-13 00:00:00+00:00,36.29,36.63,35.97,36.19,3278100,1.8095,1.8315,1.7985,1.8145,65562000
2006-03-14 00:00:00+00:00,36.04,37.0,36.01,36.91,4185200,1.8455,1.85,1.8005,1.802,83704000
2006-03-15 00:00:00+00:00,36.95,37.0,36.43,36.89,2801500,1.8445,1.85,1.8215,1.8475,56030000
2006-03-16 00:00:00+00:00,37.0,37.39,36.74,36.77,4822800,1.8385,1.8695,1.837,1.85,96456000
2006-03-17 00:00:00+00:00,36.75,36.98,35.85,35.99,6886200,1.7995,1.849,1.7925,1.8375,137724000
2006-03-20 00:00:00+00:00,35.9,37.27,35.8,36.23,6170800,1.8115,1.8635,1.79,1.795,123416000
2006-03-21 00:00:00+00:00,36.26,36.73,35.66,35.92,6671600,1.796,1.8365,1.783,1.813,133432000
2006-03-22 00:00:00+00:00,35.97,36.54,35.79,36.0,4300800,1.8,1.827,1.7895,1.7985,86016000
2006-03-23 00:00:00+00:00,35.9,36.34,35.48,35.68,4035900,1.784,1.817,1.774,1.795,80718000
2006-03-24 00:00:00+00:00,35.82,36.12,35.31,35.47,3682000,1.7735,1.806,1.7655,1.791,73640000
2006-03-27 00:00:00+00:00,35.44,35.66,35.1391,35.25,3708500,1.7625,1.783,1.756955,1.772,74170000
2006-03-28 00:00:00+00:00,35.22,36.02,35.2,35.69,5727200,1.7845,1.801,1.76,1.761,114544000
2006-03-29 00:00:00+00:00,35.76,36.81,35.31,36.32,7199200,1.816,1.8405,1.7655,1.788,143984000
2006-03-30 00:00:00+00:00,36.32,36.9,36.18,36.67,4049200,1.8335,1.845,1.809,1.816,80984000
2006-03-31 00:00:00+00:00,36.7,36.77,36.48,36.53,2659000,1.8265,1.8385,1.824,1.835,53180000
2006-04-03 00:00:00+00:00,36.56,37.33,36.1,36.14,5054000,1.807,1.8665,1.805,1.828,101080000
2006-04-04 00:00:00+00:00,36.14,37.1,36.02,36.77,3717800,1.8385,1.855,1.801,1.807,74356000
2006-04-05 00:00:00+00:00,36.77,37.34,36.27,37.34,5559500,1.867,1.867,1.8135,1.8385,111190000
2006-04-06 00:00:00+00:00,37.24,38.84,37.13,38.51,9294600,1.9255,1.942,1.8565,1.862,185892000
2006-04-07 00:00:00+00:00,38.61,38.67,37.0,37.09,5704500,1.8545,1.9335,1.85,1.9305,114090000
2006-04-10 00:00:00+00:00,37.22,37.28,36.22,36.61,4747500,1.8305,1.864,1.811,1.861,94950000
2006-04-11 00:00:00+00:00,36.61,36.75,35.52,36.06,6605600,1.803,1.8375,1.776,1.8305,132112000
2006-04-12 00:00:00+00:00,35.91,36.44,35.91,36.13,2855800,1.8065,1.822,1.7955,1.7955,57116000
