date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1986-05-29,55.13,55.25,54.75,54.75,1967000,2.5393028252015,2.54483005790646,2.52179992163581,2.52179992163581,15736000,0.0,1.0
1986-05-30,55.5,55.5,54.88,54.88,812600,2.55634512604178,2.55634512604178,2.52778775706618,2.52778775706618,6500800,0.0,1.0
1986-06-02,55.0,55.38,54.75,55.25,39300,2.53331498977114,2.55081789333683,2.52179992163581,2.54483005790646,314400,0.0,1.0
1986-06-03,55.38,55.5,54.75,54.88,19300,2.55081789333683,2.55634512604178,2.52179992163581,2.52778775706618,154400,0.0,1.0
1986-06-04,54.63,55.5,54.63,55.0,24000,2.51627268893086,2.55634512604178,2.51627268893086,2.53331498977114,192000,0.0,1.0
1986-06-05,55.0,55.0,54.25,54.38,10500,2.53331498977114,2.53331498977114,2.49876978536517,2.50475762079553,84000,0.0,1.0
1986-06-06,55.0,55.38,54.75,55.25,45900,2.53331498977114,2.55081789333683,2.52179992163581,2.54483005790646,367200,0.0,1.0
1986-06-09,53.88,55.25,53.75,55.13,62200,2.48172748452489,2.54483005790646,2.47573964909452,2.5393028252015,497600,0.0,1.0
1986-06-10,53.88,54.13,53.5,54.13,17700,2.48172748452489,2.49324255266021,2.4642245809592,2.49324255266021,141600,0.0,1.0
1986-06-11,53.63,53.88,53.25,53.88,39800,2.47021241638956,2.48172748452489,2.45270951282387,2.48172748452489,318400,0.0,1.0
1986-06-12,52.38,53.5,51.75,53.5,43600,2.41263707571295,2.4642245809592,2.38361910401193,2.4642245809592,348800,0.0,1.0
1986-06-13,53.88,54.13,52.75,52.75,75300,2.48172748452489,2.49324255266021,2.42967937655323,2.42967937655323,602400,0.0,1.0
1986-06-16,54.0,54.13,53.63,53.88,73800,2.48725471722984,2.49324255266021,2.47021241638956,2.48172748452489,590400,0.0,1.0
1986-06-17,54.38,54.63,53.75,53.75,36800,2.50475762079553,2.51627268893086,2.47573964909452,2.47573964909452,294400,0.0,1.0
1986-06-18,54.75,54.75,54.0,54.75,13000,2.52179992163581,2.52179992163581,2.48725471722984,2.52179992163581,104000,0.0,1.0
1986-06-19,54.5,54.63,54.0,54.5,48300,2.51028485350049,2.51627268893086,2.48725471722984,2.51028485350049,386400,0.0,1.0
1986-06-20,54.75,54.75,53.75,54.25,67500,2.52179992163581,2.52179992163581,2.47573964909452,2.49876978536517,540000,0.0,1.0
1986-06-23,53.5,54.5,53.5,54.5,18300,2.4642245809592,2.51028485350049,2.4642245809592,2.51028485350049,146400,0.0,1.0
1986-06-24,53.25,53.63,53.0,53.63,30600,2.45270951282387,2.47021241638956,2.44119444468855,2.47021241638956,244800,0.0,1.0
1986-06-25,54.25,54.38,53.0,53.0,83700,2.49876978536517,2.50475762079553,2.44119444468855,2.44119444468855,669600,0.0,1.0
1986-06-26,54.0,54.63,53.25,54.5,17800,2.48725471722984,2.51627268893086,2.45270951282387,2.51028485350049,142400,0.0,1.0
1986-06-27,54.0,54.25,53.13,54.25,63600,2.48725471722984,2.49876978536517,2.44718228011892,2.49876978536517,508800,0.0,1.0
1986-06-30,54.0,54.25,54.0,54.13,11400,2.48725471722984,2.49876978536517,2.48725471722984,2.49324255266021,91200,0.0,1.0
1986-07-01,54.75,54.75,54.0,54.25,70800,2.52179992163581,2.52179992163581,2.48725471722984,2.49876978536517,566400,0.0,1.0
1986-07-02,53.5,54.38,53.25,54.38,131900,2.4642245809592,2.50475762079553,2.45270951282387,2.50475762079553,1055200,0.0,1.0
1986-07-03,53.25,53.38,52.88,53.38,42700,2.45270951282387,2.45869734825424,2.43566721198359,2.45869734825424,341600,0.0,1.0
1986-07-07,51.88,53.38,51.5,53.38,42000,2.3896069394423,2.45869734825424,2.37210403587661,2.45869734825424,336000,0.0,1.0
1986-07-08,51.0,51.75,50.0,51.75,143200,2.34907389960596,2.38361910401193,2.30301362706467,2.38361910401193,1145600,0.0,1.0
1986-07-09,51.0,51.25,50.38,51.25,57500,2.34907389960596,2.36058896774129,2.32051653063036,2.36058896774129,460000,0.0,1.0
1986-07-10,51.5,51.63,50.0,51.25,32300,2.37210403587661,2.37809187130698,2.30301362706467,2.36058896774129,258400,0.0,1.0
1986-07-11,51.88,51.88,51.38,51.75,26300,2.3896069394423,2.3896069394423,2.36657680317165,2.38361910401193,210400,0.0,1.0
1986-07-14,50.63,51.75,50.5,51.75,27100,2.33203159876568,2.38361910401193,2.32604376333532,2.38361910401193,216800,0.0,1.0
1986-07-15,48.63,50.88,48.25,50.88,100600,2.2399110536831,2.34354666690101,2.2224081501174,2.34354666690101,804800,0.0,1.0
1986-07-16,49.25,49.25,48.5,48.75,47300,2.2684684226587,2.2684684226587,2.23392321825273,2.24543828638805,378400,0.0,1.0
1986-07-17,49.13,49.88,49.13,49.5,19800,2.26294118995374,2.29748639435971,2.26294118995374,2.27998349079402,158400,0.0,1.0
1986-07-18,48.75,49.0,48.0,48.88,43300,2.24543828638805,2.25695335452338,2.21089308198208,2.25142612181842,346400,0.0,1.0
1986-07-21,48.13,48.5,47.88,48.5,39100,2.21688091741245,2.23392321825273,2.20536584927713,2.23392321825273,312800,0.0,1.0
1986-07-22,48.88,49.0,48.0,48.25,86700,2.25142612181842,2.25695335452338,2.21089308198208,2.2224081501174,693600,0.0,1.0
1986-07-23,48.38,49.13,48.25,48.63,63600,2.22839598554777,2.26294118995374,2.2224081501174,2.2399110536831,508800,0.0,1.0
1986-07-24,47.25,48.13,46.75,48.13,218400,2.17634787757611,2.21688091741245,2.15331774130546,2.21688091741245,1747200,0.0,1.0
1986-07-25,47.38,47.5,46.75,46.75,282300,2.18233571300648,2.18786294571143,2.15331774130546,2.15331774130546,2258400,0.0,1.0
1986-07-28,46.88,47.5,46.38,47.38,93600,2.15930557673583,2.18786294571143,2.13627544046519,2.18233571300648,748800,0.0,1.0
1986-07-29,46.75,46.75,45.75,46.5,122700,2.15331774130546,2.15331774130546,2.10725746876417,2.14180267317014,981600,0.0,1.0
1986-07-30,48.25,48.25,46.5,47.0,33000,2.2224081501174,2.2224081501174,2.14180267317014,2.16483280944079,264000,0.0,1.0
1986-07-31,47.63,48.0,47.38,48.0,170000,2.1938507811418,2.21089308198208,2.18233571300648,2.21089308198208,1360000,0.0,1.0
1986-08-01,47.0,47.75,46.75,47.5,322300,2.16483280944079,2.19937801384676,2.15331774130546,2.18786294571143,2578400,0.0,1.0
1986-08-04,48.13,48.38,46.63,47.0,67900,2.21688091741245,2.22839598554777,2.14779050860051,2.16483280944079,543200,0.0,1.0
1986-08-05,49.0,49.0,48.38,48.63,65200,2.25695335452338,2.25695335452338,2.22839598554777,2.2399110536831,521600,0.0,1.0
1986-08-06,49.38,49.5,49.0,49.25,128200,2.27445625808907,2.27998349079402,2.25695335452338,2.2684684226587,1025600,0.0,1.0
1986-08-07,48.88,49.38,48.88,49.13,222300,2.25142612181842,2.27445625808907,2.25142612181842,2.26294118995374,1778400,0.0,1.0
1986-08-08,49.13,49.38,48.88,48.88,193400,2.26294118995374,2.27445625808907,2.25142612181842,2.25142612181842,1547200,0.0,1.0
1986-08-11,49.63,49.75,49.0,49.0,57100,2.28597132622439,2.29149855892935,2.25695335452338,2.25695335452338,456800,0.0,1.0
1986-08-12,49.63,49.75,49.38,49.75,78700,2.28597132622439,2.29149855892935,2.27445625808907,2.29149855892935,629600,0.0,1.0
1986-08-13,50.25,50.25,49.5,49.5,166400,2.31452869519999,2.31452869519999,2.27998349079402,2.27998349079402,1331200,0.0,1.0
1986-08-14,50.25,50.63,50.0,50.0,233400,2.31452869519999,2.33203159876568,2.30301362706467,2.30301362706467,1867200,0.0,1.0
1986-08-15,50.5,50.88,50.25,50.25,215800,2.32604376333532,2.34354666690101,2.31452869519999,2.31452869519999,1726400,0.0,1.0
1986-08-18,50.25,50.5,50.13,50.38,21000,2.31452869519999,2.32604376333532,2.30900146249504,2.32051653063036,168000,0.0,1.0
