date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2000-01-03,93.25,98.5,85.94,98.38,930900,31.0833333333333,32.8333333333333,28.6466666666667,32.7933333333333,2792700,0.0,1.0
2000-01-04,86.94,92.75,85.75,89.62,978500,28.98,30.9166666666667,28.5833333333333,29.8733333333333,2935500,0.0,1.0
2000-01-05,93.0,94.5,75.0,86.12,1130000,31.0,31.5,25.0,28.7066666666667,3390000,0.0,1.0
2000-01-06,97.12,98.5,89.0,90.5,914100,32.3733333333333,32.8333333333333,29.6666666666667,30.1666666666667,2742300,0.0,1.0
2000-01-07,108.31,108.5,97.0,97.0,1578800,36.1033333333333,36.1666666666667,32.3333333333333,32.3333333333333,4736400,0.0,1.0
2000-01-10,119.5,120.88,113.0,115.0,1921800,39.8333333333333,40.2933333333333,37.6666666666667,38.3333333333333,5765400,0.0,1.0
2000-01-11,110.12,118.5,108.0,115.88,1128400,36.7066666666667,39.5,36.0,38.6266666666667,3385200,0.0,1.0
2000-01-12,105.62,110.44,97.5,110.38,1418700,35.2066666666667,36.8133333333333,32.5,36.7933333333333,4256100,0.0,1.0
2000-01-13,116.12,117.75,104.5,106.12,1059500,38.7066666666667,39.25,34.8333333333333,35.3733333333333,3178500,0.0,1.0
2000-01-14,115.5,120.0,107.5,118.37,959300,38.5,40.0,35.8333333333333,39.4566666666667,2877900,0.0,1.0
2000-01-18,107.06,120.0,105.0,114.13,1119800,35.6866666666667,40.0,35.0,38.0433333333333,3359400,0.0,1.0
2000-01-19,121.0,122.12,106.0,107.06,895000,40.3333333333333,40.7066666666667,35.3333333333333,35.6866666666667,2685000,0.0,1.0
2000-01-20,122.69,124.5,98.0,116.0,5183500,40.8966666666667,41.5,32.6666666666667,38.6666666666667,15550500,0.0,1.0
2000-01-21,147.75,149.0,119.0,125.5,3075700,49.25,49.6666666666667,39.6666666666667,41.8333333333333,9227100,0.0,1.0
2000-01-24,137.31,151.63,131.0,144.0,1605100,45.77,50.5433333333333,43.6666666666667,48.0,4815300,0.0,1.0
2000-01-25,135.88,141.25,124.63,140.5,1392700,45.2933333333333,47.0833333333333,41.5433333333333,46.8333333333333,4178100,0.0,1.0
2000-01-26,143.38,149.0,134.0,134.75,1216900,47.7933333333333,49.6666666666667,44.6666666666667,44.9166666666667,3650700,0.0,1.0
2000-01-27,130.25,145.0,130.25,144.13,550200,43.4166666666667,48.3333333333333,43.4166666666667,48.0433333333333,1650600,0.0,1.0
2000-01-28,128.25,132.56,122.19,129.5,633200,42.75,44.1866666666667,40.73,43.1666666666667,1899600,0.0,1.0
2000-01-31,126.19,128.0,119.0,127.88,725800,42.0633333333333,42.6666666666667,39.6666666666667,42.6266666666667,2177400,0.0,1.0
2000-02-01,132.94,133.25,122.53,126.62,500300,44.3133333333333,44.4166666666667,40.8433333333333,42.2066666666667,1500900,0.0,1.0
2000-02-02,106.0,117.75,104.94,114.0,5432300,35.3333333333333,39.25,34.98,38.0,16296900,0.0,1.0
2000-02-03,103.12,111.5,102.5,108.0,2825200,34.3733333333333,37.1666666666667,34.1666666666667,36.0,8475600,0.0,1.0
2000-02-04,109.5,114.25,102.75,105.81,1073300,36.5,38.0833333333333,34.25,35.27,3219900,0.0,1.0
2000-02-07,114.81,115.81,110.0,113.5,1228000,38.27,38.6033333333333,36.6666666666667,37.8333333333333,3684000,0.0,1.0
2000-02-08,129.88,130.5,115.5,117.19,1692300,43.2933333333333,43.5,38.5,39.0633333333333,5076900,0.0,1.0
2000-02-09,123.0,129.62,118.5,129.5,1088700,41.0,43.2066666666667,39.5,43.1666666666667,3266100,0.0,1.0
2000-02-10,117.19,123.81,116.0,123.38,754200,39.0633333333333,41.27,38.6666666666667,41.1266666666667,2262600,0.0,1.0
2000-02-11,118.81,123.0,114.75,117.31,723200,39.6033333333333,41.0,38.25,39.1033333333333,2169600,0.0,1.0
2000-02-14,118.81,123.0,116.75,119.0,465800,39.6033333333333,41.0,38.9166666666667,39.6666666666667,1397400,0.0,1.0
2000-02-15,116.38,119.25,113.5,118.94,480200,38.7933333333333,39.75,37.8333333333333,39.6466666666667,1440600,0.0,1.0
2000-02-16,121.88,125.25,113.0,116.0,1430400,40.6266666666667,41.75,37.6666666666667,38.6666666666667,4291200,0.0,1.0
