date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1999-10-01,14.13,14.25,14.0,14.0,3162400,8.45046173961736,8.52222786904086,8.37271509940857,8.37271509940857,3162400,0.0,1.0
1999-10-04,14.06,14.13,14.0,14.0,533400,8.40859816412032,8.45046173961736,8.37271509940857,8.37271509940857,533400,0.0,1.0
1999-10-05,14.19,14.19,14.0,14.06,270600,8.48634480432911,8.48634480432911,8.37271509940857,8.40859816412032,270600,0.0,1.0
1999-10-06,14.88,14.88,14.13,14.13,205400,8.89900004851425,8.89900004851425,8.45046173961736,8.45046173961736,205400,0.0,1.0
1999-10-07,14.13,14.88,14.06,14.88,214200,8.45046173961736,8.89900004851425,8.40859816412032,8.89900004851425,214200,0.0,1.0
1999-10-08,14.06,14.19,14.06,14.19,65600,8.40859816412032,8.48634480432911,8.40859816412032,8.48634480432911,65600,0.0,1.0
1999-10-11,14.06,14.13,14.0,14.06,77500,8.40859816412032,8.45046173961736,8.37271509940857,8.40859816412032,77500,0.0,1.0
1999-10-12,14.13,14.13,14.0,14.06,49200,8.45046173961736,8.45046173961736,8.37271509940857,8.40859816412032,49200,0.0,1.0
1999-10-13,14.06,14.38,14.0,14.13,49900,8.40859816412032,8.59997450924966,8.37271509940857,8.45046173961736,49900,0.0,1.0
1999-10-14,13.63,14.06,13.25,14.0,430900,8.15143620035277,8.40859816412032,7.92417679051168,8.37271509940857,430900,0.0,1.0
1999-10-15,13.06,13.19,12.69,13.13,158200,7.81054708559114,7.88829372579993,7.58926818653534,7.85241066108818,158200,0.0,1.0
1999-10-18,12.81,13.0,12.5,13.0,83800,7.66103431595884,7.77466402087938,7.47563848161479,7.77466402087938,83800,0.0,1.0
1999-10-19,13.25,13.25,12.75,12.75,58200,7.92417679051168,7.92417679051168,7.62515125124709,7.62515125124709,58200,0.0,1.0
