date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1972-06-01,62.75,63.13,62.5,63.09,98341,0.505494891205507,0.50855605548691,0.503480967336162,0.508233827667815,3146912,0.0,1.0
1972-06-02,63.37,63.62,62.75,62.75,35513,0.510489422401481,0.512503346270826,0.505494891205507,0.505494891205507,1136416,0.0,1.0
1972-06-05,63.5,63.75,63.25,63.37,15022,0.51153666281354,0.513550586682885,0.509522738944196,0.510489422401481,480704,0.0,1.0
1972-06-06,63.13,63.88,63.13,63.5,41816,0.50855605548691,0.514597827094944,0.50855605548691,0.51153666281354,1338112,0.0,1.0
1972-06-07,63.0,63.37,62.75,63.13,27947,0.507508815074851,0.510489422401481,0.505494891205507,0.50855605548691,894304,0.0,1.0
1972-06-08,63.37,63.37,62.63,63.0,11556,0.510489422401481,0.510489422401481,0.504528207748221,0.507508815074851,369792,0.0,1.0
1972-06-09,62.63,63.0,62.63,63.0,16494,0.504528207748221,0.507508815074851,0.504528207748221,0.507508815074851,527808,0.0,1.0
1972-06-12,62.75,63.25,62.37,62.63,11766,0.505494891205507,0.509522738944196,0.502433726924103,0.504528207748221,376512,0.0,1.0
1972-06-13,62.87,63.25,62.37,62.75,7247,0.506461574662792,0.509522738944196,0.502433726924103,0.505494891205507,231904,0.0,1.0
1972-06-14,62.0,62.75,61.5,62.75,11031,0.499453119597473,0.505494891205507,0.495425271858783,0.505494891205507,352992,0.0,1.0
1972-06-15,62.5,62.63,62.0,62.0,13869,0.503480967336162,0.504528207748221,0.499453119597473,0.499453119597473,443808,0.0,1.0
1972-06-16,62.0,62.63,62.0,62.5,11347,0.499453119597473,0.504528207748221,0.499453119597473,0.503480967336162,363104,0.0,1.0
1972-06-19,62.13,62.25,61.62,62.0,15759,0.500500360009532,0.501467043466817,0.496391955316069,0.499453119597473,504288,0.0,1.0
1972-06-20,62.5,62.63,62.13,62.13,9875,0.503480967336162,0.504528207748221,0.500500360009532,0.500500360009532,316000,0.0,1.0
1972-06-21,62.63,62.87,62.25,62.5,18594,0.504528207748221,0.506461574662792,0.501467043466817,0.503480967336162,595008,0.0,1.0
1972-06-22,62.0,62.37,61.75,62.37,15128,0.499453119597473,0.502433726924103,0.497439195728128,0.502433726924103,484096,0.0,1.0
1972-06-23,61.25,62.37,61.25,62.0,16916,0.493411347989439,0.502433726924103,0.493411347989439,0.499453119597473,541312,0.0,1.0
1972-06-26,61.75,61.75,60.88,61.25,7459,0.497439195728128,0.497439195728128,0.490430740662809,0.493411347989439,238688,0.0,1.0
1972-06-27,61.62,61.87,61.38,61.75,9141,0.496391955316069,0.498405879185413,0.494458588401498,0.497439195728128,292512,0.0,1.0
1972-06-28,61.75,62.0,61.62,61.62,111684,0.497439195728128,0.499453119597473,0.496391955316069,0.496391955316069,3573888,0.0,1.0
1972-06-29,62.13,62.13,61.62,61.75,11556,0.500500360009532,0.500500360009532,0.496391955316069,0.497439195728128,369792,0.0,1.0
1972-06-30,62.5,62.87,62.13,62.13,20275,0.503480967336162,0.506461574662792,0.500500360009532,0.500500360009532,648800,0.0,1.0
