date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2000-01-03,46.88,47.13,45.88,46.0,1532600,28.2231939903313,28.373701637464,27.6211634018003,27.6934070724241,1532600,0.0,1.0
2000-01-04,46.31,47.56,46.19,47.5,1061600,27.8800365548687,28.6325747905324,27.8077928842449,28.5964529552205,1061600,0.0,1.0
2000-01-05,48.25,48.56,46.31,46.31,1674400,29.0479758966187,29.2346053790633,27.8800365548687,27.8800365548687,1674400,0.0,1.0
2000-01-06,48.56,49.31,47.13,47.81,1437300,29.2346053790633,29.6861283204615,28.373701637464,28.7830824376651,1437300,0.0,1.0
2000-01-07,48.0,48.56,47.0,47.0,1813900,28.897468249486,29.2346053790633,28.295437660955,28.295437660955,1813900,0.0,1.0
2000-01-10,50.13,50.81,48.44,48.5,1888900,30.1797934030569,30.589174203258,29.1623617084396,29.1984835437515,1888900,0.0,1.0
2000-01-11,50.5,50.56,49.56,50.13,1161700,30.4025447208134,30.4386665561252,29.8366359675943,30.1797934030569,1161700,0.0,1.0
2000-01-12,48.19,50.44,48.06,50.38,1642100,29.0118540613069,30.3664228855015,28.9335900847978,30.3303010501897,1642100,0.0,1.0
2000-01-13,50.0,50.44,48.0,48.19,1667000,30.1015294265479,30.3664228855015,28.897468249486,29.0118540613069,1667000,0.0,1.0
2000-01-14,50.56,51.25,49.5,49.75,1841200,30.4386665561252,30.8540676622116,29.8005141322824,29.9510217794152,1841200,0.0,1.0
2000-01-18,50.0,50.25,49.38,49.5,1199900,30.1015294265479,30.2520370736806,29.7282704616587,29.8005141322824,1199900,0.0,1.0
2000-01-19,50.25,51.13,49.88,50.0,1419200,30.2520370736806,30.7818239915879,30.0292857559242,30.1015294265479,1419200,0.0,1.0
2000-01-20,49.19,50.88,49.19,50.56,628600,29.6138846498378,30.6313163444551,29.6138846498378,30.4386665561252,628600,0.0,1.0
2000-01-21,46.63,50.63,46.0,50.63,1776500,28.0726863431986,30.4808086973224,27.6934070724241,30.4808086973224,1776500,0.0,1.0
2000-01-24,43.13,46.0,42.75,46.0,4527700,25.9655792833402,27.6934070724241,25.7368076596984,27.6934070724241,4527700,0.0,1.0
2000-01-25,42.25,44.06,41.88,43.25,3590500,25.435792365433,26.525467730674,25.2130410476765,26.0378229539639,3590500,0.0,1.0
2000-01-26,43.94,45.25,41.88,42.38,3154800,26.4532240600503,27.2418841310258,25.2130410476765,25.514056341942,3154800,0.0,1.0
2000-01-27,42.75,43.75,42.31,42.5,2367700,25.7368076596984,26.3388382482294,25.4719142007448,25.5863000125657,2367700,0.0,1.0
2000-01-28,44.5,44.5,42.0,42.5,3433600,26.7903611896276,26.7903611896276,25.2852847183002,25.5863000125657,3433600,0.0,1.0
2000-01-31,45.06,45.5,43.75,44.5,2468500,27.127498319205,27.3923917781586,26.3388382482294,26.7903611896276,2468500,0.0,1.0
2000-02-01,45.06,45.44,44.25,45.06,1648400,27.127498319205,27.3562699428467,26.6398535424949,27.127498319205,1648400,0.0,1.0
2000-02-02,45.0,46.0,44.94,46.0,1648300,27.0913764838931,27.6934070724241,27.0552546485812,27.6934070724241,1648300,0.0,1.0
2000-02-03,47.25,47.63,44.63,44.88,1303700,28.4459453080878,28.6747169317295,26.8686251661366,27.0191328132694,1303700,0.0,1.0
2000-02-04,46.63,48.25,46.13,48.25,1572600,28.0726863431986,29.0479758966187,27.7716710489331,29.0479758966187,1572600,0.0,1.0
2000-02-07,43.06,46.69,42.75,46.63,1274900,25.923437142143,28.1088081785104,25.7368076596984,28.0726863431986,1274900,0.0,1.0
2000-02-08,42.75,44.25,40.5,44.25,3870000,25.7368076596984,26.6398535424949,24.3822388355038,26.6398535424949,3870000,0.0,1.0
2000-02-09,42.94,43.31,42.38,42.56,1551500,25.8511934715193,26.0739447892758,25.514056341942,25.6224218478776,1551500,0.0,1.0
2000-02-10,42.06,42.88,41.75,42.88,900700,25.3214065536121,25.8150716362075,25.1347770711675,25.8150716362075,900700,0.0,1.0
2000-02-11,40.38,43.0,39.63,43.0,1116800,24.3099951648801,25.8873153068312,23.8584722234819,25.8873153068312,1116800,0.0,1.0
2000-02-14,35.5,40.63,34.38,40.5,5839900,21.372085892849,24.4605028120128,20.6978116336943,24.3822388355038,5839900,0.0,1.0
2000-02-15,34.0,36.0,33.94,35.5,6539600,20.4690400100526,21.6731011871145,20.4329181747407,21.372085892849,6539600,0.0,1.0
2000-02-16,31.88,33.75,31.25,33.75,5904300,19.1927351623669,20.3185323629198,18.8134558915924,20.3185323629198,5904300,0.0,1.0
