date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1994-11-16,16.0,16.13,16.0,16.0,2781300,3.73295891322673,3.7632892043967,3.73295891322673,3.73295891322673,8343900,0.0,1.0
1994-11-17,16.25,16.25,15.88,16.0,1624000,3.7912863962459,3.7912863962459,3.70496172137753,3.73295891322673,4872000,0.0,1.0
1994-11-18,16.5,16.63,16.25,16.38,489600,3.84961387926507,3.87994417043504,3.7912863962459,3.82161668741587,1468800,0.0,1.0
1994-11-21,16.13,16.63,16.13,16.63,116200,3.7632892043967,3.87994417043504,3.7632892043967,3.87994417043504,348600,0.0,1.0
1994-11-22,15.38,16.13,15.38,16.0,236600,3.5883067553392,3.7632892043967,3.5883067553392,3.73295891322673,709800,0.0,1.0
1994-11-23,15.25,15.5,15.13,15.25,302200,3.55797646416923,3.6163039471884,3.52997927232003,3.55797646416923,906600,0.0,1.0
1994-11-25,15.5,15.5,15.25,15.25,44200,3.6163039471884,3.6163039471884,3.55797646416923,3.55797646416923,132600,0.0,1.0
1994-11-28,15.25,15.63,15.25,15.63,93500,3.55797646416923,3.64663423835837,3.55797646416923,3.64663423835837,280500,0.0,1.0
1994-11-29,15.38,15.38,15.25,15.25,62500,3.5883067553392,3.5883067553392,3.55797646416923,3.55797646416923,187500,0.0,1.0
1994-11-30,15.25,15.38,15.25,15.25,43600,3.55797646416923,3.5883067553392,3.55797646416923,3.55797646416923,130800,0.0,1.0
1994-12-01,14.75,15.38,14.75,15.38,264800,3.4413214981309,3.5883067553392,3.4413214981309,3.5883067553392,794400,0.0,1.0
1994-12-02,14.75,14.75,14.63,14.75,18200,3.4413214981309,3.4413214981309,3.41332430628169,3.4413214981309,54600,0.0,1.0
1994-12-05,14.75,14.75,14.63,14.75,6600,3.4413214981309,3.4413214981309,3.41332430628169,3.4413214981309,19800,0.0,1.0
1994-12-06,14.63,14.75,14.63,14.75,30400,3.41332430628169,3.4413214981309,3.41332430628169,3.4413214981309,91200,0.0,1.0
