date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-04-14,328.28,429.54,310.0,381.0,81065746,328.28,429.54,310.0,381.0,81065746,0.0,1.0
2021-04-15,322.75,349.2,317.2701,348.9,39777858,322.75,349.2,317.2701,348.9,39777858,0.0,1.0
2021-04-16,342.0,345.99,321.03,327.5,22654542,342.0,345.99,321.03,327.5,22654542,0.0,1.0
2021-04-19,333.0,341.01,326.79,337.26,11405556,333.0,341.01,326.79,337.26,11405556,0.0,1.0
2021-04-20,320.82,334.83,312.0201,333.425,18082257,320.82,334.83,312.0201,333.425,18082257,0.0,1.0
2021-04-21,311.92,327.47,302.1,312.52,10103896,311.92,327.47,302.1,312.52,10103896,0.0,1.0
2021-04-22,293.45,313.5,287.2033,305.7595,14991941,293.45,313.5,287.2033,305.7595,14991941,0.0,1.0
2021-04-23,291.6,303.0,282.07,282.75,9891146,291.6,303.0,282.07,282.75,9891146,0.0,1.0
2021-04-26,304.54,306.1,296.9,304.29,6330230,304.54,306.1,296.9,304.29,6330230,0.0,1.0
2021-04-27,302.0,306.7,299.5,306.7,3901957,302.0,306.7,299.5,306.7,3901957,0.0,1.0
2021-04-28,298.05,302.8999,298.05,301.01,2746079,298.05,302.8999,298.05,301.01,2746079,0.0,1.0
2021-04-29,294.77,300.0,292.1,298.4494,2845798,294.77,300.0,292.1,298.4494,2845798,0.0,1.0
2021-04-30,297.64,302.7399,291.0,293.0,3997384,297.64,302.7399,291.0,293.0,3997384,0.0,1.0
2021-05-03,294.21,305.03,293.94,304.0,3333846,294.21,305.03,293.94,304.0,3333846,0.0,1.0
2021-05-04,280.66,292.19,275.61,292.0622,5707704,280.66,292.19,275.61,292.0622,5707704,0.0,1.0
2021-05-05,273.0,289.15,269.0,284.9521,5074631,273.0,289.15,269.0,284.9521,5074631,0.0,1.0
2021-05-06,256.76,272.14,250.51,271.15,8342002,256.76,272.14,250.51,271.15,8342002,0.0,1.0
2021-05-07,263.7,267.072,258.3801,261.1519,4243741,263.7,267.072,258.3801,261.1519,4243741,0.0,1.0
2021-05-10,293.45,297.5,259.37,266.4,10268641,293.45,297.5,259.37,266.4,10268641,0.0,1.0
2021-05-11,303.0,303.32,276.51,281.05,7456019,303.0,303.32,276.51,281.05,7456019,0.0,1.0
2021-05-12,283.61,306.98,280.79,299.5428,7214195,283.61,306.98,280.79,299.5428,7214195,0.0,1.0
2021-05-13,265.1,285.0,252.26,276.46,11226843,265.1,285.0,252.26,276.46,11226843,0.0,1.0
2021-05-14,258.37,280.64,256.351,280.37,11751752,258.37,280.64,256.351,280.37,11751752,0.0,1.0
2021-05-17,248.24,250.25,238.25,250.0,8828143,248.24,250.25,238.25,250.0,8828143,0.0,1.0
2021-05-18,239.0,252.165,238.5,238.83,7852101,239.0,252.165,238.5,238.83,7852101,0.0,1.0
2021-05-19,224.8,229.0,208.0,212.9256,16765954,224.8,229.0,208.0,212.9256,16765954,0.0,1.0
2021-05-20,233.4,238.8,226.2601,236.1,10386891,233.4,238.8,226.2601,236.1,10386891,0.0,1.0
2021-05-21,224.35,238.97,223.9,235.97,7554937,224.35,238.97,223.9,235.97,7554937,0.0,1.0
2021-05-24,225.3,231.0,224.04,227.28,10185621,225.3,231.0,224.04,227.28,10185621,0.0,1.0
2021-05-25,242.41,243.99,228.0,230.0,11827823,242.41,243.99,228.0,230.0,11827823,0.0,1.0
2021-05-26,241.52,249.39,239.3727,247.5,6602815,241.52,249.39,239.3727,247.5,6602815,0.0,1.0
2021-05-27,247.09,247.24,240.32,245.21,5083274,247.09,247.24,240.32,245.21,5083274,0.0,1.0
2021-05-28,236.54,244.63,236.54,243.57,5091479,236.54,244.63,236.54,243.57,5091479,0.0,1.0
2021-06-01,238.93,244.7094,238.1,238.51,3962697,238.93,244.7094,238.1,238.51,3962697,0.0,1.0
2021-06-02,240.48,243.9,238.71,242.7962,3383753,240.48,243.9,238.71,242.7962,3383753,0.0,1.0
2021-06-03,233.66,241.5,233.5001,241.39,3091112,233.66,241.5,233.5001,241.39,3091112,0.0,1.0
2021-06-04,228.79,233.36,227.5,229.9939,3775123,228.79,233.36,227.5,229.9939,3775123,0.0,1.0
2021-06-07,231.45,232.56,226.5,229.9179,2658314,231.45,232.56,226.5,229.9179,2658314,0.0,1.0
2021-06-08,220.66,229.329,217.4,227.16,6015772,220.66,229.329,217.4,227.16,6015772,0.0,1.0
2021-06-09,224.32,229.789,217.4,222.795,6865914,224.32,229.789,217.4,222.795,6865914,0.0,1.0
2021-06-10,221.85,229.7856,221.47,226.22,3955294,221.85,229.7856,221.47,226.22,3955294,0.0,1.0
2021-06-11,223.92,225.74,221.96,223.5,2383458,223.92,225.74,221.96,223.5,2383458,0.0,1.0
2021-06-14,239.1,239.76,229.76,231.265,6151688,239.1,239.76,229.76,231.265,6151688,0.0,1.0
2021-06-15,232.21,237.6699,230.96,236.227,3007899,232.21,237.6699,230.96,236.227,3007899,0.0,1.0
2021-06-16,228.05,234.68,226.28,231.4,2853257,228.05,234.68,226.28,231.4,2853257,0.0,1.0
2021-06-17,230.66,233.23,226.35,226.88,2589611,230.66,233.23,226.35,226.88,2589611,0.0,1.0
2021-06-18,229.29,232.69,226.5,226.92,3265165,229.29,232.69,226.5,226.92,3265165,0.0,1.0
2021-06-21,222.6,224.99,218.7672,223.14,4687569,222.6,224.99,218.7672,223.14,4687569,0.0,1.0
2021-06-22,222.47,223.15,210.77,216.25,6206112,222.47,223.15,210.77,216.25,6206112,0.0,1.0
2021-06-23,226.01,230.5231,224.5001,225.54,3394664,226.01,230.5231,224.5001,225.54,3394664,0.0,1.0
2021-06-24,229.93,230.04,226.665,228.46,2857722,229.93,230.04,226.665,228.46,2857722,0.0,1.0
2021-06-25,224.54,227.82,223.22,226.97,2506957,224.54,227.82,223.22,226.97,2506957,0.0,1.0
2021-06-28,246.69,248.06,226.13,227.64,7449035,246.69,248.06,226.13,227.64,7449035,0.0,1.0
2021-06-29,254.9,261.15,250.01,250.2,7867552,254.9,261.15,250.01,250.2,7867552,0.0,1.0
2021-06-30,253.3,254.67,247.0,248.3,4143487,253.3,254.67,247.0,248.3,4143487,0.0,1.0
2021-07-01,241.44,255.15,240.53,251.09,3627357,241.44,255.15,240.53,251.09,3627357,0.0,1.0
2021-07-02,240.72,246.8004,238.88,242.0,2328028,240.72,246.8004,238.88,242.0,2328028,0.0,1.0
2021-07-06,235.41,243.0,234.0201,243.0,2212615,235.41,243.0,234.0201,243.0,2212615,0.0,1.0
2021-07-07,251.97,252.99,232.3362,238.9608,4804431,251.97,252.99,232.3362,238.9608,4804431,0.0,1.0
2021-07-08,244.29,246.6,233.61,239.0,4349961,244.29,246.6,233.61,239.0,4349961,0.0,1.0
2021-07-09,253.88,256.99,244.21,245.0,4457367,253.88,256.99,244.21,245.0,4457367,0.0,1.0
2021-07-12,247.67,254.89,246.83,254.0,2222085,247.67,254.89,246.83,254.0,2222085,0.0,1.0
2021-07-13,243.31,249.15,242.9303,245.51,3307965,243.31,249.15,242.9303,245.51,3307965,0.0,1.0
2021-07-14,229.94,247.45,229.16,244.9,4808426,229.94,247.45,229.16,244.9,4808426,0.0,1.0
2021-07-15,224.63,234.47,220.37,229.94,3635910,224.63,234.47,220.37,229.94,3635910,0.0,1.0
2021-07-16,225.01,231.3,220.6645,227.2,3373060,225.01,231.3,220.6645,227.2,3373060,0.0,1.0
2021-07-19,220.61,221.89,213.22,216.92,3149313,220.61,221.89,213.22,216.92,3149313,0.0,1.0
2021-07-20,224.96,226.89,213.23,216.71,3104775,224.96,226.89,213.23,216.71,3104775,0.0,1.0
2021-07-21,230.87,237.15,229.19,231.6975,3677370,230.87,237.15,229.19,231.6975,3677370,0.0,1.0
2021-07-22,226.08,232.32,224.5,232.0,2551694,226.08,232.32,224.5,232.0,2551694,0.0,1.0
2021-07-23,224.92,227.3465,222.73,226.22,1574726,224.92,227.3465,222.73,226.22,1574726,0.0,1.0
2021-07-26,245.45,249.8,237.88,240.0835,7615718,245.45,249.8,237.88,240.0835,7615718,0.0,1.0
2021-07-27,235.08,243.21,229.12,243.0,5636360,235.08,243.21,229.12,243.0,5636360,0.0,1.0
2021-07-28,241.75,242.8657,238.03,240.3,2065223,241.75,242.8657,238.03,240.3,2065223,0.0,1.0
2021-07-29,235.78,245.1599,235.33,241.77,2413569,235.78,245.1599,235.33,241.77,2413569,0.0,1.0
2021-07-30,236.58,238.07,231.8956,233.28,2041063,236.58,238.07,231.8956,233.28,2041063,0.0,1.0
2021-08-02,235.4,240.3765,233.8,237.28,2151346,235.4,240.3765,233.8,237.28,2151346,0.0,1.0
2021-08-03,230.18,235.6899,226.91,233.87,2850545,230.18,235.6899,226.91,233.87,2850545,0.0,1.0
2021-08-04,244.36,245.4683,229.85,231.06,3684694,244.36,245.4683,229.85,231.06,3684694,0.0,1.0
2021-08-05,255.5,258.31,237.59,239.76,6017849,255.5,258.31,237.59,239.76,6017849,0.0,1.0
2021-08-06,258.26,263.9,250.23,255.5,5579943,258.26,263.9,250.23,255.5,5579943,0.0,1.0
2021-08-09,280.47,282.43,267.5,267.85,8892383,280.47,282.43,267.5,267.85,8892383,0.0,1.0
2021-08-10,269.67,281.5,264.25,280.67,7723436,269.67,281.5,264.25,280.67,7723436,0.0,1.0
2021-08-11,278.4,294.0,274.3501,282.338,13998306,278.4,294.0,274.3501,282.338,13998306,0.0,1.0
2021-08-12,256.5,267.75,255.2,266.39,8266747,256.5,267.75,255.2,266.39,8266747,0.0,1.0
2021-08-13,261.25,266.5,259.97,262.82,4388845,261.25,266.5,259.97,262.82,4388845,0.0,1.0
2021-08-16,256.83,265.43,253.6018,265.26,3241136,256.83,265.43,253.6018,265.26,3241136,0.0,1.0
2021-08-17,250.8,260.74,246.23,253.14,3101977,250.8,260.74,246.23,253.14,3101977,0.0,1.0
2021-08-18,244.39,254.4,243.76,249.0,2564969,244.39,254.4,243.76,249.0,2564969,0.0,1.0
2021-08-19,248.24,249.77,239.1916,240.6,3247230,248.24,249.77,239.1916,240.6,3247230,0.0,1.0
2021-08-20,257.32,260.62,251.42,252.0,4031097,257.32,260.62,251.42,252.0,4031097,0.0,1.0
2021-08-23,256.0,266.5,255.0,263.6663,5705279,256.0,266.5,255.0,263.6663,5705279,0.0,1.0
2021-08-24,259.28,260.2499,253.2,256.99,3982757,259.28,260.2499,253.2,256.99,3982757,0.0,1.0
2021-08-25,256.77,262.11,256.0,257.0,2675110,256.77,262.11,256.0,257.0,2675110,0.0,1.0
2021-08-26,248.54,255.2,248.5,253.21,3038888,248.54,255.2,248.5,253.21,3038888,0.0,1.0
2021-08-27,259.12,259.67,248.0863,249.39,3201369,259.12,259.67,248.0863,249.39,3201369,0.0,1.0
2021-08-30,262.66,263.3369,256.2501,256.3482,2687570,262.66,263.3369,256.2501,256.3482,2687570,0.0,1.0
2021-08-31,259.0,263.4,257.18,260.0172,2493804,259.0,263.4,257.18,260.0172,2493804,0.0,1.0
2021-09-01,265.9,272.1,258.6301,260.3127,4789631,265.9,272.1,258.6301,260.3127,4789631,0.0,1.0
2021-09-02,268.18,275.66,266.0,272.54,3736924,268.18,275.66,266.0,272.54,3736924,0.0,1.0
2021-09-03,278.44,280.61,270.03,272.0,4438250,278.44,280.61,270.03,272.0,4438250,0.0,1.0
2021-09-07,266.81,278.87,262.6001,277.0,5173032,266.81,278.87,262.6001,277.0,5173032,0.0,1.0
2021-09-08,258.2,262.95,253.88,257.0,4507574,258.2,262.95,253.88,257.0,4507574,0.0,1.0
2021-09-09,256.42,263.81,255.7,260.3,3074527,256.42,263.81,255.7,260.3,3074527,0.0,1.0
2021-09-10,248.32,258.87,247.4,257.31,3191273,248.32,258.87,247.4,257.31,3191273,0.0,1.0
2021-09-13,242.84,251.88,239.6,246.51,4021434,242.84,251.88,239.6,246.51,4021434,0.0,1.0
2021-09-14,243.0,248.7899,241.272,247.25,2748872,243.0,248.7899,241.272,247.25,2748872,0.0,1.0
2021-09-15,247.07,249.47,242.05,244.0,2148260,247.07,249.47,242.05,244.0,2148260,0.0,1.0
2021-09-16,243.21,247.46,239.61,247.38,2596793,243.21,247.46,239.61,247.38,2596793,0.0,1.0
2021-09-17,245.19,245.63,238.75,243.125,2947971,245.19,245.63,238.75,243.125,2947971,0.0,1.0
2021-09-20,236.53,237.36,231.15,234.45,4192592,236.53,237.36,231.15,234.45,4192592,0.0,1.0
2021-09-21,238.46,240.26,234.26,237.01,2174748,238.46,240.26,234.26,237.01,2174748,0.0,1.0
2021-09-22,241.85,243.2,237.76,239.91,1660175,241.85,243.2,237.76,239.91,1660175,0.0,1.0
2021-09-23,237.5,245.8,237.07,244.57,3151330,237.5,245.8,237.07,244.57,3151330,0.0,1.0
2021-09-24,231.82,235.31,229.1701,231.0,3699987,231.82,235.31,229.1701,231.0,3699987,0.0,1.0
2021-09-27,232.24,233.399,227.35,231.88,3234810,232.24,233.399,227.35,231.88,3234810,0.0,1.0
2021-09-28,229.84,232.5126,227.52,229.68,3231210,229.84,232.5126,227.52,229.68,3231210,0.0,1.0
2021-09-29,225.28,233.77,225.04,231.0,2547285,225.28,233.77,225.04,231.0,2547285,0.0,1.0
2021-09-30,227.48,229.99,225.28,227.0,2522537,227.48,229.99,225.28,227.0,2522537,0.0,1.0
2021-10-01,231.15,235.76,226.929,232.8869,3457269,231.15,235.76,226.929,232.8869,3457269,0.0,1.0
2021-10-04,229.31,233.1,224.51,231.49,2591132,229.31,233.1,224.51,231.49,2591132,0.0,1.0
