date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-06-12,58.0,67.0,56.0,63.5,19449162,58.0,67.0,56.0,63.5,19449162,0.0,1.0
2019-06-13,67.56,69.67,61.6,63.86,10923944,67.56,69.67,61.6,63.86,10923944,0.0,1.0
2019-06-14,64.16,70.79,63.0201,69.78,6264212,64.16,70.79,63.0201,69.78,6264212,0.0,1.0
2019-06-17,70.01,70.01,62.0,64.75,3247471,70.01,70.01,62.0,64.75,3247471,0.0,1.0
2019-06-18,76.5,78.7,71.5,73.0,6612626,76.5,78.7,71.5,73.0,6612626,0.0,1.0
2019-06-19,77.22,79.79,73.555,78.75,3319070,77.22,79.79,73.555,78.75,3319070,0.0,1.0
2019-06-20,74.85,78.22,70.69,78.0,3429610,74.85,78.22,70.69,78.0,3429610,0.0,1.0
2019-06-21,72.23,73.9278,68.3,72.46,2657468,72.23,73.9278,68.3,72.46,2657468,0.0,1.0
2019-06-24,67.97,72.39,65.08,71.05,2448037,67.97,72.39,65.08,71.05,2448037,0.0,1.0
2019-06-25,61.52,68.99,61.17,67.1,2482213,61.52,68.99,61.17,67.1,2482213,0.0,1.0
2019-06-26,62.65,64.92,62.005,63.3,1625502,62.65,64.92,62.005,63.3,1625502,0.0,1.0
2019-06-27,63.28,64.995,62.571,63.39,914612,63.28,64.995,62.571,63.39,914612,0.0,1.0
2019-06-28,68.29,68.38,63.3,64.36,1474303,68.29,68.38,63.3,64.36,1474303,0.0,1.0
2019-07-01,63.2,69.729,61.81,69.1,2675367,63.2,69.729,61.81,69.1,2675367,0.0,1.0
2019-07-02,64.52,65.03,61.7211,63.3,1738845,64.52,65.03,61.7211,63.3,1738845,0.0,1.0
2019-07-03,67.24,67.48,64.52,64.68,1564108,67.24,67.48,64.52,64.68,1564108,0.0,1.0
2019-07-05,67.21,67.25,64.84,67.15,805222,67.21,67.25,64.84,67.15,805222,0.0,1.0
2019-07-08,66.91,71.7146,66.9,68.26,4567154,66.91,71.7146,66.9,68.26,4567154,0.0,1.0
2019-07-09,68.45,69.2,66.88,67.42,1782694,68.45,69.2,66.88,67.42,1782694,0.0,1.0
2019-07-10,74.34,74.5,69.5,70.0,2719347,74.34,74.5,69.5,70.0,2719347,0.0,1.0
2019-07-11,70.88,74.98,70.5,74.5,2351834,70.88,74.98,70.5,74.5,2351834,0.0,1.0
2019-07-12,73.5,75.2,70.5,71.6,1838306,73.5,75.2,70.5,71.6,1838306,0.0,1.0
2019-07-15,71.6,74.295,71.4,74.0,1325082,71.6,74.295,71.4,74.0,1325082,0.0,1.0
2019-07-16,69.54,73.0873,69.0,71.93,1582319,69.54,73.0873,69.0,71.93,1582319,0.0,1.0
2019-07-17,71.0,71.56,69.59,70.0,1037007,71.0,71.56,69.59,70.0,1037007,0.0,1.0
2019-07-18,72.75,74.19,70.15,71.0,3389964,72.75,74.19,70.15,71.0,3389964,0.0,1.0
2019-07-19,83.52,85.85,80.75,85.16,13669036,83.52,85.85,80.75,85.16,13669036,0.0,1.0
2019-07-22,87.68,88.5,82.08,82.27,5357744,87.68,88.5,82.08,82.27,5357744,0.0,1.0
2019-07-23,86.74,89.44,84.49,88.32,2529779,86.74,89.44,84.49,88.32,2529779,0.0,1.0
2019-07-24,87.46,87.85,85.5,86.79,1250712,87.46,87.85,85.5,86.79,1250712,0.0,1.0
2019-07-25,92.28,93.339,87.0,87.5,3270376,92.28,93.339,87.0,87.5,3270376,0.0,1.0
2019-07-26,92.88,95.5,91.91,93.04,2053022,92.88,95.5,91.91,93.04,2053022,0.0,1.0
2019-07-29,87.23,93.9,82.65,93.69,3317799,87.23,93.9,82.65,93.69,3317799,0.0,1.0
2019-07-30,94.0,96.19,84.0,86.0,3127169,94.0,96.19,84.0,86.0,3127169,0.0,1.0
2019-07-31,89.07,94.8011,86.8167,94.0,2475977,89.07,94.8011,86.8167,94.0,2475977,0.0,1.0
2019-08-01,91.53,94.32,89.4389,90.07,2238247,91.53,94.32,89.4389,90.07,2238247,0.0,1.0
2019-08-02,88.01,92.78,86.91,91.54,1801007,88.01,92.78,86.91,91.54,1801007,0.0,1.0
2019-08-05,85.48,86.92,82.25,83.34,2196373,85.48,86.92,82.25,83.34,2196373,0.0,1.0
2019-08-06,85.24,89.76,82.71,87.2,1357428,85.24,89.76,82.71,87.2,1357428,0.0,1.0
2019-08-07,84.22,86.45,82.8,83.69,990406,84.22,86.45,82.8,83.69,990406,0.0,1.0
2019-08-08,91.65,91.86,85.49,85.49,1692269,91.65,91.86,85.49,85.49,1692269,0.0,1.0
2019-08-09,94.9,98.0,90.0,90.25,3063879,94.9,98.0,90.0,90.25,3063879,0.0,1.0
2019-08-12,93.01,98.2,91.53,94.25,1895649,93.01,98.2,91.53,94.25,1895649,0.0,1.0
2019-08-13,99.65,100.5,92.84,92.84,3034908,99.65,100.5,92.84,92.84,3034908,0.0,1.0
2019-08-14,94.02,97.73,91.6,96.52,2822881,94.02,97.73,91.6,96.52,2822881,0.0,1.0
2019-08-15,93.66,97.14,91.3701,95.99,1520342,93.66,97.14,91.3701,95.99,1520342,0.0,1.0
2019-08-16,96.05,98.1,93.4,95.0,1530550,96.05,98.1,93.4,95.0,1530550,0.0,1.0
2019-08-19,99.39,101.4799,95.6,98.8,2801463,99.39,101.4799,95.6,98.8,2801463,0.0,1.0
2019-08-20,99.16,101.88,97.26,99.23,1439345,99.16,101.88,97.26,99.23,1439345,0.0,1.0
2019-08-21,96.58,100.96,96.2701,100.59,1805604,96.58,100.96,96.2701,100.59,1805604,0.0,1.0
2019-08-22,92.97,96.58,92.8,96.29,1767533,92.97,96.58,92.8,96.29,1767533,0.0,1.0
2019-08-23,88.43,91.56,86.0,91.37,3050846,88.43,91.56,86.0,91.37,3050846,0.0,1.0
2019-08-26,88.88,90.84,86.13,90.24,1463680,88.88,90.84,86.13,90.24,1463680,0.0,1.0
2019-08-27,84.08,89.95,83.2337,89.28,1828841,84.08,89.95,83.2337,89.28,1828841,0.0,1.0
2019-08-28,86.99,87.5244,82.6141,84.0,1917686,86.99,87.5244,82.6141,84.0,1917686,0.0,1.0
2019-08-29,83.82,89.3463,83.29,88.3,1789971,83.82,89.3463,83.29,88.3,1789971,0.0,1.0
2019-08-30,81.28,84.94,78.89,84.02,1910152,81.28,84.94,78.89,84.02,1910152,0.0,1.0
2019-09-03,83.76,83.8,80.2517,80.85,1832813,83.76,83.8,80.2517,80.85,1832813,0.0,1.0
2019-09-04,85.31,87.77,82.89,85.0,2412963,85.31,87.77,82.89,85.0,2412963,0.0,1.0
2019-09-05,86.85,87.19,82.5,86.25,3971133,86.85,87.19,82.5,86.25,3971133,0.0,1.0
2019-09-06,75.98,81.5,75.305,79.7,8672342,75.98,81.5,75.305,79.7,8672342,0.0,1.0
2019-09-09,67.1,76.1184,64.34,76.105,8598237,67.1,76.1184,64.34,76.105,8598237,0.0,1.0
2019-09-10,71.65,71.8,65.7,65.7,4672469,71.65,71.8,65.7,65.7,4672469,0.0,1.0
2019-09-11,69.11,70.93,67.2,69.21,3113980,69.11,70.93,67.2,69.21,3113980,0.0,1.0
2019-09-12,69.66,72.4,69.06,69.68,2923450,69.66,72.4,69.06,69.68,2923450,0.0,1.0
2019-09-13,64.86,70.31,64.71,69.86,4166281,64.86,70.31,64.71,69.86,4166281,0.0,1.0
2019-09-16,67.86,68.86,63.5,63.71,2804534,67.86,68.86,63.5,63.71,2804534,0.0,1.0
2019-09-17,71.04,71.3342,68.1301,68.64,2820589,71.04,71.3342,68.1301,68.64,2820589,0.0,1.0
2019-09-18,70.85,71.8789,68.8,70.12,2003010,70.85,71.8789,68.8,70.12,2003010,0.0,1.0
2019-09-19,68.93,71.87,67.64,71.5,1690628,68.93,71.87,67.64,71.5,1690628,0.0,1.0
2019-09-20,66.97,69.458,66.19,68.95,3374383,66.97,69.458,66.19,68.95,3374383,0.0,1.0
2019-09-23,66.91,68.57,66.54,67.12,826629,66.91,68.57,66.54,67.12,826629,0.0,1.0
2019-09-24,62.52,67.37,62.0,67.02,2615966,62.52,67.37,62.0,67.02,2615966,0.0,1.0
2019-09-25,62.02,63.39,60.11,62.0,2466798,62.02,63.39,60.11,62.0,2466798,0.0,1.0
2019-09-26,58.3,62.36,57.66,62.05,2892188,58.3,62.36,57.66,62.05,2892188,0.0,1.0
2019-09-27,53.46,58.33,52.84,58.27,4516813,53.46,58.33,52.84,58.27,4516813,0.0,1.0
2019-09-30,58.31,58.65,51.61,53.5,4104029,58.31,58.65,51.61,53.5,4104029,0.0,1.0
2019-10-01,57.89,59.51,55.65,58.3,2841737,57.89,59.51,55.65,58.3,2841737,0.0,1.0
2019-10-02,56.63,57.66,54.07,56.805,1589815,56.63,57.66,54.07,56.805,1589815,0.0,1.0
2019-10-03,62.14,62.4,56.754,59.48,5076359,62.14,62.4,56.754,59.48,5076359,0.0,1.0
2019-10-04,63.84,64.46,61.55,62.0,2157446,63.84,64.46,61.55,62.0,2157446,0.0,1.0
2019-10-07,68.78,69.7,62.72,63.36,3621793,68.78,69.7,62.72,63.36,3621793,0.0,1.0
2019-10-08,65.3,68.43,64.48,67.4,2766793,65.3,68.43,64.48,67.4,2766793,0.0,1.0
2019-10-09,63.08,66.43,62.5,66.35,2207773,63.08,66.43,62.5,66.35,2207773,0.0,1.0
2019-10-10,61.41,63.61,60.4,62.6,2306927,61.41,63.61,60.4,62.6,2306927,0.0,1.0
2019-10-11,60.27,61.48,57.27,58.77,3335811,60.27,61.48,57.27,58.77,3335811,0.0,1.0
2019-10-14,54.52,57.85,53.2,55.8,4458071,54.52,57.85,53.2,55.8,4458071,0.0,1.0
2019-10-15,55.21,56.41,54.0301,55.01,1982381,55.21,56.41,54.0301,55.01,1982381,0.0,1.0
2019-10-16,52.03,55.77,51.8,53.57,2597819,52.03,55.77,51.8,53.57,2597819,0.0,1.0
2019-10-17,50.44,53.15,50.33,51.76,2785744,50.44,53.15,50.33,51.76,2785744,0.0,1.0
2019-10-18,47.04,50.32,46.46,50.0,3669054,47.04,50.32,46.46,50.0,3669054,0.0,1.0
2019-10-21,47.4,48.97,46.2203,46.93,2404175,47.4,48.97,46.2203,46.93,2404175,0.0,1.0
