date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2014-09-22,4.35,4.75,4.1001,4.75,21900,4.35,4.75,4.1001,4.75,21900,0.0,1.0
2014-09-23,4.26,4.45,3.9,4.45,81700,4.26,4.45,3.9,4.45,81700,0.0,1.0
2014-09-24,4.34,4.34,3.61,3.7002,93922,4.34,4.34,3.61,3.7002,93922,0.0,1.0
2014-09-25,4.0,4.44,3.8,4.35,29760,4.0,4.44,3.8,4.35,29760,0.0,1.0
2014-09-26,4.4,4.4,4.0,4.0,161486,4.4,4.4,4.0,4.0,161486,0.0,1.0
2014-09-29,4.23,4.3899,4.0,4.3899,138666,4.23,4.3899,4.0,4.3899,138666,0.0,1.0
2014-09-30,4.21,4.25,4.0,4.14,26059,4.21,4.25,4.0,4.14,26059,0.0,1.0
2014-10-01,4.1,4.21,4.03,4.21,105903,4.1,4.21,4.03,4.21,105903,0.0,1.0
2014-10-02,4.27,4.27,3.7401,4.0804,32502,4.27,4.27,3.7401,4.0804,32502,0.0,1.0
2014-10-03,4.15,4.29,3.91,4.0,38348,4.15,4.29,3.91,4.0,38348,0.0,1.0
2014-10-06,4.13,4.16,3.77,3.9,14260,4.13,4.16,3.77,3.9,14260,0.0,1.0
2014-10-07,4.0,4.05,3.94,3.95,15162,4.0,4.05,3.94,3.95,15162,0.0,1.0
2014-10-08,4.25,4.26,3.95,4.22,94120,4.25,4.26,3.95,4.22,94120,0.0,1.0
2014-10-09,4.1,4.11,4.0,4.06,115033,4.1,4.11,4.0,4.06,115033,0.0,1.0
2014-10-10,4.0,4.0646,3.95,3.9925,12245,4.0,4.0646,3.95,3.9925,12245,0.0,1.0
2014-10-13,3.9849,4.0,3.9,4.0,16086,3.9849,4.0,3.9,4.0,16086,0.0,1.0
2014-10-14,4.0,4.02,3.7801,4.0,33372,4.0,4.02,3.7801,4.0,33372,0.0,1.0
2014-10-15,4.0,4.05,3.75,3.75,88170,4.0,4.05,3.75,3.75,88170,0.0,1.0
2014-10-16,3.96,4.03,3.86,3.86,7600,3.96,4.03,3.86,3.86,7600,0.0,1.0
2014-10-17,4.0,4.05,3.9433,4.04,11790,4.0,4.05,3.9433,4.04,11790,0.0,1.0
2014-10-20,4.045,4.08,3.91,3.97,8489,4.045,4.08,3.91,3.97,8489,0.0,1.0
2014-10-21,4.01,4.08,3.92,3.92,187361,4.01,4.08,3.92,3.92,187361,0.0,1.0
2014-10-22,4.06,4.11,3.93,4.03,44358,4.06,4.11,3.93,4.03,44358,0.0,1.0
2014-10-23,4.04,4.14,4.04,4.09,41199,4.04,4.14,4.04,4.09,41199,0.0,1.0
2014-10-24,4.1,4.1,4.01,4.1,28573,4.1,4.1,4.01,4.1,28573,0.0,1.0
2014-10-27,4.15,4.21,4.04,4.04,6735,4.15,4.21,4.04,4.04,6735,0.0,1.0
2014-10-28,4.15,4.15,3.97,3.97,18153,4.15,4.15,3.97,3.97,18153,0.0,1.0
2014-10-29,4.04,4.12,4.04,4.07,2510,4.04,4.12,4.04,4.07,2510,0.0,1.0
2014-10-30,4.07,4.15,4.03,4.03,6021,4.07,4.15,4.03,4.03,6021,0.0,1.0
2014-10-31,4.12,4.15,4.06,4.15,2515,4.12,4.15,4.06,4.15,2515,0.0,1.0
2014-11-03,4.24,4.25,4.11,4.18,34832,4.24,4.25,4.11,4.18,34832,0.0,1.0
2014-11-04,4.2,4.2282,4.2,4.2,39237,4.2,4.2282,4.2,4.2,39237,0.0,1.0
2014-11-05,4.27,4.3,4.2,4.205,27163,4.27,4.3,4.2,4.205,27163,0.0,1.0
2014-11-06,4.24,4.29,4.21,4.246,34136,4.24,4.29,4.21,4.246,34136,0.0,1.0
2014-11-07,4.24,4.29,4.2001,4.2101,79440,4.24,4.29,4.2001,4.2101,79440,0.0,1.0
2014-11-10,4.2,4.2238,4.2,4.22,2771,4.2,4.2238,4.2,4.22,2771,0.0,1.0
2014-11-11,4.2,4.28,4.2,4.21,6462,4.2,4.28,4.2,4.21,6462,0.0,1.0
2014-11-12,4.27,4.333,4.22,4.22,74338,4.27,4.333,4.22,4.22,74338,0.0,1.0
2014-11-13,4.31,4.4,4.25,4.25,18909,4.31,4.4,4.25,4.25,18909,0.0,1.0
2014-11-14,4.32,4.33,4.11,4.33,21089,4.32,4.33,4.11,4.33,21089,0.0,1.0
2014-11-17,4.26,4.31,4.21,4.31,7156,4.26,4.31,4.21,4.31,7156,0.0,1.0
2014-11-18,4.25,4.3,4.16,4.27,21054,4.25,4.3,4.16,4.27,21054,0.0,1.0
2014-11-19,4.2,4.25,4.18,4.18,4904,4.2,4.25,4.18,4.18,4904,0.0,1.0
2014-11-20,4.21,4.21,4.15,4.15,4948,4.21,4.21,4.15,4.15,4948,0.0,1.0
2014-11-21,4.3,4.3,4.17,4.25,11664,4.3,4.3,4.17,4.25,11664,0.0,1.0
2014-11-24,4.31,4.31,4.2,4.24,1900,4.31,4.31,4.2,4.24,1900,0.0,1.0
2014-11-25,4.22,4.3,4.06,4.3,3211,4.22,4.3,4.06,4.3,3211,0.0,1.0
2014-11-26,4.14,4.2,4.02,4.0518,9527,4.14,4.2,4.02,4.0518,9527,0.0,1.0
2014-11-28,4.14,4.14,4.14,4.14,100,4.14,4.14,4.14,4.14,100,0.0,1.0
2014-12-01,4.18,4.31,4.0,4.0,7560,4.18,4.31,4.0,4.0,7560,0.0,1.0
2014-12-02,4.27,4.28,4.04,4.17,9781,4.27,4.28,4.04,4.17,9781,0.0,1.0
2014-12-03,4.28,4.28,4.0,4.06,6440,4.28,4.28,4.0,4.06,6440,0.0,1.0
2014-12-04,4.265,4.28,4.08,4.28,23291,4.265,4.28,4.08,4.28,23291,0.0,1.0
2014-12-05,4.24,4.27,4.17,4.27,8653,4.24,4.27,4.17,4.27,8653,0.0,1.0
2014-12-08,4.14,4.2,4.02,4.2,48802,4.14,4.2,4.02,4.2,48802,0.0,1.0
2014-12-09,4.11,4.27,4.07,4.25,22362,4.11,4.27,4.07,4.25,22362,0.0,1.0
2014-12-10,4.05,4.16,4.05,4.1,16397,4.05,4.16,4.05,4.1,16397,0.0,1.0
2014-12-11,4.08,4.09,4.0,4.07,5944,4.08,4.09,4.0,4.07,5944,0.0,1.0
