date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2014-10-23,25.25,25.27,25.09,25.09,7401,19.6844975444647,19.700089225688,19.559764094678,19.559764094678,7401,0.0,1.0
2014-10-24,25.19,25.19,25.14,25.14,15250,19.6377225007947,19.6377225007947,19.5987432977363,19.5987432977363,15250,0.0,1.0
2014-10-27,25.028,25.028,25.028,25.028,340,19.5114298828856,19.5114298828856,19.5114298828856,19.5114298828856,340,0.0,1.0
2014-10-28,25.51,25.51,25.44,25.44,3800,19.8871894003681,19.8871894003681,19.8326185160864,19.8326185160864,3800,0.0,1.0
2014-10-29,25.67,25.67,25.66,25.66,13640,20.0119228501548,20.0119228501548,20.0041270095431,20.0041270095431,13640,0.0,1.0
2014-10-30,25.39,25.39,25.39,25.39,140,19.7936393130281,19.7936393130281,19.7936393130281,19.7936393130281,140,0.0,1.0
2014-10-31,25.75,25.75,25.5,25.5,10100,20.0742895750482,20.0742895750482,19.8793935597564,19.8793935597564,10100,0.0,1.0
2014-11-03,26.05,26.05,26.05,26.05,213,20.3081647933982,20.3081647933982,20.3081647933982,20.3081647933982,213,0.0,1.0
2014-11-04,25.5,25.5,25.5,25.5,2500,19.8793935597564,19.8793935597564,19.8793935597564,19.8793935597564,2500,0.0,1.0
2014-11-05,25.64,25.64,25.64,25.64,300,19.9885353283198,19.9885353283198,19.9885353283198,19.9885353283198,300,0.0,1.0
2014-11-06,25.56,25.56,25.56,25.56,153,19.9261686034264,19.9261686034264,19.9261686034264,19.9261686034264,153,0.0,1.0
2014-11-07,25.46,25.46,25.46,25.46,100,19.8482101973098,19.8482101973098,19.8482101973098,19.8482101973098,100,0.0,1.0
2014-11-10,25.46,25.46,25.46,25.46,0,19.8482101973098,19.8482101973098,19.8482101973098,19.8482101973098,0,0.0,1.0
2014-11-11,25.7599,25.7599,25.7599,25.7599,200,20.0820074572537,20.0820074572537,20.0820074572537,20.0820074572537,200,0.0,1.0
2014-11-12,25.25,25.25,25.25,25.25,1000,19.6844975444647,19.6844975444647,19.6844975444647,19.6844975444647,1000,0.0,1.0
2014-11-13,25.25,25.25,25.25,25.25,0,19.6844975444647,19.6844975444647,19.6844975444647,19.6844975444647,0,0.0,1.0
2014-11-14,25.25,25.25,25.25,25.25,0,19.6844975444647,19.6844975444647,19.6844975444647,19.6844975444647,0,0.0,1.0
2014-11-17,25.25,25.25,25.25,25.25,5,19.6844975444647,19.6844975444647,19.6844975444647,19.6844975444647,5,0.0,1.0
2014-11-18,26.19,26.58,26.001,26.58,2247,20.4173065619616,20.7213443458167,20.2699651744011,20.7213443458167,2247,0.0,1.0
2014-11-19,26.2,26.2,26.2,26.2,235,20.4251024025733,20.4251024025733,20.4251024025733,20.4251024025733,235,0.0,1.0
2014-11-20,26.2,26.2,26.2,26.2,0,20.4251024025733,20.4251024025733,20.4251024025733,20.4251024025733,0,0.0,1.0
2014-11-21,26.4899,26.5403,26.456,26.54,1015,20.6511038219056,20.6903948585884,20.624675922232,20.69016098337,1015,0.0,1.0
2014-11-24,26.85,27.34,26.81,27.34,3514,20.9318320423318,21.3138282323036,20.9006486798851,21.3138282323036,3514,0.0,1.0
2014-11-25,27.1,27.1,27.1,27.1,200,21.1267280576235,21.1267280576235,21.1267280576235,21.1267280576235,200,0.0,1.0
2014-11-26,27.292,27.292,27.2601,27.2601,400,21.2764081973676,21.2764081973676,21.2515394658163,21.2515394658163,400,0.0,1.0
2014-11-28,27.33,27.33,27.33,27.33,100,21.3060323916919,21.3060323916919,21.3060323916919,21.3060323916919,100,0.0,1.0
2014-12-01,27.37,28.01,27.37,28.01,310,21.3372157541386,21.8361495532854,21.3372157541386,21.8361495532854,310,0.0,1.0
2014-12-02,27.149,27.149,27.149,27.149,100,21.1649276766207,21.1649276766207,21.1649276766207,21.1649276766207,100,0.0,1.0
2014-12-03,27.0799,27.0799,27.0799,27.0799,440,21.111058417994,21.111058417994,21.111058417994,21.111058417994,440,0.0,1.0
2014-12-04,26.95,27.025,26.95,27.025,261,21.0097904484485,21.068259253036,21.0097904484485,21.068259253036,261,0.0,1.0
2014-12-05,27.2599,29.0,27.2599,29.0,343,21.2513835490041,22.6079377738406,21.2513835490041,22.6079377738406,343,0.0,1.0
2014-12-08,27.1,27.1,27.1,27.1,100,21.1267280576235,21.1267280576235,21.1267280576235,21.1267280576235,100,0.0,1.0
2014-12-09,26.8,26.8,26.8,26.8,240,20.8928528392734,20.8928528392734,20.8928528392734,20.8928528392734,240,0.0,1.0
2014-12-10,26.6645,26.84,26.6645,26.84,1101,20.7872191989853,20.9240362017201,20.7872191989853,20.9240362017201,1101,0.0,1.0
2014-12-11,26.71,26.71,26.71,26.71,100,20.8226902737684,20.8226902737684,20.8226902737684,20.8226902737684,100,0.0,1.0
2014-12-12,26.41,26.41,26.41,26.41,174,20.5888150554183,20.5888150554183,20.5888150554183,20.5888150554183,174,0.0,1.0
2014-12-15,25.62,25.6592,24.4,24.4,470,19.9729436470965,20.0035033422942,19.0218510924728,19.0218510924728,470,0.0,1.0
2014-12-16,26.24,26.24,25.8701,25.8701,700,20.45628576502,20.45628576502,20.1679176207943,20.1679176207943,700,0.0,1.0
2014-12-17,26.1,26.25,26.1,26.25,645,20.3471439964566,20.4640816056316,20.3471439964566,20.4640816056316,645,0.0,1.0
2014-12-18,26.5,26.5,26.5,26.5,1110,20.6589776209234,20.6589776209234,20.6589776209234,20.6589776209234,1110,0.0,1.0
2014-12-19,26.45,26.45,26.45,26.45,120,20.619998417865,20.619998417865,20.619998417865,20.619998417865,120,0.0,1.0
2014-12-22,26.6079,26.6079,26.59,26.59,300,20.7430947411233,20.7430947411233,20.7291401864284,20.7291401864284,300,0.0,1.0
2014-12-23,26.62,26.62,26.6099,26.6099,379,20.7525277082634,20.7525277082634,20.7446539092456,20.7446539092456,379,0.0,1.0
2014-12-24,26.6642,26.708,26.6642,26.708,200,20.786985323767,20.8211311056461,20.786985323767,20.8211311056461,200,0.0,1.0
2014-12-26,26.6,26.75,26.6,26.75,522,20.73693602704,20.8538736362151,20.73693602704,20.8538736362151,522,0.0,1.0
2014-12-29,26.5499,26.55,26.4802,26.4802,1178,20.6978788655756,20.6979568239817,20.6435418565122,20.6435418565122,1178,0.0,1.0
2014-12-30,26.1633,26.1633,26.1633,26.1633,132,20.3964916675284,20.3964916675284,20.3964916675284,20.3964916675284,132,0.0,1.0
