date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2000-01-03,2.625,2.625,2.625,2.625,16400,0.1458331875,0.1458331875,0.1458331875,0.1458331875,295200,0.0,1.0
2000-01-04,2.531,2.625,2.5,2.625,21800,0.1406109705,0.1458331875,0.13888875,0.1458331875,392400,0.0,1.0
2000-01-05,2.563,2.75,2.5,2.578,21300,0.1423887465,0.152777625,0.13888875,0.143222079,383400,0.0,1.0
2000-01-06,2.781,2.875,2.531,2.531,6700,0.1544998455,0.1597220625,0.1406109705,0.1406109705,120600,0.0,1.0
2000-01-07,2.688,2.75,2.531,2.75,8400,0.149333184,0.152777625,0.1406109705,0.152777625,151200,0.0,1.0
2000-01-10,2.5,2.625,2.5,2.531,5600,0.13888875,0.1458331875,0.13888875,0.1406109705,100800,0.0,1.0
2000-01-11,2.938,2.938,2.625,2.688,10000,0.163222059,0.163222059,0.1458331875,0.149333184,180000,0.0,1.0
2000-01-12,3.0,3.125,2.75,3.0,48500,0.1666665,0.1736109375,0.152777625,0.1666665,873000,0.0,1.0
2000-01-13,3.156,3.25,3.156,3.188,14500,0.175333158,0.180555375,0.175333158,0.177110934,261000,0.0,1.0
2000-01-14,2.938,3.188,2.875,3.156,11900,0.163222059,0.177110934,0.1597220625,0.175333158,214200,0.0,1.0
2000-01-18,3.0,3.125,3.0,3.125,2500,0.1666665,0.1736109375,0.1666665,0.1736109375,45000,0.0,1.0
2000-01-19,3.0,3.0,3.0,3.0,2000,0.1666665,0.1666665,0.1666665,0.1666665,36000,0.0,1.0
2000-01-20,2.953,3.0,2.875,2.875,7200,0.1640553915,0.1666665,0.1597220625,0.1597220625,129600,0.0,1.0
2000-01-21,3.0,3.0,2.906,2.906,2100,0.1666665,0.1666665,0.161444283,0.161444283,37800,0.0,1.0
2000-01-24,3.0,3.016,3.0,3.0,2600,0.1666665,0.167555388,0.1666665,0.1666665,46800,0.0,1.0
2000-01-25,2.875,3.125,2.813,3.125,4200,0.1597220625,0.1736109375,0.1562776215,0.1736109375,75600,0.0,1.0
2000-01-26,2.813,3.063,2.813,2.875,2300,0.1562776215,0.1701664965,0.1562776215,0.1597220625,41400,0.0,1.0
2000-01-27,2.625,2.75,2.625,2.75,2700,0.1458331875,0.152777625,0.1458331875,0.152777625,48600,0.0,1.0
2000-01-28,2.75,2.75,2.75,2.75,4200,0.152777625,0.152777625,0.152777625,0.152777625,75600,0.0,1.0
2000-01-31,2.75,2.75,2.625,2.75,3000,0.152777625,0.152777625,0.1458331875,0.152777625,54000,0.0,1.0
2000-02-01,2.875,2.875,2.875,2.875,500,0.1597220625,0.1597220625,0.1597220625,0.1597220625,9000,0.0,1.0
2000-02-02,2.87,2.87,2.84,2.84,3100,0.159444285,0.159444285,0.15777762,0.15777762,55800,0.0,1.0
2000-02-03,2.797,2.906,2.625,2.875,143500,0.1553887335,0.161444283,0.1458331875,0.1597220625,2583002,0.0,1.0
2000-02-04,2.938,3.0,2.875,2.875,6600,0.163222059,0.1666665,0.1597220625,0.1597220625,118800,0.0,1.0
2000-02-07,3.0,3.0,2.938,2.938,18400,0.1666665,0.1666665,0.163222059,0.163222059,331200,0.0,1.0
2000-02-08,3.063,3.125,3.0,3.0,8800,0.1701664965,0.1736109375,0.1666665,0.1666665,158400,0.0,1.0
2000-02-09,3.25,3.375,3.094,3.094,16700,0.180555375,0.1874998125,0.171888717,0.171888717,300600,0.0,1.0
2000-02-10,3.5,3.5,3.344,3.344,6500,0.19444425,0.19444425,0.185777592,0.185777592,117000,0.0,1.0
2000-02-11,3.375,3.563,3.188,3.563,46900,0.1874998125,0.1979442465,0.177110934,0.1979442465,844200,0.0,1.0
