date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1972-06-01,64.25,64.37,63.5,64.22,23000,1.15311061406164,1.15526428369102,1.13965017887804,1.1525721966543,552000,0.0,1.0
1972-06-02,65.5,65.63,64.25,64.25,16500,1.17554467270097,1.17787781479946,1.15311061406164,1.15311061406164,396000,0.0,1.0
1972-06-05,65.25,65.38,64.5,65.38,10100,1.17105786097311,1.1733910030716,1.15759742578951,1.1733910030716,242400,0.0,1.0
1972-06-06,64.63,65.5,64.5,65.25,18700,1.159930567888,1.17554467270097,1.15759742578951,1.17105786097311,448800,0.0,1.0
1972-06-07,63.88,64.25,63.75,64.25,24100,1.1464701327044,1.15311061406164,1.14413699060591,1.15311061406164,578400,0.0,1.0
1972-06-08,64.5,64.75,64.13,64.13,8700,1.15759742578951,1.16208423751737,1.15095694443227,1.15095694443227,208800,0.0,1.0
1972-06-09,64.13,64.37,64.0,64.37,900,1.15095694443227,1.15526428369102,1.14862380233377,1.15526428369102,21600,0.0,1.0
1972-06-12,63.0,64.37,63.0,64.13,5200,1.13067655542231,1.15526428369102,1.13067655542231,1.15095694443227,124800,0.0,1.0
1972-06-13,62.25,62.25,60.5,62.25,11500,1.11721612023871,1.11721612023871,1.08580843814365,1.11721612023871,276000,0.0,1.0
1972-06-14,63.25,64.0,62.63,62.63,8800,1.13516336715018,1.14862380233377,1.12403607406507,1.12403607406507,211200,0.0,1.0
1972-06-15,63.5,64.75,63.13,63.25,10400,1.13965017887804,1.16208423751737,1.1330096975208,1.13516336715018,249600,0.0,1.0
1972-06-16,63.75,63.75,63.5,63.5,12900,1.14413699060591,1.14413699060591,1.13965017887804,1.13965017887804,309600,0.0,1.0
1972-06-19,63.75,63.88,63.5,63.75,2300,1.14413699060591,1.1464701327044,1.13965017887804,1.14413699060591,55200,0.0,1.0
1972-06-20,63.75,64.0,63.62,63.75,8000,1.14413699060591,1.14862380233377,1.14180384850742,1.14413699060591,192000,0.0,1.0
1972-06-21,63.25,63.88,63.25,63.75,9300,1.13516336715018,1.1464701327044,1.13516336715018,1.14413699060591,223200,0.0,1.0
1972-06-22,62.5,63.25,62.25,63.25,7300,1.12170293196658,1.13516336715018,1.11721612023871,1.13516336715018,175200,0.0,1.0
1972-06-23,61.13,62.5,61.13,62.5,5900,1.09711520369787,1.12170293196658,1.09711520369787,1.12170293196658,141600,0.0,1.0
1972-06-26,59.5,60.25,58.75,60.25,21600,1.06786119123218,1.08132162641578,1.05440075604858,1.08132162641578,518400,0.0,1.0
1972-06-27,60.0,60.37,59.87,59.87,8300,1.07683481468791,1.08347529604516,1.07450167258942,1.07450167258942,199200,0.0,1.0
1972-06-28,59.87,60.0,59.5,60.0,3900,1.07450167258942,1.07683481468791,1.06786119123218,1.07683481468791,93600,0.0,1.0
1972-06-29,59.25,59.5,58.87,59.5,7600,1.06337437950431,1.06786119123218,1.05655442567796,1.06786119123218,182400,0.0,1.0
1972-06-30,59.25,60.0,59.25,59.25,17100,1.06337437950431,1.07683481468791,1.06337437950431,1.06337437950431,410400,0.0,1.0
1972-07-03,59.25,59.25,58.75,59.25,5500,1.06337437950431,1.06337437950431,1.05440075604858,1.06337437950431,132000,0.0,1.0
1972-07-05,59.75,59.87,59.5,59.5,6100,1.07234800296005,1.07450167258942,1.06786119123218,1.06786119123218,146400,0.0,1.0
1972-07-06,60.25,60.5,60.0,60.0,40100,1.08132162641578,1.08580843814365,1.07683481468791,1.07683481468791,962400,0.0,1.0
1972-07-07,62.0,62.0,60.75,60.75,26900,1.11272930851084,1.11272930851084,1.09029524987151,1.09029524987151,645600,0.0,1.0
1972-07-10,61.75,62.0,61.75,62.0,24200,1.10824249678298,1.11272930851084,1.10824249678298,1.11272930851084,580800,0.0,1.0
1972-07-11,62.0,62.0,61.63,61.75,5500,1.11272930851084,1.11272930851084,1.1060888271536,1.10824249678298,132000,0.0,1.0
1972-07-12,62.0,62.12,61.75,62.0,16800,1.11272930851084,1.11488297814022,1.10824249678298,1.11272930851084,403200,0.0,1.0
1972-07-13,61.87,62.12,61.5,62.0,112000,1.11039616641235,1.11488297814022,1.10375568505511,1.11272930851084,2688000,0.0,1.0
1972-07-14,61.87,61.87,61.25,61.87,5300,1.11039616641235,1.11039616641235,1.09926887332725,1.11039616641235,127200,0.0,1.0
1972-07-17,62.0,62.0,61.5,61.87,5500,1.11272930851084,1.11272930851084,1.10375568505511,1.11039616641235,132000,0.0,1.0
1972-07-18,62.12,62.12,61.75,62.0,17800,1.11488297814022,1.11488297814022,1.10824249678298,1.11272930851084,427200,0.0,1.0
1972-07-19,62.5,62.63,62.0,62.12,4200,1.12170293196658,1.12403607406507,1.11272930851084,1.11488297814022,100800,0.0,1.0
1972-07-20,62.12,62.63,62.12,62.5,15000,1.11488297814022,1.12403607406507,1.11488297814022,1.12170293196658,360000,0.0,1.0
1972-07-21,62.0,62.12,61.75,62.12,25500,1.11272930851084,1.11488297814022,1.10824249678298,1.11488297814022,612000,0.0,1.0
1972-07-24,61.5,62.0,61.5,62.0,7100,1.10375568505511,1.11272930851084,1.10375568505511,1.11272930851084,170400,0.0,1.0
1972-07-25,61.25,62.0,61.25,61.5,5700,1.09926887332725,1.11272930851084,1.09926887332725,1.10375568505511,136800,0.0,1.0
1972-07-26,62.25,62.25,61.75,61.75,16200,1.11721612023871,1.11721612023871,1.10824249678298,1.10824249678298,388800,0.0,1.0
1972-07-27,61.25,62.25,61.0,62.25,10400,1.09926887332725,1.11721612023871,1.09478206159938,1.11721612023871,249600,0.0,1.0
1972-07-28,60.75,61.25,60.75,61.25,10200,1.09029524987151,1.09926887332725,1.09029524987151,1.09926887332725,244800,0.0,1.0
1972-07-31,60.62,60.88,60.5,60.75,10400,1.08796210777302,1.09262839197,1.08580843814365,1.09029524987151,249600,0.0,1.0
1972-08-01,60.25,60.62,60.0,60.62,18000,1.08132162641578,1.08796210777302,1.07683481468791,1.08796210777302,432000,0.0,1.0
1972-08-02,60.25,60.5,59.87,60.25,8200,1.08132162641578,1.08580843814365,1.07450167258942,1.08132162641578,196800,0.0,1.0
1972-08-03,60.75,60.75,60.0,60.25,24700,1.09029524987151,1.09029524987151,1.07683481468791,1.08132162641578,592800,0.0,1.0
1972-08-04,61.13,61.37,60.37,60.75,19700,1.09711520369787,1.10142254295662,1.08347529604516,1.09029524987151,472800,0.0,1.0
