date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-04-27,39.73,40.89,37.0,38.0,16392446,39.73,40.89,37.0,38.0,16392446,0.0,1.0
2018-04-30,38.63,40.19,37.53,39.9047,3312463,38.63,40.19,37.53,39.9047,3312463,0.0,1.0
2018-05-01,39.45,39.89,37.85,38.7,1285573,39.45,39.89,37.85,38.7,1285573,0.0,1.0
2018-05-02,39.32,40.5,38.75,39.85,1251440,39.32,40.5,38.75,39.85,1251440,0.0,1.0
2018-05-03,41.96,42.56,38.81,39.69,2783655,41.96,42.56,38.81,39.69,2783655,0.0,1.0
2018-05-04,41.09,42.66,41.01,42.4,763525,41.09,42.66,41.01,42.4,763525,0.0,1.0
2018-05-07,41.31,41.912,41.04,41.65,630844,41.31,41.912,41.04,41.65,630844,0.0,1.0
2018-05-08,43.22,43.6799,40.5,41.5,821183,43.22,43.6799,40.5,41.5,821183,0.0,1.0
2018-05-09,44.1,44.87,43.245,44.44,1178122,44.1,44.87,43.245,44.44,1178122,0.0,1.0
2018-05-10,44.01,46.699,43.66,44.88,1467879,44.01,46.699,43.66,44.88,1467879,0.0,1.0
2018-05-11,44.37,45.8895,44.01,44.56,762193,44.37,45.8895,44.01,44.56,762193,0.0,1.0
2018-05-14,44.19,45.7265,43.37,44.99,1032010,44.19,45.7265,43.37,44.99,1032010,0.0,1.0
2018-05-15,45.46,45.73,43.495,44.39,423001,45.46,45.73,43.495,44.39,423001,0.0,1.0
2018-05-16,45.23,45.65,44.56,45.34,299008,45.23,45.65,44.56,45.34,299008,0.0,1.0
2018-05-17,44.9,46.4,44.55,45.2,339527,44.9,46.4,44.55,45.2,339527,0.0,1.0
2018-05-18,44.78,45.0,44.36,44.75,350812,44.78,45.0,44.36,44.75,350812,0.0,1.0
2018-05-21,42.98,45.5,41.72,45.5,804373,42.98,45.5,41.72,45.5,804373,0.0,1.0
2018-05-22,43.05,44.72,42.851,43.24,1062700,43.05,44.72,42.851,43.24,1062700,0.0,1.0
2018-05-23,45.42,45.62,43.1,43.64,1125441,45.42,45.62,43.1,43.64,1125441,0.0,1.0
2018-05-24,46.8,47.7,45.2962,45.94,1011734,46.8,47.7,45.2962,45.94,1011734,0.0,1.0
2018-05-25,46.37,48.9,46.1071,47.23,678083,46.37,48.9,46.1071,47.23,678083,0.0,1.0
2018-05-29,48.43,49.33,45.855,46.67,931091,48.43,49.33,45.855,46.67,931091,0.0,1.0
2018-05-30,49.99,51.0,48.56,48.9,830985,49.99,51.0,48.56,48.9,830985,0.0,1.0
2018-05-31,49.81,51.2009,49.53,50.13,867073,49.81,51.2009,49.53,50.13,867073,0.0,1.0
2018-06-01,50.12,50.74,49.76,50.28,564739,50.12,50.74,49.76,50.28,564739,0.0,1.0
2018-06-04,53.65,54.15,50.54,51.0,1121220,53.65,54.15,50.54,51.0,1121220,0.0,1.0
2018-06-05,54.59,58.28,52.0,54.29,2463590,54.59,58.28,52.0,54.29,2463590,0.0,1.0
2018-06-06,57.36,57.38,54.36,55.63,989487,57.36,57.38,54.36,55.63,989487,0.0,1.0
2018-06-07,55.99,59.86,53.5,58.95,3617122,55.99,59.86,53.5,58.95,3617122,0.0,1.0
2018-06-08,57.92,60.45,55.31,58.25,7147612,57.92,60.45,55.31,58.25,7147612,0.0,1.0
2018-06-11,59.54,60.0,58.2,58.3,2131421,59.54,60.0,58.2,58.3,2131421,0.0,1.0
2018-06-12,61.82,63.35,60.0,60.49,2408591,61.82,63.35,60.0,60.49,2408591,0.0,1.0
2018-06-13,63.77,64.97,62.0,63.28,2126685,63.77,64.97,62.0,63.28,2126685,0.0,1.0
2018-06-14,63.53,65.8159,63.1,64.99,1932240,63.53,65.8159,63.1,64.99,1932240,0.0,1.0
2018-06-15,63.95,64.58,62.3,63.09,3584226,63.95,64.58,62.3,63.09,3584226,0.0,1.0
2018-06-18,63.9,66.191,61.6452,63.51,1557289,63.9,66.191,61.6452,63.51,1557289,0.0,1.0
2018-06-19,63.87,64.7,57.6,62.14,3791386,63.87,64.7,57.6,62.14,3791386,0.0,1.0
2018-06-20,62.46,66.8,62.03,64.67,2381465,62.46,66.8,62.03,64.67,2381465,0.0,1.0
2018-06-21,57.59,63.19,57.47,63.06,3209053,57.59,63.19,57.47,63.06,3209053,0.0,1.0
2018-06-22,57.55,58.99,55.0,58.9,4039279,57.55,58.99,55.0,58.9,4039279,0.0,1.0
2018-06-25,55.0,55.6552,52.05,55.58,2847085,55.0,55.6552,52.05,55.58,2847085,0.0,1.0
2018-06-26,56.47,56.9689,54.9,55.49,1601609,56.47,56.9689,54.9,55.49,1601609,0.0,1.0
2018-06-27,51.77,57.2,51.74,56.95,2266959,51.77,57.2,51.74,56.95,2266959,0.0,1.0
2018-06-28,53.04,54.0,50.3435,51.62,2311962,53.04,54.0,50.3435,51.62,2311962,0.0,1.0
2018-06-29,52.95,54.0,51.8305,53.67,1636890,52.95,54.0,51.8305,53.67,1636890,0.0,1.0
2018-07-02,52.34,53.16,50.5,52.46,1933451,52.34,53.16,50.5,52.46,1933451,0.0,1.0
2018-07-03,51.97,53.5,51.85,52.46,721656,51.97,53.5,51.85,52.46,721656,0.0,1.0
2018-07-05,54.62,55.39,51.5934,52.49,2171958,54.62,55.39,51.5934,52.49,2171958,0.0,1.0
2018-07-06,54.95,55.96,54.07,54.75,1177586,54.95,55.96,54.07,54.75,1177586,0.0,1.0
2018-07-09,55.35,56.49,54.8711,55.28,901392,55.35,56.49,54.8711,55.28,901392,0.0,1.0
2018-07-10,52.37,55.77,52.19,55.77,1583095,52.37,55.77,52.19,55.77,1583095,0.0,1.0
2018-07-11,51.98,53.76,51.61,52.0,1120288,51.98,53.76,51.61,52.0,1120288,0.0,1.0
2018-07-12,55.37,56.44,51.5,52.24,2377655,55.37,56.44,51.5,52.24,2377655,0.0,1.0
2018-07-13,55.33,56.0,54.68,55.38,1038908,55.33,56.0,54.68,55.38,1038908,0.0,1.0
2018-07-16,55.05,57.2787,54.9,55.25,831103,55.05,57.2787,54.9,55.25,831103,0.0,1.0
2018-07-17,54.09,55.4,52.94,54.5,1461329,54.09,55.4,52.94,54.5,1461329,0.0,1.0
2018-07-18,53.05,54.6,52.91,53.93,939139,53.05,54.6,52.91,53.93,939139,0.0,1.0
2018-07-19,52.36,53.81,51.93,52.93,1209115,52.36,53.81,51.93,52.93,1209115,0.0,1.0
2018-07-20,52.21,52.7652,51.71,52.25,663053,52.21,52.7652,51.71,52.25,663053,0.0,1.0
2018-07-23,55.53,55.85,51.75,51.97,1260325,55.53,55.85,51.75,51.97,1260325,0.0,1.0
2018-07-24,53.79,57.5,52.9,56.12,1763749,53.79,57.5,52.9,56.12,1763749,0.0,1.0
2018-07-25,54.69,55.6617,53.76,53.76,559543,54.69,55.6617,53.76,53.76,559543,0.0,1.0
2018-07-26,55.51,55.88,53.77,54.01,1622956,55.51,55.88,53.77,54.01,1622956,0.0,1.0
2018-07-27,54.82,57.0,53.5,56.73,1317612,54.82,57.0,53.5,56.73,1317612,0.0,1.0
2018-07-30,51.71,55.24,50.06,54.92,2140130,51.71,55.24,50.06,54.92,2140130,0.0,1.0
2018-07-31,53.9,54.96,51.51,51.89,1178245,53.9,54.96,51.51,51.89,1178245,0.0,1.0
2018-08-01,55.75,56.15,54.1947,54.3,895808,55.75,56.15,54.1947,54.3,895808,0.0,1.0
2018-08-02,58.91,59.18,55.0,55.39,1361061,58.91,59.18,55.0,55.39,1361061,0.0,1.0
2018-08-03,57.01,59.5999,56.25,59.15,858334,57.01,59.5999,56.25,59.15,858334,0.0,1.0
2018-08-06,60.0,60.39,57.16,57.16,957615,60.0,60.39,57.16,57.16,957615,0.0,1.0
2018-08-07,59.89,60.95,59.4564,60.75,919697,59.89,60.95,59.4564,60.75,919697,0.0,1.0
2018-08-08,61.35,61.81,59.2,59.45,855024,61.35,61.81,59.2,59.45,855024,0.0,1.0
2018-08-09,60.45,62.15,60.175,61.67,820272,60.45,62.15,60.175,61.67,820272,0.0,1.0
2018-08-10,58.2,60.45,57.12,60.3,1525797,58.2,60.45,57.12,60.3,1525797,0.0,1.0
2018-08-13,56.14,58.38,55.57,58.1,965146,56.14,58.38,55.57,58.1,965146,0.0,1.0
2018-08-14,57.85,58.225,55.73,56.56,590765,57.85,58.225,55.73,56.56,590765,0.0,1.0
2018-08-15,56.15,57.8,55.3,57.25,779498,56.15,57.8,55.3,57.25,779498,0.0,1.0
2018-08-16,57.69,57.91,56.06,56.96,620177,57.69,57.91,56.06,56.96,620177,0.0,1.0
2018-08-17,58.68,59.4,56.355,57.47,611193,58.68,59.4,56.355,57.47,611193,0.0,1.0
2018-08-20,61.22,62.0,57.9,58.91,1395594,61.22,62.0,57.9,58.91,1395594,0.0,1.0
2018-08-21,62.5,63.8,61.56,61.69,1381150,62.5,63.8,61.56,61.69,1381150,0.0,1.0
2018-08-22,61.84,63.3666,60.34,62.3,870236,61.84,63.3666,60.34,62.3,870236,0.0,1.0
2018-08-23,63.9,64.939,61.86,61.86,1279716,63.9,64.939,61.86,61.86,1279716,0.0,1.0
2018-08-24,65.54,67.21,64.0,64.25,1133392,65.54,67.21,64.0,64.25,1133392,0.0,1.0
2018-08-27,65.53,67.71,64.63,66.99,1053263,65.53,67.71,64.63,66.99,1053263,0.0,1.0
2018-08-28,66.3,68.35,65.72,66.0,1225362,66.3,68.35,65.72,66.0,1225362,0.0,1.0
2018-08-29,67.87,68.02,65.75,66.5,862216,67.87,68.02,65.75,66.5,862216,0.0,1.0
2018-08-30,65.0,67.4,64.55,67.3,1578680,65.0,67.4,64.55,67.3,1578680,0.0,1.0
2018-08-31,62.44,65.3599,62.19,64.47,2944308,62.44,65.3599,62.19,64.47,2944308,0.0,1.0
2018-09-04,64.85,65.7,60.83,62.8,2579998,64.85,65.7,60.83,62.8,2579998,0.0,1.0
2018-09-05,63.1,65.87,62.55,64.69,3291462,63.1,65.87,62.55,64.69,3291462,0.0,1.0
2018-09-06,57.85,59.9,56.79,59.08,4455890,57.85,59.9,56.79,59.08,4455890,0.0,1.0
2018-09-07,56.94,59.67,56.26,56.8,2294619,56.94,59.67,56.26,56.8,2294619,0.0,1.0
2018-09-10,53.93,58.24,53.64,58.0,3048116,53.93,58.24,53.64,58.0,3048116,0.0,1.0
2018-09-11,53.96,54.8,52.8301,53.75,1875951,53.96,54.8,52.8301,53.75,1875951,0.0,1.0
2018-09-12,57.18,57.56,53.02,53.02,2644050,57.18,57.56,53.02,53.02,2644050,0.0,1.0
2018-09-13,55.37,57.49,55.06,57.25,2103911,55.37,57.49,55.06,57.25,2103911,0.0,1.0
2018-09-14,53.79,55.3,53.43,55.3,6557206,53.79,55.3,53.43,55.3,6557206,0.0,1.0
2018-09-17,52.18,54.89,51.6,53.85,2705887,52.18,54.89,51.6,53.85,2705887,0.0,1.0
2018-09-18,53.03,53.4,51.65,52.23,1750408,53.03,53.4,51.65,52.23,1750408,0.0,1.0
2018-09-19,51.73,53.1,51.5,52.77,1229963,51.73,53.1,51.5,52.77,1229963,0.0,1.0
2018-09-20,52.23,52.69,51.12,52.32,1521545,52.23,52.69,51.12,52.32,1521545,0.0,1.0
2018-09-21,52.54,53.32,51.7824,52.93,2218784,52.54,53.32,51.7824,52.93,2218784,0.0,1.0
2018-09-24,51.83,52.33,51.4,52.1,1570905,51.83,52.33,51.4,52.1,1570905,0.0,1.0
2018-09-25,53.4,53.71,51.62,52.16,1783237,53.4,53.71,51.62,52.16,1783237,0.0,1.0
2018-09-26,52.54,54.02,52.44,53.51,1608683,52.54,54.02,52.44,53.51,1608683,0.0,1.0
2018-09-27,52.82,53.75,52.25,52.64,1914917,52.82,53.75,52.25,52.64,1914917,0.0,1.0
