date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2024-07-23,3.27,3.31,3.19,3.3,20130151,32.7,33.1,31.9,33.0,2013015,0.0,1.0
2024-07-24,3.17,3.27,3.16,3.27,31096152,31.7,32.7,31.6,32.7,3109615,0.0,1.0
2024-07-25,2.94,3.0,2.92,2.98,32041550,29.4,30.0,29.2,29.8,3204155,0.0,1.0
2024-07-26,3.08,3.1,3.03,3.04,36664526,30.8,31.0,30.3,30.4,3666452,0.0,1.0
2024-07-29,3.12,3.19,3.07,3.19,33673442,31.2,31.9,30.7,31.9,3367344,0.0,1.0
2024-07-30,3.08,3.1659,3.07,3.16,15546251,30.8,31.659,30.7,31.6,1554625,0.0,1.0
2024-07-31,3.08,3.16,3.0525,3.14,23857815,30.8,31.6,30.525,31.4,2385781,0.0,1.0
2024-08-01,2.94,3.01,2.9,3.0,17839568,29.4,30.1,29.0,30.0,1783956,0.0,1.0
2024-08-02,2.83,3.0,2.81,2.96,22080150,28.3,30.0,28.1,29.6,2208015,0.0,1.0
2024-08-05,2.27,2.38,2.06,2.09,41084063,22.7,23.8,20.6,20.9,4108406,0.0,1.0
2024-08-06,2.35,2.4099,2.28,2.32,19635016,23.5,24.099,22.8,23.2,1963501,0.0,1.0
2024-08-07,2.21,2.35,2.195,2.33,23363957,22.1,23.5,21.95,23.3,2336395,0.0,1.0
2024-08-08,2.43,2.4599,2.2747,2.33,19167592,24.3,24.599,22.747,23.3,1916759,0.0,1.0
2024-08-09,2.445,2.51,2.404,2.49,15556239,24.45,25.1,24.04,24.9,1555623,0.0,1.0
2024-08-12,2.51,2.5699,2.4435,2.53,16511002,25.1,25.699,24.435,25.3,1651100,0.0,1.0
2024-08-13,2.55,2.5766,2.48,2.49,11617727,25.5,25.766,24.8,24.9,1161772,0.0,1.0
2024-08-14,2.51,2.5799,2.48,2.57,13943906,25.1,25.799,24.8,25.7,1394390,0.0,1.0
2024-08-15,2.41,2.52,2.38,2.51,15087505,24.1,25.2,23.8,25.1,1508750,0.0,1.0
2024-08-16,2.48,2.48,2.405,2.45,10433529,24.8,24.8,24.05,24.5,1043352,0.0,1.0
2024-08-19,2.46,2.48,2.4127,2.45,7292655,24.6,24.8,24.127,24.5,729265,0.0,1.0
2024-08-20,2.46,2.5,2.41,2.48,8292925,24.6,25.0,24.1,24.8,829292,0.0,1.0
2024-08-21,2.5,2.5,2.39,2.44,10344663,25.0,25.0,23.9,24.4,1034466,0.0,1.0
2024-08-22,2.45,2.48,2.44,2.48,7633255,24.5,24.8,24.4,24.8,763325,0.0,1.0
2024-08-23,2.59,2.6,2.48,2.51,13716833,25.9,26.0,24.8,25.1,1371683,0.0,1.0
2024-08-26,2.53,2.59,2.52,2.59,8331835,25.3,25.9,25.2,25.9,833183,0.0,1.0
2024-08-27,2.44,2.48,2.41,2.48,8659482,24.4,24.8,24.1,24.8,865948,0.0,1.0
2024-08-28,2.36,2.4,2.314,2.38,13592248,23.6,24.0,23.14,23.8,1359224,0.0,1.0
2024-08-29,2.38,2.45,2.365,2.43,7335684,23.8,24.5,23.65,24.3,733568,0.0,1.0
2024-08-30,2.36,2.4,2.29,2.37,11278155,23.6,24.0,22.9,23.7,1127815,0.0,1.0
2024-09-03,2.3,2.365,2.29,2.36,9836457,23.0,23.65,22.9,23.6,983645,0.0,1.0
2024-09-04,2.32,2.35,2.25,2.25,12665404,23.2,23.5,22.5,22.5,1266540,0.0,1.0
2024-09-05,2.22,2.2799,2.21,2.25,11084910,22.2,22.799,22.1,22.5,1108491,0.0,1.0
2024-09-06,2.09,2.26,2.08,2.25,14153990,20.9,22.6,20.8,22.5,1415399,0.0,1.0
2024-09-09,2.22,2.22,2.14,2.18,9701058,22.2,22.2,21.4,21.8,970105,0.0,1.0
2024-09-10,2.24,2.26,2.19,2.21,7999250,22.4,22.6,21.9,22.1,799925,0.0,1.0
2024-09-11,2.2,2.23,2.1403,2.2,10125801,22.0,22.3,21.403,22.0,1012580,0.0,1.0
2024-09-12,2.23,2.23,2.18,2.21,9064044,22.3,22.3,21.8,22.1,906404,0.0,1.0
2024-09-13,2.28,2.29,2.21,2.22,10951377,22.8,22.9,22.1,22.2,1095137,0.0,1.0
2024-09-16,2.14,2.18,2.135,2.18,12385567,21.4,21.8,21.35,21.8,1238556,0.0,1.0
2024-09-17,2.22,2.2599,2.17,2.19,10251330,22.2,22.599,21.7,21.9,1025133,0.0,1.0
2024-09-18,2.18,2.225,2.15,2.18,12062706,21.8,22.25,21.5,21.8,1206270,0.0,1.0
2024-09-19,2.33,2.35,2.28,2.3,13789202,23.3,23.5,22.8,23.0,1378920,0.0,1.0
2024-09-20,2.4,2.4299,2.37,2.39,11985797,24.0,24.299,23.7,23.9,1198579,0.0,1.0
2024-09-23,2.52,2.55,2.48,2.5,13972506,25.2,25.5,24.8,25.0,1397250,0.0,1.0
2024-09-24,2.5,2.51,2.44,2.49,12410648,25.0,25.1,24.4,24.9,1241064,0.0,1.0
2024-09-25,2.42,2.48,2.42,2.46,10368484,24.2,24.8,24.2,24.6,1036848,0.0,1.0
2024-09-26,2.5,2.52,2.46,2.47,13663039,25.0,25.2,24.6,24.7,1366303,0.0,1.0
2024-09-27,2.55,2.58,2.49,2.51,12997477,25.5,25.8,24.9,25.1,1299747,0.0,1.0
2024-09-30,2.44,2.49,2.42,2.49,11614406,24.4,24.9,24.2,24.9,1161440,0.0,1.0
2024-10-01,2.35,2.466,2.29,2.46,18955803,23.5,24.66,22.9,24.6,1895580,0.0,1.0
2024-10-02,2.24,2.3398,2.23,2.29,17362527,22.4,23.398,22.3,22.9,1736252,0.0,1.0
2024-10-03,2.22,2.23,2.18,2.21,13312645,22.2,22.3,21.8,22.1,1331264,0.0,1.0
2024-10-04,2.29,2.3,2.2101,2.24,9605683,22.9,23.0,22.101,22.4,960568,0.0,1.0
2024-10-07,2.31,2.38,2.28,2.33,13054311,23.1,23.8,22.8,23.3,1305431,0.0,1.0
2024-10-08,2.3,2.32,2.2601,2.29,11663645,23.0,23.2,22.601,22.9,1166364,0.0,1.0
2024-10-09,2.27,2.33,2.27,2.29,15085641,22.7,23.3,22.7,22.9,1508564,0.0,1.0
2024-10-10,2.23,2.2799,2.19,2.26,14196712,22.3,22.799,21.9,22.6,1419671,0.0,1.0
2024-10-11,2.32,2.33,2.28,2.28,8936471,23.2,23.3,22.8,22.8,893647,0.0,1.0
2024-10-14,2.47,2.4992,2.4,2.4,15134262,24.7,24.992,24.0,24.0,1513426,0.0,1.0
2024-10-15,2.45,2.535,2.39,2.46,17297957,24.5,25.35,23.9,24.6,1729795,0.0,1.0
2024-10-16,2.47,2.495,2.4401,2.47,11246068,24.7,24.95,24.401,24.7,1124606,0.0,1.0
2024-10-17,2.44,2.48,2.424,2.45,15049491,24.4,24.8,24.24,24.5,1504949,0.0,1.0
2024-10-18,2.5,2.53,2.46,2.47,13511289,25.0,25.3,24.6,24.7,1351128,0.0,1.0
2024-10-21,2.52,2.54,2.5,2.54,10173824,25.2,25.4,25.0,25.4,1017382,0.0,1.0
2024-10-22,2.48,2.49,2.45,2.48,9894896,24.8,24.9,24.5,24.8,989489,0.0,1.0
2024-10-23,2.36,2.44,2.31,2.42,9761814,23.6,24.4,23.1,24.2,976181,0.0,1.0
2024-10-24,2.4,2.4,2.36,2.39,10930790,24.0,24.0,23.6,23.9,1093079,0.0,1.0
2024-10-25,2.32,2.42,2.31,2.4,15668699,23.2,24.2,23.1,24.0,1566869,0.0,1.0
2024-10-28,2.36,2.39,2.34,2.39,21102020,23.6,23.9,23.4,23.9,2110202,0.0,1.0
2024-10-29,2.47,2.53,2.46,2.47,23474581,24.7,25.3,24.6,24.7,2347458,0.0,1.0
2024-10-30,2.5,2.57,2.5,2.54,26710154,25.0,25.7,25.0,25.4,2671015,0.0,1.0
2024-10-31,2.36,2.48,2.36,2.48,36134834,23.6,24.8,23.6,24.8,3613483,0.0,1.0
2024-11-01,2.37,2.44,2.34,2.38,25071469,23.7,24.4,23.4,23.8,2507146,0.0,1.0
2024-11-04,2.28,2.32,2.26,2.32,16795258,22.8,23.2,22.6,23.2,1679525,0.0,1.0
2024-11-05,2.28,2.3399,2.26,2.31,14331523,22.8,23.399,22.6,23.1,1433152,0.0,1.0
2024-11-06,2.55,2.55,2.46,2.48,22070262,25.5,25.5,24.6,24.8,2207026,0.0,1.0
2024-11-07,2.74,2.75,2.62,2.65,34365905,27.4,27.5,26.2,26.5,3436590,0.0,1.0
2024-11-08,2.77,2.82,2.73,2.79,28558481,27.7,28.2,27.3,27.9,2855848,0.0,1.0
2024-11-11,3.17,3.19,2.97,2.99,66969664,31.7,31.9,29.7,29.9,6696966,0.0,1.0
2024-11-12,3.11,3.12,3.03,3.07,45758049,31.1,31.2,30.3,30.7,4575804,0.0,1.0
2024-11-13,2.99,3.15,2.95,3.06,60861120,29.9,31.5,29.5,30.6,6086112,0.0,1.0
2024-11-14,2.92,3.02,2.8803,3.01,31672810,29.2,30.2,28.803,30.1,3167281,0.0,1.0
2024-11-15,2.91,2.92,2.84,2.89,45621254,29.1,29.2,28.4,28.9,4562125,0.0,1.0
2024-11-18,2.98,3.02,2.89,2.93,34370816,29.8,30.2,28.9,29.3,3437081,0.0,1.0
2024-11-19,2.92,2.97,2.91,2.93,20834836,29.2,29.7,29.1,29.3,2083483,0.0,1.0
2024-11-20,28.93,29.6,28.5899,29.51,1724058,28.93,29.6,28.5899,29.51,1724058,0.0,0.1
2024-11-21,31.64,31.9979,30.61,31.66,7464303,31.64,31.9979,30.61,31.66,7464303,0.0,1.0
2024-11-22,31.05,31.4199,30.8043,31.06,2020485,31.05,31.4199,30.8043,31.06,2020485,0.0,1.0
2024-11-25,33.07,33.46,31.5601,32.96,1973770,33.07,33.46,31.5601,32.96,1973770,0.0,1.0
2024-11-26,31.29,31.7147,30.7,31.31,1128427,31.29,31.7147,30.7,31.31,1128427,0.0,1.0
2024-11-27,34.28,34.34,32.85,32.91,2030330,34.28,34.34,32.85,32.91,2030330,0.0,1.0
2024-11-29,33.84,34.46,33.78,34.0,802280,33.84,34.46,33.78,34.0,802280,0.0,1.0
2024-12-02,34.12,34.77,33.525,34.27,1441332,34.12,34.77,33.525,34.27,1441332,0.0,1.0
2024-12-03,34.06,34.07,33.0101,33.5,1308464,34.06,34.07,33.0101,33.5,1308464,0.0,1.0
2024-12-04,36.7,36.78,35.02,35.08,2103539,36.7,36.78,35.02,35.08,2103539,0.0,1.0
2024-12-05,36.1,37.41,35.69,37.02,2364894,36.1,37.41,35.69,37.02,2364894,0.0,1.0
2024-12-06,38.26,38.67,36.85,37.01,2170559,38.26,38.67,36.85,37.01,2170559,0.0,1.0
2024-12-09,35.3,37.2325,35.11,36.64,2675614,35.3,37.2325,35.11,36.64,2675614,0.0,1.0
