date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2005-12-12,119.56,119.85,119.48,119.62,601000,103.925046410645,104.177122886549,103.855508072464,103.97720016428,601000,0.0,1.0
2005-12-13,119.55,119.9,119.3,119.39,155100,103.916354118372,104.220584347911,103.699046811558,103.777277442011,155100,0.0,1.0
2005-12-14,120.1,120.6199,120.03,120.43,441400,104.394430193362,104.846342468612,104.333584147455,104.681275838357,441400,0.0,1.0
2005-12-15,119.76,120.07,119.4501,119.99,562400,104.098892256096,104.368353316545,103.829518118569,104.298814978364,562400,0.0,1.0
2005-12-16,120.22,120.23,119.98,119.98,281600,104.498737700633,104.507429992906,104.290122686092,104.290122686092,281600,0.0,1.0
2005-12-19,120.14,120.2,119.95,119.97,48200,104.429199362453,104.481353116088,104.264045809274,104.281430393819,48200,0.0,1.0
2005-12-20,118.73,119.32,118.5,119.32,126600,103.203586152023,103.716431396103,103.003663429754,103.716431396103,126600,0.0,1.0
2005-12-21,118.45,118.53,118.13,118.48,468800,102.960201968391,103.029740306572,102.682048615669,102.986278845209,468800,0.0,1.0
2005-12-22,118.87,119.05,118.7,118.7,268900,103.325278243838,103.481739504744,103.177509275205,103.177509275205,268900,0.0,1.0
2005-12-23,118.87,118.8799,118.54,118.55,3400,103.325278243838,103.333883613188,103.038432598844,103.047124891117,3400,0.0,1.0
2005-12-27,118.49,118.76,118.49,118.62,53500,102.994971137481,103.22966302884,102.994971137481,103.107970937025,53500,0.0,1.0
2005-12-28,118.49,119.48,118.34,119.48,5600,102.994971137481,103.855508072464,102.864586753393,103.855508072464,5600,0.0,1.0
2005-12-29,118.6,118.63,118.4,118.47,94400,103.090586352479,103.116663229297,102.916740507028,102.977586552936,94400,0.0,1.0
2005-12-30,118.51,118.51,117.96,117.97,94200,103.012355722027,103.012355722027,102.534279647036,102.542971939309,94200,0.0,1.0
2006-01-03,120.18,120.29,119.08,119.08,118600,104.574117259221,104.669833292658,103.616956924846,103.616956924846,118600,0.12672,1.0
2006-01-04,121.35,121.49,120.73,120.99,227200,105.592187796692,105.714008202885,105.052697426408,105.278935323624,227200,0.0,1.0
2006-01-05,121.09,121.21,120.9,120.93,264900,105.365949899476,105.470367390499,105.200622205357,105.226726578112,264900,0.0,1.0
2006-01-06,121.62,121.7299,121.34,121.5,145800,105.827127151493,105.922756170355,105.583486339107,105.72270966047,145800,0.0,1.0
2006-01-09,120.93,120.98,120.65,120.91,111400,105.226726578112,105.270233866039,104.983085765726,105.209323662942,111400,0.0,1.0
2006-01-10,120.79,120.85,120.5,120.55,85000,105.104906171919,105.157114917431,104.852563901948,104.896071189874,85000,0.0,1.0
2006-01-11,121.37,121.54,121.08,121.13,184900,105.609590711862,105.757515490811,105.357248441891,105.400755729817,184900,0.0,1.0
2006-01-12,120.45,120.51,120.2,120.38,225000,104.809056614022,104.861265359533,104.591520174391,104.748146410925,225000,0.0,1.0
2006-01-13,121.45,121.56,120.62,120.62,66700,105.679202372544,105.774918405982,104.956981392971,104.956981392971,66700,0.0,1.0
2006-01-17,121.16,121.18,120.67,120.8,76700,105.426860102573,105.444263017743,105.000488680897,105.113607629505,76700,0.0,1.0
2006-01-18,121.67,121.74,120.851,121.59,469900,105.870634439419,105.931544642516,105.157985063189,105.801022778737,469900,0.0,1.0
2006-01-19,121.06,121.3,120.8,120.8,43200,105.33984552672,105.548680508766,105.113607629505,105.113607629505,43200,0.0,1.0
2006-01-20,121.48,121.509,120.86,121.16,52500,105.7053067453,105.730540972297,105.165816375016,105.426860102573,52500,0.0,1.0
2006-01-23,123.1799,123.19,122.79,122.9,161100,107.184467520212,107.193255992373,106.845197688964,106.940913722402,161100,0.0,1.0
2006-01-24,122.92,123.09,122.8002,122.86,153600,106.958316637572,107.106241416521,106.854073175701,106.906107892061,153600,0.0,1.0
2006-01-25,122.57,122.94,122.5,122.94,162100,106.653765622089,106.975719552742,106.592855418993,106.975719552742,162100,0.0,1.0
2006-01-26,122.27,122.71,122.18,122.61,44600,106.392721894532,106.775586028282,106.314408776265,106.68857145243,44600,0.0,1.0
2006-01-27,121.17,122.42,121.05,122.34,272400,105.435561560158,106.523243758311,105.331144069135,106.453632097629,272400,0.0,1.0
2006-01-30,121.06,121.15,120.87,121.09,216000,105.33984552672,105.418158644987,105.174517832601,105.365949899476,216000,0.0,1.0
2006-01-31,121.75,122.06,121.35,121.35,467300,105.940246100101,106.209991285243,105.592187796692,105.592187796692,467300,0.0,1.0
2006-02-01,120.6801,121.19,120.61,121.0,133100,105.160195233416,105.604520217813,105.09911035127,105.438954916704,133100,0.17344,1.0
2006-02-02,121.0001,121.1,120.5601,120.66,54100,105.439042056336,105.526094548866,105.055627674821,105.142680167351,54100,0.0,1.0
2006-02-03,120.27,120.3,119.88,119.89,243700,104.802835601917,104.828977491566,104.462991036483,104.471704999699,243700,0.0,1.0
2006-02-06,119.65,119.91,119.52,119.79,151500,104.262569882509,104.489132926132,104.149288360698,104.384565367537,151500,0.0,1.0
2006-02-07,119.74,119.94,119.5,119.91,190500,104.340995551456,104.515274815781,104.131860434265,104.489132926132,190500,0.0,1.0
2006-02-08,119.64,119.72,119.36,119.66,196800,104.253855919293,104.323567625023,104.009864949238,104.271283845726,196800,0.0,1.0
2006-02-09,119.94,119.96,119.56,119.91,26300,104.515274815781,104.532702742213,104.184144213563,104.489132926132,26300,0.0,1.0
2006-02-10,119.1,120.3199,119.03,120.29,259000,103.783301905615,104.846318278366,103.722304163101,104.82026352835,259000,0.0,1.0
2006-02-13,119.1601,119.23,119.0,119.07,49000,103.835672824545,103.896583427426,103.696162273453,103.757160015966,49000,0.0,1.0
2006-02-14,119.27,119.3,118.81,118.83,69300,103.931439280292,103.95758116994,103.530596972344,103.548024898776,69300,0.0,1.0
2006-02-15,118.962,119.61,118.89,119.45,22800,103.663049213231,104.227714029644,103.600308678074,104.088290618184,22800,0.0,1.0
2006-02-16,119.06,119.06,118.83,118.87,145800,103.74844605275,103.74844605275,103.548024898776,103.582880751641,145800,0.0,1.0
2006-02-17,119.47,119.55,118.91,118.91,184400,104.105718544617,104.175430250347,103.617736604506,103.617736604506,184400,0.0,1.0
2006-02-21,119.31,119.42,119.05,119.2,56400,103.966295133157,104.062148728535,103.739732089534,103.870441537778,56400,0.0,1.0
2006-02-22,119.2,119.31,118.95,119.04,23400,103.870441537778,103.966295133157,103.652592457371,103.731018126318,23400,0.0,1.0
2006-02-23,119.3,119.62,119.27,119.62,26100,103.95758116994,104.23642799286,103.931439280292,104.23642799286,26100,0.0,1.0
2006-02-24,118.82,119.17,118.82,119.14,116300,103.53931093556,103.844299648129,103.53931093556,103.81815775848,116300,0.0,1.0
2006-02-27,118.65,118.82,118.58,118.69,45400,103.391173560884,103.53931093556,103.33017581837,103.426029413749,45400,0.0,1.0
2006-02-28,119.24,119.54,118.95,118.98,150800,103.905297390643,104.16671628713,103.652592457371,103.67873434702,150800,0.0,1.0
2006-03-01,119.2,119.6403,119.0,119.64,73300,104.006623354921,104.390802182633,103.832115597614,104.390540420997,73300,0.15628,1.0
2006-03-02,120.47,120.49,119.43,119.46,327700,105.11474761382,105.132198389551,104.207307275824,104.23348343942,327700,0.0,1.0
2006-03-03,120.43,120.55,120.08,120.55,156200,105.079846062359,105.184550716743,104.774457487072,105.184550716743,156200,0.0,1.0
2006-03-06,120.26,120.38,120.0,120.29,73200,104.931514468648,105.036219123032,104.704654384149,104.957690632244,73200,0.0,1.0
2006-03-07,118.94,119.18,118.8,119.13,1895300,103.779763270422,103.989172579191,103.657607840308,103.945545639864,1895300,0.0,1.0
2006-03-08,119.37,119.47,119.13,119.25,913800,104.154954948632,104.242208827286,103.945545639864,104.050250294248,913800,0.0,1.0
2006-03-09,119.27,119.41,119.18,119.41,748300,104.067701069979,104.189856500094,103.989172579191,104.189856500094,748300,0.0,1.0
2006-03-10,119.32,119.32,118.79,118.87,25400,104.111328009306,104.111328009306,103.648882452442,103.718685555365,25400,0.0,1.0
2006-03-13,119.74,119.81,119.4,119.55,25400,104.47779429965,104.538872014707,104.181131112228,104.312011930208,25400,0.0,1.0
2006-03-14,120.3,120.45,119.82,119.82,189700,104.966416020109,105.09729683809,104.547597402573,104.547597402573,189700,0.0,1.0
2006-03-15,120.86,120.91,120.53,120.71,59800,105.455037740569,105.498664679895,105.167099941012,105.324156922589,59800,0.0,1.0
2006-03-16,121.93,122.05,121.39,121.39,50000,106.388654242161,106.493358896545,105.917483297432,105.917483297432,50000,0.0,1.0
2006-03-17,122.14,122.25,121.62,121.97,102400,106.571887387333,106.667866653852,106.118167218335,106.423555793622,102400,0.0,1.0
2006-03-20,121.87,121.98,121.69,121.89,67900,106.336301914969,106.432281181487,106.179244933392,106.353752690699,67900,0.0,1.0
2006-03-21,121.07,121.46,120.97,121.46,191000,105.638270885741,105.97856101249,105.551017007088,105.97856101249,191000,0.0,1.0
2006-03-22,120.99,121.29,120.96,121.17,59900,105.568467782818,105.830229418779,105.542291619222,105.725524764394,59900,0.0,1.0
2006-03-23,119.98,120.87,119.83,120.87,129800,104.687203608418,105.463763128434,104.556322790438,105.463763128434,129800,0.0,1.0
2006-03-24,120.59,120.71,119.96,120.04,114400,105.219452268204,105.324156922589,104.669752832688,104.73955593561,114400,0.0,1.0
2006-03-27,120.328,120.6,120.31,120.54,49700,104.990847106132,105.22817765607,104.975141407975,105.175825328878,49700,0.0,1.0
2006-03-28,120.33,121.16,120.23,121.14,181400,104.992592183705,105.716799376529,104.905338305052,105.699348600798,181400,0.0,1.0
2006-03-29,120.61,120.73,120.22,120.22,51700,105.236903043935,105.341607698319,104.896612917187,104.896612917187,51700,0.0,1.0
2006-03-30,121.88,121.92,121.4,121.54,66200,106.345027302834,106.379928854295,105.926208685297,106.048364115412,66200,0.0,1.0
2006-03-31,121.26,121.69,121.25,121.35,30900,105.804053255183,106.179244933392,105.795327867317,105.882581745971,30900,0.0,1.0
2006-04-03,121.49,121.55,120.5,120.54,76600,106.173468726626,106.225904384899,105.30828036512,105.343237470635,76600,0.19338,1.0
2006-04-04,122.71,122.83,122.5,122.5,133300,107.239660444845,107.344531761391,107.056135640889,107.056135640889,133300,0.0,1.0
2006-04-05,123.0001,123.2,122.75,122.96,241000,107.493186852595,107.667884987409,107.27461755036,107.458142354316,241000,0.0,1.0
2006-04-06,122.4,122.54,122.13,122.31,99300,106.968742877101,107.091092746405,106.732782414872,106.890089389691,99300,0.0,1.0
