date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2007-02-13,82.69,82.73,82.4,82.49,554400,82.69,82.73,82.4,82.49,554400,0.0,1.0
2007-02-14,83.1,83.16,82.68,82.69,1253300,83.1,83.16,82.68,82.69,1253300,0.0,1.0
2007-02-15,84.03,84.03,83.46,83.59,634300,84.03,84.03,83.46,83.59,634300,0.0,1.0
2007-02-16,83.92,84.01,83.8,83.83,74100,83.92,84.01,83.8,83.83,74100,0.0,1.0
2007-02-20,83.51,83.51,83.3,83.3,170500,83.51,83.51,83.3,83.3,170500,0.0,1.0
2007-02-21,82.9,82.95,82.71,82.76,147700,82.9,82.95,82.71,82.76,147700,0.0,1.0
2007-02-22,82.46,82.61,82.11,82.61,105700,82.46,82.61,82.11,82.61,105700,0.0,1.0
2007-02-23,82.78,82.83,82.66,82.74,54200,82.78,82.83,82.66,82.74,54200,0.0,1.0
2007-02-26,83.08,83.26,82.93,83.12,53288,83.08,83.26,82.93,83.12,53288,0.0,1.0
2007-02-27,84.8,85.04,82.6,84.22,164700,84.8,85.04,82.6,84.22,164700,0.0,1.0
2007-02-28,84.62,84.78,84.24,84.69,125700,84.62,84.78,84.24,84.69,125700,0.0,1.0
2007-03-01,85.29,85.6,85.03,85.3,352200,85.29,85.6,85.03,85.3,352200,0.0,1.0
2007-03-02,85.85,86.25,85.4,85.52,1473400,85.85,86.25,85.4,85.52,1473400,0.0,1.0
2007-03-05,86.45,86.67,86.14,86.664,413300,86.45,86.67,86.14,86.664,413300,0.0,1.0
2007-03-06,85.81,86.1899,85.68,86.06,161900,85.81,86.1899,85.68,86.06,161900,0.0,1.0
2007-03-07,86.32,86.35,85.87,86.0379,107900,86.32,86.35,85.87,86.0379,107900,0.0,1.0
2007-03-08,85.52,85.6,85.16,85.29,337300,85.52,85.6,85.16,85.29,337300,0.0,1.0
2007-03-09,84.62,84.92,84.55,84.72,236000,84.62,84.92,84.55,84.72,236000,0.0,1.0
2007-03-12,85.01,85.3688,84.9301,85.21,169000,85.01,85.3688,84.9301,85.21,169000,0.0,1.0
2007-03-13,85.99,86.0,85.34,85.78,379700,85.99,86.0,85.34,85.78,379700,0.0,1.0
2007-03-14,85.5,86.25,85.45,85.8,372700,85.5,86.25,85.45,85.8,372700,0.0,1.0
2007-03-15,85.11,85.4499,84.93,85.37,119000,85.11,85.4499,84.93,85.37,119000,0.0,1.0
2007-03-16,85.6,85.81,85.55,85.59,246400,85.6,85.81,85.55,85.59,246400,0.0,1.0
