date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1970-01-02,76.63,77.62,76.5,77.5,23200,1.50996565229644,1.52947323412828,1.50740405064176,1.52710867875472,464475,0.0,1.0
1970-01-05,76.25,77.0,75.62,76.63,42400,1.50247789361352,1.51725636469824,1.49006397790235,1.50996565229644,848869,0.0,1.0
1970-01-06,74.0,76.13,73.63,76.13,35500,1.45814248035935,1.50011333823996,1.45085176795755,1.50011333823996,710727,0.0,1.0
1970-01-07,74.38,75.38,74.25,74.25,46100,1.46563023904227,1.48533486715524,1.46306863738759,1.46306863738759,922945,0.0,1.0
1970-01-08,75.0,75.75,74.62,74.62,139200,1.47784710847231,1.49262557955703,1.47035934978938,1.47035934978938,2786854,0.0,1.0
1970-01-09,73.13,75.12,73.13,75.0,59500,1.44099945390107,1.48021166384587,1.44099945390107,1.47784710847231,1191220,0.0,1.0
1970-01-12,73.0,73.37,72.38,73.13,40500,1.43843785224638,1.44572856464818,1.42622098281634,1.44099945390107,810830,0.0,1.0
1970-01-13,73.25,73.63,72.87,73.0,28800,1.44336400927462,1.45085176795755,1.4358762505917,1.43843785224638,576590,0.0,1.0
1970-01-14,74.62,75.12,73.37,73.37,37000,1.47035934978938,1.48021166384587,1.44572856464818,1.44572856464818,740758,0.0,1.0
1970-01-15,74.75,75.25,74.5,74.62,26800,1.47292095144407,1.48277326550055,1.46799479441583,1.47035934978938,536549,0.0,1.0
1970-01-16,74.38,74.88,74.38,74.75,20700,1.46563023904227,1.47548255309875,1.46563023904227,1.47292095144407,414424,0.0,1.0
1970-01-19,73.0,74.62,73.0,74.38,53500,1.43843785224638,1.47035934978938,1.43843785224638,1.46563023904227,1071096,0.0,1.0
1970-01-20,73.25,73.37,72.75,73.0,36000,1.44336400927462,1.44572856464818,1.43351169521814,1.43843785224638,720738,0.0,1.0
1970-01-21,74.0,74.62,73.25,73.25,23300,1.45814248035935,1.47035934978938,1.44336400927462,1.44336400927462,466477,0.0,1.0
1970-01-22,74.13,74.5,73.75,74.0,36200,1.46070408201403,1.46799479441583,1.4532163233311,1.45814248035935,724742,0.0,1.0
1970-01-23,73.0,74.38,72.87,74.13,38200,1.43843785224638,1.46563023904227,1.4358762505917,1.46070408201403,764783,0.0,1.0
1970-01-26,73.0,73.13,72.75,73.0,22700,1.43843785224638,1.44099945390107,1.43351169521814,1.43843785224638,454465,0.0,1.0
1970-01-27,74.13,74.38,73.0,73.0,19800,1.46070408201403,1.46563023904227,1.43843785224638,1.43843785224638,396405,0.0,1.0
1970-01-28,74.13,75.0,74.13,74.13,43700,1.46070408201403,1.47784710847231,1.46070408201403,1.46070408201403,874896,0.0,1.0
1970-01-29,73.37,74.75,73.37,74.13,37400,1.44572856464818,1.47292095144407,1.44572856464818,1.46070408201403,748766,0.0,1.0
1970-01-30,72.38,73.87,72.38,73.37,36500,1.42622098281634,1.45558087870466,1.42622098281634,1.44572856464818,730748,0.0,1.0
1970-02-02,73.13,73.87,72.62,72.62,94700,1.44099945390107,1.45558087870466,1.43095009356346,1.43095009356346,1895941,0.0,1.0
1970-02-03,72.62,73.5,72.0,73.13,52700,1.43095009356346,1.44829016630286,1.41873322413342,1.44099945390107,1055080,0.0,1.0
1970-02-04,72.62,73.0,70.87,72.62,59600,1.43095009356346,1.43843785224638,1.39646699436577,1.43095009356346,1193222,0.0,1.0
1970-02-05,69.87,71.13,69.12,71.13,62000,1.3767623662528,1.40159019767514,1.36198389516808,1.40159019767514,1241271,0.0,1.0
1970-02-06,70.13,70.75,69.38,69.87,20900,1.38188556956217,1.39410243899221,1.36710709847745,1.3767623662528,418428,0.0,1.0
1970-02-09,70.13,72.25,70.13,70.13,57500,1.38188556956217,1.42365938116166,1.38188556956217,1.38188556956217,1151179,0.0,1.0
1970-02-10,69.0,70.25,69.0,70.13,37200,1.35961933979453,1.38425012493573,1.35961933979453,1.38188556956217,744762,0.0,1.0
1970-02-11,70.37,70.87,69.0,69.0,36000,1.38661468030929,1.39646699436577,1.35961933979453,1.35961933979453,720738,0.0,1.0
1970-02-12,70.0,70.13,69.38,70.13,16500,1.37932396790749,1.38188556956217,1.36710709847745,1.38188556956217,330338,0.0,1.0
1970-02-13,68.88,69.87,68.25,69.87,40500,1.35725478442097,1.3767623662528,1.3448408687098,1.3767623662528,810830,0.0,1.0
1970-02-17,68.62,69.0,67.87,69.0,28200,1.3521315811116,1.35961933979453,1.33735311002688,1.35961933979453,564578,0.0,1.0
1970-02-18,69.5,69.75,68.62,68.62,41800,1.36947165385101,1.37439781087925,1.3521315811116,1.3521315811116,836857,0.0,1.0
1970-02-19,69.5,70.25,69.5,69.5,42800,1.36947165385101,1.38425012493573,1.36947165385101,1.36947165385101,856877,0.0,1.0
1970-02-20,68.62,70.13,68.62,69.5,30800,1.3521315811116,1.38188556956217,1.3521315811116,1.36947165385101,616631,0.0,1.0
1970-02-24,68.88,69.25,68.5,68.62,34100,1.35725478442097,1.36454549682277,1.34976702573804,1.3521315811116,682699,0.0,1.0
1970-02-25,69.12,69.87,68.5,68.88,34700,1.36198389516808,1.3767623662528,1.34976702573804,1.35725478442097,694711,0.0,1.0
1970-02-26,68.75,69.38,67.63,69.12,45600,1.35469318276628,1.36710709847745,1.33262399927976,1.36198389516808,912935,0.0,1.0
1970-02-27,70.5,71.13,68.75,68.75,58900,1.38917628196397,1.40159019767514,1.35469318276628,1.35469318276628,1179207,0.0,1.0
1970-03-02,71.75,72.25,70.87,70.87,34100,1.41380706710518,1.42365938116166,1.39646699436577,1.39646699436577,682699,0.0,1.0
1970-03-03,74.0,74.25,70.75,71.75,59500,1.45814248035935,1.46306863738759,1.39410243899221,1.41380706710518,1191220,0.0,1.0
1970-03-04,74.5,75.0,74.0,74.0,49700,1.46799479441583,1.47784710847231,1.45814248035935,1.45814248035935,995019,0.0,1.0
1970-03-05,74.75,75.38,74.5,74.5,44100,1.47292095144407,1.48533486715524,1.46799479441583,1.46799479441583,882904,0.0,1.0
1970-03-06,74.38,75.12,74.13,74.75,31000,1.46563023904227,1.48021166384587,1.46070408201403,1.47292095144407,620635,0.0,1.0
1970-03-09,73.75,74.88,73.13,74.38,47600,1.4532163233311,1.47548255309875,1.44099945390107,1.46563023904227,952976,0.0,1.0
1970-03-10,73.5,74.0,73.25,73.75,24700,1.44829016630286,1.45814248035935,1.44336400927462,1.4532163233311,494506,0.0,1.0
1970-03-11,71.88,74.0,71.88,73.5,45100,1.41636866875986,1.45814248035935,1.41636866875986,1.44829016630286,902924,0.0,1.0
1970-03-12,71.38,72.12,71.25,71.88,53900,1.40651635470338,1.42109777950697,1.40395475304869,1.41636866875986,1079105,0.0,1.0
1970-03-13,70.25,71.25,70.0,71.25,41700,1.38425012493573,1.40395475304869,1.37932396790749,1.40395475304869,834855,0.0,1.0
1970-03-16,69.12,70.63,69.12,70.25,47800,1.36198389516808,1.39173788361866,1.36198389516808,1.38425012493573,956980,0.0,1.0
1970-03-17,70.25,70.5,69.0,69.12,33100,1.38425012493573,1.38917628196397,1.35961933979453,1.36198389516808,662678,0.0,1.0
1970-03-18,70.25,70.5,69.87,70.25,26200,1.38425012493573,1.38917628196397,1.3767623662528,1.38425012493573,524537,0.0,1.0
1970-03-19,70.13,70.75,69.87,70.25,31400,1.38188556956217,1.39410243899221,1.3767623662528,1.38425012493573,628643,0.0,1.0
