date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2004-11-18,44.38,44.49,44.07,44.43,5992000,44.38,44.49,44.07,44.43,5992000,0.0,1.0
2004-11-19,44.78,44.92,44.47,44.49,11655300,44.78,44.92,44.47,44.49,11655300,0.0,1.0
2004-11-22,44.95,44.97,44.74,44.75,11996000,44.95,44.97,44.74,44.75,11996000,0.0,1.0
2004-11-23,44.75,44.92,44.72,44.88,3169200,44.75,44.92,44.72,44.88,3169200,0.0,1.0
2004-11-24,45.05,45.05,44.79,44.93,6105100,45.05,45.05,44.79,44.93,6105100,0.0,1.0
2004-11-26,45.29,45.6,45.06,45.25,3097700,45.29,45.6,45.06,45.25,3097700,0.0,1.0
2004-11-29,45.4,45.5,45.08,45.1,3759000,45.4,45.5,45.08,45.1,3759000,0.0,1.0
2004-11-30,45.12,45.41,44.82,45.37,3859100,45.12,45.41,44.82,45.37,3859100,0.0,1.0
2004-12-01,45.38,45.59,45.26,45.28,2037500,45.38,45.59,45.26,45.28,2037500,0.0,1.0
2004-12-02,44.95,45.57,44.68,45.55,6457800,44.95,45.57,44.68,45.55,6457800,0.0,1.0
2004-12-03,45.6,46.0,44.8,45.04,4218300,45.6,46.0,44.8,45.04,4218300,0.0,1.0
2004-12-06,45.17,45.47,45.11,45.39,3103000,45.17,45.47,45.11,45.39,3103000,0.0,1.0
2004-12-07,45.11,45.32,45.07,45.3,3809400,45.11,45.32,45.07,45.3,3809400,0.0,1.0
2004-12-08,44.01,44.02,43.36,43.8,6150500,44.01,44.02,43.36,43.8,6150500,0.0,1.0
2004-12-09,43.78,43.9,43.2,43.75,3553400,43.78,43.9,43.2,43.75,3553400,0.0,1.0
2004-12-10,43.44,43.6,43.31,43.37,2464300,43.44,43.6,43.31,43.37,2464300,0.0,1.0
2004-12-13,43.91,44.014,43.51,43.61,1445100,43.91,44.014,43.51,43.61,1445100,0.0,1.0
2004-12-14,43.55,43.8,43.51,43.76,2240600,43.55,43.8,43.51,43.76,2240600,0.0,1.0
2004-12-15,43.99,44.17,43.92,44.1,2641400,43.99,44.17,43.92,44.1,2641400,0.0,1.0
2004-12-16,43.68,44.05,43.58,43.99,3269800,43.68,44.05,43.58,43.99,3269800,0.0,1.0
2004-12-17,44.19,44.22,43.78,43.93,1889300,44.19,44.22,43.78,43.93,1889300,0.0,1.0
2004-12-20,44.34,44.37,44.13,44.33,1942100,44.34,44.37,44.13,44.33,1942100,0.0,1.0
2004-12-21,44.22,44.24,44.05,44.13,1373400,44.22,44.24,44.05,44.13,1373400,0.0,1.0
2004-12-22,44.02,44.23,43.89,44.2,2706800,44.02,44.23,43.89,44.2,2706800,0.0,1.0
2004-12-23,44.27,44.35,44.05,44.17,639800,44.27,44.35,44.05,44.17,639800,0.0,1.0
2004-12-27,44.48,44.56,44.27,44.29,2643700,44.48,44.56,44.27,44.29,2643700,0.0,1.0
2004-12-28,44.37,44.47,44.29,44.42,773200,44.37,44.47,44.29,44.42,773200,0.0,1.0
2004-12-29,43.66,44.02,43.35,43.92,5633500,43.66,44.02,43.35,43.92,5633500,0.0,1.0
2004-12-30,43.83,43.88,43.49,43.5,1289700,43.83,43.88,43.49,43.5,1289700,0.0,1.0
2004-12-31,43.8,43.94,43.73,43.85,531600,43.8,43.94,43.73,43.85,531600,0.0,1.0
2005-01-03,43.02,43.17,42.74,42.98,4750500,43.02,43.17,42.74,42.98,4750500,0.0,1.0
2005-01-04,42.74,42.91,42.46,42.8,3456800,42.74,42.91,42.46,42.8,3456800,0.0,1.0
2005-01-05,42.67,42.88,42.6,42.75,2108700,42.67,42.88,42.6,42.75,2108700,0.0,1.0
2005-01-06,42.15,42.56,42.07,42.48,2556400,42.15,42.56,42.07,42.48,2556400,0.0,1.0
2005-01-07,41.84,42.39,41.7,42.09,4492700,41.84,42.39,41.7,42.09,4492700,0.0,1.0
2005-01-10,41.95,42.07,41.89,41.99,1026100,41.95,42.07,41.89,41.99,1026100,0.0,1.0
2005-01-11,42.21,42.28,42.12,42.21,1507300,42.21,42.28,42.12,42.21,1507300,0.0,1.0
2005-01-12,42.6,42.79,42.48,42.52,1738000,42.6,42.79,42.48,42.52,1738000,0.0,1.0
2005-01-13,42.6,42.6,42.34,42.39,718300,42.6,42.6,42.34,42.39,718300,0.0,1.0
2005-01-14,42.32,42.32,42.13,42.19,1262300,42.32,42.32,42.13,42.19,1262300,0.0,1.0
2005-01-18,42.32,42.38,42.15,42.22,666800,42.32,42.38,42.15,42.22,666800,0.0,1.0
2005-01-19,42.26,42.65,42.2,42.65,1578900,42.26,42.65,42.2,42.65,1578900,0.0,1.0
2005-01-20,42.25,42.32,42.11,42.12,1276200,42.25,42.32,42.11,42.12,1276200,0.0,1.0
2005-01-21,42.74,42.82,42.29,42.32,889800,42.74,42.82,42.29,42.32,889800,0.0,1.0
2005-01-24,42.77,42.82,42.67,42.74,2294900,42.77,42.82,42.67,42.74,2294900,0.0,1.0
2005-01-25,42.24,42.56,42.1,42.53,1332500,42.24,42.56,42.1,42.53,1332500,0.0,1.0
2005-01-26,42.69,42.78,42.56,42.59,541800,42.69,42.78,42.56,42.59,541800,0.0,1.0
2005-01-27,42.62,42.65,42.4,42.48,571200,42.62,42.65,42.4,42.48,571200,0.0,1.0
2005-01-28,42.69,42.73,42.43,42.71,1149100,42.69,42.73,42.43,42.71,1149100,0.0,1.0
2005-01-31,42.22,42.3,41.96,42.21,1692400,42.22,42.3,41.96,42.21,1692400,0.0,1.0
2005-02-01,42.1,42.14,41.95,42.09,1088900,42.1,42.14,41.95,42.09,1088900,0.0,1.0
2005-02-02,42.16,42.23,42.02,42.22,956500,42.16,42.23,42.02,42.22,956500,0.0,1.0
2005-02-03,41.68,41.74,41.5,41.56,2446400,41.68,41.74,41.5,41.56,2446400,0.0,1.0
