date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1999-05-04,70.38,77.25,70.0,76.0,22320900,48.7735536817777,53.5344845398882,48.510212528054,52.6682307447443,22320900,0.0,1.0
1999-05-05,69.13,69.88,66.25,69.88,7565700,47.9072998866339,48.4270521637202,45.9114511426225,48.4270521637202,7565700,0.0,1.0
1999-05-06,67.94,69.38,67.06,68.0,2905700,47.082626273657,48.0805506456627,46.4727836018757,47.1242064558239,2905700,0.0,1.0
1999-05-07,74.13,74.88,66.75,67.94,4862300,51.3723150672092,51.8920673442955,46.2579526606801,47.082626273657,4862300,0.0,1.0
1999-05-10,70.69,73.5,70.25,73.38,2589400,48.9883846229734,50.9357231544567,48.6834632870828,50.8525627901229,2589400,0.0,1.0
1999-05-11,70.63,71.19,69.5,70.0,1839800,48.9468044408065,49.3348861410309,48.1637110099965,48.510212528054,1839800,0.0,1.0
1999-05-12,73.5,74.88,69.13,71.0,2659300,50.9357231544567,51.8920673442955,47.9072998866339,49.203215564169,2659300,0.0,1.0
1999-05-13,74.25,75.25,72.5,73.25,1142900,51.455475431543,52.148478467658,50.2427201183416,50.7624723954279,1142900,0.0,1.0
1999-05-14,70.19,72.25,69.06,71.25,2058400,48.6418831049158,50.0694693593129,47.8587896741058,49.3764663231978,2058400,0.0,1.0
1999-05-17,68.63,70.25,68.0,69.13,2075000,47.5607983685764,48.6834632870828,47.1242064558239,47.9072998866339,2075000,0.0,1.0
1999-05-18,68.63,70.44,68.13,68.25,1407100,47.5607983685764,48.8151338639446,47.2142968505188,47.2974572148526,1407100,0.0,1.0
1999-05-19,69.31,69.81,68.75,69.38,727400,48.0320404331346,48.3785419511921,47.6439587329102,48.0805506456627,727400,0.0,1.0
1999-05-20,68.38,70.13,68.38,69.56,520800,47.3875476095476,48.6003029227489,47.3875476095476,48.2052911921634,520800,0.0,1.0
1999-05-21,67.5,68.81,67.5,68.13,936200,46.7777049377663,47.6855389150771,46.7777049377663,47.2142968505188,936200,0.0,1.0
1999-05-24,65.31,67.25,65.0,67.0,1493000,45.2600282886744,46.6044541787376,45.0451973474787,46.4312034197088,1493000,0.0,1.0
1999-05-25,64.5,65.94,64.0,64.13,1662400,44.6986958294212,45.6966202014269,44.3521943113636,44.4422847060586,1662400,0.0,1.0
1999-05-26,66.06,66.63,63.06,65.63,1602900,45.7797805657607,46.1747922963462,43.7007714574155,45.4817892602312,1602900,0.0,1.0
1999-05-27,67.75,67.75,64.69,65.0,1220500,46.9509556967951,46.9509556967951,44.830366406283,45.0451973474787,1220500,0.0,1.0
1999-05-28,67.94,68.81,67.0,67.75,901900,47.082626273657,47.6855389150771,46.4312034197088,46.9509556967951,901900,0.0,1.0
1999-06-01,64.19,66.63,63.56,66.63,953900,44.4838648882255,46.1747922963462,44.047272975473,46.1747922963462,953900,0.0,1.0
1999-06-02,63.25,64.06,62.0,63.75,2204300,43.8324420342774,44.3937744935306,42.9661882391335,44.1789435523349,2204300,0.0,1.0
