date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2000-01-03,116.0,116.0,111.87,112.44,10347700,57.3343860290409,57.3343860290409,55.2930841816276,55.5748134922876,10823694,0.0,1.0
2000-01-04,112.06,114.5,110.87,114.0,8227800,55.3869939518476,56.5929931062516,54.7988222331014,56.3458621319885,8606278,0.0,1.0
2000-01-05,116.0,119.75,112.12,112.94,12733200,57.3343860290409,59.1878683360142,55.4166496687592,55.8219444665507,13318927,0.0,1.0
2000-01-06,114.0,118.94,113.5,118.0,7971900,56.3458621319885,58.787516157708,56.0987311577253,58.3229099260933,8338607,0.0,1.0
2000-01-07,113.5,117.94,110.62,117.25,11856700,56.0987311577253,58.2932542091817,54.6752567459699,57.9522134646987,12402108,0.0,1.0
2000-01-10,118.0,119.37,115.37,117.25,8540500,58.3229099260933,59.0000487955742,57.0230010014694,57.9522134646987,8933363,0.0,1.0
2000-01-11,119.0,121.12,116.62,117.87,7873300,58.8171718746195,59.8650072054951,57.6408284371271,58.2586558727849,8235471,0.0,1.0
2000-01-12,119.5,122.0,118.25,119.62,6803800,59.0643028488826,60.2999577201982,58.4464754132249,59.1236142827058,7116774,0.0,1.0
2000-01-13,118.25,121.0,115.75,119.94,8489700,58.4464754132249,59.805695771672,57.2108205419093,59.2817781062342,8880226,0.0,1.0
2000-01-14,119.62,123.31,117.5,120.94,10956600,59.1236142827058,60.9474408727675,58.0757789518302,59.7760400547604,11460603,0.0,1.0
2000-01-18,115.75,119.75,115.0,119.69,7643900,57.2108205419093,59.1878683360142,56.8401240805147,59.1582126191026,7995519,0.0,1.0
2000-01-19,119.5,122.0,112.69,115.56,8634500,59.0643028488826,60.2999577201982,55.6983789794191,57.1169107716893,9031687,0.0,1.0
2000-01-20,119.0,124.75,119.0,123.0,17783400,58.8171718746195,61.6591780786453,58.8171718746195,60.7942196687244,18601436,0.0,1.0
2000-01-21,121.5,123.0,119.94,121.87,7868700,60.0528267459351,60.7942196687244,59.2817781062342,60.2357036668898,8230660,0.0,1.0
2000-01-24,121.5,122.87,116.56,121.87,6499200,60.0528267459351,60.729965615416,57.6111727202156,60.2357036668898,6798163,0.0,1.0
2000-01-25,119.12,119.5,116.0,116.75,6936900,58.8764833084427,59.0643028488826,57.3343860290409,57.7050824904355,7255997,0.0,1.0
2000-01-26,116.75,119.94,116.0,119.06,4895100,57.7050824904355,59.2817781062342,57.3343860290409,58.8468275915311,5120274,0.0,1.0
2000-01-27,113.5,118.44,111.62,118.0,8324600,56.0987311577253,58.5403851834448,55.1695186944961,58.3229099260933,8707531,0.0,1.0
2000-01-28,111.56,114.19,110.06,112.75,6669400,55.1398629775845,56.4397719022084,54.3984700547952,55.7280346963307,6976192,0.0,1.0
2000-01-31,112.25,112.81,109.62,111.37,6202700,55.4809037220676,55.7576904132423,54.1809947974436,55.0459532073645,6488024,0.0,1.0
2000-02-01,110.0,113.44,109.12,112.37,7304700,54.3688143378836,56.0690754408138,53.9338638231805,55.5402151558907,7640716,0.0,1.0
2000-02-02,113.5,115.81,110.37,112.0,7707700,56.0987311577253,57.2404762588209,54.5516912588383,55.357338234936,8062254,0.0,1.0
2000-02-03,117.12,117.5,114.06,115.0,6213800,57.8879594113902,58.0757789518302,56.3755178489,56.8401240805147,6499634,0.0,1.0
2000-02-04,115.62,118.44,114.81,118.19,5405300,57.1465664886009,58.5403851834448,56.7462143102947,58.4168196963133,5653943,0.0,1.0
2000-02-07,114.12,116.87,113.12,116.0,5779500,56.4051735658116,57.7643939242587,55.9109116172854,57.3343860290409,6045357,0.0,1.0
2000-02-08,118.81,119.0,116.19,116.94,5464300,58.7825735382227,58.8765781588124,57.4862992964068,57.8573701671556,5715657,0.12,1.0
2000-02-09,117.37,119.75,117.0,119.0,5374700,58.070117466385,59.2476490295612,57.8870558368155,58.8765781588124,5621936,0.0,1.0
2000-02-10,119.12,119.12,116.87,117.69,4446600,58.9359494981322,58.9359494981322,57.8227368858858,58.2284410379045,4651143,0.0,1.0
2000-02-11,115.37,119.44,114.56,119.06,5749400,57.0805951443881,59.0942730696517,56.6798386039794,58.9062638284723,6013872,0.0,1.0
2000-02-14,116.06,116.37,114.5,116.0,4544000,57.421980345477,57.5753563053865,56.6501529343195,57.3922946758171,4753024,0.0,1.0
2000-02-15,117.12,117.44,113.87,115.87,5177500,57.9464271761354,58.1047507476549,56.3384534028905,57.3279757248873,5415665,0.0,1.0
2000-02-16,115.75,117.31,115.25,116.5,3966900,57.2686043855675,58.0404317967251,57.0212238050683,57.6396752563163,4149377,0.0,1.0
2000-02-17,116.75,118.87,115.75,116.5,5237500,57.7633655465659,58.8122592078826,57.2686043855675,57.6396752563163,5478425,0.0,1.0
2000-02-18,112.5,115.94,111.5,115.25,7673400,55.6606306123226,57.3626090061572,55.1658694513242,57.0212238050683,8026376,0.0,1.0
2000-02-22,111.0,113.44,108.75,112.0,7654800,54.918488870825,56.1257061036612,53.8052762585786,55.4132500318234,8006920,0.0,1.0
2000-02-23,108.75,110.5,108.5,110.5,7435300,53.8052762585786,54.6711082903258,53.6815859683289,54.6711082903258,7777323,0.0,1.0
2000-02-24,110.5,111.0,108.19,108.81,9112000,54.6711082903258,54.918488870825,53.5282100084194,53.8349619282385,9531152,0.0,1.0
2000-02-25,108.0,109.87,104.94,109.87,10312200,53.4342053878297,54.3594087588968,51.9202362351746,54.3594087588968,10786561,0.0,1.0
2000-02-28,104.5,106.5,103.94,104.62,8479900,51.7025413243353,52.6920636463321,51.4254750741761,51.7619126636551,8869975,0.0,1.0
2000-02-29,102.75,105.56,100.94,105.56,10484900,50.836709292588,52.2269881549936,49.9411915911809,52.2269881549936,10967205,0.0,1.0
2000-03-01,100.25,105.5,100.06,102.0,10807800,49.599806390092,52.1973024853337,49.5058017695023,50.4656384218392,11304958,0.0,1.0
2000-03-02,103.12,105.44,99.5,100.5,11192900,51.0197709221574,52.1676168156738,49.2287355193431,49.7234966803416,11707773,0.0,1.0
2000-03-03,108.0,110.0,106.06,107.25,10162800,53.4342053878297,54.4237277098266,52.4743687354928,53.0631345170809,10630288,0.0,1.0
2000-03-06,103.06,111.0,101.0,109.94,10747400,50.9900852524975,54.918488870825,49.9708772608408,54.3940420401667,11241780,0.0,1.0
2000-03-07,103.0,107.0,101.69,106.0,10035100,50.9603995828376,52.9394442268313,50.3122624619297,52.4446830658329,10496714,0.0,1.0
2000-03-08,106.25,106.87,102.75,103.0,8376400,52.5683733560825,52.8751252759015,50.836709292588,50.9603995828376,8761714,0.0,1.0
2000-03-09,108.0,108.0,104.12,106.5,6334100,53.4342053878297,53.4342053878297,51.5145320831559,52.6920636463321,6625468,0.0,1.0
2000-03-10,105.25,109.0,105.0,107.62,7093200,52.0736121950841,53.9289665488282,51.9499219048345,53.2461961466503,7419487,0.0,1.0
2000-03-13,107.69,109.0,102.5,104.0,7871000,53.2808294279202,53.9289665488282,50.7130190023384,51.455160743836,8233066,0.0,1.0
2000-03-14,108.62,110.0,107.37,107.75,7973700,53.7409573076488,54.4237277098266,53.1225058564007,53.3105150975801,8340490,0.0,1.0
2000-03-15,107.0,108.25,106.12,107.5,5665900,52.9394442268313,53.5578956780793,52.5040544051527,53.1868248073305,5926531,0.0,1.0
2000-03-16,109.0,109.81,107.87,109.0,6622500,53.9289665488282,54.3297230892369,53.3698864368999,53.9289665488282,6927135,0.0,1.0
2000-03-17,110.0,111.69,107.69,108.25,8857300,54.4237277098266,55.2598740719139,53.2808294279202,53.5578956780793,9264735,0.0,1.0
2000-03-20,112.75,113.37,109.94,110.0,6563500,55.7843209025722,56.0910728223913,54.3940420401667,54.4237277098266,6865421,0.0,1.0
2000-03-21,113.5,114.69,111.94,112.81,6771600,56.1553917733211,56.7441575549092,55.3835643621635,55.8140065722322,7083093,0.0,1.0
2000-03-22,114.25,115.37,113.87,114.5,6137800,56.5264626440699,57.0805951443881,56.3384534028905,56.6501529343195,6420138,0.0,1.0
2000-03-23,115.25,115.87,111.62,115.87,6492400,57.0212238050683,57.3279757248873,55.225240790644,57.3279757248873,6791050,0.0,1.0
2000-03-24,120.62,122.25,115.06,115.37,12125600,59.6780912396298,60.4845519320573,56.9272191844786,57.0805951443881,12683377,0.0,1.0
2000-03-27,126.87,128.25,124.62,125.0,11862900,62.77034849587,63.4531188980478,61.6571358836235,61.8451451248029,12408593,0.0,1.0
2000-03-28,122.5,127.0,122.06,125.75,8149600,60.6082422223069,62.8346674467998,60.3905473114676,62.2162159955518,8524481,0.0,1.0
2000-03-29,119.0,122.44,118.5,122.31,7312300,58.8765781588124,60.578556552647,58.6291975783132,60.5142376017172,7648665,0.0,1.0
2000-03-30,122.75,123.0,118.69,118.87,9158000,60.7319325125565,60.8556228028061,58.7232021989029,58.8122592078826,9579268,0.0,1.0
2000-03-31,118.37,123.75,117.06,122.62,8015200,58.5648786273834,61.2266936735549,57.9167415064755,60.6676135616267,8383899,0.0,1.0
2000-04-03,122.0,122.37,119.44,120.0,7715600,60.3608616418077,60.5439232713771,59.0942730696517,59.3713393198108,8070517,0.0,1.0
2000-04-04,121.19,126.94,115.06,121.5,16667200,59.9601051013989,62.8049817771399,56.9272191844786,60.1134810613085,17433891,0.0,1.0
2000-04-05,125.0,125.75,119.75,120.5,8693500,61.8451451248029,62.2162159955518,59.2476490295612,59.61871990031,9093401,0.0,1.0
2000-04-06,122.75,128.0,122.62,123.5,8887400,60.7319325125565,63.3294286077982,60.6676135616267,61.1030033833053,9296220,0.0,1.0
2000-04-07,123.12,125.69,121.5,123.5,5380300,60.9149941421259,62.1865303258918,60.1134810613085,61.1030033833053,5627793,0.0,1.0
2000-04-10,122.12,125.37,121.56,124.75,5507300,60.4202329811275,62.0282067543724,60.1431667309684,61.7214548345533,5760635,0.0,1.0
2000-04-11,119.37,121.62,117.81,121.62,7738700,59.0596397883818,60.1728524006283,58.2878123772243,60.1728524006283,8094680,0.0,1.0
2000-04-12,113.75,119.62,111.69,119.62,8885200,56.2790820635707,59.1833300786314,55.2598740719139,59.1833300786314,9293919,0.0,1.0
2000-04-13,110.62,114.31,110.0,112.5,8236400,54.7304796296456,56.5561483137298,54.4237277098266,55.6606306123226,8615274,0.0,1.0
2000-04-14,105.0,112.75,102.87,109.81,11782000,51.9499219048345,55.7843209025722,50.8960806319078,54.3297230892369,12323972,0.0,1.0
2000-04-17,111.87,112.25,103.31,103.87,9969500,55.3489310808936,55.536940322073,51.1137755427471,51.3908417929063,10428097,0.0,1.0
2000-04-18,111.5,115.12,110.06,112.25,8205500,55.1658694513242,56.9569048541385,54.4534133794865,55.536940322073,8582953,0.0,1.0
2000-04-19,105.0,109.75,102.81,109.75,14674500,51.9499219048345,54.300037419577,50.8663949622479,54.300037419577,15349527,0.0,1.0
2000-04-20,104.0,105.25,102.06,105.0,10633300,51.455160743836,52.0736121950841,50.4953240914991,51.9499219048345,11122431,0.0,1.0
2000-04-24,106.5,107.19,101.25,102.0,8523100,52.6920636463321,53.033448847421,50.0945675510904,50.4656384218392,8915162,0.0,1.0
2000-04-25,112.5,113.0,106.44,106.5,9576400,55.6606306123226,55.9080111928219,52.6623779766722,52.6920636463321,10016914,0.0,1.0
2000-04-26,110.5,113.94,109.0,112.5,6182800,54.6711082903258,56.3730866841604,53.9289665488282,55.6606306123226,6467208,0.0,1.0
