date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1980-03-17,62.5,63.5,62.5,62.5,56900,0.181502745728826,0.184406789660487,0.181502745728826,0.181502745728826,10924800,0.0,1.0
1980-03-18,62.0,63.0,62.0,62.5,88900,0.180050723762995,0.182954767694656,0.180050723762995,0.181502745728826,17068800,0.0,1.0
1980-03-19,63.5,64.5,63.5,63.5,96400,0.184406789660487,0.187310833592148,0.184406789660487,0.184406789660487,18508800,0.0,1.0
1980-03-20,63.25,64.25,63.25,63.5,58200,0.183680778677572,0.186584822609233,0.183680778677572,0.184406789660487,11174400,0.0,1.0
1980-03-21,61.0,62.0,61.0,62.0,63400,0.177146679831334,0.180050723762995,0.177146679831334,0.180050723762995,12172800,0.0,1.0
1980-03-24,59.75,60.75,59.75,60.75,46700,0.173516624916757,0.176420668848419,0.173516624916757,0.176420668848419,8966400,0.0,1.0
1980-03-25,60.0,61.0,60.0,60.0,59100,0.174242635899673,0.177146679831334,0.174242635899673,0.174242635899673,11347200,0.0,1.0
1980-03-26,59.5,60.5,59.5,60.0,84700,0.172790613933842,0.175694657865503,0.172790613933842,0.174242635899673,16262400,0.0,1.0
1980-03-27,57.5,58.5,57.5,58.5,140200,0.16698252607052,0.169886570002181,0.16698252607052,0.169886570002181,26918400,0.0,1.0
1980-03-28,59.75,60.75,59.75,59.75,104700,0.173516624916757,0.176420668848419,0.173516624916757,0.173516624916757,20102400,0.0,1.0
1980-03-31,61.75,62.75,61.75,61.75,46900,0.17932471278008,0.182228756711741,0.17932471278008,0.17932471278008,9004800,0.0,1.0
1980-04-01,62.0,63.0,62.0,62.0,42600,0.180050723762995,0.182954767694656,0.180050723762995,0.180050723762995,8179200,0.0,1.0
1980-04-02,62.5,63.5,62.5,62.5,65400,0.181502745728826,0.184406789660487,0.181502745728826,0.181502745728826,12556800,0.0,1.0
1980-04-03,61.25,62.25,61.25,62.25,36400,0.177872690814249,0.18077673474591,0.177872690814249,0.18077673474591,6988800,0.0,1.0
1980-04-07,59.75,60.75,59.75,60.75,70200,0.173516624916757,0.176420668848419,0.173516624916757,0.176420668848419,13478400,0.0,1.0
1980-04-08,60.0,61.0,60.0,60.0,152000,0.174242635899673,0.177146679831334,0.174242635899673,0.174242635899673,29184000,0.0,1.0
