date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2000-01-03,60.38,60.38,58.13,59.61,2535300,26.6015312561053,26.6015312561053,25.6102519363597,26.262293444459,5070600,0.0,1.0
2000-01-04,60.88,62.13,56.69,57.13,3383200,26.8218155493821,27.372526282574,24.9758331717225,25.1696833498061,6766400,0.0,1.0
2000-01-05,73.31,75.0,61.5,61.94,11276500,32.2980830802431,33.0426439915186,27.0949680730453,27.2888182511289,22553000,0.0,1.0
2000-01-06,70.0,75.94,70.0,73.38,4367000,30.8398010587507,33.456778462879,30.8398010587507,32.3289228813018,8734000,0.0,1.0
2000-01-07,73.56,74.75,63.69,69.63,4268900,32.4082252268815,32.9325018448802,28.0598132775976,30.6767906817259,8537800,0.0,1.0
2000-01-10,85.13,90.0,73.25,75.0,4198700,37.5056037733064,39.6511727898224,32.2716489650499,33.0426439915186,8397400,0.0,1.0
2000-01-11,82.38,84.38,79.25,82.94,2847100,36.2940401602841,37.1751773333912,34.9150604843714,36.5407585687541,5694200,0.0,1.0
2000-01-12,71.13,81.81,66.38,81.75,4172000,31.3376435615563,36.0429160659485,29.2449427754268,36.0164819507553,8344000,0.0,1.0
2000-01-13,80.0,81.75,73.63,73.63,3891100,35.2454869242865,36.0164819507553,32.4390650279402,32.4390650279402,7782200,0.0,1.0
2000-01-14,81.38,85.88,77.63,82.81,2940400,35.8534715737305,37.8360302132216,34.2013393741545,36.4834846525021,5880800,0.0,1.0
2000-01-18,76.75,81.31,75.5,81.31,1760200,33.8136390179874,35.8226317726717,33.2629282847954,35.8226317726717,3520400,0.0,1.0
2000-01-19,74.5,78.13,73.94,77.0,1776800,32.8223596982418,34.4216236674313,32.5756412897718,33.9237811646258,3553600,0.0,1.0
2000-01-20,76.38,78.31,74.0,75.5,2210400,33.6506286409626,34.500926013011,32.602075404965,33.2629282847954,4420800,0.0,1.0
2000-01-21,75.63,79.25,74.13,79.0,3187200,33.3202022010474,34.9150604843714,32.659349321217,34.804918337733,6374400,0.0,1.0
2000-01-24,67.56,75.63,67.38,75.56,2228700,29.76481370756,33.3202022010474,29.6855113619803,33.2893623999886,4457400,0.0,1.0
2000-01-25,70.31,72.25,68.13,70.0,2531700,30.9763773205823,31.8310803784963,30.0159378018955,30.8398010587507,5063400,0.0,1.0
2000-01-26,65.75,73.0,65.56,71.25,1467800,28.967384565898,32.1615068184115,28.8836765344528,31.3905117919427,2935600,0.0,1.0
2000-01-27,64.0,70.94,60.44,67.06,3066100,28.1963895394292,31.2539355301111,26.6279653712985,29.5445294142832,6132200,0.0,1.0
2000-01-28,57.75,65.38,56.63,63.06,3572300,25.4428358734693,28.8043741888732,24.9493990565293,27.7822550680689,7144600,0.0,1.0
2000-01-31,60.31,61.06,55.5,56.88,3046200,26.5706914550465,26.9011178949617,24.4515565537238,25.0595412031677,6092400,0.0,1.0
2000-02-01,64.81,64.88,59.25,62.19,2240700,28.5532500945376,28.5840898955964,26.1036887532997,27.3989603977672,4481400,0.0,1.0
2000-02-02,67.75,71.0,65.5,65.69,3150100,29.8485217390052,31.2803696453043,28.8572424192596,28.9409504507048,6300200,0.0,1.0
2000-02-03,69.63,70.31,65.5,69.19,2576500,30.6767906817259,30.9763773205823,28.8572424192596,30.4829405036423,5153000,0.0,1.0
2000-02-04,69.25,72.25,68.25,70.98,1921500,30.5093746188355,31.8310803784963,30.068806032282,31.2715582735732,3843000,0.0,1.0
2000-02-07,67.56,69.38,66.81,69.38,1439400,29.76481370756,30.5666485350875,29.4343872676448,30.5666485350875,2878800,0.0,1.0
2000-02-08,69.0,72.0,68.63,69.94,2210100,30.3992324721971,31.7209382318579,30.2362220951723,30.8133669435575,4420200,0.0,1.0
2000-02-09,65.25,70.3,64.94,69.31,2581500,28.7471002726212,30.9719716347168,28.6105240107896,30.5358087340287,5163000,0.0,1.0
2000-02-10,63.75,64.69,61.0,64.38,3131100,28.0862473927908,28.5003818641512,26.8746837797685,28.3638056023196,6262200,0.0,1.0
2000-02-11,61.0,63.88,59.88,63.06,2728900,26.8746837797685,28.1435213090428,26.3812469628285,27.7822550680689,5457800,0.0,1.0
2000-02-14,59.75,61.38,59.0,61.38,1583100,26.3239730465765,27.0420998426588,25.9935466066613,27.0420998426588,3166200,0.0,1.0
2000-02-15,57.44,61.0,55.0,59.38,4472500,25.3062596116377,26.8746837797685,24.231272260447,26.1609626695517,8945000,0.0,1.0
2000-02-16,61.06,63.0,58.25,59.0,3966400,26.9011178949617,27.7558209528756,25.6631201667461,25.9935466066613,7932800,0.0,1.0
2000-02-17,64.31,64.63,62.0,63.19,2265200,28.3329658012608,28.473947748958,27.3152523663221,27.8395289843208,4530400,0.0,1.0
2000-02-18,61.19,65.75,59.88,65.75,2044500,26.9583918112137,28.967384565898,26.3812469628285,28.967384565898,4089000,0.0,1.0
2000-02-22,62.13,62.63,59.75,60.63,2361800,27.372526282574,27.5928105758508,26.3239730465765,26.7116734027437,4723600,0.0,1.0
2000-02-23,67.56,68.06,61.63,61.69,3771200,29.76481370756,29.9850980008368,27.1522419892972,27.1786761044905,7542400,0.0,1.0
2000-02-24,72.31,72.75,68.0,68.63,5310500,31.8575144936895,32.0513646717731,29.9586638856436,30.2362220951723,10621000,0.0,1.0
2000-02-25,58.56,63.5,57.0,63.0,21409100,25.7996964285777,27.9761052461524,25.1124094335542,27.7558209528756,42818200,0.0,1.0
2000-02-28,53.69,59.5,52.69,58.56,5619800,23.6541274120618,26.2138308999381,23.2135588255082,25.7996964285777,11239600,0.0,1.0
2000-02-29,52.5,54.88,51.25,54.75,5443000,23.129850794063,24.1784040300606,22.5791400608711,24.1211301138086,10886000,0.0,1.0
2000-03-01,48.25,53.88,47.75,52.63,7782400,21.2574343012103,23.737835443507,21.0371500079335,23.187124710315,15564800,0.0,1.0
2000-03-02,46.56,49.63,45.5,48.69,5116900,20.5128733899348,21.8654189506543,20.045870688188,21.4512844792939,10233800,0.0,1.0
2000-03-03,52.88,55.0,49.53,51.25,5869700,23.2972668569534,24.231272260447,21.8213620919989,22.5791400608711,11739400,0.0,1.0
2000-03-06,55.06,57.25,53.81,55.5,4760300,24.2577063756402,25.2225515801926,23.7069956424482,24.4515565537238,9520600,0.0,1.0
2000-03-07,51.69,56.75,50.5,56.38,3240200,22.7729902389546,25.0022672869158,22.2487136209559,24.8392569098909,6480400,0.0,1.0
2000-03-08,51.38,53.88,50.75,53.5,2747700,22.636413977123,23.737835443507,22.3588557675943,23.5704193806166,5495400,0.0,1.0
2000-03-09,56.25,56.38,50.0,50.5,5311400,24.781982993639,24.8392569098909,22.0284293276791,22.2487136209559,10622800,0.0,1.0
2000-03-10,58.44,59.63,54.94,55.25,4705900,25.7468281981913,26.2711048161901,24.2048381452538,24.3414144070854,9411800,0.0,1.0
2000-03-13,53.5,57.44,53.44,57.31,3263400,23.5704193806166,25.3062596116377,23.5439852654234,25.2489856953858,6526800,0.0,1.0
2000-03-14,51.06,56.0,51.0,55.25,2438800,22.4954320294259,24.6718408470006,22.4689979142327,24.3414144070854,4877600,0.0,1.0
2000-03-15,50.06,53.0,48.81,53.0,3043000,22.0548634428723,23.3501350873398,21.5041527096803,23.3501350873398,6086000,0.0,1.0
2000-03-16,51.94,53.02,46.25,51.75,5205400,22.883132385593,23.3589464590709,20.3762971281032,22.7994243541479,10410800,0.0,1.0
2000-03-17,54.5,55.0,52.5,53.75,5378100,24.0109879671702,24.231272260447,23.129850794063,23.680561527255,10756200,0.0,1.0
2000-03-20,51.0,54.88,50.25,54.38,2098400,22.4689979142327,24.1784040300606,22.1385714743175,23.9581197367838,4196800,0.0,1.0
2000-03-21,52.94,53.06,48.25,51.0,2488000,23.3237009721466,23.376569202533,21.2574343012103,22.4689979142327,4976000,0.0,1.0
2000-03-22,52.44,52.88,51.0,52.38,2681400,23.1034166788698,23.2972668569534,22.4689979142327,23.0769825636766,5362800,0.0,1.0
2000-03-23,55.94,56.75,50.63,51.0,5408800,24.6454067318074,25.0022672869158,22.3059875372078,22.4689979142327,10817600,0.0,1.0
2000-03-24,59.75,61.12,56.75,56.88,9094800,26.3239730465765,26.9275520101549,25.0022672869158,25.0595412031677,18189600,0.0,1.0
2000-03-27,58.94,61.38,58.44,60.0,3272200,25.9671124914681,27.0420998426588,25.7468281981913,26.4341151932149,6544400,0.0,1.0
2000-03-28,56.06,58.63,55.94,58.63,1823000,24.6982749621938,25.8305362296365,24.6454067318074,25.8305362296365,3646000,0.0,1.0
2000-03-29,51.94,56.5,51.5,56.5,3596700,22.883132385593,24.8921251402774,22.6892822075095,24.8921251402774,7193400,0.0,1.0
2000-03-30,50.94,53.69,50.5,51.13,2828900,22.4425637990395,23.6541274120618,22.2487136209559,22.5262718304846,5657800,0.0,1.0
2000-03-31,54.38,55.0,50.88,52.0,3161900,23.9581197367838,24.231272260447,22.4161296838462,22.9095665007862,6323800,0.0,1.0
2000-04-03,49.31,53.75,49.0,53.0,2320900,21.7244370029571,23.680561527255,21.5878607411255,23.3501350873398,4641800,0.0,1.0
2000-04-04,51.69,52.63,45.63,50.94,3025500,22.7729902389546,23.187124710315,20.1031446044399,22.4425637990395,6051000,0.0,1.0
2000-04-05,49.63,52.25,48.56,50.0,2415900,21.8654189506543,23.0197086474246,21.3940105630419,22.0284293276791,4831800,0.0,1.0
2000-04-06,48.75,51.0,47.88,50.69,2283900,21.4777185944871,22.4689979142327,21.0944239241855,22.3324216524011,4567800,0.0,1.0
2000-04-07,50.31,50.94,48.88,49.19,2540600,22.1650055895107,22.4425637990395,21.5349925107391,21.6715687725707,5081200,0.0,1.0
2000-04-10,41.0,47.31,40.0,47.31,9390200,18.0633120486969,20.84329982985,17.6227434621433,20.84329982985,18780400,0.0,1.0
2000-04-11,39.5,41.19,37.5,41.19,7920400,17.4024591688665,18.147020080142,16.5213219957593,18.147020080142,15840800,0.0,1.0
2000-04-12,37.44,41.0,36.13,40.5,4924400,16.4948878805661,18.0633120486969,15.9177430321809,17.8430277554201,9848800,0.0,1.0
2000-04-13,35.63,40.13,35.25,37.56,4353500,15.6974587389041,17.6800173783952,15.5300426760138,16.5477561109525,8707000,0.0,1.0
2000-04-14,32.0,40.13,31.88,34.63,4225400,14.0981947697146,17.6800173783952,14.0453265393282,15.2568901523505,8450800,0.0,1.0
2000-04-17,33.88,35.0,30.5,31.75,4948800,14.9264637124353,15.4199005293754,13.4373418898842,13.9880526230762,9897600,0.0,1.0
2000-04-18,36.75,37.13,33.0,35.0,4493900,16.1908955558441,16.3583116187345,14.5387633562682,15.4199005293754,8987800,0.0,1.0
2000-04-19,34.94,37.5,34.44,37.5,3083500,15.3934664141821,16.5213219957593,15.1731821209054,16.5213219957593,6167000,0.0,1.0
2000-04-20,35.0,35.38,33.88,35.06,2649800,15.4199005293754,15.5873165922657,14.9264637124353,15.4463346445686,5299600,0.0,1.0
2000-04-24,31.75,34.5,30.0,34.44,2382400,13.9880526230762,15.1996162360986,13.2170575966075,15.1731821209054,4764800,0.0,1.0
2000-04-25,35.56,35.94,32.56,33.38,3660000,15.6666189378454,15.8340350007357,14.3449131781846,14.7061794191586,7320000,0.0,1.0
2000-04-26,37.13,40.25,35.5,35.75,4533800,16.3583116187345,17.7328856087817,15.6401848226522,15.7503269692905,9067600,0.0,1.0
2000-04-27,40.0,40.31,34.06,36.63,2992400,17.6227434621433,17.7593197239749,15.005766058015,16.1380273254577,5984800,0.0,1.0
2000-04-28,35.94,40.75,35.5,40.63,3721800,15.8340350007357,17.9531699020585,15.6401848226522,17.900301671672,7443600,0.0,1.0
2000-05-01,36.13,38.0,36.0,37.13,4091300,15.9177430321809,16.7416062890361,15.8604691159289,16.3583116187345,8182600,0.0,1.0
2000-05-02,34.5,37.0,34.13,36.5,1997400,15.1996162360986,16.3010377024825,15.0366058590737,16.0807534092057,3994800,0.0,1.0
2000-05-03,32.06,34.06,31.13,34.06,2143400,14.1246288849078,15.005766058015,13.714900099413,15.005766058015,4286800,0.0,1.0
2000-05-04,33.5,34.38,32.13,33.0,1950700,14.759047649545,15.1467480057121,14.1554686859666,14.5387633562682,3901400,0.0,1.0
2000-05-05,34.63,35.25,32.5,32.56,1633000,15.2568901523505,15.5300426760138,14.3184790629914,14.3449131781846,3266000,0.0,1.0
2000-05-08,32.0,34.81,31.94,34.69,1667900,14.0981947697146,15.3361924979302,14.0717606545214,15.2833242675437,3335800,0.0,1.0
2000-05-09,31.56,32.38,29.44,32.38,3554600,13.904344591631,14.265610832605,12.9703391881374,14.265610832605,7109200,0.0,1.0
2000-05-10,30.19,32.13,29.5,31.38,1734300,13.3007656280526,14.1554686859666,12.9967733033307,13.8250422460514,3468600,0.0,1.0
2000-05-11,30.06,31.0,28.81,31.0,4518600,13.2434917118007,13.657626183161,12.6927809786087,13.657626183161,9037200,0.0,1.0
2000-05-12,28.56,30.38,28.31,30.31,4887200,12.5826388319703,13.3844736594978,12.4724966853319,13.3536338584391,9774400,0.0,1.0
2000-05-15,28.25,29.0,27.25,28.94,3632600,12.4460625701387,12.7764890100539,12.0054939835851,12.7500548948607,7265200,0.0,1.0
2000-05-16,28.38,28.69,27.56,28.5,3095700,12.5033364863906,12.6399127482223,12.1420702454167,12.5562047167771,6191400,0.0,1.0
2000-05-17,28.0,28.94,27.63,28.19,2776800,12.3359204235003,12.7500548948607,12.1729100464755,12.4196284549455,5553600,0.0,1.0
2000-05-18,26.13,28.31,25.75,28.25,2211300,11.5120571666451,12.4724966853319,11.3446411037547,12.4460625701387,4422600,0.0,1.0
2000-05-19,29.13,30.0,26.19,26.19,6165800,12.8337629263058,13.2170575966075,11.5384912818383,11.5384912818383,12331600,0.0,1.0
2000-05-22,28.31,29.75,26.5,29.63,8835500,12.4724966853319,13.1069154499691,11.6750675436699,13.0540472195826,17671000,0.0,1.0
2000-05-23,27.06,29.25,26.75,28.38,4149100,11.9217859521399,12.8866311566923,11.7852096903083,12.5033364863906,8298200,0.0,1.0
2000-05-24,35.06,36.0,28.88,29.61,13801200,15.4463346445686,15.8604691159289,12.7236207796674,13.0452358478516,27602400,0.0,1.0
2000-05-25,31.94,38.38,31.5,35.25,6623800,14.0717606545214,16.9090223519265,13.8779104764378,15.5300426760138,13247600,0.0,1.0
2000-05-26,33.31,33.5,31.88,32.5,3227700,14.6753396180998,14.759047649545,14.0453265393282,14.3184790629914,6455400,0.0,1.0
2000-05-30,38.25,38.31,34.38,34.44,2725300,16.8517484356745,16.8781825508677,15.1467480057121,15.1731821209054,5450600,0.0,1.0
2000-05-31,36.5,38.0,36.13,37.63,1774900,16.0807534092057,16.7416062890361,15.9177430321809,16.5785959120113,3549800,0.0,1.0
2000-06-01,38.38,39.0,36.88,37.0,1834800,16.9090223519265,17.1821748755897,16.2481694720961,16.3010377024825,3669600,0.0,1.0
2000-06-02,40.94,41.5,39.38,40.5,3272800,18.0368779335036,18.2835963419736,17.34959093848,17.8430277554201,6545600,0.0,1.0
2000-06-05,42.63,43.63,40.63,40.94,3683900,18.7814388447792,19.2220074313328,17.900301671672,18.0368779335036,7367800,0.0,1.0
2000-06-06,38.88,41.81,38.63,41.69,3043400,17.1293066452033,18.4201726038053,17.0191644985649,18.3673043734188,6086800,0.0,1.0
2000-06-07,37.69,40.0,36.0,39.5,4628500,16.6050300272045,17.6227434621433,15.8604691159289,17.4024591688665,9257000,0.0,1.0
2000-06-08,37.25,38.5,37.13,38.44,2109900,16.4111798491209,16.9618905823129,16.3583116187345,16.9354564671197,4219800,0.0,1.0
2000-06-09,38.56,40.13,37.63,38.13,2812500,16.9883246975061,17.6800173783952,16.5785959120113,16.7988802052881,5625000,0.0,1.0
2000-06-12,36.44,38.94,36.38,38.88,1408300,16.0543192940125,17.1557407603965,16.0278851788193,17.1293066452033,2816600,0.0,1.0
2000-06-13,36.5,37.69,36.13,36.5,1868400,16.0807534092057,16.6050300272045,15.9177430321809,16.0807534092057,3736800,0.0,1.0
2000-06-14,36.94,37.5,36.56,36.63,2176700,16.2746035872893,16.5213219957593,16.1071875243989,16.1380273254577,4353400,0.0,1.0
2000-06-15,38.31,38.5,35.19,37.31,1844700,16.8781825508677,16.9618905823129,15.5036085608205,16.4376139643141,3689400,0.0,1.0
2000-06-16,38.2,38.75,37.38,37.75,2520100,16.8297200063468,17.0720327289513,16.4684537653729,16.6314641423977,5040200,0.0,1.0
2000-06-19,38.81,38.94,36.63,38.38,1527700,17.0984668441445,17.1557407603965,16.1380273254577,16.9090223519265,3055400,0.0,1.0
2000-06-20,37.81,38.88,37.38,38.81,1886100,16.6578982575909,17.1293066452033,16.4684537653729,17.0984668441445,3772200,0.0,1.0
2000-06-21,37.94,38.38,36.38,37.13,1951000,16.7151721738429,16.9090223519265,16.0278851788193,16.3583116187345,3902000,0.0,1.0
2000-06-22,37.75,40.06,37.56,37.94,1896100,16.6314641423977,17.6491775773365,16.5477561109525,16.7151721738429,3792200,0.0,1.0
2000-06-23,37.0,38.63,36.75,38.0,1471400,16.3010377024825,17.0191644985649,16.1908955558441,16.7416062890361,2942800,0.0,1.0
2000-06-26,38.81,38.88,36.38,37.75,2041800,17.0984668441445,17.1293066452033,16.0278851788193,16.6314641423977,4083600,0.0,1.0
2000-06-27,38.38,39.25,37.75,39.13,2574800,16.9090223519265,17.2923170222281,16.6314641423977,17.2394487918417,5149600,0.0,1.0
2000-06-28,38.81,39.5,37.5,38.75,3170300,17.0984668441445,17.4024591688665,16.5213219957593,17.0720327289513,6340600,0.0,1.0
2000-06-29,41.63,42.0,38.38,38.56,5502700,18.3408702582256,18.5038806352504,16.9090223519265,16.9883246975061,11005400,0.0,1.0
2000-06-30,41.38,42.0,39.94,42.0,2850600,18.2307281115872,18.5038806352504,17.5963093469501,18.5038806352504,5701200,0.0,1.0
2000-07-03,40.31,41.25,40.25,41.06,435500,17.7593197239749,18.1734541953352,17.7328856087817,18.0897461638901,871000,0.0,1.0
2000-07-05,44.06,44.94,40.0,40.63,3968300,19.4114519235508,19.799152279718,17.6227434621433,17.900301671672,7936600,0.0,1.0
2000-07-06,44.75,44.88,42.13,44.0,2421000,19.7154442482728,19.7727181645247,18.5611545515024,19.3850178083576,4842000,0.0,1.0
2000-07-07,44.44,45.5,44.13,44.88,1669800,19.5788679864412,20.045870688188,19.4422917246096,19.7727181645247,3339600,0.0,1.0
2000-07-10,44.75,46.19,43.25,44.06,1619100,19.7154442482728,20.3498630129099,19.0545913684424,19.4114519235508,3238200,0.0,1.0
2000-07-11,43.75,46.13,43.44,44.66,3127500,19.2748756617192,20.3234288977167,19.1382993998876,19.675793075483,6255000,0.0,1.0
2000-07-12,42.44,45.0,41.13,44.25,2518100,18.697730813334,19.8255863949112,18.1205859649488,19.495159954996,5036200,0.0,1.0
2000-07-13,42.69,43.88,41.25,42.39,2497700,18.8078729599724,19.3321495779712,18.1734541953352,18.6757023840063,4995400,0.0,1.0
2000-07-14,42.25,43.94,41.75,43.44,1908100,18.6140227818888,19.3585836931644,18.393738488612,19.1382993998876,3816200,0.0,1.0
2000-07-17,41.06,42.13,40.38,42.06,1688300,18.0897461638901,18.5611545515024,17.7901595250336,18.5303147504436,3376600,0.0,1.0
2000-07-18,39.56,41.38,39.5,40.5,1483100,17.4288932840597,18.2307281115872,17.4024591688665,17.8430277554201,2966200,0.0,1.0
2000-07-19,39.06,41.63,38.81,40.5,2819900,17.2086089907829,18.3408702582256,17.0984668441445,17.8430277554201,5639800,0.0,1.0
2000-07-20,38.88,40.5,38.88,39.81,2165900,17.1293066452033,17.8430277554201,17.1293066452033,17.5390354306981,4331800,0.0,1.0
2000-07-21,37.88,39.5,37.88,38.97,1626900,16.6887380586497,17.4024591688665,16.6887380586497,17.1689578179931,3253800,0.0,1.0
2000-07-24,37.13,38.94,36.63,38.19,1907600,16.3583116187345,17.1557407603965,16.1380273254577,16.8253143204813,3815200,0.0,1.0
2000-07-25,37.31,38.19,36.38,37.31,1480300,16.4376139643141,16.8253143204813,16.0278851788193,16.4376139643141,2960600,0.0,1.0
2000-07-26,35.44,37.38,33.75,37.31,2857800,15.6137507074589,16.4684537653729,14.8691897961834,16.4376139643141,5715600,0.0,1.0
2000-07-27,34.69,35.88,34.06,34.88,1058600,15.2833242675437,15.8076008855425,15.005766058015,15.3670322989889,2117200,0.0,1.0
2000-07-28,33.13,36.19,33.0,34.75,1715400,14.5960372725202,15.9441771473741,14.5387633562682,15.309758382737,3430800,0.0,1.0
2000-07-31,34.0,34.44,32.25,33.81,1890900,14.9793319428218,15.1731821209054,14.208336916353,14.8956239113766,3781800,0.0,1.0
2000-08-01,35.0,37.5,34.38,36.63,3327300,15.4199005293754,16.5213219957593,15.1467480057121,16.1380273254577,6654600,0.0,1.0
2000-08-02,39.19,40.75,36.06,36.31,5305800,17.2658829070349,17.9531699020585,15.8869032311222,15.9970453777606,10611600,0.0,1.0
2000-08-03,39.0,39.25,37.0,38.38,2749900,17.1821748755897,17.2923170222281,16.3010377024825,16.9090223519265,5499800,0.0,1.0
