date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2000-06-16,9.12,9.25,9.0,9.06,115800,2.02666464,2.0555535,1.999998,2.01333132,521100,0.0,1.0
2000-06-19,9.0,9.25,9.0,9.12,302800,1.999998,2.0555535,1.999998,2.02666464,1362601,0.0,1.0
2000-06-20,9.38,9.81,7.88,9.03,261600,2.08444236,2.17999782,1.75110936,2.00666466,1177201,0.0,1.0
2000-06-21,11.0,11.12,9.62,10.0,520400,2.444442,2.47110864,2.13777564,2.22222,2341802,0.0,1.0
2000-06-22,9.88,11.12,9.53,11.06,190600,2.19555336,2.47110864,2.11777566,2.45777532,857700,0.0,1.0
2000-06-23,10.38,10.62,10.0,10.19,136600,2.30666436,2.35999764,2.22222,2.26444218,614700,0.0,1.0
2000-06-26,10.0,10.62,9.75,10.5,101800,2.22222,2.35999764,2.1666645,2.333331,458100,0.0,1.0
2000-06-27,9.5,10.44,9.0,10.0,136800,2.111109,2.31999768,1.999998,2.22222,615600,0.0,1.0
2000-06-28,9.62,9.88,9.12,9.62,184000,2.13777564,2.19555336,2.02666464,2.13777564,828000,0.0,1.0
2000-06-29,9.0,9.88,9.0,9.88,185400,1.999998,2.19555336,1.999998,2.19555336,834300,0.0,1.0
2000-06-30,9.44,9.62,9.12,9.31,191000,2.09777568,2.13777564,2.02666464,2.06888682,859500,0.0,1.0
2000-07-03,9.62,9.75,9.5,9.75,32000,2.13777564,2.1666645,2.111109,2.1666645,144000,0.0,1.0
2000-07-05,10.0,10.0,9.5,9.75,138200,2.22222,2.22222,2.111109,2.1666645,621900,0.0,1.0
2000-07-06,9.75,10.06,9.44,10.0,129800,2.1666645,2.23555332,2.09777568,2.22222,584100,0.0,1.0
2000-07-07,10.25,11.62,9.56,10.03,793600,2.2777755,2.58221964,2.12444232,2.22888666,3571203,0.0,1.0
2000-07-10,12.56,13.25,10.44,11.06,629000,2.79110832,2.9444415,2.31999768,2.45777532,2830502,0.0,1.0
2000-07-11,12.75,14.25,11.88,13.56,1337000,2.8333305,3.1666635,2.63999736,3.01333032,6016506,0.0,1.0
2000-07-12,15.0,15.44,12.69,13.97,1094600,3.33333,3.43110768,2.81999718,3.10444134,4925704,0.0,1.0
2000-07-13,16.75,18.12,16.12,18.0,1220200,3.7222185,4.02666264,3.58221864,3.999996,5490905,0.0,1.0
2000-07-14,15.5,17.75,14.88,17.62,563800,3.444441,3.9444405,3.30666336,3.91555164,2537102,0.0,1.0
2000-07-17,15.62,16.12,15.25,16.0,184400,3.47110764,3.58221864,3.3888855,3.555552,829800,0.0,1.0
2000-07-18,14.5,15.94,14.38,15.69,134200,3.222219,3.54221868,3.19555236,3.48666318,603900,0.0,1.0
2000-07-19,14.0,14.5,13.12,14.38,176200,3.111108,3.222219,2.91555264,3.19555236,792900,0.0,1.0
2000-07-20,15.88,16.62,13.62,13.81,263200,3.52888536,3.69332964,3.02666364,3.06888582,1184401,0.0,1.0
2000-07-21,17.12,17.12,15.62,15.88,190600,3.80444064,3.80444064,3.47110764,3.52888536,857700,0.0,1.0
2000-07-24,16.75,17.75,16.06,17.0,186200,3.7222185,3.9444405,3.56888532,3.777774,837900,0.0,1.0
2000-07-25,16.12,17.25,15.5,16.88,96600,3.58221864,3.8333295,3.444441,3.75110736,434700,0.0,1.0
2000-07-26,17.38,17.5,14.12,16.12,196400,3.86221836,3.888885,3.13777464,3.58221864,883800,0.0,1.0
2000-07-27,17.12,19.0,16.5,16.75,223200,3.80444064,4.222218,3.666663,3.7222185,1004401,0.0,1.0
2000-07-28,16.25,17.19,15.5,17.12,151400,3.6111075,3.81999618,3.444441,3.80444064,681300,0.0,1.0
2000-07-31,18.88,19.06,14.88,16.0,319600,4.19555136,4.23555132,3.30666336,3.555552,1438201,0.0,1.0
2000-08-01,17.44,18.12,17.38,17.94,99200,3.87555168,4.02666264,3.86221836,3.98666268,446400,0.0,1.0
2000-08-02,17.06,18.19,17.0,17.5,66200,3.79110732,4.04221818,3.777774,3.888885,297900,0.0,1.0
2000-08-03,17.56,18.0,16.5,17.0,49000,3.90221832,3.999996,3.666663,3.777774,220500,0.0,1.0
2000-08-04,17.06,18.06,16.88,18.0,81400,3.79110732,4.01332932,3.75110736,3.999996,366300,0.0,1.0
2000-08-07,16.0,17.38,15.5,17.0,116000,3.555552,3.86221836,3.444441,3.777774,522000,0.0,1.0
