date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-09-18,9.89,10.25,9.82,10.25,564328,98.9,102.5,98.2,102.5,56432,0.0,1.0
2020-09-21,9.86,9.96,9.86,9.9,762763,98.6,99.6,98.6,99.0,76276,0.0,1.0
2020-09-22,9.88,9.96,9.85,9.96,1280789,98.8,99.6,98.5,99.6,128078,0.0,1.0
2020-09-23,9.85,9.905,9.7901,9.9,192570,98.5,99.05,97.901,99.0,19257,0.0,1.0
2020-09-24,9.77,9.85,9.75,9.85,605537,97.7,98.5,97.5,98.5,60553,0.0,1.0
2020-09-25,9.81,9.85,9.77,9.77,692465,98.1,98.5,97.7,97.7,69246,0.0,1.0
2020-09-28,9.83,9.94,9.83,9.9,72303,98.3,99.4,98.3,99.0,7230,0.0,1.0
2020-09-29,9.78,9.88,9.76,9.88,189577,97.8,98.8,97.6,98.8,18957,0.0,1.0
2020-09-30,9.78,9.85,9.77,9.85,546245,97.8,98.5,97.7,98.5,54624,0.0,1.0
2020-10-01,9.7599,9.85,9.74,9.85,1068527,97.599,98.5,97.4,98.5,106852,0.0,1.0
2020-10-02,9.74,9.8,9.73,9.73,3925673,97.4,98.0,97.3,97.3,392567,0.0,1.0
2020-10-05,9.71,9.8,9.69,9.8,3147963,97.1,98.0,96.9,98.0,314796,0.0,1.0
2020-10-06,9.68,9.75,9.67,9.74,1902445,96.8,97.5,96.7,97.4,190244,0.0,1.0
2020-10-07,9.71,9.75,9.67,9.72,1325422,97.1,97.5,96.7,97.2,132542,0.0,1.0
2020-10-08,9.7166,9.75,9.7,9.7,550328,97.166,97.5,97.0,97.0,55032,0.0,1.0
2020-10-09,9.75,9.77,9.7216,9.76,2401524,97.5,97.7,97.216,97.6,240152,0.0,1.0
2020-10-12,9.73,9.82,9.73,9.82,172260,97.3,98.2,97.3,98.2,17226,0.0,1.0
2020-10-13,9.7,9.85,9.67,9.85,1623875,97.0,98.5,96.7,98.5,162387,0.0,1.0
2020-10-14,9.68,9.7699,9.68,9.75,2177911,96.8,97.699,96.8,97.5,217791,0.0,1.0
