date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-07-30,16.46,17.5,15.1,15.5,64611284,16.46,17.5,15.1,15.5,64611284,0.0,1.0
2020-07-31,16.0,17.17,15.99,16.67,19532763,16.0,17.17,15.99,16.67,19532763,0.0,1.0
2020-08-03,16.36,17.0,15.77,16.26,11739959,16.36,17.0,15.77,16.26,11739959,0.0,1.0
2020-08-04,16.69,16.84,15.95,16.55,7781785,16.69,16.84,15.95,16.55,7781785,0.0,1.0
2020-08-05,16.75,17.0,16.4,16.649,3995389,16.75,17.0,16.4,16.649,3995389,0.0,1.0
2020-08-06,18.5,19.9,16.63,16.8,14142895,18.5,19.9,16.63,16.8,14142895,0.0,1.0
2020-08-07,16.89,19.33,16.6,17.75,7459711,16.89,19.33,16.6,17.75,7459711,0.0,1.0
2020-08-10,16.42,17.76,16.12,17.6,7914378,16.42,17.76,16.12,17.6,7914378,0.0,1.0
2020-08-11,16.0,17.03,15.83,16.93,7337667,16.0,17.03,15.83,16.93,7337667,0.0,1.0
2020-08-12,15.66,16.36,15.135,16.36,5613722,15.66,16.36,15.135,16.36,5613722,0.0,1.0
2020-08-13,15.16,15.7,15.0,15.7,5384590,15.16,15.7,15.0,15.7,5384590,0.0,1.0
2020-08-14,14.6,15.36,14.31,15.35,5070172,14.6,15.36,14.31,15.35,5070172,0.0,1.0
2020-08-17,15.42,15.6,14.6,14.76,5288744,15.42,15.6,14.6,14.76,5288744,0.0,1.0
2020-08-18,15.96,16.75,15.36,15.3635,7163131,15.96,16.75,15.36,15.3635,7163131,0.0,1.0
2020-08-19,15.04,16.07,15.01,15.98,3287958,15.04,16.07,15.01,15.98,3287958,0.0,1.0
2020-08-20,14.75,15.3,14.61,15.06,3138912,14.75,15.3,14.61,15.06,3138912,0.0,1.0
2020-08-21,15.02,15.5,14.76,14.94,4223631,15.02,15.5,14.76,14.94,4223631,0.0,1.0
2020-08-24,17.09,17.2,15.88,16.3,19359061,17.09,17.2,15.88,16.3,19359061,0.0,1.0
2020-08-25,18.23,18.84,17.68,17.7965,22093860,18.23,18.84,17.68,17.7965,22093860,0.0,1.0
2020-08-26,23.38,24.48,18.99,18.99,31561325,23.38,24.48,18.99,18.99,31561325,0.0,1.0
2020-08-27,19.38,22.31,19.3,22.26,29318166,19.38,22.31,19.3,22.26,29318166,0.0,1.0
