date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2007-07-27 00:00:00+00:00,28.0,28.64,24.92,25.0,14628600,14.0,14.32,12.46,12.5,29257200,0.0,1.0
2007-07-30 00:00:00+00:00,29.98,31.85,28.36,28.86,2883600,14.99,15.925,14.18,14.43,5767200,0.0,1.0
2007-07-31 00:00:00+00:00,32.14,34.17,30.21,32.0,2220800,16.07,17.085,15.105,16.0,4441600,0.0,1.0
2007-08-01 00:00:00+00:00,31.08,33.25,30.4,32.98,1531800,15.54,16.625,15.2,16.49,3063600,0.0,1.0
2007-08-02 00:00:00+00:00,33.05,33.83,31.98,32.0,984700,16.525,16.915,15.99,16.0,1969400,0.0,1.0
2007-08-03 00:00:00+00:00,31.0,34.5,30.09,34.45,1174700,15.5,17.25,15.045,17.225,2349400,0.0,1.0
2007-08-06 00:00:00+00:00,32.75,32.85,30.09,32.0,1501100,16.375,16.425,15.045,16.0,3002200,0.0,1.0
2007-08-07 00:00:00+00:00,36.24,37.03,32.13,33.0,1990400,18.12,18.515,16.065,16.5,3980800,0.0,1.0
2007-08-08 00:00:00+00:00,37.75,38.85,36.4,37.0,2033400,18.875,19.425,18.2,18.5,4066800,0.0,1.0
2007-08-09 00:00:00+00:00,35.35,37.75,34.5,36.65,914100,17.675,18.875,17.25,18.325,1828200,0.0,1.0
2007-08-10 00:00:00+00:00,36.15,36.2,32.26,34.0,1116400,18.075,18.1,16.13,17.0,2232800,0.0,1.0
2007-08-13 00:00:00+00:00,36.88,38.0,36.51,38.0,481400,18.44,19.0,18.255,19.0,962800,0.0,1.0
2007-08-14 00:00:00+00:00,33.5,37.19,33.49,37.0,1076700,16.75,18.595,16.745,18.5,2153400,0.0,1.0
2007-08-15 00:00:00+00:00,33.45,35.25,32.113,35.25,764600,16.725,17.625,16.0565,17.625,1529200,0.0,1.0
2007-08-16 00:00:00+00:00,32.03,33.39,28.7,31.95,1366200,16.015,16.695,14.35,15.975,2732400,0.0,1.0
2007-08-17 00:00:00+00:00,32.94,34.99,31.68,34.99,575000,16.47,17.495,15.84,17.495,1150000,0.0,1.0
2007-08-20 00:00:00+00:00,33.0,34.17,32.0,34.0,291100,16.5,17.085,16.0,17.0,582200,0.0,1.0
2007-08-21 00:00:00+00:00,34.02,34.7,32.3,33.76,625500,17.01,17.35,16.15,16.88,1251000,0.0,1.0
2007-08-22 00:00:00+00:00,34.29,36.0,34.098,34.8,409700,17.145,18.0,17.049,17.4,819400,0.0,1.0
2007-08-23 00:00:00+00:00,33.79,35.24,33.62,35.24,309500,16.895,17.62,16.81,17.62,619000,0.0,1.0
