date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-03-29,78.29,88.6,78.02,87.24,71485240,78.29,88.6,78.02,87.24,71485240,0.0,1.0
2019-04-01,69.01,75.0,67.78,74.9,41799258,69.01,75.0,67.78,74.9,41799258,0.0,1.0
2019-04-02,68.97,70.2,66.1,66.9,22483330,68.97,70.2,66.1,66.9,22483330,0.0,1.0
2019-04-03,70.0,72.0,69.12,70.06,15662287,70.0,72.0,69.12,70.06,15662287,0.0,1.0
2019-04-04,72.0,72.89,70.22,70.48,9233730,72.0,72.89,70.22,70.48,9233730,0.0,1.0
2019-04-05,74.45,76.1,73.3,73.94,11200122,74.45,76.1,73.3,73.94,11200122,0.0,1.0
2019-04-08,70.23,74.99,70.23,74.99,6599481,70.23,74.99,70.23,74.99,6599481,0.0,1.0
2019-04-09,67.44,69.7,67.11,69.5,8223332,67.44,69.7,67.11,69.5,8223332,0.0,1.0
2019-04-10,60.12,67.35,59.75,67.25,26392068,60.12,67.35,59.75,67.25,26392068,0.0,1.0
2019-04-11,61.01,62.3,60.31,61.1,12405691,61.01,62.3,60.31,61.1,12405691,0.0,1.0
2019-04-12,59.895,61.4899,57.66,61.38,13787541,59.895,61.4899,57.66,61.38,13787541,0.0,1.0
2019-04-15,56.11,59.8,55.5595,59.72,14345925,56.11,59.8,55.5595,59.72,14345925,0.0,1.0
2019-04-16,56.25,57.94,56.18,56.86,9965046,56.25,57.94,56.18,56.86,9965046,0.0,1.0
2019-04-17,59.51,59.61,55.62,56.5,10768260,59.51,59.61,55.62,56.5,10768260,0.0,1.0
2019-04-18,58.36,59.66,57.6,59.65,6869872,58.36,59.66,57.6,59.65,6869872,0.0,1.0
2019-04-22,60.94,61.23,57.6505,57.9,5265581,60.94,61.23,57.6505,57.9,5265581,0.0,1.0
2019-04-23,60.25,62.1,59.33,62.02,11975038,60.25,62.1,59.33,62.02,11975038,0.0,1.0
2019-04-24,57.82,60.4892,57.77,60.11,5157959,57.82,60.4892,57.77,60.11,5157959,0.0,1.0
2019-04-25,56.34,58.4569,55.861,58.2,5097091,56.34,58.4569,55.861,58.2,5097091,0.0,1.0
2019-04-26,57.24,57.53,54.32,56.3,5981041,57.24,57.53,54.32,56.3,5981041,0.0,1.0
2019-04-29,60.59,60.71,56.0,57.6,7231802,60.59,60.71,56.0,57.6,7231802,0.0,1.0
2019-04-30,59.8,61.4,58.22,59.93,6072676,59.8,61.4,58.22,59.93,6072676,0.0,1.0
2019-05-01,58.75,60.71,58.5321,60.7,3450824,58.75,60.71,58.5321,60.7,3450824,0.0,1.0
2019-05-02,61.5,62.01,57.33,58.44,6634306,61.5,62.01,57.33,58.44,6634306,0.0,1.0
2019-05-03,62.51,62.985,60.1008,61.21,9393560,62.51,62.985,60.1008,61.21,9393560,0.0,1.0
2019-05-06,60.57,61.5,59.9,60.55,5184648,60.57,61.5,59.9,60.55,5184648,0.0,1.0
2019-05-07,59.34,61.6,58.12,60.34,11591711,59.34,61.6,58.12,60.34,11591711,0.0,1.0
2019-05-08,52.91,60.45,52.78,57.69,22640392,52.91,60.45,52.78,57.69,22640392,0.0,1.0
2019-05-09,55.18,56.45,53.1,54.07,9603468,55.18,56.45,53.1,54.07,9603468,0.0,1.0
2019-05-10,51.09,56.49,50.02,56.39,23111233,51.09,56.49,50.02,56.39,23111233,0.0,1.0
2019-05-13,48.15,50.09,47.17,50.0,10007408,48.15,50.09,47.17,50.0,10007408,0.0,1.0
2019-05-14,50.52,51.39,48.0,48.82,7007446,50.52,51.39,48.0,48.82,7007446,0.0,1.0
2019-05-15,54.04,54.85,49.86,50.2,7909299,54.04,54.85,49.86,50.2,7909299,0.0,1.0
2019-05-16,55.6,56.72,53.55,54.1,7101652,55.6,56.72,53.55,54.1,7101652,0.0,1.0
2019-05-17,53.79,55.11,53.46,54.5,4326534,53.79,55.11,53.46,54.5,4326534,0.0,1.0
2019-05-20,54.63,54.69,51.845,52.14,2709956,54.63,54.69,51.845,52.14,2709956,0.0,1.0
2019-05-21,55.51,56.03,53.53,54.77,3490690,55.51,56.03,53.53,54.77,3490690,0.0,1.0
2019-05-22,57.88,57.96,54.62,54.68,3913654,57.88,57.96,54.62,54.68,3913654,0.0,1.0
2019-05-23,58.11,58.48,56.32,56.82,3649271,58.11,58.48,56.32,56.82,3649271,0.0,1.0
2019-05-24,57.1,58.79,56.61,58.5,2412541,57.1,58.79,56.61,58.5,2412541,0.0,1.0
2019-05-28,56.89,57.99,55.4,56.85,2836103,56.89,57.99,55.4,56.85,2836103,0.0,1.0
2019-05-29,56.26,56.73,54.055,56.3,3166532,56.26,56.73,54.055,56.3,3166532,0.0,1.0
2019-05-30,54.83,56.545,54.07,56.04,2558421,54.83,56.545,54.07,56.04,2558421,0.0,1.0
2019-05-31,57.62,58.45,54.57,56.41,5123655,57.62,58.45,54.57,56.41,5123655,0.0,1.0
2019-06-03,59.54,61.77,58.32,58.52,5549283,59.54,61.77,58.32,58.52,5549283,0.0,1.0
2019-06-04,59.17,61.17,57.56,61.1,4093235,59.17,61.17,57.56,61.1,4093235,0.0,1.0
2019-06-05,63.01,63.24,59.2,59.4,4834398,63.01,63.24,59.2,59.4,4834398,0.0,1.0
2019-06-06,61.63,63.18,60.4,62.25,3844881,61.63,63.18,60.4,62.25,3844881,0.0,1.0
2019-06-07,59.26,62.23,59.2125,62.0,3881889,59.26,62.23,59.2125,62.0,3881889,0.0,1.0
2019-06-10,56.76,60.58,56.7,59.45,2677302,56.76,60.58,56.7,59.45,2677302,0.0,1.0
2019-06-11,58.07,59.25,56.31,59.08,2719393,58.07,59.25,56.31,59.08,2719393,0.0,1.0
2019-06-12,58.41,58.869,57.05,57.18,1534541,58.41,58.869,57.05,57.18,1534541,0.0,1.0
2019-06-13,61.21,61.35,58.75,59.48,2681485,61.21,61.35,58.75,59.48,2681485,0.0,1.0
2019-06-14,60.96,61.39,59.97,61.0,1955832,60.96,61.39,59.97,61.0,1955832,0.0,1.0
2019-06-17,63.6,64.14,60.32,60.48,4386247,63.6,64.14,60.32,60.48,4386247,0.0,1.0
2019-06-18,64.4,64.76,61.61,63.7,4670249,64.4,64.76,61.61,63.7,4670249,0.0,1.0
2019-06-19,63.55,65.07,63.15,64.5,3014571,63.55,65.07,63.15,64.5,3014571,0.0,1.0
2019-06-20,62.84,64.2075,62.11,64.0,2323486,62.84,64.2075,62.11,64.0,2323486,0.0,1.0
2019-06-21,64.26,64.3,62.52,62.8,3921662,64.26,64.3,62.52,62.8,3921662,0.0,1.0
2019-06-24,63.76,64.27,62.86,64.0,2281952,63.76,64.27,62.86,64.0,2281952,0.0,1.0
2019-06-25,64.04,64.27,62.66,63.76,2064936,64.04,64.27,62.66,63.76,2064936,0.0,1.0
2019-06-26,62.97,64.64,62.77,64.32,1913526,62.97,64.64,62.77,64.32,1913526,0.0,1.0
2019-06-27,65.27,65.36,63.14,63.52,3734526,65.27,65.36,63.14,63.52,3734526,0.0,1.0
2019-06-28,65.71,66.64,64.44,65.2,6317350,65.71,66.64,64.44,65.2,6317350,0.0,1.0
2019-07-01,62.0,66.1,61.5,66.0,4452383,62.0,66.1,61.5,66.0,4452383,0.0,1.0
2019-07-02,60.35,62.9,60.25,62.89,3039052,60.35,62.9,60.25,62.89,3039052,0.0,1.0
2019-07-03,60.6,61.2,60.38,60.64,1246873,60.6,61.2,60.38,60.64,1246873,0.0,1.0
2019-07-05,59.39,60.8799,58.75,60.71,3331763,59.39,60.8799,58.75,60.71,3331763,0.0,1.0
2019-07-08,59.79,60.09,58.5,59.31,2792260,59.79,60.09,58.5,59.31,2792260,0.0,1.0
2019-07-09,61.83,62.1206,59.78,59.79,3091241,61.83,62.1206,59.78,59.79,3091241,0.0,1.0
