date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2000-04-05,15.5,15.75,14.31,14.5,68703000,6.78650355867731,6.89596329349469,6.2654752209466,6.34866461940781,86408639,0.0,1.0
2000-04-06,15.56,15.88,15.25,15.38,15301000,6.81277389503348,6.95288235559972,6.67704382385994,6.73396288596497,19244262,0.0,1.0
2000-04-07,15.31,15.56,15.13,15.38,13486200,6.70331416021611,6.81277389503348,6.6245031511476,6.73396288596497,16961765,0.0,1.0
2000-04-10,15.31,15.5,15.25,15.44,5637200,6.70331416021611,6.78650355867731,6.67704382385994,6.76023322232114,7089978,0.0,1.0
2000-04-11,15.13,15.38,15.06,15.31,5425900,6.6245031511476,6.73396288596497,6.59385442539873,6.70331416021611,6824223,0.0,1.0
2000-04-12,16.19,16.75,15.13,15.25,10846600,7.08861242677327,7.33380223276419,6.6245031511476,6.67704382385994,13641907,0.0,1.0
2000-04-13,17.0,17.25,15.94,16.25,10626100,7.44326196758157,7.55272170239894,6.97915269195589,7.11488276312944,13364581,0.0,1.0
2000-04-14,15.88,17.0,15.81,16.94,9500300,6.95288235559972,7.44326196758157,6.92223362985086,7.4169916312254,11948648,0.0,1.0
2000-04-17,16.13,16.44,16.0,16.0,3522200,7.0623420904171,7.19807216159065,7.00542302831206,7.00542302831206,4429915,0.0,1.0
2000-04-18,16.13,16.31,15.5,16.19,5422400,7.0623420904171,7.14115309948561,6.78650355867731,7.08861242677327,6819821,0.0,1.0
2000-04-19,16.0,16.19,15.75,16.19,5348800,7.00542302831206,7.08861242677327,6.89596329349469,7.08861242677327,6727253,0.0,1.0
2000-04-20,15.5,15.94,15.38,15.75,6912000,6.78650355867731,6.97915269195589,6.73396288596497,6.89596329349469,8693310,0.0,1.0
2000-04-24,15.94,16.0,15.44,15.5,3114800,6.97915269195589,7.00542302831206,6.76023322232114,6.78650355867731,3917523,0.0,1.0
