date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2004-01-02,56.98,58.09,56.78,57.89,3087200,29.8800037512147,30.4620817463682,29.775124833169,30.3572028283226,3087200,0.0,1.0
2004-01-05,57.57,57.63,56.76,57.23,4459700,30.1893965594495,30.2208602348632,29.7646369413645,30.0111023987718,4459700,0.0,1.0
2004-01-06,57.77,58.31,57.02,57.02,4418500,30.2942754774952,30.5774485562185,29.9009795348238,29.9009795348238,4418500,0.0,1.0
2004-01-07,57.8,57.96,56.83,57.25,4897700,30.4411059627591,30.5253720000263,29.930243111827,30.1514414596533,4897700,0.25,1.0
2004-01-08,58.37,58.6,57.63,57.8,4127900,30.7413037205233,30.8624361490949,30.3515732981628,30.4411059627591,4127900,0.0,1.0
2004-01-09,57.23,58.48,56.98,58.08,3620700,30.1409082049949,30.7992366211445,30.0092425217649,30.5885715279766,3620700,0.0,1.0
2004-01-12,58.49,58.56,56.75,57.13,4708800,30.8045032484737,30.8413696397781,29.8881100931934,30.0882419317029,4708800,0.0,1.0
2004-01-13,58.39,58.45,57.61,58.15,4071600,30.7518369751817,30.7834367391569,30.3410400435044,30.625437919281,4071600,0.0,1.0
2004-01-14,58.62,59.02,58.05,58.39,3260400,30.8729694037533,31.0836344969212,30.572771645989,30.7518369751817,3260400,0.0,1.0
2004-01-15,59.81,59.98,58.9,59.0,6789800,31.4996980559277,31.5892307205241,31.0204349689708,31.0731012422628,6789800,0.0,1.0
2004-01-16,60.43,60.43,59.87,59.97,5390800,31.8262289503379,31.8262289503379,31.5312978199029,31.5839640931949,5390800,0.0,1.0
2004-01-20,59.88,60.7,59.4,60.35,2705300,31.5365644472321,31.9684278882263,31.2837663354306,31.7840959317044,2705300,0.0,1.0
2004-01-21,60.68,60.9,59.36,59.87,4168300,31.9578946335679,32.0737604348102,31.2626998261139,31.5312978199029,4168300,0.0,1.0
2004-01-22,59.86,60.8,59.75,60.68,3130400,31.5260311925737,32.0210941615182,31.4680982919525,31.9578946335679,3130400,0.0,1.0
2004-01-23,59.29,60.34,59.01,60.31,3596600,31.2258334348095,31.7788293043752,31.078367869592,31.7630294223876,3596600,0.0,1.0
2004-01-26,60.33,60.33,58.8,59.29,3313500,31.773562677046,31.773562677046,30.9677686956788,31.2258334348095,3313500,0.0,1.0
2004-01-27,58.72,60.58,58.69,60.35,4422000,30.9256356770452,31.9052283602759,30.9098357950576,31.7840959317044,4422000,0.0,1.0
2004-01-28,57.06,59.41,56.89,58.85,4258100,30.0513755403985,31.2890329627598,29.9618428758022,30.9941018323248,4258100,0.0,1.0
2004-01-29,57.84,58.24,56.76,57.4,5363700,30.4621724720759,30.6728375652438,29.8933767205226,30.2304408695912,5363700,0.0,1.0
2004-01-30,58.21,58.47,57.47,57.68,3629400,30.6570376832562,30.7939699938153,30.2673072608956,30.3779064348087,3629400,0.0,1.0
2004-02-02,58.05,59.092,57.79,58.07,4312400,30.572771645989,31.1215542136914,30.4358393354299,30.5833049006474,4312400,0.0,1.0
2004-02-03,57.78,58.09,57.56,58.09,3815500,30.4305727081007,30.5938381553058,30.3147069068584,30.5938381553058,3815500,0.0,1.0
2004-02-04,56.9,57.6,56.8,57.35,4830300,29.9671095031314,30.3357734161752,29.9144432298394,30.2041077329452,4830300,0.0,1.0
2004-02-05,56.2,57.15,55.92,56.95,4768100,29.5984455900876,30.0987751863613,29.4509800248701,29.9934426397774,4768100,0.0,1.0
2004-02-06,57.36,57.65,56.3,56.3,3181900,30.2093743602744,30.3621065528212,29.6511118633795,29.6511118633795,3181900,0.0,1.0
2004-02-09,57.27,58.0,57.2,57.66,2756900,30.1619747143117,30.5464385093431,30.1251083230073,30.3673731801503,2756900,0.0,1.0
2004-02-10,56.98,57.55,56.37,57.38,4159100,30.0092425217649,30.3094402795292,29.6879782546839,30.2199076149328,4159100,0.0,1.0
2004-02-11,59.86,60.13,57.75,57.82,7007700,31.5260311925737,31.668230130462,30.4147728261131,30.4516392174175,7007700,0.0,1.0
2004-02-12,59.05,59.65,58.75,59.53,4145600,31.0994343789087,31.4154320186606,30.9414355590328,31.3522324907102,4145600,0.0,1.0
2004-02-13,59.75,59.85,59.04,59.2,4407800,31.4680982919525,31.5207645652445,31.0941677515795,31.1784337888467,4407800,0.0,1.0
2004-02-17,60.59,61.0,59.95,60.0,4715900,31.9104949876051,32.1264267081022,31.5734308385365,31.5997639751825,4715900,0.0,1.0
2004-02-18,61.6,61.9,60.05,60.4,6040300,32.442424347854,32.6004231677299,31.6260971118285,31.8104290683503,6040300,0.0,1.0
2004-02-19,61.5,62.16,61.36,61.73,4623200,32.389758074562,32.737355478289,32.3160252919533,32.5108905031336,4623200,0.0,1.0
2004-02-20,61.19,61.99,60.81,61.5,3988700,32.2264926273569,32.6478228136927,32.0263607888474,32.389758074562,3988700,0.0,1.0
