date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2013-01-18,24.79,25.49,24.16,25.1,17761800,24.79,25.49,24.16,25.1,17761800,0.0,1.0
2013-01-22,26.95,27.355,24.85,25.0,2072000,26.95,27.355,24.85,25.0,2072000,0.0,1.0
2013-01-23,27.49,28.86,26.491,28.0,1572200,27.49,28.86,26.491,28.0,1572200,0.0,1.0
2013-01-24,27.345,27.9,26.64,27.17,508700,27.345,27.9,26.64,27.17,508700,0.0,1.0
2013-01-25,27.35,27.9,26.275,27.5,870700,27.35,27.9,26.275,27.5,870700,0.0,1.0
2013-01-28,27.76,27.88,26.941,27.88,172200,27.76,27.88,26.941,27.88,172200,0.0,1.0
2013-01-29,27.11,27.964,27.0,27.9,437400,27.11,27.964,27.0,27.9,437400,0.0,1.0
2013-01-30,26.29,27.225,26.17,26.69,816400,26.29,27.225,26.17,26.69,816400,0.0,1.0
2013-01-31,26.37,26.92,25.75,26.02,970400,26.37,26.92,25.75,26.02,970400,0.0,1.0
2013-02-01,27.65,27.8,26.18,26.47,1099300,27.65,27.8,26.18,26.47,1099300,0.0,1.0
2013-02-04,28.41,29.08,27.6036,27.71,952100,28.41,29.08,27.6036,27.71,952100,0.0,1.0
2013-02-05,28.54,28.96,27.9701,28.96,447200,28.54,28.96,27.9701,28.96,447200,0.0,1.0
2013-02-06,27.98,28.7404,27.8,28.1,377200,27.98,28.7404,27.8,28.1,377200,0.0,1.0
2013-02-07,27.55,28.0899,27.43,27.93,276300,27.55,28.0899,27.43,27.93,276300,0.0,1.0
2013-02-08,27.91,28.31,27.32,27.6,380200,27.91,28.31,27.32,27.6,380200,0.0,1.0
2013-02-11,27.68,27.84,27.425,27.78,576900,27.68,27.84,27.425,27.78,576900,0.0,1.0
2013-02-12,28.32,29.5,28.24,28.91,1876800,28.32,29.5,28.24,28.91,1876800,0.0,1.0
2013-02-13,28.92,29.54,28.29,28.81,772500,28.92,29.54,28.29,28.81,772500,0.0,1.0
2013-02-14,29.25,29.4,28.6,28.82,431900,29.25,29.4,28.6,28.82,431900,0.0,1.0
2013-02-15,30.27,30.41,29.48,29.48,1418700,30.27,30.41,29.48,29.48,1418700,0.0,1.0
2013-02-19,31.188,31.33,30.445,30.47,497800,31.188,31.33,30.445,30.47,497800,0.0,1.0
2013-02-20,30.8,31.905,30.56,31.19,612700,30.8,31.905,30.56,31.19,612700,0.0,1.0
2013-02-21,30.47,31.0,29.76,30.54,481400,30.47,31.0,29.76,30.54,481400,0.0,1.0
2013-02-22,29.99,31.31,29.464,30.95,571200,29.99,31.31,29.464,30.95,571200,0.0,1.0
2013-02-25,30.78,31.41,30.18,31.34,471700,30.78,31.41,30.18,31.34,471700,0.0,1.0
2013-02-26,30.21,31.08,29.79,30.81,418300,30.21,31.08,29.79,30.81,418300,0.0,1.0
2013-02-27,30.26,30.6999,29.83,30.56,294400,30.26,30.6999,29.83,30.56,294400,0.0,1.0
2013-02-28,30.98,31.08,30.03,30.55,234900,30.98,31.08,30.03,30.55,234900,0.0,1.0
2013-03-01,30.99,31.68,30.26,30.5,688200,30.99,31.68,30.26,30.5,688200,0.0,1.0
2013-03-04,30.45,31.25,30.26,30.55,274400,30.45,31.25,30.26,30.55,274400,0.0,1.0
2013-03-05,30.03,30.74,29.85,30.12,366000,30.03,30.74,29.85,30.12,366000,0.0,1.0
2013-03-06,30.02,30.395,29.85,30.19,153100,30.02,30.395,29.85,30.19,153100,0.0,1.0
2013-03-07,30.29,30.42,29.85,29.85,306800,30.29,30.42,29.85,29.85,306800,0.0,1.0
2013-03-08,30.3,30.98,29.12,30.98,679300,30.3,30.98,29.12,30.98,679300,0.0,1.0
2013-03-11,30.66,30.69,29.99,30.5,316000,30.66,30.69,29.99,30.5,316000,0.0,1.0
2013-03-12,30.85,31.0,30.33,30.33,770700,30.85,31.0,30.33,30.33,770700,0.0,1.0
2013-03-13,30.78,31.0,30.48,30.93,321600,30.78,31.0,30.48,30.93,321600,0.0,1.0
2013-03-14,29.995,30.9599,29.885,30.73,785500,29.995,30.9599,29.885,30.73,785500,0.0,1.0
2013-03-15,29.82,30.09,29.55,29.6,798700,29.82,30.09,29.55,29.6,798700,0.0,1.0
2013-03-18,30.29,30.62,29.62,29.8,389600,30.29,30.62,29.62,29.8,389600,0.0,1.0
2013-03-19,30.26,30.69,29.78,30.29,133500,30.26,30.69,29.78,30.29,133500,0.0,1.0
2013-03-20,30.502,30.99,30.25,30.354,162900,30.502,30.99,30.25,30.354,162900,0.0,1.0
2013-03-21,30.03,30.75,29.93,30.39,96900,30.03,30.75,29.93,30.39,96900,0.0,1.0
2013-03-22,30.18,30.26,29.91,30.03,112800,30.18,30.26,29.91,30.03,112800,0.0,1.0
2013-03-25,29.48,30.16,29.31,30.14,563200,29.48,30.16,29.31,30.14,563200,0.0,1.0
2013-03-26,29.54,30.0,29.02,29.93,410900,29.54,30.0,29.02,29.93,410900,0.0,1.0
