date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2002-05-23,16.75,17.4,16.04,16.19,7485000,0.1196427375,0.12428559,0.114571314,0.1156427415,1047901047,0.0,1.0
2002-05-24,16.94,17.15,16.76,17.0,793200,0.120999879,0.1224998775,0.119714166,0.12142845,111048111,0.0,1.0
2002-05-28,16.2,17.25,16.2,16.99,472100,0.11571417,0.1232141625,0.11571417,0.1213570215,66094066,0.0,1.0
2002-05-29,15.45,16.3,15.2,16.3,482700,0.1103570325,0.116428455,0.10857132,0.116428455,67578067,0.0,1.0
2002-05-30,15.0,15.51,15.0,15.51,725300,0.10714275,0.1107856035,0.10714275,0.1107856035,101542101,0.0,1.0
2002-05-31,15.07,15.1,15.0,15.1,604600,0.1076427495,0.107857035,0.10714275,0.107857035,84644084,0.0,1.0
2002-06-03,15.8,16.09,15.07,15.12,225100,0.11285703,0.1149284565,0.1076427495,0.107999892,31514031,0.0,1.0
2002-06-04,15.65,15.96,15.55,15.9,221800,0.1117856025,0.113999886,0.1110713175,0.113571315,31052031,0.0,1.0
2002-06-05,16.06,16.23,15.5,15.55,109400,0.114714171,0.1159284555,0.110714175,0.1110713175,15316015,0.0,1.0
2002-06-06,16.55,17.25,16.08,16.1,164700,0.1182141675,0.1232141625,0.114857028,0.114999885,23058023,0.0,1.0
2002-06-07,15.66,16.49,15.45,16.49,97800,0.111857031,0.1177855965,0.1103570325,0.1177855965,13692013,0.0,1.0
2002-06-10,16.19,16.45,15.89,15.89,34600,0.1156427415,0.1174998825,0.1134998865,0.1134998865,4844004,0.0,1.0
2002-06-11,16.15,16.64,15.8,16.19,71700,0.1153570275,0.118857024,0.11285703,0.1156427415,10038010,0.0,1.0
2002-06-12,15.3,16.55,15.25,16.15,128500,0.109285605,0.1182141675,0.1089284625,0.1153570275,17990017,0.0,1.0
2002-06-13,15.16,15.71,15.12,15.46,183400,0.108285606,0.1122141735,0.107999892,0.110428461,25676025,0.0,1.0
2002-06-14,13.81,15.2,13.72,15.15,341700,0.0986427585,0.10857132,0.097999902,0.1082141775,47838047,0.0,1.0
2002-06-17,12.91,14.83,12.85,14.19,346800,0.0922141935,0.1059284655,0.0917856225,0.1013570415,48552048,0.0,1.0
2002-06-18,12.75,13.15,11.79,13.14,772000,0.0910713375,0.0939284775,0.0842142015,0.093857049,108080108,0.0,1.0
2002-06-19,13.32,13.95,12.5,12.76,391600,0.095142762,0.0996427575,0.089285625,0.091142766,54824054,0.0,1.0
2002-06-20,13.4,14.56,13.3,13.6,436500,0.09571419,0.103999896,0.094999905,0.09714276,61110061,0.0,1.0
2002-06-21,13.71,13.85,13.27,13.75,167600,0.0979284735,0.0989284725,0.0947856195,0.0982141875,23464023,0.0,1.0
2002-06-24,13.7,14.2,13.4,13.71,183400,0.097857045,0.10142847,0.09571419,0.0979284735,25676025,0.0,1.0
2002-06-25,13.5,14.1,13.26,13.84,281500,0.096428475,0.100714185,0.094714191,0.098857044,39410039,0.0,1.0
2002-06-26,13.84,13.95,12.9,13.49,208900,0.098857044,0.0996427575,0.092142765,0.0963570465,29246029,0.0,1.0
2002-06-27,13.21,14.26,13.21,14.13,272700,0.0943570485,0.101857041,0.0943570485,0.1009284705,38178038,0.0,1.0
2002-06-28,13.99,14.19,13.45,13.45,659600,0.0999284715,0.1013570415,0.0960713325,0.0960713325,92344092,0.0,1.0
2002-07-01,14.39,14.65,13.9,14.0,327500,0.1027856115,0.1046427525,0.099285615,0.0999999,45850045,0.0,1.0
2002-07-02,16.42,16.74,14.55,14.75,644300,0.117285597,0.119571309,0.1039284675,0.1053570375,90202090,0.0,1.0
2002-07-03,17.0,17.0,15.65,16.5,354100,0.12142845,0.12142845,0.1117856025,0.117857025,49574049,0.0,1.0
2002-07-05,17.87,18.19,16.99,17.0,143100,0.1276427295,0.1299284415,0.1213570215,0.12142845,20034020,0.0,1.0
2002-07-08,16.46,17.53,16.35,17.53,139500,0.117571311,0.1252141605,0.1167855975,0.1252141605,19530019,0.0,1.0
2002-07-09,16.25,16.75,15.6,16.45,209700,0.1160713125,0.1196427375,0.11142846,0.1174998825,29358029,0.0,1.0
2002-07-10,16.29,16.5,15.85,16.26,111000,0.1163570265,0.117857025,0.1132141725,0.116142741,15540015,0.0,1.0
2002-07-11,17.77,17.9,15.86,16.16,180700,0.1269284445,0.127857015,0.113285601,0.115428456,25298025,0.0,1.0
2002-07-12,16.91,17.92,16.9,17.9,202700,0.1207855935,0.127999872,0.120714165,0.127857015,28378028,0.0,1.0
2002-07-15,16.0,17.48,15.07,17.4,302800,0.1142856,0.124857018,0.1076427495,0.12428559,42392042,0.0,1.0
2002-07-16,15.77,16.2,15.46,16.14,138700,0.1126427445,0.11571417,0.110428461,0.115285599,19418019,0.0,1.0
2002-07-17,15.25,16.29,15.06,16.03,90100,0.1089284625,0.1163570265,0.107571321,0.1144998855,12614012,0.0,1.0
2002-07-18,16.09,16.33,15.55,15.64,207100,0.1149284565,0.1166427405,0.1110713175,0.111714174,28994028,0.0,1.0
2002-07-19,16.24,16.25,15.71,16.14,128000,0.115999884,0.1160713125,0.1122141735,0.115285599,17920017,0.0,1.0
2002-07-22,16.39,16.51,15.62,15.9,142400,0.1170713115,0.1179284535,0.111571317,0.113571315,19936019,0.0,1.0
2002-07-23,16.05,16.99,15.83,16.47,112700,0.1146427425,0.1213570215,0.1130713155,0.1176427395,15778015,0.0,1.0
2002-07-24,15.6,16.23,15.04,16.05,239700,0.11142846,0.1159284555,0.107428464,0.1146427425,33558033,0.0,1.0
2002-07-25,14.51,15.79,14.49,15.75,339700,0.1036427535,0.1127856015,0.1034998965,0.1124998875,47558047,0.0,1.0
2002-07-26,12.2,14.82,11.9,14.7,503300,0.08714277,0.105857037,0.084999915,0.104999895,70462070,0.0,1.0
2002-07-29,12.27,12.94,11.9,12.55,232900,0.0876427695,0.092428479,0.084999915,0.0896427675,32606032,0.0,1.0
2002-07-30,12.8,13.2,12.51,12.51,269800,0.09142848,0.09428562,0.0893570535,0.0893570535,37772037,0.0,1.0
2002-07-31,13.35,13.44,12.68,13.0,238100,0.0953570475,0.095999904,0.090571338,0.09285705,33334033,0.0,1.0
2002-08-01,12.48,13.44,12.29,13.3,323500,0.089142768,0.095999904,0.0877856265,0.094999905,45290045,0.0,1.0
2002-08-02,10.89,12.43,9.89,12.41,475400,0.0777856365,0.0887856255,0.0706427865,0.0886427685,66556066,0.0,1.0
2002-08-05,10.85,11.38,10.65,10.9,272000,0.0774999225,0.081285633,0.0760713525,0.077857065,38080038,0.0,1.0
2002-08-06,10.65,11.25,10.4,11.14,229800,0.0760713525,0.0803570625,0.07428564,0.079571349,32172032,0.0,1.0
2002-08-07,11.11,11.11,10.4,10.65,197000,0.0793570635,0.0793570635,0.07428564,0.0760713525,27580027,0.0,1.0
2002-08-08,11.15,11.25,10.51,11.15,163100,0.0796427775,0.0803570625,0.0750713535,0.0796427775,22834022,0.0,1.0
2002-08-09,11.02,11.5,10.9,11.18,107200,0.078714207,0.082142775,0.077857065,0.079857063,15008015,0.0,1.0
2002-08-12,10.6,11.3,10.55,11.24,152200,0.07571421,0.080714205,0.0753570675,0.080285634,21308021,0.0,1.0
2002-08-13,10.82,11.27,10.56,10.75,119800,0.077285637,0.0804999195,0.075428496,0.0767856375,16772016,0.0,1.0
2002-08-14,11.67,11.67,10.8,10.86,289100,0.0833570595,0.0833570595,0.07714278,0.077571351,40474040,0.0,1.0
2002-08-15,12.36,12.75,11.66,11.72,233100,0.088285626,0.0910713375,0.083285631,0.083714202,32634032,0.0,1.0
2002-08-16,12.78,12.94,12.0,12.5,130600,0.091285623,0.092428479,0.0857142,0.089285625,18284018,0.0,1.0
2002-08-19,13.75,13.78,12.85,12.95,148200,0.0982141875,0.098428473,0.0917856225,0.0924999075,20748020,0.0,1.0
2002-08-20,13.25,13.91,12.9,13.79,181400,0.0946427625,0.0993570435,0.092142765,0.0984999015,25396025,0.0,1.0
2002-08-21,13.56,13.6,12.86,13.35,198500,0.096857046,0.09714276,0.091857051,0.0953570475,27790027,0.0,1.0
2002-08-22,13.77,13.99,13.01,13.63,211700,0.0983570445,0.0999284715,0.0929284785,0.0973570455,29638029,0.0,1.0
2002-08-23,13.91,13.95,13.55,13.92,171900,0.0993570435,0.0996427575,0.0967856175,0.099428472,24066024,0.0,1.0
2002-08-26,13.55,13.95,13.13,13.95,188900,0.0967856175,0.0996427575,0.0937856205,0.0996427575,26446026,0.0,1.0
2002-08-27,12.23,13.55,12.01,13.55,356000,0.0873570555,0.0967856175,0.0857856285,0.0967856175,49840049,0.0,1.0
2002-08-28,12.1,12.46,11.55,12.06,162500,0.086428485,0.088999911,0.0824999175,0.086142771,22750022,0.0,1.0
2002-08-29,12.65,12.91,11.54,11.66,171100,0.0903570525,0.0922141935,0.082428489,0.083285631,23954023,0.0,1.0
2002-08-30,13.11,13.48,12.52,12.8,151500,0.0936427635,0.096285618,0.089428482,0.09142848,21210021,0.0,1.0
2002-09-03,12.96,13.49,12.79,13.11,113800,0.092571336,0.0963570465,0.0913570515,0.0936427635,15932015,0.0,1.0
2002-09-04,13.0,13.25,12.71,12.96,26700,0.09285705,0.0946427625,0.0907856235,0.092571336,3738003,0.0,1.0
2002-09-05,12.85,13.1,12.75,12.85,20400,0.0917856225,0.093571335,0.0910713375,0.0917856225,2856002,0.0,1.0
2002-09-06,12.8,13.1,12.75,12.99,54500,0.09142848,0.093571335,0.0910713375,0.0927856215,7630007,0.0,1.0
2002-09-09,12.62,12.95,12.5,12.87,101400,0.090142767,0.0924999075,0.089285625,0.0919284795,14196014,0.0,1.0
2002-09-10,13.23,13.3,12.45,12.61,339000,0.0944999055,0.094999905,0.0889284825,0.0900713385,47460047,0.0,1.0
2002-09-11,13.46,13.67,13.14,13.14,116400,0.096142761,0.0976427595,0.093857049,0.093857049,16296016,0.0,1.0
2002-09-12,12.95,13.54,12.8,13.48,138800,0.0924999075,0.096714189,0.09142848,0.096285618,19432019,0.0,1.0
2002-09-13,12.3,12.98,12.1,12.9,177500,0.087857055,0.092714193,0.086428485,0.092142765,24850024,0.0,1.0
2002-09-16,12.0,12.49,11.94,12.49,250900,0.0857142,0.0892141965,0.085285629,0.0892141965,35126035,0.0,1.0
2002-09-17,11.98,12.1,11.55,12.1,204500,0.085571343,0.086428485,0.0824999175,0.086428485,28630028,0.0,1.0
2002-09-18,11.03,11.78,10.99,11.71,108700,0.0787856355,0.084142773,0.0784999215,0.0836427735,15218015,0.0,1.0
2002-09-19,10.14,11.0,10.05,10.99,355600,0.072428499,0.07857135,0.0717856425,0.0784999215,49784049,0.0,1.0
2002-09-20,9.919,10.75,9.8,10.55,248900,0.07084992915,0.0767856375,0.06999993,0.0753570675,34846034,0.0,1.0
2002-09-23,9.961,10.25,9.881,10.0,345700,0.07114992885,0.0732142125,0.07057850085,0.0714285,48398048,0.0,1.0
2002-09-24,10.05,10.15,9.65,9.96,267700,0.0717856425,0.0724999275,0.0689285025,0.071142786,37478037,0.0,1.0
2002-09-25,10.25,10.5,9.91,10.15,104100,0.0732142125,0.074999925,0.0707856435,0.0724999275,14574014,0.0,1.0
2002-09-26,10.97,10.97,10.2,10.48,297300,0.0783570645,0.0783570645,0.07285707,0.074857068,41622041,0.0,1.0
2002-09-27,10.08,10.98,9.972,10.87,364700,0.071999928,0.078428493,0.0712285002,0.0776427795,51058051,0.0,1.0
2002-09-30,9.7,10.1,9.65,9.9,345500,0.069285645,0.072142785,0.0689285025,0.070714215,48370048,0.0,1.0
2002-10-01,9.5,9.94,9.25,9.93,275000,0.067857075,0.070999929,0.0660713625,0.0709285005,38500038,0.0,1.0
2002-10-02,8.1,9.64,7.85,9.64,665300,0.057857085,0.068857074,0.0560713725,0.068857074,93142093,0.0,1.0
2002-10-03,7.251,7.98,6.85,7.97,697500,0.05179280535,0.056999943,0.0489285225,0.0569285145,97650097,0.0,1.0
2002-10-04,6.563,7.44,6.26,7.25,602400,0.04687852455,0.053142804,0.044714241,0.0517856625,84336084,0.0,1.0
2002-10-07,5.77,6.42,5.35,6.3,1123200,0.0412142445,0.045857097,0.0382142475,0.044999955,157248157,0.0,1.0
2002-10-08,5.67,5.99,5.47,5.75,323700,0.0404999595,0.0427856715,0.0390713895,0.0410713875,45318045,0.0,1.0
2002-10-09,5.22,5.75,4.86,5.74,427300,0.037285677,0.0410713875,0.034714251,0.040999959,59822059,0.0,1.0
