date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-09-12,6.6,6.93,5.35,6.0,66848996,6.6,6.93,5.35,6.0,66848996,0.0,1.0
2018-09-13,11.6,12.69,6.52,6.62,158346488,11.6,12.69,6.52,6.62,158346488,0.0,1.0
2018-09-14,9.9,13.8,9.22,12.66,172473559,9.9,13.8,9.22,12.66,172473559,0.0,1.0
2018-09-17,8.5,9.75,8.5,9.61,56323875,8.5,9.75,8.5,9.61,56323875,0.0,1.0
2018-09-18,7.68,9.1,7.67,8.73,41827593,7.68,9.1,7.67,8.73,41827593,0.0,1.0
2018-09-19,8.5,9.15,7.54,7.88,48306520,8.5,9.15,7.54,7.88,48306520,0.0,1.0
2018-09-20,8.78,9.47,8.4151,9.07,40275036,8.78,9.47,8.4151,9.07,40275036,0.0,1.0
2018-09-21,8.59,9.07,8.5,9.05,15118471,8.59,9.07,8.5,9.05,15118471,0.0,1.0
2018-09-24,7.87,8.39,7.85,8.32,16297902,7.87,8.39,7.85,8.32,16297902,0.0,1.0
2018-09-25,7.58,8.19,7.5,8.06,18909287,7.58,8.19,7.5,8.06,18909287,0.0,1.0
2018-09-26,7.5,7.76,7.5,7.59,11088293,7.5,7.76,7.5,7.59,11088293,0.0,1.0
2018-09-27,7.01,7.55,7.01,7.55,16815631,7.01,7.55,7.01,7.55,16815631,0.0,1.0
2018-09-28,6.98,7.28,6.68,6.97,21813582,6.98,7.28,6.68,6.97,21813582,0.0,1.0
2018-10-01,6.6,7.08,6.6,7.06,16429120,6.6,7.08,6.6,7.06,16429120,0.0,1.0
2018-10-02,5.93,6.6,5.87,6.6,19439988,5.93,6.6,5.87,6.6,19439988,0.0,1.0
2018-10-03,6.3,6.55,6.12,6.12,13251168,6.3,6.55,6.12,6.12,13251168,0.0,1.0
2018-10-04,6.25,6.25,6.0,6.19,11896599,6.25,6.25,6.0,6.19,11896599,0.0,1.0
2018-10-05,6.26,6.29,6.03,6.2,8378259,6.26,6.29,6.03,6.2,8378259,0.0,1.0
2018-10-08,6.04,6.18,5.95,6.07,11508763,6.04,6.18,5.95,6.07,11508763,0.0,1.0
2018-10-09,7.39,7.4,6.1,6.19,38464354,7.39,7.4,6.1,6.19,38464354,0.0,1.0
2018-10-10,7.75,8.35,7.39,8.1,74971137,7.75,8.35,7.39,8.1,74971137,0.0,1.0
2018-10-11,7.18,7.55,6.92,7.44,22730045,7.18,7.55,6.92,7.44,22730045,0.0,1.0
2018-10-12,7.46,7.75,7.28,7.46,14545424,7.46,7.75,7.28,7.46,14545424,0.0,1.0
2018-10-15,7.82,8.3,7.7,7.86,26781651,7.82,8.3,7.7,7.86,26781651,0.0,1.0
2018-10-16,8.04,8.2,7.83,8.06,17490452,8.04,8.2,7.83,8.06,17490452,0.0,1.0
2018-10-17,7.77,8.16,7.73,8.12,11705259,7.77,8.16,7.73,8.12,11705259,0.0,1.0
2018-10-18,7.5,7.67,7.26,7.6,11905956,7.5,7.67,7.26,7.6,11905956,0.0,1.0
2018-10-19,7.32,7.745,7.22,7.59,7336209,7.32,7.745,7.22,7.59,7336209,0.0,1.0
2018-10-22,7.03,7.685,7.0,7.68,12758537,7.03,7.685,7.0,7.68,12758537,0.0,1.0
2018-10-23,6.81,6.89,6.45,6.74,14901741,6.81,6.89,6.45,6.74,14901741,0.0,1.0
2018-10-24,6.17,6.85,6.13,6.85,14789857,6.17,6.85,6.13,6.85,14789857,0.0,1.0
2018-10-25,6.45,6.57,6.25,6.27,9188691,6.45,6.57,6.25,6.27,9188691,0.0,1.0
2018-10-26,6.35,6.51,6.18,6.21,9458953,6.35,6.51,6.18,6.21,9458953,0.0,1.0
2018-10-29,6.19,6.79,6.05,6.53,16027640,6.19,6.79,6.05,6.53,16027640,0.0,1.0
2018-10-30,5.95,6.22,5.615,6.2,21823905,5.95,6.22,5.615,6.2,21823905,0.0,1.0
2018-10-31,5.9,6.25,5.9,6.08,15213393,5.9,6.25,5.9,6.08,15213393,0.0,1.0
2018-11-01,6.62,6.78,5.96,6.0,24330932,6.62,6.78,5.96,6.0,24330932,0.0,1.0
2018-11-02,6.49,6.84,6.27,6.84,17988834,6.49,6.84,6.27,6.84,17988834,0.0,1.0
2018-11-05,6.68,6.72,6.25,6.52,13188661,6.68,6.72,6.25,6.52,13188661,0.0,1.0
2018-11-06,6.4,7.32,6.4,7.22,49855770,6.4,7.32,6.4,7.22,49855770,0.0,1.0
