date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2012-06-29,24.6,24.75,22.83,23.75,10922400,4.92,4.95,4.566,4.75,54612000,0.0,1.0
2012-07-02,24.77,25.2,24.1,24.75,656700,4.954,5.04,4.82,4.95,3283500,0.0,1.0
2012-07-03,25.31,25.32,24.6,24.85,401100,5.062,5.064,4.92,4.97,2005500,0.0,1.0
2012-07-05,25.96,26.26,25.14,25.5,541000,5.192,5.252,5.028,5.1,2705000,0.0,1.0
2012-07-06,25.84,26.12,25.1,25.75,355100,5.168,5.224,5.02,5.15,1775500,0.0,1.0
2012-07-09,25.27,26.3,25.18,25.96,152400,5.054,5.26,5.036,5.192,762000,0.0,1.0
2012-07-10,25.05,25.69,25.05,25.22,304000,5.01,5.138,5.01,5.044,1520000,0.0,1.0
2012-07-11,23.74,25.35,23.49,25.02,296500,4.748,5.07,4.698,5.004,1482500,0.0,1.0
2012-07-12,24.08,24.47,22.62,23.3,325500,4.816,4.894,4.524,4.66,1627500,0.0,1.0
2012-07-13,24.18,24.92,23.98,24.69,89100,4.836,4.984,4.796,4.938,445500,0.0,1.0
2012-07-16,24.38,24.56,23.8,24.08,118100,4.876,4.912,4.76,4.816,590500,0.0,1.0
2012-07-17,24.27,24.48,23.93,24.48,227500,4.854,4.896,4.786,4.896,1137500,0.0,1.0
2012-07-18,24.23,24.69,24.0,24.43,103800,4.846,4.938,4.8,4.886,519000,0.0,1.0
2012-07-19,24.0,24.67,23.9,24.67,254500,4.8,4.934,4.78,4.934,1272500,0.0,1.0
2012-07-20,25.23,25.23,23.9,24.04,260900,5.046,5.046,4.78,4.808,1304500,0.0,1.0
2012-07-23,24.35,25.01,23.91,25.01,603400,4.87,5.002,4.782,5.002,3017000,0.0,1.0
2012-07-24,24.84,25.96,24.6,24.83,291500,4.968,5.192,4.92,4.966,1457500,0.0,1.0
2012-07-25,24.93,25.47,24.84,25.06,110800,4.986,5.094,4.968,5.012,554000,0.0,1.0
2012-07-26,24.42,25.35,24.0,24.93,158000,4.884,5.07,4.8,4.986,790000,0.0,1.0
2012-07-27,25.33,25.44,24.32,24.48,100100,5.066,5.088,4.864,4.896,500500,0.0,1.0
2012-07-30,25.39,25.45,25.05,25.25,84300,5.078,5.09,5.01,5.05,421500,0.0,1.0
2012-07-31,27.0,27.56,25.41,25.44,284000,5.4,5.512,5.082,5.088,1420000,0.0,1.0
2012-08-01,27.71,27.98,26.76,27.32,111900,5.542,5.596,5.352,5.464,559500,0.0,1.0
2012-08-02,29.08,29.3,27.0,27.5,556900,5.816,5.86,5.4,5.5,2784500,0.0,1.0
2012-08-03,28.67,31.43,28.58,29.43,431000,5.734,6.286,5.716,5.886,2155000,0.0,1.0
2012-08-06,28.02,29.16,27.23,29.0,583800,5.604,5.832,5.446,5.8,2919000,0.0,1.0
2012-08-07,28.0,28.75,27.79,28.3,198000,5.6,5.75,5.558,5.66,990000,0.0,1.0
2012-08-08,27.57,27.91,27.01,27.91,296700,5.514,5.582,5.402,5.582,1483500,0.0,1.0
2012-08-09,29.51,30.02,27.3,27.48,135500,5.902,6.004,5.46,5.496,677500,0.0,1.0
2012-08-10,31.65,32.0,29.37,29.37,220000,6.33,6.4,5.874,5.874,1100000,0.0,1.0
2012-08-13,32.43,32.55,31.72,32.03,214900,6.486,6.51,6.344,6.406,1074500,0.0,1.0
2012-08-14,32.28,33.96,32.2,32.65,552400,6.456,6.792,6.44,6.53,2762000,0.0,1.0
2012-08-15,29.68,32.11,29.47,32.11,467800,5.936,6.422,5.894,6.422,2339000,0.0,1.0
2012-08-16,29.75,30.57,29.6,30.06,300500,5.95,6.114,5.92,6.012,1502500,0.0,1.0
2012-08-17,29.6,30.04,29.44,30.0,389300,5.92,6.008,5.888,6.0,1946500,0.0,1.0
2012-08-20,29.89,29.95,29.55,29.55,277700,5.978,5.99,5.91,5.91,1388500,0.0,1.0
2012-08-21,30.26,30.61,29.95,30.19,196700,6.052,6.122,5.99,6.038,983500,0.0,1.0
2012-08-22,29.85,30.52,29.83,30.27,617800,5.97,6.104,5.966,6.054,3089000,0.0,1.0
2012-08-23,29.03,30.67,28.81,29.93,292200,5.806,6.134,5.762,5.986,1461000,0.0,1.0
2012-08-24,29.7,29.94,28.79,28.79,145600,5.94,5.988,5.758,5.758,728000,0.0,1.0
2012-08-27,29.27,31.31,29.13,29.7,260000,5.854,6.262,5.826,5.94,1300000,0.0,1.0
