date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-04-18,24.4,25.18,23.05,23.75,87109516,24.4,25.18,23.05,23.75,87109516,0.0,1.0
2019-04-22,24.99,25.68,23.57,24.62,19746770,24.99,25.68,23.57,24.62,19746770,0.0,1.0
2019-04-23,25.85,27.75,25.23,25.38,19245362,25.85,27.75,25.23,25.38,19245362,0.0,1.0
2019-04-24,26.8,27.03,25.933,26.5,9477250,26.8,27.03,25.933,26.5,9477250,0.0,1.0
2019-04-25,28.8,29.4,26.67,27.45,16648330,28.8,29.4,26.67,27.45,16648330,0.0,1.0
2019-04-26,29.85,30.68,28.37,29.84,16825583,29.85,30.68,28.37,29.84,16825583,0.0,1.0
2019-04-29,34.26,34.41,29.86,30.77,25616724,34.26,34.41,29.86,30.77,25616724,0.0,1.0
2019-04-30,30.98,35.29,30.53,35.2,35885689,30.98,35.29,30.53,35.2,35885689,0.0,1.0
2019-05-01,31.23,32.89,30.5,31.5,13981316,31.23,32.89,30.5,31.5,13981316,0.0,1.0
2019-05-02,29.74,31.68,28.86,31.62,14052372,29.74,31.68,28.86,31.62,14052372,0.0,1.0
2019-05-03,28.36,30.55,28.12,29.55,10610958,28.36,30.55,28.12,29.55,10610958,0.0,1.0
2019-05-06,29.5,30.0,26.9,27.67,9930570,29.5,30.0,26.9,27.67,9930570,0.0,1.0
2019-05-07,28.69,29.75,28.16,29.67,6310894,28.69,29.75,28.16,29.67,6310894,0.0,1.0
2019-05-08,29.51,30.2,28.37,28.46,7115865,29.51,30.2,28.37,28.46,7115865,0.0,1.0
2019-05-09,28.75,29.2601,28.42,29.09,4507184,28.75,29.2601,28.42,29.09,4507184,0.0,1.0
2019-05-10,29.05,29.45,27.66,29.08,5708972,29.05,29.45,27.66,29.08,5708972,0.0,1.0
2019-05-13,26.63,28.0,26.39,27.8,9111335,26.63,28.0,26.39,27.8,9111335,0.0,1.0
2019-05-14,28.99,29.02,27.02,27.41,7075119,28.99,29.02,27.02,27.41,7075119,0.0,1.0
2019-05-15,28.63,29.1,28.13,28.95,4492807,28.63,29.1,28.13,28.95,4492807,0.0,1.0
