date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-03-10,69.5,74.83,60.5,64.5,97069337,69.5,74.83,60.5,64.5,97069337,0.0,1.0
2021-03-11,73.9,77.78,70.13,74.93,59629264,73.9,77.78,70.13,74.93,59629264,0.0,1.0
2021-03-12,69.7,72.96,69.11,72.47,19714717,69.7,72.96,69.11,72.47,19714717,0.0,1.0
2021-03-15,72.15,74.06,66.25,70.02,19607068,72.15,74.06,66.25,70.02,19607068,0.0,1.0
2021-03-16,77.0,78.0,73.18,73.73,30274438,77.0,78.0,73.18,73.73,30274438,0.0,1.0
2021-03-17,76.79,79.1,74.8901,76.03,10054148,76.79,79.1,74.8901,76.03,10054148,0.0,1.0
2021-03-18,67.3,77.0,66.8,76.0,9702962,67.3,77.0,66.8,76.0,9702962,0.0,1.0
2021-03-19,70.5,72.7,68.08,69.47,6776471,70.5,72.7,68.08,69.47,6776471,0.0,1.0
2021-03-22,70.0,72.49,69.54,71.81,4238528,70.0,72.49,69.54,71.81,4238528,0.0,1.0
2021-03-23,68.0,71.75,67.63,70.1,4456034,68.0,71.75,67.63,70.1,4456034,0.0,1.0
2021-03-24,64.5,70.0,64.01,69.97,5459952,64.5,70.0,64.01,69.97,5459952,0.0,1.0
2021-03-25,67.85,69.85,60.69,62.01,6283000,67.85,69.85,60.69,62.01,6283000,0.0,1.0
2021-03-26,70.97,71.2,64.77,67.89,4531240,70.97,71.2,64.77,67.89,4531240,0.0,1.0
2021-03-29,67.03,69.09,66.51,69.0,4351600,67.03,69.09,66.51,69.0,4351600,0.0,1.0
2021-03-30,65.17,66.99,64.475,66.98,3394512,65.17,66.99,64.475,66.98,3394512,0.0,1.0
2021-03-31,64.83,67.19,64.57,65.5,4094917,64.83,67.19,64.57,65.5,4094917,0.0,1.0
2021-04-01,67.34,69.67,65.9,66.8,4063114,67.34,69.67,65.9,66.8,4063114,0.0,1.0
2021-04-05,70.76,72.86,68.56,70.14,8609492,70.76,72.86,68.56,70.14,8609492,0.0,1.0
2021-04-06,71.32,72.39,70.76,71.24,3915520,71.32,72.39,70.76,71.24,3915520,0.0,1.0
2021-04-07,68.73,71.14,67.88,70.7,4424785,68.73,71.14,67.88,70.7,4424785,0.0,1.0
2021-04-08,70.76,71.49,68.84,69.47,4243968,70.76,71.49,68.84,69.47,4243968,0.0,1.0
2021-04-09,71.83,74.99,70.205,70.5,9245505,71.83,74.99,70.205,70.5,9245505,0.0,1.0
2021-04-12,75.0,77.0,71.5101,71.82,8004144,75.0,77.0,71.5101,71.82,8004144,0.0,1.0
2021-04-13,82.05,83.41,73.51,74.69,17893715,82.05,83.41,73.51,74.69,17893715,0.0,1.0
2021-04-14,75.35,80.57,74.0511,79.11,14785807,75.35,80.57,74.0511,79.11,14785807,0.0,1.0
2021-04-15,79.66,80.75,74.56,75.5,8841136,79.66,80.75,74.56,75.5,8841136,0.0,1.0
2021-04-16,75.85,79.36,75.12,78.0,5156233,75.85,79.36,75.12,78.0,5156233,0.0,1.0
2021-04-19,72.0,78.2999,71.43,75.87,6637738,72.0,78.2999,71.43,75.87,6637738,0.0,1.0
2021-04-20,69.24,71.74,67.3,71.5,8393632,69.24,71.74,67.3,71.5,8393632,0.0,1.0
2021-04-21,71.76,71.99,67.6,68.81,4525000,71.76,71.99,67.6,68.81,4525000,0.0,1.0
2021-04-22,69.85,73.79,69.1,71.5,3372234,69.85,73.79,69.1,71.5,3372234,0.0,1.0
