date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-11-10,100.73,119.46,95.2,106.75,103679466,100.73,119.46,95.2,106.75,103679466,0.0,1.0
2021-11-11,122.99,125.0,108.01,114.625,83668202,122.99,125.0,108.01,114.625,83668202,0.0,1.0
2021-11-12,129.95,135.2,125.25,128.645,50345677,129.95,135.2,125.25,128.645,50345677,0.0,1.0
2021-11-15,149.36,152.53,127.51,130.8,64982343,149.36,152.53,127.51,130.8,64982343,0.0,1.0
2021-11-16,172.01,179.4699,153.78,163.8,94036577,172.01,179.4699,153.78,163.8,94036577,0.0,1.0
2021-11-17,146.07,163.0,140.35,160.88,71765590,146.07,163.0,140.35,160.88,71765590,0.0,1.0
2021-11-18,123.38,138.78,120.15,136.81,63603613,123.38,138.78,120.15,136.81,63603613,0.0,1.0
2021-11-19,128.6,139.9,125.6,129.98,49479449,128.6,139.9,125.6,129.98,49479449,0.0,1.0
2021-11-22,118.11,124.93,106.91,123.88,40993870,118.11,124.93,106.91,123.88,40993870,0.0,1.0
2021-11-23,119.85,124.0,113.0,117.83,24967930,119.85,124.0,113.0,117.83,24967930,0.0,1.0
2021-11-24,114.85,120.0,113.4501,119.38,11539220,114.85,120.0,113.4501,119.38,11539220,0.0,1.0
2021-11-26,112.13,114.4999,106.14,111.0,9871163,112.13,114.4999,106.14,111.0,9871163,0.0,1.0
2021-11-29,119.77,122.25,113.6,115.85,13923924,119.77,122.25,113.6,115.85,13923924,0.0,1.0
2021-11-30,119.76,121.49,114.1001,119.9,20204939,119.76,121.49,114.1001,119.9,20204939,0.0,1.0
2021-12-01,115.69,126.75,113.1,120.54,13317022,115.69,126.75,113.1,120.54,13317022,0.0,1.0
2021-12-02,110.77,118.45,107.75,114.17,10835537,110.77,118.45,107.75,114.17,10835537,0.0,1.0
2021-12-03,104.67,111.87,100.0,110.49,13819221,104.67,111.87,100.0,110.49,13819221,0.0,1.0
2021-12-06,116.78,117.48,100.32,106.36,19725442,116.78,117.48,100.32,106.36,19725442,0.0,1.0
2021-12-07,116.18,120.21,112.4,119.52,12173265,116.18,120.21,112.4,119.52,12173265,0.0,1.0
