date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2017-09-28,23.5,23.5,15.75,15.78,39265871,23.5,23.5,15.75,15.78,39265871,0.0,1.0
2017-09-29,26.54,29.8,25.47,26.74,44054717,26.54,29.8,25.47,26.74,44054717,0.0,1.0
2017-10-02,23.56,26.28,23.26,25.2,15961075,23.56,26.28,23.26,25.2,15961075,0.0,1.0
2017-10-03,20.81,23.02,20.77,23.01,13621669,20.81,23.02,20.77,23.01,13621669,0.0,1.0
2017-10-04,20.85,22.6,20.82,21.29,9345715,20.85,22.6,20.82,21.29,9345715,0.0,1.0
2017-10-05,22.01,22.2,21.35,21.4,6361606,22.01,22.2,21.35,21.4,6361606,0.0,1.0
2017-10-06,23.2,23.37,22.0,22.48,7045316,23.2,23.37,22.0,22.48,7045316,0.0,1.0
2017-10-09,24.54,25.35,23.56,23.85,7715340,24.54,25.35,23.56,23.85,7715340,0.0,1.0
2017-10-10,22.93,25.6,22.7,25.19,7479346,22.93,25.6,22.7,25.19,7479346,0.0,1.0
2017-10-11,23.66,24.33,23.2,23.81,5449264,23.66,24.33,23.2,23.81,5449264,0.0,1.0
2017-10-12,23.63,24.33,23.45,23.67,3545876,23.63,24.33,23.45,23.67,3545876,0.0,1.0
2017-10-13,23.02,24.2,22.95,23.75,2956916,23.02,24.2,22.95,23.75,2956916,0.0,1.0
2017-10-16,22.19,23.2,22.01,22.97,2577503,22.19,23.2,22.01,22.97,2577503,0.0,1.0
2017-10-17,22.09,22.5,21.5,22.29,1828128,22.09,22.5,21.5,22.29,1828128,0.0,1.0
2017-10-18,22.05,22.5,22.0,22.16,999300,22.05,22.5,22.0,22.16,999300,0.0,1.0
2017-10-19,22.03,22.93,21.35,21.55,2025895,22.03,22.93,21.35,21.55,2025895,0.0,1.0
2017-10-20,21.87,22.43,21.8,22.07,1753172,21.87,22.43,21.8,22.07,1753172,0.0,1.0
2017-10-23,20.37,22.0,20.35,21.75,2728583,20.37,22.0,20.35,21.75,2728583,0.0,1.0
2017-10-24,19.77,20.7,19.28,20.4,2359825,19.77,20.7,19.28,20.4,2359825,0.0,1.0
2017-10-25,18.92,19.755,18.35,19.66,2418919,18.92,19.755,18.35,19.66,2418919,0.0,1.0
2017-10-26,18.57,19.5,18.52,19.06,1705209,18.57,19.5,18.52,19.06,1705209,0.0,1.0
2017-10-27,18.79,19.3,18.5,18.5,1588394,18.79,19.3,18.5,18.5,1588394,0.0,1.0
2017-10-30,19.5,20.15,18.7,18.72,2108520,19.5,20.15,18.7,18.72,2108520,0.0,1.0
2017-10-31,20.38,20.84,19.6,19.89,1879988,20.38,20.84,19.6,19.89,1879988,0.0,1.0
2017-11-01,19.8,20.88,19.77,20.44,1162015,19.8,20.88,19.77,20.44,1162015,0.0,1.0
2017-11-02,19.75,20.53,19.59,20.53,523924,19.75,20.53,19.59,20.53,523924,0.0,1.0
