date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1989-06-30,11.0,11.0,10.63,11.0,45241,0.162309938943248,0.162309938943248,0.156850422815157,0.162309938943248,2061293,0.0,1.0
1989-07-03,11.25,11.38,11.0,11.0,25626,0.165998801191959,0.167917009561288,0.162309938943248,0.162309938943248,1167584,0.0,1.0
1989-07-05,11.75,11.75,11.38,11.5,24974,0.173376525689379,0.173376525689379,0.167917009561288,0.169687663440669,1137877,0.0,1.0
1989-07-06,12.13,12.13,11.87,11.87,90160,0.178983596307419,0.178983596307419,0.17514717956876,0.17514717956876,4107915,0.0,1.0
1989-07-07,12.25,12.5,12.13,12.13,113185,0.180754250186799,0.18444311243551,0.178983596307419,0.178983596307419,5156991,0.0,1.0
1989-07-10,12.62,12.75,12.25,12.25,46782,0.18621376631489,0.18813197468422,0.180754250186799,0.180754250186799,2131504,0.0,1.0
1989-07-11,12.62,12.75,12.62,12.75,31467,0.18621376631489,0.18813197468422,0.18621376631489,0.18813197468422,1433715,0.0,1.0
1989-07-12,12.75,12.75,12.62,12.62,25982,0.18813197468422,0.18813197468422,0.18621376631489,0.18621376631489,1183804,0.0,1.0
1989-07-13,12.75,12.75,12.62,12.62,29867,0.18813197468422,0.18813197468422,0.18621376631489,0.18621376631489,1360815,0.0,1.0
1989-07-14,12.62,12.75,12.5,12.62,71644,0.18621376631489,0.18813197468422,0.18444311243551,0.18621376631489,3264279,0.0,1.0
1989-07-17,13.0,13.25,12.62,12.75,47763,0.19182083693293,0.19550969918164,0.18621376631489,0.18813197468422,2176201,0.0,1.0
1989-07-18,13.75,13.88,13.13,13.25,40560,0.202887423679061,0.20480563204839,0.193739045302259,0.19550969918164,1848015,0.0,1.0
1989-07-19,14.87,15.25,14.0,15.25,128797,0.219413526553282,0.225020597171322,0.206576285927771,0.225020597171322,5868313,0.0,1.0
1989-07-20,15.12,15.5,15.12,15.25,114252,0.223102388801992,0.228709459420032,0.223102388801992,0.225020597171322,5205606,0.0,1.0
1989-07-21,14.75,15.25,14.63,15.25,39230,0.217642872673901,0.225020597171322,0.21587221879452,0.225020597171322,1787416,0.0,1.0
1989-07-24,14.63,14.63,14.5,14.63,32830,0.21587221879452,0.21587221879452,0.213954010425191,0.21587221879452,1495816,0.0,1.0
1989-07-25,14.63,14.75,14.5,14.5,30044,0.21587221879452,0.217642872673901,0.213954010425191,0.213954010425191,1368879,0.0,1.0
1989-07-26,14.63,14.63,14.37,14.63,18397,0.216314882264366,0.216314882264366,0.212470598642443,0.216314882264366,838213,0.03,1.0
1989-07-27,15.38,15.5,14.75,14.75,45985,0.22740416194299,0.22917844669157,0.218089167012946,0.218089167012946,2095191,0.0,1.0
1989-07-28,15.63,15.87,15.0,15.25,87467,0.231100588502531,0.234649157999691,0.221785593572487,0.225482020132028,3985215,0.0,1.0
