date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2006-04-28,138.12,140.0,128.64,129.0,2343000,13.812,14.0,12.864,12.9,23430000,0.0,1.0
2006-05-01,138.7,141.79,137.5,141.0,1478600,13.87,14.179,13.75,14.1,14786000,0.0,1.0
2006-05-02,143.65,144.0,141.0,142.45,1251100,14.365,14.4,14.1,14.245,12511000,0.0,1.0
2006-05-03,139.25,144.64,134.13,144.5,1514100,13.925,14.464,13.413,14.45,15141000,0.0,1.0
2006-05-04,140.0,142.87,136.8,139.5,1107500,14.0,14.287,13.68,13.95,11075000,0.0,1.0
2006-05-05,139.95,140.3,137.5,140.0,658600,13.995,14.03,13.75,14.0,6586000,0.0,1.0
2006-05-08,140.0,140.0,135.06,135.9,945300,14.0,14.0,13.506,13.59,9453000,0.0,1.0
2006-05-09,145.0,146.25,140.6,140.98,1105400,14.5,14.625,14.06,14.098,11054000,0.0,1.0
2006-05-10,145.26,145.75,142.5,142.9,1391100,14.526,14.575,14.25,14.29,13911000,0.0,1.0
2006-05-11,148.6,152.5,148.0,150.0,1053200,14.86,15.25,14.8,15.0,10532000,0.0,1.0
2006-05-12,144.64,149.0,142.17,148.9,1006700,14.464,14.9,14.217,14.89,10067000,0.0,1.0
2006-05-15,132.7,137.8,132.04,133.6,1258100,13.27,13.78,13.204,13.36,12581000,0.0,1.0
2006-05-16,135.8,136.75,132.75,135.1,720000,13.58,13.675,13.275,13.51,7200000,0.0,1.0
2006-05-17,130.9,137.48,129.21,135.55,782100,13.09,13.748,12.921,13.555,7821000,0.0,1.0
2006-05-18,126.02,133.65,126.02,132.2,802000,12.602,13.365,12.602,13.22,8020000,0.0,1.0
2006-05-19,126.0,126.83,121.68,123.0,846000,12.6,12.683,12.168,12.3,8460000,0.0,1.0
2006-05-22,125.15,126.0,122.54,123.98,594900,12.515,12.6,12.254,12.398,5949000,0.0,1.0
2006-05-23,130.45,132.52,128.9,129.85,818800,13.045,13.252,12.89,12.985,8188000,0.0,1.0
2006-05-24,125.45,128.95,124.227,126.98,534900,12.545,12.895,12.4227,12.698,5349000,0.0,1.0
2006-05-25,126.85,127.9,124.39,125.55,499800,12.685,12.79,12.439,12.555,4998000,0.0,1.0
2006-05-26,126.7,127.77,124.9,127.69,347700,12.67,12.777,12.49,12.769,3477000,0.0,1.0
2006-05-30,130.97,133.6,130.28,132.36,620400,13.097,13.36,13.028,13.236,6204000,0.0,1.0
2006-05-31,126.28,131.3,123.66,131.1,634200,12.628,13.13,12.366,13.11,6342000,0.0,1.0
2006-06-01,120.4,122.56,118.1,118.5,800700,12.04,12.256,11.81,11.85,8007000,0.0,1.0
2006-06-02,121.75,123.11,120.03,121.69,380700,12.175,12.311,12.003,12.169,3807000,0.0,1.0
2006-06-05,120.92,123.8,120.76,122.0,431700,12.092,12.38,12.076,12.2,4317000,0.0,1.0
2006-06-06,118.35,119.48,116.8,118.79,676400,11.835,11.948,11.68,11.879,6764000,0.0,1.0
2006-06-07,118.7,120.43,115.3,115.98,343900,11.87,12.043,11.53,11.598,3439000,0.0,1.0
2006-06-08,112.35,117.0,111.34,116.7,675400,11.235,11.7,11.134,11.67,6754000,0.0,1.0
2006-06-09,111.15,115.5,111.03,113.8,333500,11.115,11.55,11.103,11.38,3335000,0.0,1.0
2006-06-12,109.3,113.23,109.16,111.985,538000,10.93,11.323,10.916,11.1985,5380000,0.0,1.0
