date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2017-03-02,24.48,26.05,23.5,24.0,217109769,24.48,26.05,23.5,24.0,217109769,0.0,1.0
2017-03-03,27.09,29.44,26.06,26.39,148227379,27.09,29.44,26.06,26.39,148227379,0.0,1.0
2017-03-06,23.77,28.25,23.77,28.17,72938848,23.77,28.25,23.77,28.17,72938848,0.0,1.0
2017-03-07,21.44,22.5,20.64,22.21,71899652,21.44,22.5,20.64,22.21,71899652,0.0,1.0
2017-03-08,22.81,23.43,21.31,22.03,49834423,22.81,23.43,21.31,22.03,49834423,0.0,1.0
2017-03-09,22.71,23.68,22.51,23.17,25803174,22.71,23.68,22.51,23.17,25803174,0.0,1.0
2017-03-10,22.07,23.4,22.0,23.36,18337600,22.07,23.4,22.0,23.36,18337600,0.0,1.0
2017-03-13,21.09,22.15,20.96,22.05,20605862,21.09,22.15,20.96,22.05,20605862,0.0,1.0
2017-03-14,20.58,20.98,20.15,20.9,20033167,20.58,20.98,20.15,20.9,20033167,0.0,1.0
2017-03-15,20.77,21.4,20.05,20.08,24985920,20.77,21.4,20.05,20.08,24985920,0.0,1.0
2017-03-16,19.89,20.69,19.75,20.65,25630157,19.89,20.69,19.75,20.65,25630157,0.0,1.0
2017-03-17,19.54,19.85,18.9,19.8,34251973,19.54,19.85,18.9,19.8,34251973,0.0,1.0
2017-03-20,19.93,20.43,19.72,19.94,21016038,19.93,20.43,19.72,19.94,21016038,0.0,1.0
2017-03-21,20.38,20.54,19.55,20.04,20080142,20.38,20.54,19.55,20.04,20080142,0.0,1.0
2017-03-22,21.82,22.25,20.52,20.65,47599301,21.82,22.25,20.52,20.65,47599301,0.0,1.0
2017-03-23,23.13,23.3,22.22,22.69,40645418,23.13,23.3,22.22,22.69,40645418,0.0,1.0
2017-03-24,22.74,23.1,22.34,23.05,17263232,22.74,23.1,22.34,23.05,17263232,0.0,1.0
2017-03-27,23.83,24.4,22.6,23.09,48398210,23.83,24.4,22.6,23.09,48398210,0.0,1.0
2017-03-28,22.21,23.36,22.17,23.31,49889866,22.21,23.36,22.17,23.31,49889866,0.0,1.0
2017-03-29,22.55,22.71,21.33,21.77,31475593,22.55,22.71,21.33,21.77,31475593,0.0,1.0
2017-03-30,22.23,22.85,22.0,22.55,17094311,22.23,22.85,22.0,22.55,17094311,0.0,1.0
2017-03-31,22.53,22.62,22.0,22.05,15087074,22.53,22.62,22.0,22.05,15087074,0.0,1.0
2017-04-03,22.35,22.9,22.11,22.7,12521294,22.35,22.9,22.11,22.7,12521294,0.0,1.0
2017-04-04,22.14,22.67,21.88,22.21,16313506,22.14,22.67,21.88,22.21,16313506,0.0,1.0
2017-04-05,20.7,22.22,20.67,22.15,26099307,20.7,22.22,20.67,22.15,26099307,0.0,1.0
2017-04-06,20.57,20.76,20.03,20.76,21933897,20.57,20.76,20.03,20.76,21933897,0.0,1.0
2017-04-07,20.82,21.08,20.6,20.68,10574747,20.82,21.08,20.6,20.68,10574747,0.0,1.0
2017-04-10,20.97,21.27,20.7,21.09,8629845,20.97,21.27,20.7,21.09,8629845,0.0,1.0
2017-04-11,20.7,21.2,20.34,21.01,13310727,20.7,21.2,20.34,21.01,13310727,0.0,1.0
2017-04-12,20.22,20.83,20.18,20.7,9362568,20.22,20.83,20.18,20.7,9362568,0.0,1.0
2017-04-13,20.19,20.37,19.81,20.2,13600361,20.19,20.37,19.81,20.2,13600361,0.0,1.0
2017-04-17,19.94,20.21,19.8,20.09,11714666,19.94,20.21,19.8,20.09,11714666,0.0,1.0
2017-04-18,20.55,20.89,19.73,19.83,15974661,20.55,20.89,19.73,19.83,15974661,0.0,1.0
2017-04-19,20.62,20.91,20.41,20.5,8737757,20.62,20.91,20.41,20.5,8737757,0.0,1.0
2017-04-20,21.15,21.26,20.62,20.63,10025578,21.15,21.26,20.62,20.63,10025578,0.0,1.0
2017-04-21,20.93,21.49,20.71,21.37,7742074,20.93,21.49,20.71,21.37,7742074,0.0,1.0
2017-04-24,21.2,21.3,21.01,21.2,5928215,21.2,21.3,21.01,21.2,5928215,0.0,1.0
2017-04-25,21.34,21.4,20.56,21.08,9588043,21.34,21.4,20.56,21.08,9588043,0.0,1.0
2017-04-26,21.58,21.65,21.08,21.25,10141339,21.58,21.65,21.08,21.25,10141339,0.0,1.0
2017-04-27,22.01,22.12,21.58,21.58,10764391,22.01,22.12,21.58,21.58,10764391,0.0,1.0
2017-04-28,22.55,22.59,22.01,22.05,9031607,22.55,22.59,22.01,22.05,9031607,0.0,1.0
2017-05-01,22.21,22.84,22.11,22.66,7959265,22.21,22.84,22.11,22.66,7959265,0.0,1.0
2017-05-02,21.99,22.37,21.75,22.37,8135878,21.99,22.37,21.75,22.37,8135878,0.0,1.0
2017-05-03,21.82,22.21,21.633,21.8,7074347,21.82,22.21,21.633,21.8,7074347,0.0,1.0
