date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1992-02-26,31.5,33.0,27.5,28.5,2901500,7.875,8.25,6.875,7.125,11606000,0.0,1.0
1992-02-27,31.12,32.25,30.75,32.25,479600,7.78,8.0625,7.6875,8.0625,1918400,0.0,1.0
1992-02-28,30.75,31.75,30.25,31.25,346800,7.6875,7.9375,7.5625,7.8125,1387200,0.0,1.0
1992-03-02,31.75,32.25,30.25,30.5,301500,7.9375,8.0625,7.5625,7.625,1206000,0.0,1.0
1992-03-03,32.0,32.25,31.5,31.75,55700,8.0,8.0625,7.875,7.9375,222800,0.0,1.0
1992-03-04,31.0,32.0,30.75,32.0,149000,7.75,8.0,7.6875,8.0,596000,0.0,1.0
1992-03-05,30.75,31.0,30.25,30.75,439800,7.6875,7.75,7.5625,7.6875,1759200,0.0,1.0
1992-03-06,31.0,31.75,30.5,30.5,74300,7.75,7.9375,7.625,7.625,297200,0.0,1.0
1992-03-09,32.0,32.75,31.25,31.25,164900,8.0,8.1875,7.8125,7.8125,659600,0.0,1.0
1992-03-10,32.75,33.0,31.75,32.0,174600,8.1875,8.25,7.9375,8.0,698400,0.0,1.0
1992-03-11,32.25,33.25,32.25,33.25,68600,8.0625,8.3125,8.0625,8.3125,274400,0.0,1.0
1992-03-12,32.75,33.25,32.25,32.25,129900,8.1875,8.3125,8.0625,8.0625,519600,0.0,1.0
1992-03-13,33.75,34.0,32.5,32.5,58300,8.4375,8.5,8.125,8.125,233200,0.0,1.0
1992-03-16,32.5,33.75,32.5,33.5,93200,8.125,8.4375,8.125,8.375,372800,0.0,1.0
1992-03-17,32.75,33.12,32.75,32.75,43000,8.1875,8.28,8.1875,8.1875,172000,0.0,1.0
1992-03-18,33.25,33.75,32.75,32.75,36900,8.3125,8.4375,8.1875,8.1875,147600,0.0,1.0
1992-03-19,34.25,34.75,33.5,34.0,153400,8.5625,8.6875,8.375,8.5,613600,0.0,1.0
1992-03-20,35.0,35.25,34.5,34.75,45300,8.75,8.8125,8.625,8.6875,181200,0.0,1.0
1992-03-23,35.0,35.25,34.25,35.25,12900,8.75,8.8125,8.5625,8.8125,51600,0.0,1.0
1992-03-24,34.5,34.75,34.25,34.5,22000,8.625,8.6875,8.5625,8.625,88000,0.0,1.0
1992-03-25,34.62,34.75,34.25,34.25,57500,8.655,8.6875,8.5625,8.5625,230000,0.0,1.0
1992-03-26,33.25,34.75,33.25,34.75,139100,8.3125,8.6875,8.3125,8.6875,556400,0.0,1.0
