date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2008-01-29,12.99,13.73,12.4,13.08,6580600,64.95,68.65,62.0,65.4,1316120,0.0,1.0
2008-01-30,13.04,13.25,12.26,13.23,1608600,65.2,66.25,61.3,66.15,321720,0.0,1.0
2008-01-31,12.51,12.75,12.3,12.74,298100,62.55,63.75,61.5,63.7,59620,0.0,1.0
2008-02-01,12.9,13.3,12.12,12.22,584600,64.5,66.5,60.6,61.1,116920,0.0,1.0
2008-02-04,13.65,14.19,12.8,13.01,1534300,68.25,70.95,64.0,65.05,306860,0.0,1.0
2008-02-05,13.46,13.7,13.0,13.34,540600,67.3,68.5,65.0,66.7,108120,0.0,1.0
2008-02-06,12.63,13.45,12.5,12.99,925400,63.15,67.25,62.5,64.95,185080,0.0,1.0
2008-02-07,11.65,12.35,11.33,12.15,1283300,58.25,61.75,56.65,60.75,256660,0.0,1.0
2008-02-08,11.1,11.7,11.0,11.59,580900,55.5,58.5,55.0,57.95,116180,0.0,1.0
2008-02-11,11.35,11.7,10.55,10.92,727800,56.75,58.5,52.75,54.6,145560,0.0,1.0
2008-02-12,11.12,11.85,10.89,11.4,630600,55.6,59.25,54.45,57.0,126120,0.0,1.0
2008-02-13,12.95,13.25,11.51,11.98,1607000,64.75,66.25,57.55,59.9,321400,0.0,1.0
2008-02-14,12.85,13.68,12.61,13.34,1521000,64.25,68.4,63.05,66.7,304200,0.0,1.0
2008-02-15,12.03,13.14,11.9,12.29,779300,60.15,65.7,59.5,61.45,155860,0.0,1.0
2008-02-19,11.8,12.63,11.55,12.63,670200,59.0,63.15,57.75,63.15,134040,0.0,1.0
2008-02-20,10.95,11.5,10.55,11.31,1086100,54.75,57.5,52.75,56.55,217220,0.0,1.0
2008-02-21,10.01,11.2,10.0,11.05,852200,50.05,56.0,50.0,55.25,170440,0.0,1.0
2008-02-22,11.3,11.8,10.5,11.23,1219700,56.5,59.0,52.5,56.15,243940,0.0,1.0
2008-02-25,11.59,11.8,11.02,11.61,327100,57.95,59.0,55.1,58.05,65420,0.0,1.0
2008-02-26,11.22,11.6,11.09,11.36,222000,56.1,58.0,55.45,56.8,44400,0.0,1.0
2008-02-27,10.91,11.2,10.75,11.19,233800,54.55,56.0,53.75,55.95,46760,0.0,1.0
2008-02-28,10.65,10.94,10.48,10.81,118300,53.25,54.7,52.4,54.05,23660,0.0,1.0
2008-02-29,10.63,11.28,10.4,10.4,123500,53.15,56.4,52.0,52.0,24700,0.0,1.0
2008-03-03,9.84,10.32,9.75,10.2,614300,49.2,51.6,48.75,51.0,122860,0.0,1.0
2008-03-04,9.92,10.2,9.76,10.06,234800,49.6,51.0,48.8,50.3,46960,0.0,1.0
2008-03-05,10.11,10.46,10.0,10.14,199200,50.55,52.3,50.0,50.7,39840,0.0,1.0
2008-03-06,9.91,10.46,9.91,10.46,155900,49.55,52.3,49.55,52.3,31180,0.0,1.0
2008-03-07,9.15,10.2,9.02,9.9,269900,45.75,51.0,45.1,49.5,53980,0.0,1.0
2008-03-10,7.98,9.54,7.85,9.54,564200,39.9,47.7,39.25,47.7,112840,0.0,1.0
