date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2004-01-02,25.03,25.23,24.94,25.2,541500,23.7067927312984,23.8962197607135,23.6215505680616,23.8678057063012,541500,0.0,1.0
2004-01-05,25.15,25.3,25.0,25.1,529300,23.8204489489474,23.9625192210087,23.6783786768861,23.7730921915937,529300,0.0,1.0
2004-01-06,25.37,25.39,24.98,25.1,860400,24.028818681304,24.0477613842455,23.6594359739446,23.7730921915937,860400,0.0,1.0
2004-01-07,25.61,25.61,25.2,25.3,507800,24.2561311166021,24.2561311166021,23.8678057063012,23.9625192210087,507800,0.0,1.0
2004-01-08,26.13,26.13,25.61,25.61,623700,24.7486413930814,24.7486413930814,24.2561311166021,24.2561311166021,623700,0.0,1.0
2004-01-09,26.01,26.1,25.79,26.0,466300,24.6349851754323,24.7202273386691,24.4266154430757,24.6255138239616,466300,0.0,1.0
2004-01-12,25.72,26.01,25.55,26.01,669200,24.3603159827804,24.6349851754323,24.1993030077776,24.6349851754323,669200,0.0,1.0
2004-01-13,25.95,25.98,25.62,25.62,501700,24.5781570666078,24.60657112102,24.2656024680729,24.2656024680729,501700,0.0,1.0
2004-01-14,26.75,26.77,25.83,25.83,1184300,25.3358651842681,25.3548078872096,24.4645008489587,24.4645008489587,1184300,0.0,1.0
2004-01-15,26.58,26.74,26.3,26.3,640000,25.1748522092653,25.3263938327974,24.9096543680842,24.9096543680842,640000,0.0,1.0
2004-01-16,27.16,27.65,26.7,26.7,1136500,25.7241905945691,26.188286816636,25.2885084269144,25.2885084269144,1136500,0.0,1.0
2004-01-20,27.2,27.3,26.76,27.06,427400,25.7620760004521,25.8567895151596,25.3453365357389,25.6294770798615,427400,0.0,1.0
2004-01-21,27.48,27.49,26.96,27.1,458400,26.0272738416332,26.036745193104,25.534763565154,25.6673624857445,458400,0.0,1.0
2004-01-22,27.82,28.0,27.4,27.5,880600,26.3492997916389,26.5197841181124,25.9515030298672,26.0462165445747,880600,0.0,1.0
2004-01-23,27.75,27.81,27.46,27.7,536800,26.2830003313436,26.3398284401681,26.0083311386917,26.2356435739898,536800,0.0,1.0
