date,1d_open,1d_high,1d_low,1d_close,1d_volume,Close,High,Low,Open,Volume
2010-06-29 00:00:00+00:00,19.0,25.0,17.54,23.89,18766300,1.5926666667,1.6666666667,1.1693333333,1.2666666667,281494500
2010-06-30 00:00:00+00:00,25.79,30.4192,23.3,23.83,17187100,1.5886666667,2.0279466667,1.5533333333,1.7193333333,257806500
2010-07-01 00:00:00+00:00,25.0,25.92,20.27,21.96,8218800,1.464,1.728,1.3513333333,1.6666666667,123282000
2010-07-02 00:00:00+00:00,23.0,23.1,18.71,19.2,5139800,1.28,1.54,1.2473333333,1.5333333333,77097000
2010-07-06 00:00:00+00:00,20.0,20.0,15.83,16.11,6866900,1.074,1.3333333333,1.0553333333,1.3333333333,103003500
2010-07-07 00:00:00+00:00,16.4,16.63,14.98,15.8,6921700,1.0533333333,1.1086666667,0.9986666667,1.0933333333,103825500
2010-07-08 00:00:00+00:00,16.14,17.52,15.57,17.46,7711400,1.164,1.168,1.038,1.076,115671000
2010-07-09 00:00:00+00:00,17.58,17.9,16.55,17.4,4050600,1.16,1.1933333333,1.1033333333,1.172,60759000
2010-07-12 00:00:00+00:00,17.95,18.07,17.0,17.05,2202500,1.1366666667,1.2046666667,1.1333333333,1.1966666667,33037500
2010-07-13 00:00:00+00:00,17.3938,18.64,16.9,18.14,2680100,1.2093333333,1.2426666667,1.1266666667,1.1595866667,40201500
2010-07-14 00:00:00+00:00,17.94,20.15,17.7601,19.84,4195200,1.3226666667,1.3433333333,1.1840066667,1.196,62928000
2010-07-15 00:00:00+00:00,19.94,21.5,19.0,19.89,3739800,1.326,1.4333333333,1.2666666667,1.3293333333,56097000
2010-07-16 00:00:00+00:00,20.7,21.3,20.05,20.64,2621300,1.376,1.42,1.3366666667,1.38,39319500
2010-07-19 00:00:00+00:00,21.37,22.25,20.92,21.91,2486500,1.4606666667,1.4833333333,1.3946666667,1.4246666667,37297500
2010-07-20 00:00:00+00:00,21.85,21.85,20.05,20.3,1825300,1.3533333333,1.4566666667,1.3366666667,1.4566666667,27379500
2010-07-21 00:00:00+00:00,20.66,20.9,19.5,20.22,1252500,1.348,1.3933333333,1.3,1.3773333333,18787500
2010-07-22 00:00:00+00:00,20.5,21.25,20.37,21.0,957800,1.4,1.4166666667,1.358,1.3666666667,14367000
2010-07-23 00:00:00+00:00,21.19,21.56,21.06,21.29,653600,1.4193333333,1.4373333333,1.404,1.4126666667,9804000
2010-07-26 00:00:00+00:00,21.5,21.5,20.3,20.95,922200,1.3966666667,1.4333333333,1.3533333333,1.4333333333,13833000
2010-07-27 00:00:00+00:00,20.91,21.18,20.26,20.55,619700,1.37,1.412,1.3506666667,1.394,9295500
2010-07-28 00:00:00+00:00,20.55,20.9,20.51,20.72,467200,1.3813333333,1.3933333333,1.3673333333,1.37,7008000
