date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2013-11-07,44.9,50.09,44.0,45.1,117701600,44.9,50.09,44.0,45.1,117701600,0.0,1.0
2013-11-08,41.65,46.94,40.685,45.93,27925300,41.65,46.94,40.685,45.93,27925300,0.0,1.0
2013-11-11,42.9,43.0,39.4,40.5,16113900,42.9,43.0,39.4,40.5,16113900,0.0,1.0
2013-11-12,41.9,43.78,41.83,43.66,6316700,41.9,43.78,41.83,43.66,6316700,0.0,1.0
2013-11-13,42.6,42.87,40.76,41.03,8688300,42.6,42.87,40.76,41.03,8688300,0.0,1.0
2013-11-14,44.69,45.67,42.24,42.34,11099400,44.69,45.67,42.24,42.34,11099400,0.0,1.0
2013-11-15,43.98,45.27,43.43,45.25,8010600,43.98,45.27,43.43,45.25,8010600,0.0,1.0
2013-11-18,41.14,43.95,40.85,43.5,12810600,41.14,43.95,40.85,43.5,12810600,0.0,1.0
2013-11-19,41.75,41.9,40.0,41.39,7436600,41.75,41.9,40.0,41.39,7436600,0.0,1.0
2013-11-20,41.05,41.75,40.51,41.4,5767300,41.05,41.75,40.51,41.4,5767300,0.0,1.0
2013-11-21,42.06,42.49,40.37,41.25,8324700,42.06,42.49,40.37,41.25,8324700,0.0,1.0
2013-11-22,41.0,42.28,40.97,41.81,6185200,41.0,42.28,40.97,41.81,6185200,0.0,1.0
2013-11-25,39.06,41.14,38.8,41.08,14333300,39.06,41.14,38.8,41.08,14333300,0.0,1.0
2013-11-26,40.18,40.55,38.92,39.16,9828400,40.18,40.55,38.92,39.16,9828400,0.0,1.0
2013-11-27,40.9,41.4,40.35,40.47,5536300,40.9,41.4,40.35,40.47,5536300,0.0,1.0
2013-11-29,41.57,41.58,40.9,41.4,4107000,41.57,41.58,40.9,41.4,4107000,0.0,1.0
2013-12-02,40.78,42.0,40.4,41.79,6424300,40.78,42.0,40.4,41.79,6424300,0.0,1.0
2013-12-03,41.37,41.6,40.54,40.69,5771000,41.37,41.6,40.54,40.69,5771000,0.0,1.0
2013-12-04,43.69,43.92,41.27,41.27,11014900,43.69,43.92,41.27,41.27,11014900,0.0,1.0
2013-12-05,45.62,46.35,42.83,43.45,11729400,45.62,46.35,42.83,43.45,11729400,0.0,1.0
2013-12-06,44.95,45.8,44.54,45.75,6230000,44.95,45.8,44.54,45.75,6230000,0.0,1.0
2013-12-09,49.14,49.84,45.02,45.59,17366600,49.14,49.84,45.02,45.59,17366600,0.0,1.0
2013-12-10,51.99,52.58,48.7,48.9,25792000,51.99,52.58,48.7,48.9,25792000,0.0,1.0
2013-12-11,52.34,53.87,51.0,52.4,26631500,52.34,53.87,51.0,52.4,26631500,0.0,1.0
2013-12-12,55.33,55.87,50.69,52.2,23446900,55.33,55.87,50.69,52.2,23446900,0.0,1.0
2013-12-13,59.0,59.41,55.45,56.2,38979600,59.0,59.41,55.45,56.2,38979600,0.0,1.0
2013-12-16,56.61,60.24,55.76,57.86,39310800,56.61,60.24,55.76,57.86,39310800,0.0,1.0
2013-12-17,56.45,57.38,54.62,56.97,22115200,56.45,57.38,54.62,56.97,22115200,0.0,1.0
2013-12-18,55.51,57.0,54.23,57.0,16659800,55.51,57.0,54.23,57.0,16659800,0.0,1.0
2013-12-19,57.49,57.75,55.0,55.08,13152500,57.49,57.75,55.0,55.08,13152500,0.0,1.0
2013-12-20,60.01,60.25,58.01,58.51,26207400,60.01,60.25,58.01,58.51,26207400,0.0,1.0
2013-12-23,64.54,64.99,59.7,59.85,22163800,64.54,64.99,59.7,59.85,22163800,0.0,1.0
2013-12-24,69.96,70.87,65.56,66.34,35802700,69.96,70.87,65.56,66.34,35802700,0.0,1.0
2013-12-26,73.31,74.73,69.1301,72.88,82761100,73.31,74.73,69.1301,72.88,82761100,0.0,1.0
2013-12-27,63.75,71.25,63.69,70.1,60418700,63.75,71.25,63.69,70.1,60418700,0.0,1.0
2013-12-30,60.51,63.71,58.57,60.27,55538300,60.51,63.71,58.57,60.27,55538300,0.0,1.0
2013-12-31,63.65,65.22,61.65,62.36,27814600,63.65,65.22,61.65,62.36,27814600,0.0,1.0
2014-01-02,67.5,67.5,64.4,65.0,29246400,67.5,67.5,64.4,65.0,29246400,0.0,1.0
2014-01-03,69.0,70.43,68.432,69.0,33207200,69.0,70.43,68.432,69.0,33207200,0.0,1.0
2014-01-06,66.29,66.87,63.5,64.83,27243700,66.29,66.87,63.5,64.83,27243700,0.0,1.0
2014-01-07,61.46,67.73,61.39,67.67,31748400,61.46,67.73,61.39,67.67,31748400,0.0,1.0
2014-01-08,59.29,61.26,57.92,58.71,27263200,59.29,61.26,57.92,58.71,27263200,0.0,1.0
2014-01-09,57.05,60.81,55.59,59.54,31092100,57.05,60.81,55.59,59.54,31092100,0.0,1.0
2014-01-10,57.0,58.76,55.87,57.5,22375900,57.0,58.76,55.87,57.5,22375900,0.0,1.0
2014-01-13,57.82,60.38,57.294,59.98,20978100,57.82,60.38,57.294,59.98,20978100,0.0,1.0
2014-01-14,58.21,59.02,57.36,58.88,14778000,58.21,59.02,57.36,58.88,14778000,0.0,1.0
2014-01-15,61.57,61.75,58.32,59.11,21537300,61.57,61.75,58.32,59.11,21537300,0.0,1.0
2014-01-16,60.57,62.4,60.46,61.45,16589400,60.57,62.4,60.46,61.45,16589400,0.0,1.0
2014-01-17,62.2,64.69,61.59,63.6,28391100,62.2,64.69,61.59,63.6,28391100,0.0,1.0
2014-01-21,62.53,63.44,61.5,63.33,13733200,62.53,63.44,61.5,63.33,13733200,0.0,1.0
2014-01-22,62.44,63.8,61.76,63.11,12039000,62.44,63.8,61.76,63.11,12039000,0.0,1.0
2014-01-23,62.8,62.81,60.88,61.45,10183700,62.8,62.81,60.88,61.45,10183700,0.0,1.0
2014-01-24,61.74,63.62,61.3,62.17,12942200,61.74,63.62,61.3,62.17,12942200,0.0,1.0
2014-01-27,57.91,61.77,56.1,61.77,18982700,57.91,61.77,56.1,61.77,18982700,0.0,1.0
2014-01-28,60.44,60.85,57.35,57.44,9346800,60.44,60.85,57.35,57.44,9346800,0.0,1.0
2014-01-29,59.45,60.95,58.6,59.62,9140000,59.45,60.95,58.6,59.62,9140000,0.0,1.0
2014-01-30,63.47,65.24,62.8,63.98,17424300,63.47,65.24,62.8,63.98,17424300,0.0,1.0
2014-01-31,64.5,65.37,62.65,63.39,15498800,64.5,65.37,62.65,63.39,15498800,0.0,1.0
2014-02-03,65.25,66.48,64.21,65.92,17890300,65.25,66.48,64.21,65.92,17890300,0.0,1.0
2014-02-04,66.32,66.37,64.5,66.25,13017400,66.32,66.37,64.5,66.25,13017400,0.0,1.0
2014-02-05,65.97,67.24,64.8,67.16,31504900,65.97,67.24,64.8,67.16,31504900,0.0,1.0
2014-02-06,50.03,53.9,49.99,50.61,64856500,50.03,53.9,49.99,50.61,64856500,0.0,1.0
2014-02-07,54.35,54.92,50.75,51.23,32204400,54.35,54.92,50.75,51.23,32204400,0.0,1.0
2014-02-10,52.92,54.59,52.34,54.5,15857400,52.92,54.59,52.34,54.5,15857400,0.0,1.0
2014-02-11,54.0,54.4,53.1,53.2,13162900,54.0,54.4,53.1,53.2,13162900,0.0,1.0
2014-02-12,56.85,57.0,54.76,55.05,20040400,56.85,57.0,54.76,55.05,20040400,0.0,1.0
2014-02-13,56.47,58.98,55.46,56.07,26009500,56.47,58.98,55.46,56.07,26009500,0.0,1.0
2014-02-14,57.44,57.86,56.7,57.02,12512400,57.44,57.86,56.7,57.02,12512400,0.0,1.0
2014-02-18,58.18,58.64,56.77,57.88,10719500,58.18,58.64,56.77,57.88,10719500,0.0,1.0
2014-02-19,55.5,58.95,54.62,58.47,25772100,55.5,58.95,54.62,58.47,25772100,0.0,1.0
2014-02-20,56.63,57.08,54.65,55.82,12097500,56.63,57.08,54.65,55.82,12097500,0.0,1.0
2014-02-21,55.92,57.2,55.7,57.1,7714300,55.92,57.2,55.7,57.1,7714300,0.0,1.0
2014-02-24,55.78,56.49,55.3,56.03,8451200,55.78,56.49,55.3,56.03,8451200,0.0,1.0
2014-02-25,54.96,55.95,54.5,55.89,9288500,54.96,55.95,54.5,55.89,9288500,0.0,1.0
2014-02-26,55.87,56.99,54.9,55.0,12116000,55.87,56.99,54.9,55.0,12116000,0.0,1.0
2014-02-27,55.77,56.69,55.4,56.34,6537700,55.77,56.69,55.4,56.34,6537700,0.0,1.0
2014-02-28,54.91,56.0,54.13,55.93,8137200,54.91,56.0,54.13,55.93,8137200,0.0,1.0
2014-03-03,53.71,54.4,52.9,53.89,9602300,53.71,54.4,52.9,53.89,9602300,0.0,1.0
2014-03-04,54.28,55.28,54.12,54.25,6706300,54.28,55.28,54.12,54.25,6706300,0.0,1.0
2014-03-05,54.38,55.03,53.75,54.53,5672000,54.38,55.03,53.75,54.53,5672000,0.0,1.0
2014-03-06,54.83,56.09,54.7,54.91,9005700,54.83,56.09,54.7,54.91,9005700,0.0,1.0
2014-03-07,53.53,55.2,53.31,55.18,7311500,53.53,55.2,53.31,55.18,7311500,0.0,1.0
2014-03-10,53.88,54.59,53.38,54.09,5759600,53.88,54.59,53.38,54.09,5759600,0.0,1.0
2014-03-11,54.02,55.84,53.8,54.16,11762600,54.02,55.84,53.8,54.16,11762600,0.0,1.0
2014-03-12,54.5,55.3,53.88,54.25,5818400,54.5,55.3,53.88,54.25,5818400,0.0,1.0
2014-03-13,53.57,55.45,53.2,54.9,7671500,53.57,55.45,53.2,54.9,7671500,0.0,1.0
2014-03-14,51.92,53.91,51.8,53.4,9570400,51.92,53.91,51.8,53.4,9570400,0.0,1.0
2014-03-17,52.05,52.49,51.35,52.08,6600900,52.05,52.49,51.35,52.08,6600900,0.0,1.0
2014-03-18,51.13,52.21,50.29,52.03,12228900,51.13,52.21,50.29,52.03,12228900,0.0,1.0
2014-03-19,51.24,51.98,50.71,50.8,7624200,51.24,51.98,50.71,50.8,7624200,0.0,1.0
2014-03-20,50.12,51.66,49.64,51.0,10086200,50.12,51.66,49.64,51.0,10086200,0.0,1.0
2014-03-21,50.92,50.92,49.51,50.24,11801400,50.92,50.92,49.51,50.24,11801400,0.0,1.0
2014-03-24,48.77,50.94,47.77,50.69,12325700,48.77,50.94,47.77,50.69,12325700,0.0,1.0
2014-03-25,47.88,49.7,47.58,49.35,8225600,47.88,49.7,47.58,49.35,8225600,0.0,1.0
