date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2007-04-18,50.77,50.92,50.03,50.4,41600,6498.56,6517.76,6403.84,6451.2,325,0.0,1.0
2007-04-19,50.56,50.89,50.1,50.3,94400,6471.68,6513.92,6412.8,6438.4,737,0.0,1.0
2007-04-20,49.54,50.09,49.5,50.09,66400,6341.12,6411.52,6336.0,6411.52,518,0.0,1.0
2007-04-23,51.0,51.2,49.2,49.57,136000,6528.0,6553.6,6297.6,6344.96,1062,0.0,1.0
2007-04-24,51.09,51.8,50.47,51.8,127200,6539.52,6630.4,6460.16,6630.4,993,0.0,1.0
2007-04-25,51.56,51.61,50.76,51.49,101600,6599.68,6606.08,6497.28,6590.72,793,0.0,1.0
2007-04-26,50.41,51.15,50.04,51.15,139200,6452.48,6547.2,6405.12,6547.2,1087,0.0,1.0
2007-04-27,52.04,52.33,49.97,50.15,169600,6661.12,6698.24,6396.16,6419.2,1325,0.0,1.0
2007-04-30,52.01,52.39,51.23,51.38,98400,6657.28,6705.92,6557.44,6576.64,768,0.0,1.0
2007-05-01,51.2,52.02,51.0,51.62,131200,6553.6,6658.56,6528.0,6607.36,1025,0.0,1.0
2007-05-02,51.25,51.64,51.06,51.49,67200,6560.0,6609.92,6535.68,6590.72,525,0.0,1.0
2007-05-03,52.63,52.96,50.09,51.1,363200,6736.64,6778.88,6411.52,6540.8,2837,0.0,1.0
2007-05-04,52.32,53.7,52.0,52.3564,190400,6696.96,6873.6,6656.0,6701.6192,1487,0.0,1.0
2007-05-07,51.65,52.09,51.49,51.75,100800,6611.2,6667.52,6590.72,6624.0,787,0.0,1.0
2007-05-08,50.81,51.17,50.5,51.17,99200,6503.68,6549.76,6464.0,6549.76,775,0.0,1.0
2007-05-09,51.47,51.47,50.65,50.85,215200,6588.16,6588.16,6483.2,6508.8,1681,0.0,1.0
2007-05-10,51.3,51.66,50.75,51.45,98400,6566.4,6612.48,6496.0,6585.6,768,0.0,1.0
2007-05-11,52.5,52.68,50.85,50.99,114400,6720.0,6743.04,6508.8,6526.72,893,0.0,1.0
2007-05-14,52.7899,53.83,52.62,52.7,112000,6757.1072,6890.24,6735.36,6745.6,875,0.0,1.0
2007-05-15,52.17,52.75,52.09,52.75,52000,6677.76,6752.0,6667.52,6752.0,406,0.0,1.0
2007-05-16,52.6,52.7,51.55,51.55,44000,6732.8,6745.6,6598.4,6598.4,343,0.0,1.0
2007-05-17,53.65,53.83,52.25,52.49,148000,6867.2,6890.24,6688.0,6718.72,1156,0.0,1.0
2007-05-18,52.68,54.68,52.58,54.2,141600,6743.04,6999.04,6730.24,6937.6,1106,0.0,1.0
2007-05-21,52.77,52.92,52.05,52.55,128000,6754.56,6773.76,6662.4,6726.4,1000,0.0,1.0
2007-05-22,52.14,52.53,52.0,52.48,106400,6673.92,6723.84,6656.0,6717.44,831,0.0,1.0
2007-05-23,51.67,52.39,51.65,52.0,98400,6613.76,6705.92,6611.2,6656.0,768,0.0,1.0
2007-05-24,51.26,51.9,50.99,51.9,51200,6561.28,6643.2,6526.72,6643.2,400,0.0,1.0
2007-05-25,50.676,51.29,50.06,51.29,100000,6486.528,6565.12,6407.68,6565.12,781,0.0,1.0
2007-05-29,50.51,50.67,49.75,50.57,114400,6465.28,6485.76,6368.0,6472.96,893,0.0,1.0
2007-05-30,51.84,52.0,51.02,51.21,101600,6635.52,6656.0,6530.56,6554.88,793,0.0,1.0
2007-05-31,51.74,51.93,50.93,51.63,124000,6622.72,6647.04,6519.04,6608.64,968,0.0,1.0
2007-06-01,51.36,51.68,50.82,51.48,138400,6574.08,6615.04,6504.96,6589.44,1081,0.0,1.0
2007-06-04,53.28,53.99,51.9,51.9,136000,6819.84,6910.72,6643.2,6643.2,1062,0.0,1.0
2007-06-05,52.4516,53.19,52.3,53.09,245600,6713.8048,6808.32,6694.4,6795.52,1918,0.0,1.0
2007-06-06,52.9,53.18,52.21,53.12,144800,6771.2,6807.04,6682.88,6799.36,1131,0.0,1.0
2007-06-07,50.9,52.9365,50.81,52.58,356800,6515.2,6775.872,6503.68,6730.24,2787,0.0,1.0
2007-06-08,50.08,50.69,49.93,50.52,124000,6410.24,6488.32,6391.04,6466.56,968,0.0,1.0
2007-06-11,49.75,50.25,49.59,50.0,204800,6368.0,6432.0,6347.52,6400.0,1600,0.0,1.0
2007-06-12,50.26,50.27,49.69,49.88,112000,6433.28,6434.56,6360.32,6384.64,875,0.0,1.0
2007-06-13,49.7,50.536,49.41,50.49,114400,6361.6,6468.608,6324.48,6462.72,893,0.0,1.0
2007-06-14,50.81,51.0,49.63,49.99,117600,6503.68,6528.0,6352.64,6398.72,918,0.0,1.0
2007-06-15,51.62,52.2,50.81,50.81,99200,6607.36,6681.6,6503.68,6503.68,775,0.0,1.0
2007-06-18,50.01,51.62,50.01,51.5,138400,6401.28,6607.36,6401.28,6592.0,1081,0.0,1.0
2007-06-19,49.25,49.97,49.0,49.92,182400,6304.0,6396.16,6272.0,6389.76,1425,0.0,1.0
2007-06-20,48.09,49.28,47.81,49.11,198400,6155.52,6307.84,6119.68,6286.08,1550,0.0,1.0
2007-06-21,48.02,48.84,47.8,48.21,257600,6146.56,6251.52,6118.4,6170.88,2012,0.0,1.0
2007-06-22,46.35,47.46,46.04,47.46,272000,5932.8,6074.88,5893.12,6074.88,2125,0.0,1.0
2007-06-25,45.43,46.01,45.33,45.46,134400,5815.04,5889.28,5802.24,5818.88,1050,0.0,1.0
2007-06-26,44.91,45.79,44.76,45.79,113600,5748.48,5861.12,5729.28,5861.12,887,0.0,1.0
2007-06-27,45.45,45.57,44.58,44.6,132800,5817.6,5832.96,5706.24,5708.8,1037,0.0,1.0
2007-06-28,42.92,45.46,42.05,45.46,926400,5493.76,5818.88,5382.4,5818.88,7237,0.0,1.0
2007-06-29,44.25,44.25,42.71,43.3,272000,5664.0,5664.0,5466.88,5542.4,2125,0.0,1.0
2007-07-02,43.4499,43.64,42.12,42.6,300800,5561.5872,5585.92,5391.36,5452.8,2350,0.0,1.0
2007-07-03,43.11,43.78,42.98,43.65,216000,5518.08,5603.84,5501.44,5587.2,1687,0.0,1.0
2007-07-05,42.46,43.2199,42.14,42.91,190400,5434.88,5532.1472,5393.92,5492.48,1487,0.0,1.0
2007-07-06,41.57,42.47,40.88,42.39,494400,5320.96,5436.16,5232.64,5425.92,3862,0.0,1.0
2007-07-09,41.24,42.52,41.1,42.34,316800,5278.72,5442.56,5260.8,5419.52,2475,0.0,1.0
2007-07-10,42.92,43.35,41.57,41.8,422400,5493.76,5548.8,5320.96,5350.4,3300,0.0,1.0
2007-07-11,42.35,43.95,42.33,43.45,705600,5420.8,5625.6,5418.24,5561.6,5512,0.0,1.0
2007-07-12,41.99,42.05,40.53,41.79,798400,5374.72,5382.4,5187.84,5349.12,6237,0.0,1.0
2007-07-13,42.89,43.28,42.06,42.16,440000,5489.92,5539.84,5383.68,5396.48,3437,0.0,1.0
2007-07-16,41.27,41.6,40.65,41.6,769600,5282.56,5324.8,5203.2,5324.8,6012,0.0,1.0
2007-07-17,40.86,42.2,40.14,41.72,470400,5230.08,5401.6,5137.92,5340.16,3675,0.0,1.0
2007-07-18,41.84,42.05,40.64,40.71,368000,5355.52,5382.4,5201.92,5210.88,2875,0.0,1.0
2007-07-19,43.16,43.18,42.04,42.04,454400,5524.48,5527.04,5381.12,5381.12,3550,0.0,1.0
2007-07-20,41.1,42.59,41.05,42.24,544800,5260.8,5451.52,5254.4,5406.72,4256,0.0,1.0
2007-07-23,38.85,39.59,38.62,39.1,1392000,4972.8,5067.52,4943.36,5004.8,10875,0.0,1.0
2007-07-24,37.69,38.15,37.34,37.85,691200,4824.32,4883.2,4779.52,4844.8,5400,0.0,1.0
2007-07-25,38.79,38.892,37.62,37.88,432800,4965.12,4978.176,4815.36,4848.64,3381,0.0,1.0
2007-07-26,38.75,39.06,38.09,38.86,916800,4960.0,4999.68,4875.52,4974.08,7162,0.0,1.0
2007-07-27,39.66,39.84,38.46,38.98,452000,5076.48,5099.52,4922.88,4989.44,3531,0.0,1.0
