date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1990-03-26,9.38,9.5,9.38,9.5,12900,0.225723218019442,0.228610935094318,0.225723218019442,0.228610935094318,412800,0.0,1.0
1990-03-27,9.87,9.87,9.38,9.38,122300,0.237514729408518,0.237514729408518,0.225723218019442,0.225723218019442,3913600,0.0,1.0
1990-03-28,9.62,9.87,9.62,9.87,48800,0.231498652169193,0.237514729408518,0.231498652169193,0.237514729408518,1561600,0.0,1.0
1990-03-29,9.75,9.87,9.75,9.87,16800,0.234627012333642,0.237514729408518,0.234627012333642,0.237514729408518,537600,0.0,1.0
1990-03-30,9.75,9.87,9.62,9.87,54900,0.234627012333642,0.237514729408518,0.231498652169193,0.237514729408518,1756800,0.0,1.0
1990-04-02,9.87,9.87,9.38,9.62,76600,0.237514729408518,0.237514729408518,0.225723218019442,0.231498652169193,2451200,0.0,1.0
1990-04-03,10.0,10.25,9.75,10.0,87900,0.240643089572966,0.24665916681229,0.234627012333642,0.240643089572966,2812800,0.0,1.0
1990-04-04,10.0,10.25,9.87,10.13,125100,0.240643089572966,0.24665916681229,0.237514729408518,0.243771449737415,4003200,0.0,1.0
1990-04-05,10.25,10.38,10.13,10.13,123800,0.24665916681229,0.249787526976739,0.243771449737415,0.243771449737415,3961600,0.0,1.0
1990-04-06,10.38,10.5,10.25,10.38,39800,0.249787526976739,0.252675244051614,0.24665916681229,0.249787526976739,1273600,0.0,1.0
1990-04-09,10.13,10.5,10.13,10.38,89800,0.243771449737415,0.252675244051614,0.243771449737415,0.249787526976739,2873600,0.0,1.0
1990-04-10,9.87,10.25,9.87,10.13,66200,0.237514729408518,0.24665916681229,0.237514729408518,0.243771449737415,2118400,0.0,1.0
1990-04-11,10.13,10.25,10.0,10.13,107500,0.243771449737415,0.24665916681229,0.240643089572966,0.243771449737415,3440000,0.0,1.0
1990-04-12,10.5,10.5,10.13,10.25,101700,0.252675244051614,0.252675244051614,0.243771449737415,0.24665916681229,3254400,0.0,1.0
1990-04-16,10.38,10.62,10.25,10.5,143600,0.249787526976739,0.25556296112649,0.24665916681229,0.252675244051614,4595200,0.0,1.0
1990-04-17,10.38,10.62,10.38,10.38,226800,0.249787526976739,0.25556296112649,0.249787526976739,0.249787526976739,7257600,0.0,1.0
1990-04-18,10.25,10.5,10.25,10.38,71600,0.24665916681229,0.252675244051614,0.24665916681229,0.249787526976739,2291200,0.0,1.0
1990-04-19,10.25,10.25,10.13,10.25,28000,0.24665916681229,0.24665916681229,0.243771449737415,0.24665916681229,896000,0.0,1.0
1990-04-20,10.13,10.25,10.0,10.13,36500,0.243771449737415,0.24665916681229,0.240643089572966,0.243771449737415,1168000,0.0,1.0
1990-04-23,10.0,10.0,9.75,9.87,31200,0.240643089572966,0.240643089572966,0.234627012333642,0.237514729408518,998400,0.0,1.0
1990-04-24,9.87,10.13,9.87,10.0,21900,0.237514729408518,0.243771449737415,0.237514729408518,0.240643089572966,700800,0.0,1.0
1990-04-25,10.13,10.13,10.0,10.0,23700,0.243771449737415,0.243771449737415,0.240643089572966,0.240643089572966,758400,0.0,1.0
1990-04-26,10.25,10.38,10.13,10.13,38400,0.24665916681229,0.249787526976739,0.243771449737415,0.243771449737415,1228800,0.0,1.0
1990-04-27,10.0,10.25,10.0,10.13,59000,0.240643089572966,0.24665916681229,0.240643089572966,0.243771449737415,1888000,0.0,1.0
1990-04-30,10.75,11.0,10.25,10.38,383800,0.258691321290939,0.264707398530263,0.24665916681229,0.249787526976739,12281600,0.0,1.0
1990-05-01,11.25,11.38,10.87,10.87,347500,0.270723475769587,0.273851835934035,0.261579038365814,0.261579038365814,11120000,0.0,1.0
1990-05-02,11.75,11.75,11.13,11.25,118200,0.282755630248235,0.282755630248235,0.267835758694711,0.270723475769587,3782400,0.0,1.0
1990-05-03,11.5,11.87,11.5,11.87,171100,0.276739553008911,0.285643347323111,0.276739553008911,0.285643347323111,5475200,0.0,1.0
1990-05-04,12.0,12.25,11.75,11.75,351800,0.288771707487559,0.294787784726883,0.282755630248235,0.282755630248235,11257600,0.0,1.0
1990-05-07,12.75,12.87,12.25,12.38,1167200,0.306819939205532,0.309707656280407,0.294787784726883,0.297916144891332,37350400,0.0,1.0
1990-05-08,13.13,13.25,12.62,12.87,481600,0.315964376609305,0.31885209368418,0.303691579041083,0.309707656280407,15411200,0.0,1.0
1990-05-09,12.87,13.25,12.62,13.0,382000,0.309707656280407,0.31885209368418,0.303691579041083,0.312836016444856,12224000,0.0,1.0
1990-05-10,12.75,13.0,12.75,12.87,367300,0.306819939205532,0.312836016444856,0.306819939205532,0.309707656280407,11753600,0.0,1.0
1990-05-11,12.87,13.13,12.87,12.87,323800,0.309707656280407,0.315964376609305,0.309707656280407,0.309707656280407,10361600,0.0,1.0
1990-05-14,13.13,13.13,12.87,12.87,184500,0.315964376609305,0.315964376609305,0.309707656280407,0.309707656280407,5904000,0.0,1.0
1990-05-15,13.13,13.13,12.87,13.13,236200,0.315964376609305,0.315964376609305,0.309707656280407,0.315964376609305,7558400,0.0,1.0
1990-05-16,13.38,13.75,13.0,13.13,302300,0.321980453848629,0.330884248162828,0.312836016444856,0.315964376609305,9673600,0.0,1.0
1990-05-17,13.5,13.62,13.38,13.62,378100,0.324868170923504,0.32775588799838,0.321980453848629,0.32775588799838,12099200,0.0,1.0
1990-05-18,13.38,13.62,13.38,13.38,359900,0.321980453848629,0.32775588799838,0.321980453848629,0.321980453848629,11516800,0.0,1.0
1990-05-21,13.75,13.75,13.38,13.38,264800,0.330884248162828,0.330884248162828,0.321980453848629,0.321980453848629,8473600,0.0,1.0
1990-05-22,14.38,14.38,13.87,14.0,918700,0.346044762805925,0.346044762805925,0.333771965237704,0.336900325402153,29398400,0.0,1.0
1990-05-23,14.62,14.62,14.13,14.38,678000,0.351820196955676,0.351820196955676,0.340028685566601,0.346044762805925,21696000,0.0,1.0
1990-05-24,14.87,15.0,14.5,14.5,352300,0.357836274195001,0.360964634359449,0.348932479880801,0.348932479880801,11273600,0.0,1.0
1990-05-25,14.62,14.87,14.62,14.75,418100,0.351820196955676,0.357836274195001,0.351820196955676,0.354948557120125,13379200,0.0,1.0
1990-05-29,14.87,14.87,14.38,14.5,274700,0.357836274195001,0.357836274195001,0.346044762805925,0.348932479880801,8790400,0.0,1.0
1990-05-30,15.0,15.13,14.75,14.75,371000,0.360964634359449,0.364092994523898,0.354948557120125,0.354948557120125,11872000,0.0,1.0
1990-05-31,15.13,15.5,14.87,14.87,329000,0.364092994523898,0.372996788838098,0.357836274195001,0.357836274195001,10528000,0.0,1.0
1990-06-01,15.0,15.38,15.0,15.25,456400,0.360964634359449,0.370109071763222,0.360964634359449,0.366980711598773,14604800,0.0,1.0
1990-06-04,15.25,15.38,15.0,15.25,275100,0.366980711598773,0.370109071763222,0.360964634359449,0.366980711598773,8803200,0.0,1.0
1990-06-05,15.87,15.87,15.25,15.5,536200,0.381900583152297,0.381900583152297,0.366980711598773,0.372996788838098,17158400,0.0,1.0
1990-06-06,15.38,15.87,15.38,15.87,397500,0.370109071763222,0.381900583152297,0.370109071763222,0.381900583152297,12720000,0.0,1.0
1990-06-07,14.87,15.62,14.75,15.38,282000,0.357836274195001,0.375884505912973,0.354948557120125,0.370109071763222,9024000,0.0,1.0
1990-06-08,14.13,14.87,14.13,14.75,374100,0.340028685566601,0.357836274195001,0.340028685566601,0.354948557120125,11971200,0.0,1.0
1990-06-11,14.13,14.38,14.0,14.13,130600,0.340028685566601,0.346044762805925,0.336900325402153,0.340028685566601,4179200,0.0,1.0
1990-06-12,14.75,14.75,14.0,14.38,144300,0.354948557120125,0.354948557120125,0.336900325402153,0.346044762805925,4617600,0.0,1.0
1990-06-13,15.5,15.75,14.75,14.75,370800,0.372996788838098,0.379012866077422,0.354948557120125,0.354948557120125,11865600,0.0,1.0
1990-06-14,15.38,15.62,15.13,15.62,95600,0.370109071763222,0.375884505912973,0.364092994523898,0.375884505912973,3059200,0.0,1.0
1990-06-15,15.25,15.38,15.0,15.13,100500,0.366980711598773,0.370109071763222,0.360964634359449,0.364092994523898,3216000,0.0,1.0
1990-06-18,14.87,15.25,14.87,15.0,121000,0.357836274195001,0.366980711598773,0.357836274195001,0.360964634359449,3872000,0.0,1.0
1990-06-19,15.5,15.5,14.75,15.0,140600,0.372996788838098,0.372996788838098,0.354948557120125,0.360964634359449,4499200,0.0,1.0
1990-06-20,15.75,16.0,15.5,15.5,378800,0.379012866077422,0.385028943316746,0.372996788838098,0.372996788838098,12121600,0.0,1.0
1990-06-21,15.87,15.87,15.25,15.87,387000,0.381900583152297,0.381900583152297,0.366980711598773,0.381900583152297,12384000,0.0,1.0
1990-06-22,16.38,16.87,15.87,16.0,701300,0.394173380720518,0.405964892109594,0.381900583152297,0.385028943316746,22441600,0.0,1.0
1990-06-25,17.0,17.25,16.25,16.5,579300,0.409093252274042,0.415109329513367,0.39104502055607,0.397061097795394,18537600,0.0,1.0
1990-06-26,16.62,17.13,16.38,17.13,374500,0.39994881487027,0.412221612438491,0.394173380720518,0.412221612438491,11984000,0.0,1.0
1990-06-27,16.25,16.62,15.75,16.5,145400,0.39104502055607,0.39994881487027,0.379012866077422,0.397061097795394,4652800,0.0,1.0
1990-06-28,16.75,16.75,16.13,16.13,210700,0.403077175034718,0.403077175034718,0.388157303481194,0.388157303481194,6742400,0.0,1.0
1990-06-29,17.25,17.25,16.87,17.0,73500,0.415109329513367,0.415109329513367,0.405964892109594,0.409093252274042,2352000,0.0,1.0
1990-07-02,17.13,17.38,16.75,17.0,111500,0.412221612438491,0.418237689677815,0.403077175034718,0.409093252274042,3568000,0.0,1.0
1990-07-03,17.5,17.5,17.0,17.25,109200,0.421125406752691,0.421125406752691,0.409093252274042,0.415109329513367,3494400,0.0,1.0
1990-07-05,17.5,17.75,17.13,17.5,116500,0.421125406752691,0.427141483992015,0.412221612438491,0.421125406752691,3728000,0.0,1.0
1990-07-06,17.5,17.62,17.38,17.62,60900,0.421125406752691,0.424013123827566,0.418237689677815,0.424013123827566,1948800,0.0,1.0
1990-07-09,17.13,17.62,17.0,17.62,42900,0.412221612438491,0.424013123827566,0.409093252274042,0.424013123827566,1372800,0.0,1.0
1990-07-10,16.62,17.38,16.5,17.13,109000,0.39994881487027,0.418237689677815,0.397061097795394,0.412221612438491,3488000,0.0,1.0
