date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2006-04-10,68.02,68.4999,67.67,68.25,3877800,544.16,547.9992,541.36,546.0,484725,0.0,1.0
2006-04-11,68.2,68.39,67.3,68.32,1296200,545.6,547.12,538.4,546.56,162025,0.0,1.0
2006-04-12,67.84,68.8099,67.81,68.15,1248000,542.72,550.4792,542.48,545.2,156000,0.0,1.0
2006-04-13,68.82,68.99,67.4,67.75,560500,550.56,551.92,539.2,542.0,70062,0.0,1.0
2006-04-17,69.79,69.9,68.68,69.2,916900,558.32,559.2,549.44,553.6,114612,0.0,1.0
2006-04-18,70.75,71.05,69.57,70.1,922700,566.0,568.4,556.56,560.8,115337,0.0,1.0
2006-04-19,71.85,72.16,70.49,70.58,789800,574.8,577.28,563.92,564.64,98725,0.0,1.0
2006-04-20,71.09,72.16,70.51,71.75,843100,568.72,577.28,564.08,574.0,105387,0.0,1.0
2006-04-21,72.81,73.23,70.8,71.06,1061000,582.48,585.84,566.4,568.48,132625,0.0,1.0
2006-04-24,71.01,72.45,70.79,72.45,1042300,568.08,579.6,566.32,579.6,130287,0.0,1.0
2006-04-25,70.64,71.81,69.62,71.44,2853900,565.12,574.48,556.96,571.52,356737,0.0,1.0
2006-04-26,69.54,70.85,69.45,70.27,897300,556.32,566.8,555.6,562.16,112162,0.0,1.0
2006-04-27,68.7,69.58,68.57,69.17,635600,549.6,556.64,548.56,553.36,79450,0.0,1.0
2006-04-28,69.62,70.5,68.99,69.26,868100,556.96,564.0,551.92,554.08,108512,0.0,1.0
2006-05-01,71.5,71.65,70.0,70.09,555500,572.0,573.2,560.0,560.72,69437,0.0,1.0
2006-05-02,72.34,72.69,71.34,71.66,871000,578.72,581.52,570.72,573.28,108875,0.0,1.0
2006-05-03,70.22,72.48,70.0,72.35,1009800,561.76,579.84,560.0,578.8,126225,0.0,1.0
2006-05-04,68.32,69.77,67.28,69.37,1556000,546.56,558.16,538.24,554.96,194500,0.0,1.0
2006-05-05,68.0,68.47,67.68,68.3,671200,544.0,547.76,541.44,546.4,83900,0.0,1.0
2006-05-08,67.88,67.99,66.3044,67.5,1312300,543.04,543.92,530.4352,540.0,164037,0.0,1.0
2006-05-09,68.4,69.18,67.76,68.15,782500,547.2,553.44,542.08,545.2,97812,0.0,1.0
2006-05-10,69.77,69.77,67.48,68.17,704500,558.16,558.16,539.84,545.36,88062,0.0,1.0
2006-05-11,70.3,71.05,69.92,70.13,1028700,562.4,568.4,559.36,561.04,128587,0.0,1.0
2006-05-12,69.11,70.44,69.04,70.01,574200,552.88,563.52,552.32,560.08,71775,0.0,1.0
2006-05-15,66.63,67.77,66.45,67.47,669900,533.04,542.16,531.6,539.76,83737,0.0,1.0
2006-05-16,66.7,67.9,66.31,67.07,802000,533.6,543.2,530.48,536.56,100250,0.0,1.0
2006-05-17,65.7,66.75,65.39,66.67,822700,525.6,534.0,523.12,533.36,102837,0.0,1.0
2006-05-18,66.74,66.79,65.1,65.57,656700,533.92,534.32,520.8,524.56,82087,0.0,1.0
2006-05-19,65.57,66.4618,65.15,65.85,812100,524.56,531.6944,521.2,526.8,101512,0.0,1.0
2006-05-22,66.28,66.57,64.89,65.0,769700,530.24,532.56,519.12,520.0,96212,0.0,1.0
2006-05-23,67.77,68.42,67.21,67.21,630900,542.16,547.36,537.68,537.68,78862,0.0,1.0
2006-05-24,66.1,67.93,66.05,67.26,400700,528.8,543.44,528.4,538.08,50087,0.0,1.0
2006-05-25,67.8,67.88,66.31,66.54,300300,542.4,543.04,530.48,532.32,37537,0.0,1.0
2006-05-26,67.75,68.23,67.33,67.46,269500,542.0,545.84,538.64,539.68,33687,0.0,1.0
2006-05-30,68.32,69.08,68.22,68.72,489400,546.56,552.64,545.76,549.76,61175,0.0,1.0
2006-05-31,67.73,67.91,66.58,67.64,471700,541.84,543.28,532.64,541.12,58962,0.0,1.0
2006-06-01,66.82,68.25,66.51,67.13,922800,534.56,546.0,532.08,537.04,115350,0.0,1.0
2006-06-02,68.9,69.15,67.55,67.56,443500,551.2,553.2,540.4,540.48,55437,0.0,1.0
2006-06-05,68.74,69.78,68.44,69.69,393200,549.92,558.24,547.52,557.52,49150,0.0,1.0
2006-06-06,68.76,68.95,67.8,68.54,179800,550.08,551.6,542.4,548.32,22475,0.0,1.0
2006-06-07,67.3,68.33,67.09,68.27,308400,538.4,546.64,536.72,546.16,38550,0.0,1.0
2006-06-08,67.12,67.12,65.81,66.71,308300,536.96,536.96,526.48,533.68,38537,0.0,1.0
2006-06-09,68.06,68.2,67.48,67.48,257000,544.48,545.6,539.84,539.84,32125,0.0,1.0
2006-06-12,67.08,68.39,66.86,68.35,213200,536.64,547.12,534.88,546.8,26650,0.0,1.0
2006-06-13,65.18,66.23,65.13,66.19,602700,521.44,529.84,521.04,529.52,75337,0.0,1.0
