date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2007-07-26,47.9,48.67,47.5,48.48,101000,27.1347169769309,27.570911800986,26.9081222631361,27.4632793119334,101000,0.0,1.0
2007-07-27,47.21,48.04,47.15,47.76,579000,26.7438410956348,27.2140251267591,26.7098518885656,27.0554088271027,579000,0.0,1.0
2007-07-30,47.96,48.14,47.66,47.87,298400,27.1687061840001,27.2706738052078,26.998760148654,27.1177223733963,298400,0.0,1.0
2007-07-31,47.9,48.67,47.9,48.51,210400,27.1347169769309,27.570911800986,27.1347169769309,27.480273915468,210400,0.0,1.0
2007-08-01,48.1,49.0,47.24,47.63,353900,27.2480143338283,27.7578524398667,26.7608356991694,26.9817655451194,353900,0.0,1.0
2007-08-02,47.96,48.14,47.66,47.92,251800,27.1687061840001,27.2706738052078,26.998760148654,27.1460467126207,251800,0.0,1.0
2007-08-03,47.17,47.82,47.14,47.82,309600,26.7211816242553,27.0893980341719,26.7041870207207,27.0893980341719,309600,0.0,1.0
2007-08-06,47.89,47.9,47.25,47.29,232100,27.129052109086,27.1347169769309,26.7665005670143,26.7891600383938,232100,0.0,1.0
2007-08-07,47.96,48.24,47.4,47.4,181800,27.1687061840001,27.3273224836565,26.8514735846874,26.8514735846874,181800,0.0,1.0
2007-08-08,48.68,48.9,48.38,48.4,135700,27.5765766688308,27.701203761418,27.4066306334847,27.4179603691744,135700,0.0,1.0
2007-08-09,47.22,47.85,47.2,47.59,195800,26.7495059634797,27.1063926377066,26.73817622779,26.9591060737399,195800,0.0,1.0
2007-08-10,46.59,47.25,46.19,47.25,291300,26.3926192892528,26.7665005670143,26.166024575458,26.7665005670143,291300,0.0,1.0
2007-08-13,46.67,47.11,46.67,47.03,133700,26.4379382320118,26.6871924171861,26.4379382320118,26.6418734744272,133700,0.0,1.0
2007-08-14,46.07,46.91,46.05,46.91,64200,26.0980461613196,26.5738950602887,26.0867164256298,26.5738950602887,64200,0.0,1.0
2007-08-15,44.98,45.9888,44.97,45.47,345800,25.4805755662287,26.0520474344192,25.4749106983838,25.7581540906273,345800,0.0,1.0
2007-08-16,44.77,44.79,43.69,44.73,552000,25.3616133414864,25.3729430771761,24.7498076142403,25.3389538701069,552000,0.0,1.0
2007-08-17,45.42,45.7,44.88,45.7,403200,25.729829751403,25.8884460510593,25.4239268877799,25.8884460510593,403200,0.0,1.0
2007-08-20,45.46,45.63,45.0,45.63,672200,25.7524892227824,25.8487919761453,25.4919053019184,25.8487919761453,672200,0.0,1.0
2007-08-21,45.45,45.6346,45.33,45.33,41200,25.7468243549376,25.8513978153539,25.6788459407991,25.6788459407991,41200,0.0,1.0
2007-08-22,46.59,46.59,46.18,46.18,96800,26.3926192892528,26.3926192892528,26.1603597076131,26.1603597076131,96800,0.0,1.0
2007-08-23,46.79,47.01,46.5,46.95,329600,26.5059166461503,26.6305437387374,26.341635478649,26.5965545316682,329600,0.0,1.0
2007-08-24,47.54,47.54,46.79,46.81,112700,26.9307817345156,26.9307817345156,26.5059166461503,26.51724638184,112700,0.0,1.0
2007-08-27,47.07,47.3,47.07,47.3,111200,26.6645329458066,26.7948249062387,26.6645329458066,26.7948249062387,111200,0.0,1.0
2007-08-28,45.92,46.76,45.9,46.76,256100,26.0130731436465,26.4889220426156,26.0017434079568,26.4889220426156,256100,0.0,1.0
2007-08-29,47.14,47.15,46.37,46.55,177400,26.7041870207207,26.7098518885656,26.2679921966657,26.3699598178734,177400,0.0,1.0
2007-08-30,46.8,47.13,46.43,46.43,173300,26.5115815139951,26.6985221528759,26.3019814037349,26.3019814037349,173300,0.0,1.0
2007-08-31,47.86,47.98,47.5328,47.76,684900,27.1120575055514,27.1800359196899,26.9267030296673,27.0554088271027,684900,0.0,1.0
2007-09-04,48.09,48.18,47.47,47.62,136700,27.2423494659835,27.2933332765873,26.8911276596015,26.9761006772745,136700,0.0,1.0
2007-09-05,47.26,47.41,47.13,47.35,90600,26.7721654348592,26.8571384525322,26.6985221528759,26.823149245463,90600,0.0,1.0
2007-09-06,47.54,47.66,47.19,47.4146,278000,26.9307817345156,26.998760148654,26.7325113599451,26.8597442917409,278000,0.0,1.0
2007-09-07,46.88,47.07,46.74,47.01,197200,26.5569004567541,26.6645329458066,26.4775923069259,26.6305437387374,197200,0.0,1.0
2007-09-10,46.69,47.0434,46.36,47.0,176800,26.4492679677015,26.6494643973393,26.2623273288208,26.6248788708925,176800,0.0,1.0
2007-09-11,47.53,47.54,47.16,47.16,685900,26.9251168666707,26.9307817345156,26.7155167564105,26.7155167564105,685900,0.0,1.0
2007-09-12,47.49,47.67,47.25,47.3,56200,26.9024573952912,27.0044250164989,26.7665005670143,26.7948249062387,56200,0.0,1.0
2007-09-13,47.75,47.914,47.65,47.73,137700,27.0497439592578,27.1426477919137,26.9930952808091,27.0384142235681,137700,0.0,1.0
2007-09-14,47.54,47.63,47.23,47.28,164700,26.9307817345156,26.9817655451194,26.7551708313246,26.7834951705489,164700,0.0,1.0
2007-09-17,46.86,47.19,46.7,47.11,99400,26.5455707210644,26.7325113599451,26.4549328355464,26.6871924171861,99400,0.0,1.0
2007-09-18,48.35,48.48,47.06,47.12,147200,27.3896360299501,27.4632793119334,26.6588680779618,26.692857285031,147200,0.0,1.0
2007-09-19,48.86,49.13,48.77,48.83,115100,27.6785442900385,27.83149572185,27.6275604794347,27.6615496865039,115100,0.0,1.0
2007-09-20,48.76,49.1,48.74,48.88,378600,27.6218956115898,27.8145011183154,27.6105658759001,27.6898740257282,378600,0.0,1.0
2007-09-21,49.11,49.2646,48.99,49.13,212800,27.8201659861603,27.907744843042,27.7521875720218,27.83149572185,212800,0.0,1.0
2007-09-24,49.06,49.34,49.01,49.33,165400,27.7918416469359,27.9504579465923,27.7635173077116,27.9447930787474,165400,0.0,1.0
2007-09-25,49.3,49.3,48.89,48.94,56100,27.9277984752128,27.9277984752128,27.6955388935731,27.7238632327975,56100,0.0,1.0
2007-09-26,49.48,49.59,49.34,49.54,94000,28.0297660964205,28.0920796427141,27.9504579465923,28.0637553034897,94000,0.0,1.0
2007-09-27,50.07,50.08,49.83,50.06,191900,28.3639932992679,28.3696581671127,28.228036470991,28.358328431423,191900,0.0,1.0
2007-09-28,50.14,50.31,49.89,50.14,258000,28.403647374182,28.4999501275448,28.2620256780602,28.403647374182,258000,0.0,1.0
2007-10-01,50.86,50.91,50.14,50.18,640000,28.8115178590127,28.839842198237,28.403647374182,28.4263068455614,640000,0.0,1.0
2007-10-02,50.7,50.78,50.48,50.77,375000,28.7208799734947,28.7661989162537,28.5962528809076,28.7605340484088,375000,0.0,1.0
2007-10-03,50.42,50.65,50.39,50.62,581100,28.5622636738383,28.6925556342704,28.5452690703037,28.6755610307358,581100,0.0,1.0
2007-10-04,50.64,50.7146,50.42,50.62,815600,28.6868907664255,28.7291506805482,28.5622636738383,28.6755610307358,815600,0.0,1.0
2007-10-05,51.13,51.25,50.85,50.86,405800,28.9644692908242,29.0324477049626,28.8058529911678,28.8115178590127,405800,0.0,1.0
