date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2010-09-09,50.66,51.25,50.57,51.25,53000,76.4164044962954,77.3063705178669,76.2806469675811,77.3063705178669,26500,0.0,1.0
2010-09-10,50.89,50.93,50.648,50.84,17200,76.7633404030097,76.8236770824383,76.3983034924668,76.687919553724,8600,0.0,1.0
2010-09-13,51.53,51.57,51.25,51.48,67400,77.728727273867,77.7890639532956,77.3063705178669,77.6533064245812,33700,0.0,1.0
2010-09-14,51.519,51.74,51.19,51.42,118800,77.7121346870241,78.045494840867,77.215865498724,77.5628014054384,59400,0.0,1.0
2010-09-15,51.65,51.69,51.2,51.31,18400,77.9097373121527,77.9700739915813,77.2309496685812,77.3968755370098,9200,0.0,1.0
2010-09-16,51.63,51.66,51.35,51.51,119000,77.8795689724384,77.9248214820098,77.4572122164384,77.6985589341527,59500,0.0,1.0
2010-09-17,51.68,51.94,51.51,51.94,98600,77.9549898217241,78.3471782380099,77.6985589341527,78.3471782380099,49300,0.0,1.0
2010-09-20,52.52,52.52,51.73,51.87,38000,79.2220600897243,79.2220600897243,78.0304106710099,78.2415890490099,19000,0.0,1.0
2010-09-21,52.3599,52.72,52.14,52.51,38400,78.9805625303114,79.5237434868672,78.6488616351528,79.2069759198672,19200,0.0,1.0
2010-09-22,52.08,52.52,51.98,52.28,36200,78.5583566160099,79.2220600897243,78.4075149174385,78.8600400131528,18100,0.0,1.0
2010-09-23,51.6531,52.17,51.56,51.66,66600,77.9144134048084,78.6941141447242,77.7739797834384,77.9248214820098,33300,0.0,1.0
2010-09-24,52.42,52.45,51.934,51.97,48200,79.4920667301672,79.537560091516,78.7550742763163,78.8096663099349,24100,0.279,1.0
2010-09-27,52.17,52.49,52.17,52.49,30000,79.1129553855937,79.5982179066478,79.1129553855937,79.5982179066478,15000,0.0,1.0
2010-09-28,52.51,52.51,51.71,52.159,99600,79.6285468142136,79.6285468142136,78.4153905115785,79.0962744864325,49800,0.0,1.0
2010-09-29,52.26,52.455,52.11,52.29,31800,79.2494354696402,79.5451423184075,79.0219686628961,79.294928830989,15900,0.0,1.0
2010-09-30,52.18,52.84,51.98,52.6,89400,79.1281198393767,80.1289737890506,78.8248307637179,79.7650268982601,44700,0.0,1.0
2010-10-01,52.36,52.58,52.0824,52.54,34200,79.4010800074696,79.7346979906942,78.9801147704552,79.6740401755625,17100,0.0,1.0
2010-10-04,51.92,52.63,51.75,52.63,177400,78.7338440410202,79.8105202596089,78.4760483267103,79.8105202596089,88700,0.0,1.0
2010-10-05,53.058,53.1,52.41,52.51,39600,80.4595588815187,80.5232495874071,79.4769022763843,79.6285468142136,19800,0.0,1.0
2010-10-06,52.968,53.14,52.81,53.06,553800,80.3230787974723,80.5839074025388,80.0834804277018,80.4625917722753,276900,0.0,1.0
2010-10-07,52.94,53.25,52.66,53.25,99800,80.28061832688,80.7507163941512,79.8560136209577,80.7507163941512,49900,0.0,1.0
2010-10-08,53.3399,53.37,52.83,53.01,123000,80.8870448336598,80.9326898395464,80.1138093352677,80.3867695033606,61500,0.0,1.0
2010-10-11,53.25,53.42,53.14,53.36,28400,80.7507163941512,81.0085121084611,80.5839074025388,80.9175253857635,14200,0.0,1.0
2010-10-12,53.56,53.62,52.87,53.19,84000,81.2208144614223,81.3118011841199,80.1744671503995,80.6597296714535,42000,0.0,1.0
2010-10-13,53.88,54.14,53.62,53.79,148800,81.7060769824763,82.1003527808327,81.3118011841199,81.5695968984299,74400,0.0,1.0
2010-10-14,53.68,53.909,53.4,53.85,38200,81.4027879068175,81.7500538984469,80.9781832008952,81.6605836211275,19100,0.0,1.0
2010-10-15,53.78,54.04,53.36,54.02,109800,81.5544324446469,81.9487082430034,80.9175253857635,81.9183793354375,54900,0.0,1.0
2010-10-18,54.17,54.22,53.72,53.81,45600,82.1458461421816,82.2216684110962,81.4634457219493,81.5999258059958,22800,0.0,1.0
2010-10-19,53.3101,53.84,53.01,53.57,77000,80.8418547613866,81.6454191673446,80.3867695033606,81.2359789152052,38500,0.0,1.0
2010-10-20,53.88,54.08,53.47,53.47,45600,81.7060769824763,82.0093660581351,81.0843343773758,81.0843343773758,22800,0.0,1.0
2010-10-21,53.96,54.378,53.655,54.13,58800,81.8273926127398,82.4612667808667,81.3648767723602,82.0851883270498,29400,0.0,1.0
2010-10-22,54.09,54.1,53.97,54.08,49600,82.024530511918,82.039694965701,81.8425570665228,82.0093660581351,24800,0.0,1.0
2010-10-25,54.25,54.64,54.23,54.51,59200,82.2671617724451,82.8585754699797,82.2368328648792,82.6614375708015,29600,0.0,1.0
2010-10-26,54.24,54.276,53.94,53.96,30000,82.2519973186621,82.3065893522807,81.797063705174,81.8273926127398,15000,0.0,1.0
2010-10-27,54.07,54.11,53.61,53.87,34200,81.9942016043522,82.0548594194839,81.296636730337,81.6909125286934,17100,0.0,1.0
2010-10-28,54.11,54.41,53.88,54.38,38400,82.0548594194839,82.5097930329721,81.7060769824763,82.4642996716233,19200,0.0,1.0
2010-10-29,54.15,54.21,54.0,54.05,26800,82.1155172346157,82.2065039573133,81.8880504278716,81.9638726967863,13400,0.0,1.0
2010-11-01,54.18,54.71,53.88,54.46,103000,82.1610105959645,82.9647266464603,81.7060769824763,82.5856153018868,51500,0.0,1.0
2010-11-02,54.6,54.71,54.429,54.61,52200,82.797917654848,82.9647266464603,82.5386054951597,82.8130821086309,26100,0.0,1.0
2010-11-03,54.83,54.83,54.16,54.71,63600,83.1467000918555,83.1467000918555,82.1306816883986,82.9647266464603,31800,0.0,1.0
2010-11-04,55.86,55.9,55.37,55.45,98000,84.7086388314983,84.76929664663,83.9655805961343,84.0868962263978,49000,0.0,1.0
2010-11-05,56.08,56.15,55.84,55.95,96600,85.0422568147229,85.1484079912035,84.6783099239324,84.8451189155447,48300,0.0,1.0
2010-11-08,56.01,56.04,55.75,55.94,86800,84.9361056382424,84.9815989995912,84.5418298398859,84.8299544617618,43400,0.0,1.0
2010-11-09,55.57,56.15,55.398,56.09,71400,84.268869671793,85.1484079912035,84.0080410667265,85.0574212685059,35700,0.0,1.0
2010-11-10,55.78,55.8,55.16,55.58,56400,84.5873232012348,84.6176521088006,83.6471270666925,84.284034125576,28200,0.0,1.0
2010-11-11,55.6,55.64,55.2118,55.34,48000,84.3143630331419,84.3750208482736,83.7256789372882,83.9200872347854,24000,0.0,1.0
2010-11-12,54.9099,55.43,54.69,55.2,78800,83.2678640775812,84.0565673188319,82.9343977388944,83.7077848818243,39400,0.0,1.0
