date,1d_open,1d_high,1d_low,1d_close,1d_volume,Close,High,Low,Open,Volume
2009-01-30 00:00:00+00:00,100.08,105.01,99.72,104.55,211200,6851788.8,6881935.36,6535249.92,6558842.88,3
2009-02-02 00:00:00+00:00,108.1,108.1,103.94,104.25,307200,6832128.0,7084441.6,6811811.84,7084441.6,4
2009-02-03 00:00:00+00:00,104.14,104.14,99.31,99.37,172800,6512312.32,6824919.04,6508380.16,6824919.04,2
2009-02-04 00:00:00+00:00,98.25,100.39,97.0,99.74,153600,6536560.64,6579159.04,6356992.0,6438912.0,2
2009-02-05 00:00:00+00:00,101.6,103.79,98.15,99.13,243200,6496583.68,6801981.44,6432358.4,6658457.6,3
2009-02-06 00:00:00+00:00,99.0,99.02,95.06,97.7,147200,6402867.2,6489374.72,6229852.16,6488064.0,2
2009-02-09 00:00:00+00:00,98.33,100.32,97.87,99.33,121600,6509690.88,6574571.52,6414008.32,6444154.88,1
2009-02-10 00:00:00+00:00,101.0,105.66,98.78,104.6,256000,6855065.6,6924533.76,6473646.08,6619136.0,3
2009-02-11 00:00:00+00:00,104.05,104.83,102.1,103.07,83200,6754795.52,6870138.88,6691225.6,6819020.8,1
2009-02-12 00:00:00+00:00,105.25,108.0,102.76,102.76,96000,6734479.36,7077888.0,6734479.36,6897664.0,1
2009-02-13 00:00:00+00:00,103.24,103.24,101.0,101.99,108800,6684016.64,6765936.64,6619136.0,6765936.64,1
2009-02-17 00:00:00+00:00,107.0,110.78,106.0,107.09,83200,7018250.24,7260078.08,6946816.0,7012352.0,1
2009-02-18 00:00:00+00:00,105.0,109.68,105.0,108.22,76800,7092305.92,7187988.48,6881280.0,6881280.0,1
2009-02-19 00:00:00+00:00,108.03,109.05,105.49,108.28,44800,7096238.08,7146700.8,6913392.64,7079854.08,0
2009-02-20 00:00:00+00:00,111.89,116.4,111.44,113.32,153600,7426539.52,7628390.4,7303331.84,7332823.04,2
2009-02-23 00:00:00+00:00,111.0,119.52,111.0,119.38,89600,7823687.68,7832862.72,7274496.0,7274496.0,1
2009-02-24 00:00:00+00:00,120.0,120.0,107.7,108.08,134400,7083130.88,7864320.0,7058227.2,7864320.0,2
2009-02-25 00:00:00+00:00,109.27,113.04,105.14,107.45,160000,7041843.2,7408189.44,6890455.04,7161118.72,2
2009-02-26 00:00:00+00:00,105.98,109.41,102.96,108.52,76800,7111966.72,7170293.76,6747586.56,6945505.28,1
2009-02-27 00:00:00+00:00,113.71,113.71,105.96,108.67,108800,7121797.12,7452098.56,6944194.56,7452098.56,1
2009-03-02 00:00:00+00:00,111.02,118.02,111.02,116.39,160000,7627735.04,7734558.72,7275806.72,7275806.72,2
2009-03-03 00:00:00+00:00,113.05,118.55,113.05,115.9,147200,7595622.4,7769292.8,7408844.8,7408844.8,2
2009-03-04 00:00:00+00:00,114.99,114.99,104.79,107.81,153600,7065436.16,7535984.64,6867517.44,7535984.64,2
2009-03-05 00:00:00+00:00,110.6,114.99,108.51,114.3,185600,7490764.8,7535984.64,7111311.36,7248281.6,2
2009-03-06 00:00:00+00:00,114.98,115.61,110.7,113.38,224000,7430471.68,7576616.96,7254835.2,7535329.28,3
2009-03-09 00:00:00+00:00,113.55,114.5,110.26,113.82,128000,7459307.52,7503872.0,7225999.36,7441612.8,1
2009-03-10 00:00:00+00:00,113.0,113.0,104.66,105.34,172800,6903562.24,7405568.0,6858997.76,7405568.0,2
2009-03-11 00:00:00+00:00,104.0,106.2,102.16,104.56,332800,6852444.16,6959923.2,6695157.76,6815744.0,5
2009-03-12 00:00:00+00:00,104.35,105.7,101.93,102.74,480000,6733168.64,6927155.2,6680084.48,6838681.6,7
2009-03-13 00:00:00+00:00,102.2,105.49,101.97,104.25,505600,6832128.0,6913392.64,6682705.92,6697779.2,7
2009-03-16 00:00:00+00:00,104.0,108.02,103.61,107.92,531200,7072645.12,7079198.72,6790184.96,6815744.0,8
2009-03-17 00:00:00+00:00,108.98,109.3,103.97,104.18,537600,6827540.48,7163084.8,6813777.92,7142113.28,8
