date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2009-01-30,104.55,105.01,99.72,100.08,211200,6851788.8,6881935.36,6535249.92,6558842.88,3,0.0,1.0
2009-02-02,104.25,108.1,103.94,108.1,307200,6832128.0,7084441.6,6811811.84,7084441.6,4,0.0,1.0
2009-02-03,99.37,104.14,99.31,104.14,172800,6512312.32,6824919.04,6508380.16,6824919.04,2,0.0,1.0
2009-02-04,99.74,100.39,97.0,98.25,153600,6536560.64,6579159.04,6356992.0,6438912.0,2,0.0,1.0
2009-02-05,99.13,103.79,98.15,101.6,243200,6496583.68,6801981.44,6432358.4,6658457.6,3,0.0,1.0
2009-02-06,97.7,99.02,95.06,99.0,147200,6402867.2,6489374.72,6229852.16,6488064.0,2,0.0,1.0
2009-02-09,99.33,100.32,97.87,98.33,121600,6509690.88,6574571.52,6414008.32,6444154.88,1,0.0,1.0
2009-02-10,104.6,105.66,98.78,101.0,256000,6855065.6,6924533.76,6473646.08,6619136.0,3,0.0,1.0
2009-02-11,103.07,104.83,102.1,104.05,83200,6754795.52,6870138.88,6691225.6,6819020.8,1,0.0,1.0
2009-02-12,102.76,108.0,102.76,105.25,96000,6734479.36,7077888.0,6734479.36,6897664.0,1,0.0,1.0
2009-02-13,101.99,103.24,101.0,103.24,108800,6684016.64,6765936.64,6619136.0,6765936.64,1,0.0,1.0
2009-02-17,107.09,110.78,106.0,107.0,83200,7018250.24,7260078.08,6946816.0,7012352.0,1,0.0,1.0
2009-02-18,108.22,109.68,105.0,105.0,76800,7092305.92,7187988.48,6881280.0,6881280.0,1,0.0,1.0
2009-02-19,108.28,109.05,105.49,108.03,44800,7096238.08,7146700.8,6913392.64,7079854.08,0,0.0,1.0
2009-02-20,113.32,116.4,111.44,111.89,153600,7426539.52,7628390.4,7303331.84,7332823.04,2,0.0,1.0
2009-02-23,119.38,119.52,111.0,111.0,89600,7823687.68,7832862.72,7274496.0,7274496.0,1,0.0,1.0
2009-02-24,108.08,120.0,107.7,120.0,134400,7083130.88,7864320.0,7058227.2,7864320.0,2,0.0,1.0
2009-02-25,107.45,113.04,105.14,109.27,160000,7041843.2,7408189.44,6890455.04,7161118.72,2,0.0,1.0
2009-02-26,108.52,109.41,102.96,105.98,76800,7111966.72,7170293.76,6747586.56,6945505.28,1,0.0,1.0
2009-02-27,108.67,113.71,105.96,113.71,108800,7121797.12,7452098.56,6944194.56,7452098.56,1,0.0,1.0
2009-03-02,116.39,118.02,111.02,111.02,160000,7627735.04,7734558.72,7275806.72,7275806.72,2,0.0,1.0
2009-03-03,115.9,118.55,113.05,113.05,147200,7595622.4,7769292.8,7408844.8,7408844.8,2,0.0,1.0
2009-03-04,107.81,114.99,104.79,114.99,153600,7065436.16,7535984.64,6867517.44,7535984.64,2,0.0,1.0
2009-03-05,114.3,114.99,108.51,110.6,185600,7490764.8,7535984.64,7111311.36,7248281.6,2,0.0,1.0
2009-03-06,113.38,115.61,110.7,114.98,224000,7430471.68,7576616.96,7254835.2,7535329.28,3,0.0,1.0
2009-03-09,113.82,114.5,110.26,113.55,128000,7459307.52,7503872.0,7225999.36,7441612.8,1,0.0,1.0
2009-03-10,105.34,113.0,104.66,113.0,172800,6903562.24,7405568.0,6858997.76,7405568.0,2,0.0,1.0
2009-03-11,104.56,106.2,102.16,104.0,332800,6852444.16,6959923.2,6695157.76,6815744.0,5,0.0,1.0
2009-03-12,102.74,105.7,101.93,104.35,480000,6733168.64,6927155.2,6680084.48,6838681.6,7,0.0,1.0
2009-03-13,104.25,105.49,101.97,102.2,505600,6832128.0,6913392.64,6682705.92,6697779.2,7,0.0,1.0
2009-03-16,107.92,108.02,103.61,104.0,531200,7072645.12,7079198.72,6790184.96,6815744.0,8,0.0,1.0
2009-03-17,104.18,109.3,103.97,108.98,537600,6827540.48,7163084.8,6813777.92,7142113.28,8,0.0,1.0
2009-03-18,104.44,106.11,102.1,105.1,704000,6844579.84,6954024.96,6691225.6,6887833.6,10,0.0,1.0
2009-03-19,109.34,109.34,102.0,104.9,576000,7165706.24,7165706.24,6684672.0,6874726.4,8,0.0,1.0
2009-03-20,115.9601,116.86,108.5,108.52,723200,7599561.1136,7658536.96,7110656.0,7111966.72,11,0.0,1.0
2009-03-23,108.62,114.75,108.31,113.0,672000,7118520.32,7520256.0,7098204.16,7405568.0,10,0.0,1.0
2009-03-24,110.4,110.9349,106.53,109.51,524800,7235174.4,7270229.6064,6981550.08,7176847.36,8,0.0,1.0
2009-03-25,108.64,111.64,105.15,108.05,659200,7119831.04,7316439.04,6891110.4,7081164.8,10,0.0,1.0
2009-03-26,104.36,106.7,103.18,106.69,595200,6839336.96,6992691.2,6762004.48,6992035.84,9,0.0,1.0
2009-03-27,107.31,107.41,104.47,104.47,473600,7032668.16,7039221.76,6846545.92,6846545.92,7,0.0,1.0
2009-03-30,115.29,116.45,111.16,112.0,768000,7555645.44,7631667.2,7284981.76,7340032.0,11,0.0,1.0
2009-03-31,113.21,114.9799,111.3,114.4,595200,7419330.56,7535322.7264,7294156.8,7497318.4,9,0.0,1.0
2009-04-01,111.17,118.99,110.6,117.03,627200,7285637.12,7798128.64,7248281.6,7669678.08,9,0.0,1.0
2009-04-02,109.35,110.96,106.49,108.0,787200,7166361.6,7271874.56,6978928.64,7077888.0,12,0.0,1.0
2009-04-03,107.42,114.05,106.84,114.05,422400,7039877.12,7474380.8,7001866.24,7474380.8,6,0.0,1.0
2009-04-06,108.02,109.84,107.85,108.39,550400,7079198.72,7198474.24,7068057.6,7103447.04,8,0.0,1.0
2009-04-07,108.01,110.0,107.03,108.89,563200,7078543.36,7208960.0,7014318.08,7136215.04,8,0.0,1.0
2009-04-08,105.78,108.29,105.6,105.76,454400,6932398.08,7096893.44,6920601.6,6931087.36,6,0.0,1.0
2009-04-09,101.86,103.25,100.74,103.0,454400,6675496.96,6766592.0,6602096.64,6750208.0,6,0.0,1.0
2009-04-13,100.37,103.514,99.96,102.52,300800,6577848.32,6783893.504,6550978.56,6718750.72,4,0.0,1.0
2009-04-14,100.44,102.13,99.94,101.78,531200,6582435.84,6693191.68,6549667.84,6670254.08,8,0.0,1.0
2009-04-15,98.0,101.02,97.86,101.02,332800,6422528.0,6620446.72,6413352.96,6620446.72,5,0.0,1.0
2009-04-16,94.91,97.53,93.73,97.0,390400,6220021.76,6391726.08,6142689.28,6356992.0,5,0.0,1.0
2009-04-17,92.73,96.6,92.56,94.99,499200,6077153.28,6330777.6,6066012.16,6225264.64,7,0.0,1.0
2009-04-20,99.59,100.12,93.84,94.59,646400,6526730.24,6561464.32,6149898.24,6199050.24,9,0.0,1.0
2009-04-21,96.07,101.07,95.61,100.41,294400,6296043.52,6623723.52,6265896.96,6580469.76,4,0.0,1.0
2009-04-22,96.27,97.2,92.31,97.2,307200,6309150.72,6370099.2,6049628.16,6370099.2,4,0.0,1.0
2009-04-23,95.83,97.6,94.86,95.91,332800,6280314.88,6396313.6,6216744.96,6285557.76,5,0.0,1.0
2009-04-24,95.61,96.57,94.29,95.41,262400,6265896.96,6328811.52,6179389.44,6252789.76,4,0.0,1.0
2009-04-27,98.32,98.7699,95.79,95.99,390400,6443499.52,6472984.1664,6277693.44,6290800.64,5,0.0,1.0
2009-04-28,97.11,99.84,95.96,99.32,332800,6364200.96,6543114.24,6288834.56,6509035.52,5,0.0,1.0
2009-04-29,93.02,96.81,91.301,96.81,288000,6096158.72,6344540.16,5983502.336,6344540.16,4,0.0,1.0
2009-04-30,93.76,94.2611,90.21,92.83,326400,6144655.36,6177495.4496,5912002.56,6083706.88,4,0.0,1.0
2009-05-01,92.56,94.93,91.8,93.56,134400,6066012.16,6221332.48,6016204.8,6131548.16,2,0.0,1.0
2009-05-04,87.63,91.96,87.36,90.95,460800,5742919.68,6026690.56,5725224.96,5960499.2,7,0.0,1.0
2009-05-05,88.38,89.59,87.86,87.86,326400,5792071.68,5871370.24,5757992.96,5757992.96,4,0.0,1.0
2009-05-06,85.34,87.73,84.96,87.73,192000,5592842.24,5749473.28,5567938.56,5749473.28,2,0.0,1.0
2009-05-07,86.57,87.56,83.47,84.5,262400,5673451.52,5738332.16,5470289.92,5537792.0,4,0.0,1.0
2009-05-08,82.65,86.28,81.49,86.28,294400,5416550.4,5654446.08,5340528.64,5654446.08,4,0.0,1.0
2009-05-11,83.39,85.69,82.54,83.65,275200,5465047.04,5615779.84,5409341.44,5482086.4,4,0.0,1.0
2009-05-12,82.96,85.2,82.35,82.78,326400,5436866.56,5583667.2,5396889.6,5425070.08,4,0.0,1.0
2009-05-13,85.53,86.23,83.78,86.04,332800,5605294.08,5651169.28,5490606.08,5638717.44,5,0.0,1.0
2009-05-14,81.92,87.3,81.51,87.3,384000,5368709.12,5721292.8,5341839.36,5721292.8,5,0.0,1.0
2009-05-15,83.43,84.39,80.26,81.5,204800,5467668.48,5530583.04,5259919.36,5341184.0,3,0.0,1.0
2009-05-18,77.88,83.49,77.49,83.49,377600,5103943.68,5471600.64,5078384.64,5471600.64,5,0.0,1.0
2009-05-19,76.37,78.51,75.22,76.92,243200,5004984.32,5145231.36,4929617.92,5041029.12,3,0.0,1.0
2009-05-20,77.38,77.52,71.96,75.8,825600,5071175.68,5080350.72,4715970.56,4967628.8,12,0.0,1.0
2009-05-21,81.7,83.46,77.66,78.49,1088000,5354291.2,5469634.56,5089525.76,5143920.64,16,0.0,1.0
2009-05-22,83.81,83.81,80.02,81.45,428800,5492572.16,5492572.16,5244190.72,5337907.2,6,0.0,1.0
2009-05-26,78.61,83.81,76.52,83.81,563200,5151784.96,5492572.16,5014814.72,5492572.16,8,0.0,1.0
2009-05-27,80.84,81.19,76.15,78.25,467200,5297930.24,5320867.84,4990566.4,5128192.0,7,0.0,1.0
2009-05-28,79.68,81.89,78.17,80.35,422400,5221908.48,5366743.04,5122949.12,5265817.6,6,0.0,1.0
2009-05-29,77.93,80.01,77.73,77.83,217600,5107220.48,5243535.36,5094113.28,5100666.88,3,0.0,1.0
2009-06-01,74.4,76.93,73.23,76.88,409600,4875878.4,5041684.48,4799201.28,5038407.68,6,0.0,1.0
2009-06-02,75.41,76.19,72.72,74.96,300800,4942069.76,4993187.84,4765777.92,4912578.56,4,0.0,1.0
2009-06-03,79.05,80.29,75.85,76.18,352000,5180620.8,5261885.44,4970905.6,4992532.48,5,0.0,1.0
2009-06-04,77.53,79.19,76.79,78.72,262400,5081006.08,5189795.84,5032509.44,5158993.92,4,0.0,1.0
2009-06-05,77.35,79.1,75.72,77.57,332800,5069209.6,5183897.6,4962385.92,5083627.52,5,0.0,1.0
