date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2000-01-03,69.39,70.64,68.28,70.57,973700,11.1773701278829,11.3787206489934,10.9985708651368,11.3674450198112,973700,0.0,1.0
2000-01-04,66.79,69.95,66.1,69.27,1201700,10.7585610439732,11.2675751613404,10.6474155563202,11.1580404778563,1201700,0.0,1.0
2000-01-05,70.33,70.39,66.48,66.79,1184600,11.328785719758,11.3384505447713,10.7086261147378,10.7585610439732,1184600,0.0,1.0
2000-01-06,73.62,73.99,69.71,70.7,1307700,11.8587402913207,11.9183400455693,11.2289158612872,11.3883854740067,1307700,0.0,1.0
2000-01-07,71.19,72.75,70.2,71.57,1728000,11.467314878282,11.7186003286278,11.3078452655625,11.5285254366995,1728000,0.0,1.0
2000-01-10,70.88,71.88,69.64,71.69,821900,11.4173799490466,11.5784603659349,11.217640232105,11.5478550867261,821900,0.0,1.0
2000-01-11,70.14,71.5,69.64,70.88,677300,11.2981804405492,11.5172498075173,11.217640232105,11.4173799490466,677300,0.0,1.0
2000-01-12,68.46,69.39,68.28,69.15,689400,11.0275653401767,11.1773701278829,10.9985708651368,11.1387108278297,689400,0.0,1.0
2000-01-13,68.09,68.9,67.28,68.46,805000,10.9679655859281,11.0984407236076,10.8374904482485,11.0275653401767,805000,0.0,1.0
2000-01-14,68.77,68.96,68.15,68.53,863300,11.0775002694121,11.1081055486209,10.9776304109414,11.0388409693589,863300,0.0,1.0
2000-01-18,66.1,68.71,65.36,68.53,825700,10.6474155563202,11.0678354443988,10.5282160478228,11.0388409693589,825700,0.0,1.0
2000-01-19,63.06,63.62,61.26,61.57,3095500,10.1577310889796,10.2479361224371,9.86778633858059,9.91772126781598,3095500,0.0,1.0
2000-01-20,64.55,64.74,62.38,63.06,2979700,10.3977409101433,10.4283461893521,10.0481964054955,10.1577310889796,2979700,0.0,1.0
2000-01-21,63.44,64.55,62.26,64.55,1481300,10.2189416473972,10.3977409101433,10.0288667554689,10.3977409101433,1481300,0.0,1.0
2000-01-24,60.58,63.93,58.66,63.44,1534700,9.75825165509651,10.2978710516725,9.44897725467087,10.2189416473972,1534700,0.0,1.0
2000-01-25,57.79,59.65,55.74,59.09,1838000,9.308837291978,9.60844686739034,8.97862243735688,9.51824183393286,1838000,0.0,1.0
2000-01-26,57.88,60.0,57.5,58.0,2560000,9.34970436022508,9.69216070514003,9.28832067575919,9.36908868163536,2560000,0.163706,1.0
2000-01-27,57.06,58.81,56.5,58.0,1335000,9.21724483058816,9.49993285115475,9.12678466400686,9.36908868163536,1335000,0.0,1.0
2000-01-28,59.06,59.5,56.0,56.69,2502800,9.54031685409283,9.61139269926386,9.04601665813069,9.1574765062398,2502800,0.0,1.0
2000-01-31,57.38,58.69,55.31,58.69,1089600,9.26893635434891,9.48054852974447,8.93455681002158,9.48054852974447,1089600,0.0,1.0
2000-02-01,57.25,58.88,56.31,57.38,1447500,9.24793667282111,9.51124037197741,9.09609282177392,9.26893635434891,1447500,0.0,1.0
2000-02-02,56.5,57.5,55.25,57.25,2137500,9.12678466400686,9.28832067575919,8.92486464931644,9.24793667282111,2137500,0.0,1.0
2000-02-03,54.62,56.38,54.56,56.0,1339000,8.82309696191247,9.10740034259658,8.81340480120733,9.04601665813069,1339000,0.0,1.0
2000-02-04,55.0,55.75,54.0,55.25,1950800,8.88448064637836,9.00563265519261,8.72294463462602,8.92486464931644,1950800,0.0,1.0
2000-02-07,52.63,54.5,51.88,54.25,1817800,8.50164029852533,8.80371264050219,8.38048828971108,8.76332863756411,1817800,0.0,1.0
2000-02-08,53.69,54.19,52.5,53.19,2538300,8.6728684709828,8.75363647685897,8.48064061699752,8.59210046510663,2538300,0.0,1.0
2000-02-09,51.94,54.5,51.56,53.06,1426700,8.39018045041622,8.80371264050219,8.32879676595033,8.57110078357883,1426700,0.0,1.0
2000-02-10,52.0,52.31,50.31,51.81,5724400,8.39987261112136,8.44994877476458,8.12687675125991,8.36918076888841,5724400,0.0,1.0
2000-02-11,51.31,52.75,48.88,52.0,2307200,8.28841276301225,8.52102461993561,7.89588025445407,8.39987261112136,2307200,0.0,1.0
2000-02-14,52.12,52.37,49.25,50.69,1491200,8.41925693253163,8.45964093546972,7.95564857880244,8.1882604357258,1491200,0.0,1.0
2000-02-15,53.62,54.31,51.06,52.0,1670200,8.66156095016014,8.77302079826925,8.24802876007416,8.39987261112136,1670200,0.0,1.0
2000-02-16,53.5,53.94,51.56,52.88,1392300,8.64217662874986,8.71325247392088,8.32879676595033,8.54202430146341,1392300,0.0,1.0
2000-02-17,52.81,55.12,51.5,54.75,1266200,8.53071678064075,8.90386496778864,8.31910460524519,8.84409664344027,1266200,0.0,1.0
