date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1970-01-02,62.0,62.0,61.62,61.75,36700,0.515615855234423,0.515615855234423,0.512455629024922,0.513536759043962,1174400,0.0,1.0
1970-01-05,63.0,63.0,61.87,62.0,58800,0.523932239996269,0.523932239996269,0.514534725215383,0.515615855234423,1881600,0.0,1.0
1970-01-06,62.87,63.13,62.25,63.0,38500,0.522851109977229,0.525013370015308,0.517694951424884,0.523932239996269,1232000,0.0,1.0
1970-01-07,62.5,62.87,62.38,62.87,28700,0.519774047615346,0.522851109977229,0.518776081443924,0.522851109977229,918400,0.0,1.0
1970-01-08,62.62,63.0,62.25,62.5,33600,0.520772013786767,0.523932239996269,0.517694951424884,0.519774047615346,1075200,0.0,1.0
1970-01-09,62.87,62.87,62.38,62.62,33500,0.522851109977229,0.522851109977229,0.518776081443924,0.520772013786767,1072000,0.0,1.0
1970-01-12,62.38,63.0,62.38,62.87,27900,0.518776081443924,0.523932239996269,0.518776081443924,0.522851109977229,892800,0.0,1.0
1970-01-13,62.13,62.75,62.13,62.38,39000,0.516696985253463,0.521853143805807,0.516696985253463,0.518776081443924,1248000,0.0,1.0
1970-01-14,62.25,62.25,61.87,62.13,41500,0.517694951424884,0.517694951424884,0.514534725215383,0.516696985253463,1328000,0.0,1.0
1970-01-15,61.62,62.25,61.5,62.25,37700,0.512455629024922,0.517694951424884,0.5114576628535,0.517694951424884,1206400,0.0,1.0
1970-01-16,61.87,62.0,61.62,61.62,34400,0.514534725215383,0.515615855234423,0.512455629024922,0.512455629024922,1100800,0.0,1.0
1970-01-19,61.87,62.0,61.5,61.87,21900,0.514534725215383,0.515615855234423,0.5114576628535,0.514534725215383,700800,0.0,1.0
1970-01-20,61.62,62.25,61.62,61.87,38800,0.512455629024922,0.517694951424884,0.512455629024922,0.514534725215383,1241600,0.0,1.0
1970-01-21,61.5,62.0,61.5,61.62,26300,0.5114576628535,0.515615855234423,0.5114576628535,0.512455629024922,841600,0.0,1.0
1970-01-22,61.13,61.62,61.0,61.5,43200,0.508380600491617,0.512455629024922,0.507299470472578,0.5114576628535,1382400,0.0,1.0
1970-01-23,60.25,61.13,60.13,61.13,58700,0.501062181901193,0.508380600491617,0.500064215729772,0.508380600491617,1878400,0.0,1.0
1970-01-26,60.38,60.5,60.0,60.25,32600,0.502143311920233,0.503141278091655,0.498983085710732,0.501062181901193,1043200,0.0,1.0
1970-01-27,60.0,60.13,59.5,60.13,64200,0.498983085710732,0.500064215729772,0.494824893329809,0.500064215729772,2054400,0.0,1.0
1970-01-28,58.13,60.0,58.0,60.0,46500,0.483431446206081,0.498983085710732,0.482350316187041,0.498983085710732,1488000,0.0,1.0
1970-01-29,56.87,57.62,56.87,57.62,48400,0.472952801406155,0.47919008997754,0.472952801406155,0.47919008997754,1548800,0.0,1.0
1970-01-30,56.38,56.75,56.0,56.75,67900,0.468877772872851,0.471954835234734,0.46571754666335,0.471954835234734,2172800,0.0,1.0
1970-02-02,56.0,56.38,56.0,56.38,86100,0.46571754666335,0.468877772872851,0.46571754666335,0.468877772872851,2755200,0.0,1.0
1970-02-03,57.13,57.5,55.75,56.0,80400,0.475115061444235,0.478192123806118,0.463638450472888,0.46571754666335,2572800,0.0,1.0
1970-02-04,57.0,57.25,56.75,57.13,62600,0.474033931425195,0.476113027615657,0.471954835234734,0.475115061444235,2003200,0.0,1.0
1970-02-05,56.87,57.0,56.75,57.0,52400,0.472952801406155,0.474033931425195,0.471954835234734,0.474033931425195,1676800,0.0,1.0
1970-02-06,55.5,56.13,55.38,56.13,51100,0.461559354282427,0.46679867668239,0.460561388111006,0.46679867668239,1635200,0.0,1.0
1970-02-09,55.25,55.75,55.13,55.5,43700,0.459480258091966,0.463638450472888,0.458482291920544,0.461559354282427,1398400,0.0,1.0
1970-02-10,53.25,55.0,52.75,55.0,86800,0.442847488568275,0.457401161901504,0.438689296187352,0.457401161901504,2777600,0.0,1.0
1970-02-11,53.62,53.62,52.5,53.25,72400,0.445924550930157,0.445924550930157,0.43661019999689,0.442847488568275,2316800,0.0,1.0
1970-02-12,52.25,53.5,51.5,53.5,81600,0.434531103806429,0.444926584758736,0.428293815235045,0.444926584758736,2611200,0.0,1.0
1970-02-13,52.0,52.38,51.5,52.25,74400,0.432452007615968,0.435612233825469,0.428293815235045,0.434531103806429,2380800,0.0,1.0
1970-02-17,50.13,50.38,49.87,50.38,96200,0.416900368111317,0.418979464301778,0.414738108073237,0.418979464301778,3078400,0.0,1.0
1970-02-18,52.87,53.25,50.75,50.75,138700,0.439687262358773,0.442847488568275,0.422056526663661,0.422056526663661,4438400,0.0,1.0
1970-02-19,53.62,54.62,53.62,53.62,105500,0.445924550930157,0.454240935692003,0.445924550930157,0.445924550930157,3376000,0.0,1.0
1970-02-20,55.13,55.25,53.0,53.62,140000,0.458482291920544,0.459480258091966,0.440768392377813,0.445924550930157,4480000,0.0,1.0
1970-02-24,54.87,56.75,54.75,55.13,117200,0.456320031882464,0.471954835234734,0.455322065711043,0.458482291920544,3750400,0.0,1.0
1970-02-25,55.75,55.87,53.0,54.87,149100,0.463638450472888,0.46463641664431,0.440768392377813,0.456320031882464,4771200,0.0,1.0
1970-02-26,54.13,55.25,53.87,55.25,115800,0.450165907158699,0.459480258091966,0.448003647120619,0.459480258091966,3705600,0.0,1.0
1970-02-27,54.0,54.87,54.0,54.13,129300,0.449084777139659,0.456320031882464,0.449084777139659,0.450165907158699,4137600,0.0,1.0
1970-03-02,53.5,54.87,53.5,54.0,159600,0.444926584758736,0.456320031882464,0.444926584758736,0.449084777139659,5107200,0.0,1.0
1970-03-03,53.25,53.75,52.87,53.5,161000,0.442847488568275,0.447005680949197,0.439687262358773,0.444926584758736,5152000,0.0,1.0
1970-03-04,53.5,53.75,53.25,53.25,151200,0.444926584758736,0.447005680949197,0.442847488568275,0.442847488568275,4838400,0.0,1.0
1970-03-05,54.0,54.38,53.5,53.5,153500,0.449084777139659,0.45224500334916,0.444926584758736,0.444926584758736,4912000,0.0,1.0
1970-03-06,53.5,53.75,53.13,53.75,149400,0.444926584758736,0.447005680949197,0.441849522396853,0.447005680949197,4780800,0.0,1.0
1970-03-09,52.87,53.38,52.87,53.38,240600,0.439687262358773,0.443928618587315,0.439687262358773,0.443928618587315,7699200,0.0,1.0
1970-03-10,53.87,54.13,52.5,52.87,183700,0.448003647120619,0.450165907158699,0.43661019999689,0.439687262358773,5878400,0.0,1.0
1970-03-11,54.87,55.0,54.38,54.38,113700,0.456320031882464,0.457401161901504,0.45224500334916,0.45224500334916,3638400,0.0,1.0
1970-03-12,54.62,54.87,54.0,54.87,88800,0.454240935692003,0.456320031882464,0.449084777139659,0.456320031882464,2841600,0.0,1.0
