date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-08-27,21.22,25.0,21.2,23.1,82219698,21.22,25.0,21.2,23.1,82219698,0.0,1.0
2020-08-28,22.79,24.4,22.02,23.98,44847272,22.79,24.4,22.02,23.98,44847272,0.0,1.0
2020-08-31,20.5,22.79,20.33,22.69,20815988,20.5,22.79,20.33,22.69,20815988,0.0,1.0
2020-09-01,21.61,21.79,20.1,20.98,15291396,21.61,21.79,20.1,20.98,15291396,0.0,1.0
2020-09-02,21.09,22.0,20.38,21.99,9090101,21.09,22.0,20.38,21.99,9090101,0.0,1.0
2020-09-03,20.03,21.05,20.0,20.93,7897129,20.03,21.05,20.0,20.93,7897129,0.0,1.0
2020-09-04,19.03,20.18,18.01,19.98,10957355,19.03,20.18,18.01,19.98,10957355,0.0,1.0
2020-09-08,17.73,18.56,17.37,17.91,8723960,17.73,18.56,17.37,17.91,8723960,0.0,1.0
2020-09-09,18.07,18.65,17.91,18.575,5888958,18.07,18.65,17.91,18.575,5888958,0.0,1.0
2020-09-10,19.28,19.505,18.31,18.3135,15465150,19.28,19.505,18.31,18.3135,15465150,0.0,1.0
2020-09-11,19.1,19.55,18.36,19.49,4259731,19.1,19.55,18.36,19.49,4259731,0.0,1.0
2020-09-14,20.48,20.56,18.38,19.14,6296597,20.48,20.56,18.38,19.14,6296597,0.0,1.0
2020-09-15,21.12,21.14,20.26,20.59,4332355,21.12,21.14,20.26,20.59,4332355,0.0,1.0
2020-09-16,19.92,20.78,19.62,20.66,4062698,19.92,20.78,19.62,20.66,4062698,0.0,1.0
2020-09-17,19.24,19.67,19.01,19.01,2887950,19.24,19.67,19.01,19.01,2887950,0.0,1.0
2020-09-18,18.9,19.48,18.86,19.44,2789432,18.9,19.48,18.86,19.44,2789432,0.0,1.0
2020-09-21,18.15,18.38,17.425,18.27,5191224,18.15,18.38,17.425,18.27,5191224,0.0,1.0
2020-09-22,19.31,19.58,18.17,18.5,4131309,19.31,19.58,18.17,18.5,4131309,0.0,1.0
2020-09-23,18.41,19.42,18.1,19.42,3273928,18.41,19.42,18.1,19.42,3273928,0.0,1.0
2020-09-24,17.45,18.17,17.1101,18.0,3995250,17.45,18.17,17.1101,18.0,3995250,0.0,1.0
2020-09-25,17.93,18.0,17.12,17.81,5330766,17.93,18.0,17.12,17.81,5330766,0.0,1.0
2020-09-28,19.06,19.45,18.5,19.02,5507480,19.06,19.45,18.5,19.02,5507480,0.0,1.0
2020-09-29,18.78,19.2,18.53,19.06,5856080,18.78,19.2,18.53,19.06,5856080,0.0,1.0
