date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-04-18,62.0,66.0,60.321,65.0,25764659,62.0,66.0,60.321,65.0,25764659,0.0,1.0
2019-04-22,65.7,68.9,59.94,61.0,9949738,65.7,68.9,59.94,61.0,9949738,0.0,1.0
2019-04-23,69.0,74.169,65.55,66.87,6786513,69.0,74.169,65.55,66.87,6786513,0.0,1.0
2019-04-24,63.2,71.5,63.16,71.4,4973529,63.2,71.5,63.16,71.4,4973529,0.0,1.0
2019-04-25,65.0,66.85,62.6,64.74,3863275,65.0,66.85,62.6,64.74,3863275,0.0,1.0
2019-04-26,66.22,66.99,63.6,66.12,1527450,66.22,66.99,63.6,66.12,1527450,0.0,1.0
2019-04-29,68.17,68.5,64.75,66.53,1822349,68.17,68.5,64.75,66.53,1822349,0.0,1.0
2019-04-30,72.47,72.52,66.67,68.4,4113123,72.47,72.52,66.67,68.4,4113123,0.0,1.0
2019-05-01,72.76,76.95,70.8159,72.72,3301900,72.76,76.95,70.8159,72.72,3301900,0.0,1.0
2019-05-02,75.5,75.89,69.6912,72.75,2525285,75.5,75.89,69.6912,72.75,2525285,0.0,1.0
2019-05-03,79.18,80.25,75.0,75.0,2590281,79.18,80.25,75.0,75.0,2590281,0.0,1.0
2019-05-06,78.24,80.79,74.5,75.01,2051824,78.24,80.79,74.5,75.01,2051824,0.0,1.0
2019-05-07,73.33,78.05,73.25,77.85,1975220,73.33,78.05,73.25,77.85,1975220,0.0,1.0
2019-05-08,77.68,78.5,74.03,74.61,2265503,77.68,78.5,74.03,74.61,2265503,0.0,1.0
2019-05-09,75.21,76.99,74.0,76.85,1348243,75.21,76.99,74.0,76.85,1348243,0.0,1.0
2019-05-10,79.63,79.74,74.77,75.79,1555091,79.63,79.74,74.77,75.79,1555091,0.0,1.0
2019-05-13,72.54,77.39,70.6,77.39,2873222,72.54,77.39,70.6,77.39,2873222,0.0,1.0
2019-05-14,73.14,76.8851,73.11,74.12,1950421,73.14,76.8851,73.11,74.12,1950421,0.0,1.0
2019-05-15,79.76,80.0,72.21,73.4,2426504,79.76,80.0,72.21,73.4,2426504,0.0,1.0
2019-05-16,83.4,87.55,79.25,80.12,4580684,83.4,87.55,79.25,80.12,4580684,0.0,1.0
